Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,chikitsa,2394,7.76,7.37,0
SN,AH,chikitsa,764,8.03,7.48,0.540432346
SN,AH,chikitsa,1307,8.09,7.3,0.660528423
SN,AH,chikitsa,765,8.11,7.86,0.700560448
SN,AH,chikitsa,1748,8.14,7.8,0.760608487
SN,AH,chikitsa,3922,8.15,7.49,0.7806245
SN,AH,chikitsa,1306,8.16,6.86,0.800640512
SN,AH,chikitsa,2397,8.17,8.02,0.820656525
SN,AH,chikitsa,2393,8.2,7.87,0.880704564
SN,AH,chikitsa,762,8.23,7.48,0.940752602
SN,AH,chikitsa,1758,8.24,8.43,0.960768615
SN,AH,chikitsa,763,8.28,7.49,1.040832666
SN,AH,chikitsa,1773,8.28,7.55,1.040832666
SN,AH,chikitsa,3426,8.29,7.9,1.060848679
SN,AH,chikitsa,1509,8.3,6.88,1.080864692
SN,AH,chikitsa,798,8.32,7.02,1.120896717
SN,AH,chikitsa,2923,8.33,8.07,1.14091273
SN,AH,chikitsa,482,8.34,7.5,1.160928743
SN,AH,chikitsa,1747,8.35,7.97,1.180944756
SN,AH,chikitsa,3150,8.36,7.9,1.200960769
SN,AH,chikitsa,2377,8.37,6.92,1.220976781
SN,AH,chikitsa,2396,8.38,7.99,1.240992794
SN,AH,chikitsa,2398,8.38,7.8,1.240992794
SN,AH,chikitsa,3151,8.38,8.04,1.240992794
SN,AH,chikitsa,481,8.39,7.69,1.261008807
SN,AH,chikitsa,2174,8.4,8.36,1.28102482
SN,AH,chikitsa,2921,8.41,7.7,1.301040833
SN,AH,chikitsa,3924,8.42,7.39,1.321056845
SN,AH,chikitsa,1774,8.44,7.42,1.361088871
SN,AH,chikitsa,2980,8.44,8.85,1.361088871
SN,AH,chikitsa,1746,8.45,8.02,1.381104884
SN,AH,chikitsa,3131,8.45,7.23,1.381104884
SN,AH,chikitsa,922,8.46,8.63,1.401120897
SN,AH,chikitsa,2392,8.46,7.59,1.401120897
SN,AH,chikitsa,2527,8.46,7.79,1.401120897
SN,AH,chikitsa,3127,8.46,7.05,1.401120897
SN,AH,chikitsa,799,8.47,7.5,1.42113691
SN,AH,chikitsa,800,8.47,7.5,1.42113691
SN,AH,chikitsa,925,8.48,7.8,1.441152922
SN,AH,chikitsa,1510,8.49,7.03,1.461168935
SN,AH,chikitsa,1757,8.49,8.46,1.461168935
SN,AH,chikitsa,2327,8.49,7.63,1.461168935
SN,AH,chikitsa,3088,8.49,7.72,1.461168935
SN,AH,chikitsa,480,8.5,8.03,1.481184948
SN,AH,chikitsa,479,8.51,7.94,1.501200961
SN,AH,chikitsa,2376,8.51,6.95,1.501200961
SN,AH,chikitsa,975,8.52,8.44,1.521216974
SN,AH,chikitsa,2000,8.52,6.92,1.521216974
SN,AH,chikitsa,1308,8.53,7.44,1.541232986
SN,AH,chikitsa,2175,8.55,8.22,1.581265012
SN,AH,chikitsa,3181,8.55,8.13,1.581265012
SN,AH,chikitsa,3182,8.55,7.89,1.581265012
SN,AH,chikitsa,478,8.56,8.07,1.601281025
SN,AH,chikitsa,923,8.56,8.42,1.601281025
SN,AH,chikitsa,1203,8.56,6.94,1.601281025
SN,AH,chikitsa,2242,8.56,8.52,1.601281025
SN,AH,chikitsa,2326,8.56,7.76,1.601281025
SN,AH,chikitsa,1515,8.57,6.52,1.621297038
SN,AH,chikitsa,2325,8.57,7.9,1.621297038
SN,AH,chikitsa,3540,8.57,7.31,1.621297038
SN,AH,chikitsa,1772,8.58,7.96,1.64131305
SN,AH,chikitsa,3149,8.58,7.96,1.64131305
SN,AH,chikitsa,3425,8.58,7.86,1.64131305
SN,AH,chikitsa,1508,8.59,6.74,1.661329063
SN,AH,chikitsa,2367,8.59,7.08,1.661329063
SN,AH,chikitsa,2528,8.59,6.91,1.661329063
SN,AH,chikitsa,3130,8.59,7.3,1.661329063
SN,AH,chikitsa,3152,8.59,8.15,1.661329063
SN,AH,chikitsa,113,8.6,7.91,1.681345076
SN,AH,chikitsa,1750,8.6,7.77,1.681345076
SN,AH,chikitsa,2395,8.6,8.25,1.681345076
