Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,kalpa,473,7.14,6.6,0
SN,AH,kalpa,474,7.19,6.79,0.139664804
SN,AH,kalpa,489,7.23,7.28,0.251396648
SN,AH,kalpa,475,7.24,6.9,0.279329609
SN,AH,kalpa,476,7.26,6.11,0.335195531
SN,AH,kalpa,492,7.32,7.45,0.502793296
SN,AH,kalpa,477,7.39,6.13,0.698324022
SN,AH,kalpa,487,7.39,7.15,0.698324022
SN,AH,kalpa,488,7.41,7.65,0.754189944
SN,AH,kalpa,490,7.43,7.51,0.810055866
SN,AH,kalpa,478,7.48,7,0.94972067
SN,AH,kalpa,479,7.49,6.64,0.977653631
SN,AH,kalpa,486,7.49,7.44,0.977653631
SN,AH,kalpa,491,7.69,8.29,1.536312849
SN,AH,kalpa,494,7.69,7.86,1.536312849
SN,AH,kalpa,365,7.78,6.16,1.787709497
SN,AH,kalpa,493,7.86,8.21,2.011173184
SN,AH,kalpa,471,7.94,7.57,2.234636872
SN,AH,kalpa,77,7.99,7.3,2.374301676
SN,AH,kalpa,485,8.01,7.38,2.430167598
SN,AH,kalpa,11,8.09,7.02,2.653631285
SN,AH,kalpa,472,8.09,6.62,2.653631285
SN,AH,kalpa,542,8.11,6.97,2.709497207
SN,AH,kalpa,267,8.13,7.02,2.765363128
SN,AH,kalpa,266,8.15,7.08,2.82122905
SN,AH,kalpa,70,8.19,5.52,2.932960894
SN,AH,kalpa,76,8.21,7.21,2.988826816
SN,AH,kalpa,103,8.22,8.59,3.016759777
SN,AH,kalpa,75,8.23,6.86,3.044692737
SN,AH,kalpa,364,8.34,6.13,3.351955307
SN,AH,kalpa,72,8.35,5.88,3.379888268
SN,AH,kalpa,104,8.36,9.06,3.407821229
SN,AH,kalpa,562,8.36,7.58,3.407821229
SN,AH,kalpa,495,8.4,8.44,3.519553073
SN,AH,kalpa,541,8.4,8.18,3.519553073
SN,AH,kalpa,68,8.43,6.05,3.603351955
SN,AH,kalpa,12,8.45,7.91,3.659217877
SN,AH,kalpa,108,8.45,7.72,3.659217877
SN,AH,kalpa,13,8.49,7.49,3.770949721
SN,AH,kalpa,101,8.5,8.62,3.798882682
SN,AH,kalpa,374,8.51,5.68,3.826815642
SN,AH,kalpa,496,8.52,8.85,3.854748603
SN,AH,kalpa,18,8.54,7.04,3.910614525
SN,AH,kalpa,10,8.55,7.49,3.938547486
SN,AH,kalpa,14,8.56,7.09,3.966480447
SN,AH,kalpa,78,8.56,7.19,3.966480447
SN,AH,kalpa,69,8.57,5.59,3.994413408
SN,AH,kalpa,19,8.58,6.99,4.022346369
SN,AH,kalpa,102,8.58,8.74,4.022346369
SN,AH,kalpa,470,8.58,8.17,4.022346369
SN,AH,kalpa,536,8.61,7.85,4.106145251
SN,AH,kalpa,167,8.63,5.89,4.162011173
SN,AH,kalpa,268,8.64,6.95,4.189944134
SN,AH,kalpa,164,8.65,5.22,4.217877095
SN,AH,kalpa,64,8.66,4.27,4.245810056
SN,AH,kalpa,543,8.66,7.17,4.245810056
SN,AH,kalpa,74,8.68,6.5,4.301675978
SN,AH,kalpa,163,8.68,5.12,4.301675978
SN,AH,kalpa,8,8.7,8.39,4.357541899
SN,AH,kalpa,107,8.7,7.7,4.357541899
SN,AH,kalpa,373,8.71,6.05,4.38547486
SN,AH,kalpa,544,8.72,7.32,4.413407821
SN,AH,kalpa,67,8.73,5.3,4.441340782
SN,AH,kalpa,366,8.74,6.22,4.469273743
SN,AH,kalpa,497,8.74,8.99,4.469273743
SN,AH,kalpa,73,8.75,6.45,4.497206704
SN,AH,kalpa,162,8.76,5.28,4.525139665
SN,AH,kalpa,465,8.8,9.16,4.636871508
SN,AH,kalpa,466,8.81,8.89,4.664804469
SN,AH,kalpa,15,8.87,7.35,4.832402235
SN,AH,kalpa,368,8.88,6.15,4.860335196
SN,AH,kalpa,105,8.94,9.23,5.027932961
SN,AH,kalpa,157,8.95,6.82,5.055865922
SN,AH,kalpa,506,8.95,9.48,5.055865922
SN,AH,kalpa,16,8.96,7.76,5.083798883
SN,AH,kalpa,505,8.96,9.26,5.083798883
SN,AH,kalpa,534,8.97,7.67,5.111731844
SN,AH,kalpa,9,8.99,7.85,5.167597765
SN,AH,kalpa,501,9.02,9.38,5.251396648
SN,AH,kalpa,17,9.09,7.82,5.446927374
SN,AH,kalpa,535,9.09,7.78,5.446927374
SN,AH,kalpa,369,9.1,5.87,5.474860335
SN,AH,kalpa,540,9.12,8.88,5.530726257
SN,AH,kalpa,363,9.13,6.42,5.558659218
SN,AH,kalpa,480,9.13,6.62,5.558659218
SN,AH,kalpa,342,9.15,5.73,5.61452514
SN,AH,kalpa,367,9.15,6.22,5.61452514
SN,AH,kalpa,498,9.15,8.7,5.61452514
SN,AH,kalpa,79,9.16,7.37,5.642458101
SN,AH,kalpa,66,9.19,5.06,5.726256983
SN,AH,kalpa,538,9.19,8.56,5.726256983
SN,AH,kalpa,106,9.2,8.09,5.754189944
SN,AH,kalpa,166,9.21,5.82,5.782122905
SN,AH,kalpa,265,9.21,6.8,5.782122905
SN,AH,kalpa,468,9.22,9.51,5.810055866
SN,AH,kalpa,100,9.23,9,5.837988827
SN,AH,kalpa,63,9.25,4.25,5.893854749
SN,AH,kalpa,500,9.26,8.66,5.921787709
SN,AH,kalpa,165,9.28,5.36,5.977653631
SN,AH,kalpa,199,9.29,4.19,6.005586592
SN,AH,kalpa,370,9.29,5.65,6.005586592
SN,AH,kalpa,481,9.29,6.57,6.005586592
SN,AH,kalpa,158,9.3,6.92,6.033519553
SN,AH,kalpa,424,9.32,8.43,6.089385475
SN,AH,kalpa,20,9.33,6.58,6.117318436
SN,AH,kalpa,423,9.33,9.09,6.117318436
SN,AH,kalpa,484,9.35,8.16,6.173184358
SN,AH,kalpa,240,9.36,7.7,6.201117318
SN,AH,kalpa,545,9.36,7.54,6.201117318
SN,AH,kalpa,566,9.38,7.75,6.25698324
SN,AH,kalpa,200,9.4,3.98,6.312849162
SN,AH,kalpa,564,9.4,8.33,6.312849162
SN,AH,kalpa,469,9.41,9.15,6.340782123
SN,AH,kalpa,537,9.42,7.91,6.368715084
SN,AH,kalpa,539,9.43,9.27,6.396648045
SN,AH,kalpa,161,9.46,6.21,6.480446927
SN,AH,kalpa,187,9.46,4.59,6.480446927
SN,AH,kalpa,341,9.46,5.78,6.480446927
SN,AH,kalpa,499,9.46,8.25,6.480446927
SN,AH,kalpa,119,9.47,5.69,6.508379888
SN,AH,kalpa,196,9.48,4.14,6.536312849
SN,AH,kalpa,50,9.49,5.38,6.56424581
SN,AH,kalpa,372,9.49,5.83,6.56424581
SN,AH,kalpa,239,9.5,8.32,6.592178771
SN,AH,kalpa,502,9.52,10,6.648044693
SN,AH,kalpa,115,9.54,6.75,6.703910615
SN,AH,kalpa,71,9.56,6.37,6.759776536
SN,AH,kalpa,264,9.56,6.56,6.759776536
SN,AH,kalpa,376,9.56,6.62,6.759776536
SN,AH,kalpa,467,9.59,9.55,6.843575419
SN,AH,kalpa,65,9.61,4.83,6.899441341
SN,AH,kalpa,117,9.61,6.65,6.899441341
SN,AH,kalpa,155,9.61,6.79,6.899441341
SN,AH,kalpa,464,9.61,9.85,6.899441341
SN,AH,kalpa,503,9.61,10.03,6.899441341
SN,AH,kalpa,128,9.62,5.83,6.927374302
SN,AH,kalpa,169,9.64,5.35,6.983240223
SN,AH,kalpa,170,9.66,5.53,7.039106145
SN,AH,kalpa,483,9.66,7.79,7.039106145
SN,AH,kalpa,193,9.68,4.38,7.094972067
SN,AH,kalpa,563,9.68,8.62,7.094972067
SN,AH,kalpa,260,9.69,6.52,7.122905028
SN,AH,kalpa,160,9.7,7.19,7.150837989
SN,AH,kalpa,114,9.72,7.05,7.206703911
SN,AH,kalpa,261,9.74,6.23,7.262569832
SN,AH,kalpa,56,9.75,4.69,7.290502793
SN,AH,kalpa,156,9.76,7.14,7.318435754
SN,AH,kalpa,171,9.76,5.4,7.318435754
SN,AH,kalpa,186,9.77,4.28,7.346368715
SN,AH,kalpa,371,9.78,6.44,7.374301676
SN,AH,kalpa,195,9.79,4.09,7.402234637
SN,AH,kalpa,346,9.79,7.19,7.402234637
SN,AH,kalpa,560,9.79,8.09,7.402234637
SN,AH,kalpa,561,9.81,8.07,7.458100559
SN,AH,kalpa,6,9.82,9.07,7.48603352
SN,AH,kalpa,7,9.82,9.07,7.48603352
SN,AH,kalpa,354,9.82,6.81,7.48603352
SN,AH,kalpa,571,9.83,7.98,7.51396648
SN,AH,kalpa,407,9.85,8.57,7.569832402
SN,AH,kalpa,238,9.86,8.9,7.597765363
SN,AH,kalpa,270,9.86,8.31,7.597765363
SN,AH,kalpa,533,9.88,8,7.653631285
SN,AH,kalpa,375,9.9,6.4,7.709497207
SN,AH,kalpa,194,9.91,4.11,7.737430168
SN,AH,kalpa,340,9.91,4.96,7.737430168
SN,AH,kalpa,137,9.93,4.91,7.793296089
SN,AH,kalpa,159,9.93,6.9,7.793296089
SN,AH,kalpa,127,9.94,5.72,7.82122905
SN,AH,kalpa,406,9.94,8.89,7.82122905
SN,AH,kalpa,546,9.94,7.51,7.82122905
SN,AH,kalpa,96,9.95,10.2,7.849162011
SN,AH,kalpa,168,9.95,5.56,7.849162011
SN,AH,kalpa,377,9.95,6.6,7.849162011
SN,AH,kalpa,559,9.95,8.27,7.849162011
SN,AH,kalpa,565,9.96,8.37,7.877094972
SN,AH,kalpa,567,9.96,8.07,7.877094972
SN,AH,kalpa,595,9.96,8.4,7.877094972
SN,AH,kalpa,80,9.97,8.1,7.905027933
SN,AH,kalpa,272,9.97,7.98,7.905027933
SN,AH,kalpa,54,9.98,5.44,7.932960894
SN,AH,kalpa,62,9.98,3.96,7.932960894
SN,AH,kalpa,99,9.98,9.55,7.932960894
SN,AH,kalpa,269,9.98,8.09,7.932960894
SN,AH,kalpa,339,9.99,4.7,7.960893855
SN,AH,kalpa,422,9.99,10.09,7.960893855
SN,AH,kalpa,420,10,10.2,7.988826816
SN,AH,kalpa,381,10.01,7.29,8.016759777
SN,AH,kalpa,428,10.02,7.32,8.044692737
SN,AH,kalpa,558,10.02,8.1,8.044692737
SN,AH,kalpa,197,10.03,4.22,8.072625698
SN,AH,kalpa,138,10.04,5.15,8.100558659
SN,AH,kalpa,21,10.06,6.16,8.156424581
SN,AH,kalpa,129,10.06,5.54,8.156424581
SN,AH,kalpa,258,10.06,6.44,8.156424581
SN,AH,kalpa,98,10.08,9.72,8.212290503
SN,AH,kalpa,262,10.08,6.24,8.212290503
SN,AH,kalpa,116,10.12,6.57,8.324022346
SN,AH,kalpa,570,10.12,7.83,8.324022346
SN,AH,kalpa,189,10.17,4.57,8.463687151
SN,AH,kalpa,241,10.17,7.7,8.463687151
SN,AH,kalpa,601,10.18,9.04,8.491620112
SN,AH,kalpa,4,10.19,8.93,8.519553073
SN,AH,kalpa,2,10.2,7.71,8.547486034
SN,AH,kalpa,233,10.2,8.75,8.547486034
SN,AH,kalpa,596,10.21,8.05,8.575418994
SN,AH,kalpa,198,10.24,4.46,8.659217877
SN,AH,kalpa,215,10.24,4.16,8.659217877
SN,AH,kalpa,185,10.26,4.17,8.715083799
SN,AH,kalpa,188,10.26,4.55,8.715083799
SN,AH,kalpa,338,10.26,4.52,8.715083799
SN,AH,kalpa,131,10.3,5.08,8.826815642
SN,AH,kalpa,201,10.3,4.06,8.826815642
SN,AH,kalpa,344,10.3,6.76,8.826815642
SN,AH,kalpa,504,10.31,10.63,8.854748603
SN,AH,kalpa,51,10.32,4.94,8.882681564
SN,AH,kalpa,231,10.33,7.98,8.910614525
SN,AH,kalpa,274,10.33,8.66,8.910614525
SN,AH,kalpa,425,10.33,8.37,8.910614525
SN,AH,kalpa,95,10.34,10.19,8.938547486
SN,AH,kalpa,347,10.34,7.46,8.938547486
SN,AH,kalpa,97,10.35,10.31,8.966480447
SN,AH,kalpa,42,10.36,7.41,8.994413408
SN,AH,kalpa,109,10.36,8.95,8.994413408
SN,AH,kalpa,226,10.36,6.19,8.994413408
SN,AH,kalpa,58,10.39,4.26,9.078212291
SN,AH,kalpa,234,10.39,8.96,9.078212291
SN,AH,kalpa,139,10.41,5.49,9.134078212
SN,AH,kalpa,172,10.41,5.57,9.134078212
SN,AH,kalpa,343,10.41,6.77,9.134078212
SN,AH,kalpa,355,10.42,7.18,9.162011173
SN,AH,kalpa,600,10.42,9.19,9.162011173
SN,AH,kalpa,57,10.43,4.61,9.189944134
SN,AH,kalpa,378,10.43,6.87,9.189944134
SN,AH,kalpa,510,10.44,10.07,9.217877095
SN,AH,kalpa,353,10.45,6.9,9.245810056
SN,AH,kalpa,52,10.46,4.94,9.273743017
SN,AH,kalpa,113,10.47,8.18,9.301675978
SN,AH,kalpa,271,10.47,8.35,9.301675978
SN,AH,kalpa,31,10.48,7.65,9.329608939
SN,AH,kalpa,190,10.48,4.54,9.329608939
SN,AH,kalpa,257,10.48,6.11,9.329608939
SN,AH,kalpa,111,10.49,8.67,9.357541899
SN,AH,kalpa,548,10.49,8.12,9.357541899
SN,AH,kalpa,61,10.5,4.04,9.38547486
SN,AH,kalpa,459,10.5,9.51,9.38547486
SN,AH,kalpa,594,10.5,6.48,9.38547486
SN,AH,kalpa,284,10.52,8.92,9.441340782
SN,AH,kalpa,427,10.52,7.59,9.441340782
SN,AH,kalpa,593,10.54,6.59,9.497206704
SN,AH,kalpa,175,10.56,5.14,9.553072626
SN,AH,kalpa,53,10.6,5.31,9.664804469
SN,AH,kalpa,557,10.6,8.11,9.664804469
SN,AH,kalpa,380,10.61,6.67,9.69273743
SN,AH,kalpa,547,10.61,8.03,9.69273743
SN,AH,kalpa,236,10.63,9.17,9.748603352
SN,AH,kalpa,250,10.63,7.91,9.748603352
SN,AH,kalpa,482,10.63,6.8,9.748603352
SN,AH,kalpa,48,10.64,6.38,9.776536313
SN,AH,kalpa,130,10.64,5.25,9.776536313
SN,AH,kalpa,192,10.64,4.62,9.776536313
SN,AH,kalpa,259,10.65,6.61,9.804469274
SN,AH,kalpa,421,10.65,10.5,9.804469274
SN,AH,kalpa,275,10.66,9.8,9.832402235
SN,AH,kalpa,276,10.66,10.48,9.832402235
SN,AH,kalpa,232,10.67,8.8,9.860335196
SN,AH,kalpa,121,10.69,6.03,9.916201117
SN,AH,kalpa,263,10.69,6.14,9.916201117
SN,AH,kalpa,49,10.7,5.87,9.944134078
SN,AH,kalpa,549,10.7,8.33,9.944134078
SN,AH,kalpa,285,10.71,8.4,9.972067039
SN,AH,kalpa,348,10.71,7.22,9.972067039
SN,AH,kalpa,387,10.73,6.53,10.02793296
SN,AH,kalpa,408,10.74,9.15,10.05586592
SN,AH,kalpa,511,10.74,10.07,10.05586592
SN,AH,kalpa,81,10.75,9.31,10.08379888
SN,AH,kalpa,395,10.75,7.72,10.08379888
SN,AH,kalpa,46,10.76,6.76,10.11173184
SN,AH,kalpa,126,10.78,5.85,10.16759777
SN,AH,kalpa,349,10.78,6.95,10.16759777
SN,AH,kalpa,123,10.79,5.98,10.19553073
SN,AH,kalpa,151,10.79,6.61,10.19553073
SN,AH,kalpa,507,10.79,10.77,10.19553073
SN,AH,kalpa,396,10.8,8.11,10.22346369
SN,AH,kalpa,572,10.8,8.24,10.22346369
SN,AH,kalpa,55,10.81,5.11,10.25139665
SN,AH,kalpa,430,10.81,7.61,10.25139665
SN,AH,kalpa,513,10.81,9.45,10.25139665
SN,AH,kalpa,237,10.83,9.56,10.30726257
SN,AH,kalpa,508,10.83,10.31,10.30726257
SN,AH,kalpa,213,10.84,4.14,10.33519553
SN,AH,kalpa,60,10.85,4.19,10.36312849
SN,AH,kalpa,242,10.85,7.88,10.36312849
SN,AH,kalpa,173,10.86,5.57,10.39106145
SN,AH,kalpa,229,10.86,7.82,10.39106145
SN,AH,kalpa,235,10.87,9.12,10.41899441
SN,AH,kalpa,429,10.87,7.59,10.41899441
SN,AH,kalpa,432,10.87,8.51,10.41899441
SN,AH,kalpa,22,10.88,5.91,10.44692737
SN,AH,kalpa,110,10.9,8.92,10.5027933
SN,AH,kalpa,426,10.9,7.43,10.5027933
SN,AH,kalpa,112,10.91,8.78,10.53072626
SN,AH,kalpa,122,10.92,6.22,10.55865922
SN,AH,kalpa,230,10.92,8.04,10.55865922
SN,AH,kalpa,150,10.95,6.78,10.6424581
SN,AH,kalpa,277,10.95,10.69,10.6424581
SN,AH,kalpa,149,10.96,6.26,10.67039106
SN,AH,kalpa,3,10.99,8.27,10.75418994
SN,AH,kalpa,43,10.99,6.66,10.75418994
SN,AH,kalpa,556,10.99,8.05,10.75418994
SN,AH,kalpa,176,11.01,4.82,10.81005587
SN,AH,kalpa,599,11.01,8.82,10.81005587
SN,AH,kalpa,1,11.02,8.2,10.83798883
SN,AH,kalpa,5,11.02,8.98,10.83798883
SN,AH,kalpa,403,11.03,10.57,10.86592179
SN,AH,kalpa,413,11.03,10.06,10.86592179
SN,AH,kalpa,509,11.03,9.93,10.86592179
SN,AH,kalpa,382,11.04,7.12,10.89385475
SN,AH,kalpa,463,11.04,9.95,10.89385475
SN,AH,kalpa,227,11.05,7.07,10.92178771
SN,AH,kalpa,460,11.05,10.17,10.92178771
SN,AH,kalpa,592,11.06,7.22,10.94972067
SN,AH,kalpa,191,11.07,4.48,10.97765363
SN,AH,kalpa,90,11.08,9.57,11.00558659
SN,AH,kalpa,273,11.08,8.7,11.00558659
SN,AH,kalpa,393,11.09,6.85,11.03351955
SN,AH,kalpa,124,11.1,5.8,11.06145251
SN,AH,kalpa,154,11.1,7.06,11.06145251
SN,AH,kalpa,32,11.11,8.04,11.08938547
SN,AH,kalpa,404,11.11,10.23,11.08938547
SN,AH,kalpa,462,11.11,10.47,11.08938547
SN,AH,kalpa,59,11.12,4.29,11.11731844
SN,AH,kalpa,152,11.12,6.58,11.11731844
SN,AH,kalpa,345,11.13,7.55,11.1452514
SN,AH,kalpa,512,11.13,10.11,11.1452514
SN,AH,kalpa,216,11.14,4.9,11.17318436
SN,AH,kalpa,568,11.14,8.65,11.17318436
SN,AH,kalpa,569,11.14,8.65,11.17318436
SN,AH,kalpa,582,11.14,7.24,11.17318436
SN,AH,kalpa,44,11.15,7.16,11.20111732
SN,AH,kalpa,140,11.16,5.82,11.22905028
SN,AH,kalpa,602,11.16,9.97,11.22905028
SN,AH,kalpa,174,11.17,5.6,11.25698324
SN,AH,kalpa,362,11.17,7.01,11.25698324
SN,AH,kalpa,409,11.17,10.19,11.25698324
SN,AH,kalpa,412,11.18,10.39,11.2849162
SN,AH,kalpa,431,11.18,8.04,11.2849162
SN,AH,kalpa,177,11.19,4.85,11.31284916
SN,AH,kalpa,120,11.2,5.98,11.34078212
SN,AH,kalpa,287,11.21,6.99,11.36871508
SN,AH,kalpa,361,11.22,6.91,11.39664804
SN,AH,kalpa,574,11.22,8.05,11.39664804
SN,AH,kalpa,379,11.23,6.95,11.42458101
SN,AH,kalpa,118,11.24,6.61,11.45251397
SN,AH,kalpa,228,11.24,8.41,11.45251397
SN,AH,kalpa,243,11.25,8.46,11.48044693
SN,AH,kalpa,337,11.25,4.77,11.48044693
SN,AH,kalpa,577,11.25,7.12,11.48044693
SN,AH,kalpa,256,11.27,6.09,11.53631285
SN,AH,kalpa,388,11.27,7.1,11.53631285
SN,AH,kalpa,383,11.31,7.12,11.64804469
SN,AH,kalpa,225,11.32,5.2,11.67597765
SN,AH,kalpa,45,11.34,7.37,11.73184358
SN,AH,kalpa,398,11.34,9.36,11.73184358
SN,AH,kalpa,41,11.35,7.49,11.75977654
SN,AH,kalpa,94,11.36,10.21,11.7877095
SN,AH,kalpa,352,11.38,6.91,11.84357542
SN,AH,kalpa,389,11.38,7.34,11.84357542
SN,AH,kalpa,148,11.39,6.01,11.87150838
SN,AH,kalpa,350,11.39,6.68,11.87150838
SN,AH,kalpa,359,11.39,6.72,11.87150838
SN,AH,kalpa,82,11.42,9.65,11.95530726
SN,AH,kalpa,91,11.42,9.9,11.95530726
SN,AH,kalpa,458,11.42,9.8,11.95530726
SN,AH,kalpa,573,11.42,8.36,11.95530726
SN,AH,kalpa,214,11.43,4.29,11.98324022
SN,AH,kalpa,286,11.43,7.72,11.98324022
SN,AH,kalpa,133,11.47,5.55,12.09497207
SN,AH,kalpa,153,11.47,6.96,12.09497207
SN,AH,kalpa,86,11.48,9.74,12.12290503
SN,AH,kalpa,580,11.48,7.1,12.12290503
SN,AH,kalpa,92,11.49,9.46,12.15083799
SN,AH,kalpa,392,11.49,6.56,12.15083799
SN,AH,kalpa,23,11.5,6.42,12.17877095
SN,AH,kalpa,87,11.5,9.64,12.17877095
SN,AH,kalpa,405,11.53,9.97,12.26256983
SN,AH,kalpa,134,11.57,5.09,12.37430168
SN,AH,kalpa,93,11.58,9.65,12.40223464
SN,AH,kalpa,583,11.6,7.37,12.45810056
SN,AH,kalpa,384,11.62,7.1,12.51396648
SN,AH,kalpa,40,11.63,8.02,12.54189944
SN,AH,kalpa,245,11.64,8.15,12.5698324
SN,AH,kalpa,38,11.65,8.33,12.59776536
SN,AH,kalpa,581,11.65,7.17,12.59776536
SN,AH,kalpa,288,11.66,7.02,12.62569832
SN,AH,kalpa,410,11.66,11.07,12.62569832
SN,AH,kalpa,555,11.66,8.57,12.62569832
SN,AH,kalpa,84,11.67,9.61,12.65363128
SN,AH,kalpa,357,11.68,7.08,12.68156425
SN,AH,kalpa,358,11.68,7.08,12.68156425
SN,AH,kalpa,579,11.71,6.88,12.76536313
SN,AH,kalpa,125,11.72,5.79,12.79329609
SN,AH,kalpa,147,11.72,5.9,12.79329609
SN,AH,kalpa,141,11.73,5.96,12.82122905
SN,AH,kalpa,386,11.77,6.93,12.93296089
SN,AH,kalpa,532,11.79,8.46,12.98882682
SN,AH,kalpa,603,11.8,10.25,13.01675978
SN,AH,kalpa,37,11.82,8.46,13.0726257
SN,AH,kalpa,202,11.82,4.32,13.0726257
SN,AH,kalpa,289,11.82,6.2,13.0726257
SN,AH,kalpa,85,11.83,9.56,13.10055866
SN,AH,kalpa,356,11.83,6.97,13.10055866
SN,AH,kalpa,252,11.85,7.69,13.15642458
SN,AH,kalpa,254,11.86,6.53,13.18435754
SN,AH,kalpa,514,11.87,9.77,13.2122905
SN,AH,kalpa,132,11.9,5.65,13.29608939
SN,AH,kalpa,178,11.9,4.86,13.29608939
SN,AH,kalpa,36,11.92,8.89,13.35195531
SN,AH,kalpa,136,11.92,5.13,13.35195531
SN,AH,kalpa,255,11.93,5.98,13.37988827
SN,AH,kalpa,360,11.94,6.73,13.40782123
SN,AH,kalpa,550,11.95,8.39,13.43575419
SN,AH,kalpa,278,11.96,11.26,13.46368715
SN,AH,kalpa,35,11.97,9.14,13.49162011
SN,AH,kalpa,253,11.97,6.77,13.49162011
SN,AH,kalpa,554,11.97,8.35,13.49162011
SN,AH,kalpa,39,11.98,8.31,13.51955307
SN,AH,kalpa,598,11.98,8.84,13.51955307
SN,AH,kalpa,351,11.99,6.77,13.54748603
SN,AH,kalpa,397,12,9.19,13.57541899
SN,AH,kalpa,246,12.01,8.52,13.60335196
