Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,nidana,63,5.32,2.45,0
SN,AH,nidana,67,5.34,2.49,0.16064257
SN,AH,nidana,66,5.44,2.55,0.963855422
SN,AH,nidana,65,5.48,2.47,1.285140562
SN,AH,nidana,1125,5.48,2.53,1.285140562
SN,AH,nidana,1130,5.52,2.44,1.606425703
SN,AH,nidana,68,5.53,2.48,1.686746988
SN,AH,nidana,321,5.53,2.39,1.686746988
SN,AH,nidana,968,5.56,2.59,1.927710843
SN,AH,nidana,554,5.61,2.47,2.329317269
SN,AH,nidana,555,5.61,2.32,2.329317269
SN,AH,nidana,1129,5.62,2.54,2.409638554
SN,AH,nidana,250,5.63,2.53,2.489959839
SN,AH,nidana,1184,5.64,2.36,2.570281124
SN,AH,nidana,256,5.65,2.73,2.65060241
SN,AH,nidana,807,5.66,2.52,2.730923695
SN,AH,nidana,1127,5.66,2.46,2.730923695
SN,AH,nidana,254,5.68,2.72,2.891566265
SN,AH,nidana,967,5.68,2.46,2.891566265
SN,AH,nidana,1183,5.68,2.35,2.891566265
SN,AH,nidana,553,5.69,2.5,2.97188755
SN,AH,nidana,1124,5.7,2.55,3.052208835
SN,AH,nidana,64,5.72,2.62,3.212851406
SN,AH,nidana,488,5.74,2.83,3.373493976
SN,AH,nidana,569,5.76,2.6,3.534136546
SN,AH,nidana,570,5.76,2.6,3.534136546
SN,AH,nidana,805,5.76,2.6,3.534136546
SN,AH,nidana,1131,5.76,2.49,3.534136546
SN,AH,nidana,1185,5.76,2.34,3.534136546
SN,AH,nidana,322,5.77,2.49,3.614457831
SN,AH,nidana,1163,5.77,2.7,3.614457831
SN,AH,nidana,664,5.78,2.59,3.694779116
SN,AH,nidana,1128,5.78,2.5,3.694779116
SN,AH,nidana,663,5.79,2.53,3.775100402
SN,AH,nidana,806,5.79,2.56,3.775100402
SN,AH,nidana,556,5.8,2.42,3.855421687
SN,AH,nidana,969,5.8,2.66,3.855421687
SN,AH,nidana,1126,5.81,2.49,3.935742972
SN,AH,nidana,1425,5.81,2.68,3.935742972
SN,AH,nidana,411,5.82,2.62,4.016064257
SN,AH,nidana,1155,5.82,2.73,4.016064257
SN,AH,nidana,320,5.84,2.44,4.176706827
SN,AH,nidana,325,5.84,2.64,4.176706827
SN,AH,nidana,500,5.84,2.41,4.176706827
SN,AH,nidana,1133,5.84,2.6,4.176706827
SN,AH,nidana,414,5.85,2.8,4.257028112
SN,AH,nidana,499,5.85,2.45,4.257028112
SN,AH,nidana,1182,5.86,2.39,4.337349398
SN,AH,nidana,148,5.87,2.49,4.417670683
SN,AH,nidana,412,5.87,2.82,4.417670683
SN,AH,nidana,497,5.88,2.62,4.497991968
SN,AH,nidana,137,5.89,2.61,4.578313253
SN,AH,nidana,253,5.89,2.67,4.578313253
SN,AH,nidana,498,5.89,2.54,4.578313253
SN,AH,nidana,808,5.89,2.59,4.578313253
SN,AH,nidana,255,5.9,2.84,4.658634538
SN,AH,nidana,1426,5.91,2.75,4.738955823
SN,AH,nidana,677,5.93,2.71,4.899598394
SN,AH,nidana,252,5.94,2.73,4.979919679
SN,AH,nidana,410,5.95,2.71,5.060240964
SN,AH,nidana,1397,5.96,2.54,5.140562249
SN,AH,nidana,144,5.99,2.7,5.381526104
SN,AH,nidana,147,5.99,2.59,5.381526104
SN,AH,nidana,319,5.99,2.46,5.381526104
SN,AH,nidana,489,5.99,2.79,5.381526104
SN,AH,nidana,145,6,2.65,5.46184739
