Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,sutra,2246,6.97,4.62,0
SN,AH,sutra,2247,7.01,4.53,0.100933636
SN,AH,sutra,2972,7.04,4.61,0.176633863
SN,AH,sutra,2041,7.17,4.33,0.504668181
SN,AH,sutra,2245,7.19,4.7,0.555134999
SN,AH,sutra,2040,7.23,4.23,0.656068635
SN,AH,sutra,2970,7.33,4.81,0.908402725
SN,AH,sutra,2973,7.37,4.71,1.009336361
SN,AH,sutra,2248,7.42,4.41,1.135503407
SN,AH,sutra,2971,7.44,4.86,1.185970225
SN,AH,sutra,1967,7.5,4.43,1.337370679
SN,AH,sutra,2244,7.5,4.75,1.337370679
SN,AH,sutra,2684,7.54,4.41,1.438304315
SN,AH,sutra,2975,7.55,4.7,1.463537724
SN,AH,sutra,11,7.57,4.67,1.514004542
SN,AH,sutra,2039,7.57,4.8,1.514004542
SN,AH,sutra,2042,7.58,4.69,1.539237951
SN,AH,sutra,2243,7.58,4.7,1.539237951
SN,AH,sutra,2974,7.6,4.8,1.589704769
SN,AH,sutra,404,7.62,4.37,1.640171587
SN,AH,sutra,2976,7.63,4.52,1.665404996
SN,AH,sutra,413,7.64,4.6,1.690638405
SN,AH,sutra,1966,7.68,4.47,1.791572041
SN,AH,sutra,8,7.7,4.54,1.842038859
SN,AH,sutra,1814,7.7,4.6,1.842038859
SN,AH,sutra,2685,7.7,4.39,1.842038859
SN,AH,sutra,1968,7.73,4.5,1.917739087
SN,AH,sutra,2242,7.75,4.66,1.968205905
SN,AH,sutra,1815,7.79,4.58,2.069139541
SN,AH,sutra,2683,7.79,4.51,2.069139541
SN,AH,sutra,2734,7.8,4.25,2.09437295
SN,AH,sutra,2969,7.8,4.88,2.09437295
SN,AH,sutra,2877,7.82,4.9,2.144839768
SN,AH,sutra,1986,7.83,4.77,2.170073177
SN,AH,sutra,2686,7.83,4.38,2.170073177
SN,AH,sutra,1848,7.85,5.02,2.220539995
SN,AH,sutra,10,7.88,4.74,2.296240222
SN,AH,sutra,2978,7.89,4.32,2.321473631
SN,AH,sutra,406,7.9,4.77,2.34670704
SN,AH,sutra,407,7.92,4.73,2.397173858
SN,AH,sutra,403,7.93,4.45,2.422407267
SN,AH,sutra,367,7.96,4.67,2.498107494
SN,AH,sutra,1812,7.96,4.54,2.498107494
SN,AH,sutra,1816,7.96,4.69,2.498107494
SN,AH,sutra,3179,7.96,4.9,2.498107494
SN,AH,sutra,1813,7.97,4.5,2.523340903
SN,AH,sutra,1987,7.97,4.86,2.523340903
SN,AH,sutra,2732,7.98,3.94,2.548574312
SN,AH,sutra,9,7.99,4.53,2.573807721
SN,AH,sutra,2694,7.99,4.31,2.573807721
SN,AH,sutra,2241,8,5.11,2.59904113
SN,AH,sutra,1135,8.02,4.23,2.649507949
SN,AH,sutra,13,8.03,4.8,2.674741358
SN,AH,sutra,405,8.03,4.56,2.674741358
SN,AH,sutra,1969,8.03,4.53,2.674741358
SN,AH,sutra,2682,8.03,4.66,2.674741358
SN,AH,sutra,727,8.04,4.59,2.699974767
SN,AH,sutra,2730,8.05,3.86,2.725208176
SN,AH,sutra,1421,8.06,3.75,2.750441585
SN,AH,sutra,7,8.07,4.72,2.775674994
SN,AH,sutra,645,8.07,4.81,2.775674994
SN,AH,sutra,649,8.07,4.97,2.775674994
SN,AH,sutra,1817,8.07,4.66,2.775674994
SN,AH,sutra,2687,8.08,4.47,2.800908403
SN,AH,sutra,380,8.09,4.87,2.826141812
SN,AH,sutra,517,8.09,4.83,2.826141812
SN,AH,sutra,1134,8.09,4.25,2.826141812
SN,AH,sutra,2876,8.09,5.02,2.826141812
SN,AH,sutra,673,8.1,4.18,2.851375221
SN,AH,sutra,1600,8.1,4.3,2.851375221
SN,AH,sutra,122,8.11,4.83,2.87660863
SN,AH,sutra,126,8.14,4.71,2.952308857
SN,AH,sutra,1846,8.14,4.81,2.952308857
SN,AH,sutra,2702,8.14,3.92,2.952308857
SN,AH,sutra,408,8.15,4.99,2.977542266
SN,AH,sutra,1603,8.16,4.31,3.002775675
SN,AH,sutra,12,8.17,4.92,3.028009084
SN,AH,sutra,1838,8.18,5.01,3.053242493
SN,AH,sutra,1847,8.19,5.17,3.078475902
SN,AH,sutra,14,8.2,5.04,3.103709311
SN,AH,sutra,730,8.2,4.56,3.103709311
SN,AH,sutra,1147,8.2,4.05,3.103709311
SN,AH,sutra,2968,8.2,5.32,3.103709311
SN,AH,sutra,2875,8.21,5.14,3.12894272
SN,AH,sutra,2977,8.21,4.82,3.12894272
SN,AH,sutra,1970,8.22,4.63,3.154176129
SN,AH,sutra,2733,8.22,4.13,3.154176129
SN,AH,sutra,1839,8.23,4.96,3.179409538
SN,AH,sutra,118,8.24,4.7,3.204642947
SN,AH,sutra,729,8.24,4.55,3.204642947
SN,AH,sutra,2874,8.24,5.15,3.204642947
SN,AH,sutra,2387,8.26,4.21,3.255109765
SN,AH,sutra,648,8.28,5.06,3.305576583
SN,AH,sutra,2695,8.28,4.42,3.305576583
SN,AH,sutra,2698,8.28,4.44,3.305576583
SN,AH,sutra,124,8.29,4.67,3.330809992
SN,AH,sutra,636,8.29,4.59,3.330809992
SN,AH,sutra,2249,8.3,4.93,3.356043401
SN,AH,sutra,2966,8.3,5.54,3.356043401
SN,AH,sutra,3180,8.3,5.03,3.356043401
SN,AH,sutra,412,8.31,5.11,3.38127681
SN,AH,sutra,965,8.31,5.09,3.38127681
SN,AH,sutra,1172,8.31,4.43,3.38127681
SN,AH,sutra,2043,8.31,5.07,3.38127681
SN,AH,sutra,410,8.32,4.86,3.40651022
SN,AH,sutra,1145,8.32,4.11,3.40651022
SN,AH,sutra,1837,8.32,5,3.40651022
SN,AH,sutra,1965,8.32,4.6,3.40651022
SN,AH,sutra,3176,8.32,4.94,3.40651022
SN,AH,sutra,728,8.33,4.2,3.431743629
SN,AH,sutra,963,8.33,5.09,3.431743629
SN,AH,sutra,1148,8.33,4.05,3.431743629
SN,AH,sutra,1982,8.33,4.82,3.431743629
SN,AH,sutra,2693,8.34,4.37,3.456977038
SN,AH,sutra,2696,8.34,4.48,3.456977038
SN,AH,sutra,366,8.35,5,3.482210447
SN,AH,sutra,368,8.35,4.75,3.482210447
SN,AH,sutra,2806,8.36,5.28,3.507443856
SN,AH,sutra,123,8.37,4.86,3.532677265
SN,AH,sutra,1174,8.37,4.27,3.532677265
SN,AH,sutra,1190,8.37,4.12,3.532677265
SN,AH,sutra,2046,8.37,4.39,3.532677265
SN,AH,sutra,2979,8.37,4.18,3.532677265
SN,AH,sutra,1093,8.38,4.39,3.557910674
SN,AH,sutra,1818,8.38,4.64,3.557910674
SN,AH,sutra,1842,8.38,4.95,3.557910674
SN,AH,sutra,2047,8.38,4.45,3.557910674
SN,AH,sutra,3177,8.38,5.07,3.557910674
SN,AH,sutra,518,8.39,4.9,3.583144083
SN,AH,sutra,646,8.39,5,3.583144083
SN,AH,sutra,650,8.39,5.3,3.583144083
SN,AH,sutra,2239,8.39,5.35,3.583144083
SN,AH,sutra,520,8.4,4.84,3.608377492
SN,AH,sutra,1165,8.4,4.41,3.608377492
SN,AH,sutra,2728,8.4,3.98,3.608377492
SN,AH,sutra,964,8.41,5.09,3.633610901
SN,AH,sutra,1175,8.41,4.46,3.633610901
SN,AH,sutra,2701,8.41,3.91,3.633610901
SN,AH,sutra,2704,8.42,4.37,3.65884431
SN,AH,sutra,2389,8.43,4.38,3.684077719
SN,AH,sutra,2700,8.43,4.14,3.684077719
SN,AH,sutra,2705,8.43,4.15,3.684077719
SN,AH,sutra,641,8.44,4.83,3.709311128
SN,AH,sutra,841,8.44,4.92,3.709311128
SN,AH,sutra,1981,8.44,4.74,3.709311128
SN,AH,sutra,15,8.45,5.06,3.734544537
SN,AH,sutra,376,8.45,5.06,3.734544537
SN,AH,sutra,411,8.45,4.93,3.734544537
SN,AH,sutra,842,8.45,5.02,3.734544537
SN,AH,sutra,1962,8.45,4.72,3.734544537
SN,AH,sutra,2388,8.45,4.31,3.734544537
SN,AH,sutra,119,8.46,4.78,3.759777946
SN,AH,sutra,2727,8.46,3.92,3.759777946
SN,AH,sutra,2238,8.47,5.24,3.785011355
SN,AH,sutra,1189,8.48,4.38,3.810244764
SN,AH,sutra,1182,8.49,4.69,3.835478173
SN,AH,sutra,2965,8.49,5.45,3.835478173
SN,AH,sutra,116,8.5,4.73,3.860711582
SN,AH,sutra,409,8.5,4.82,3.860711582
SN,AH,sutra,2967,8.5,5.44,3.860711582
SN,AH,sutra,127,8.51,4.71,3.885944991
SN,AH,sutra,1840,8.51,5,3.885944991
SN,AH,sutra,3178,8.52,5.14,3.9111784
SN,AH,sutra,843,8.53,5.08,3.936411809
SN,AH,sutra,120,8.54,4.94,3.961645218
SN,AH,sutra,2580,8.54,4.35,3.961645218
SN,AH,sutra,2697,8.54,4.58,3.961645218
SN,AH,sutra,1047,8.55,4.02,3.986878627
SN,AH,sutra,1173,8.55,4.27,3.986878627
SN,AH,sutra,2045,8.55,4.74,3.986878627
SN,AH,sutra,3181,8.55,4.77,3.986878627
SN,AH,sutra,1844,8.56,5.12,4.012112036
SN,AH,sutra,2582,8.56,4.24,4.012112036
SN,AH,sutra,1961,8.57,4.73,4.037345445
SN,AH,sutra,521,8.58,4.9,4.062578854
SN,AH,sutra,2674,8.59,4.42,4.087812263
SN,AH,sutra,364,8.6,5.23,4.113045672
SN,AH,sutra,2681,8.6,4.69,4.113045672
SN,AH,sutra,117,8.61,4.86,4.138279082
SN,AH,sutra,1136,8.61,4.37,4.138279082
SN,AH,sutra,2240,8.61,5.39,4.138279082
SN,AH,sutra,2570,8.61,4.3,4.138279082
SN,AH,sutra,6,8.62,4.95,4.163512491
SN,AH,sutra,731,8.62,4.65,4.163512491
SN,AH,sutra,402,8.63,4.63,4.1887459
SN,AH,sutra,1082,8.63,4.69,4.1887459
SN,AH,sutra,1133,8.63,4.5,4.1887459
SN,AH,sutra,1841,8.63,4.97,4.1887459
SN,AH,sutra,1849,8.63,5.55,4.1887459
SN,AH,sutra,1974,8.63,4.71,4.1887459
SN,AH,sutra,2168,8.63,5.32,4.1887459
SN,AH,sutra,369,8.64,4.69,4.213979309
SN,AH,sutra,1845,8.64,4.9,4.213979309
SN,AH,sutra,1980,8.64,4.78,4.213979309
SN,AH,sutra,1983,8.65,4.54,4.239212718
SN,AH,sutra,2688,8.65,4.54,4.239212718
SN,AH,sutra,642,8.66,4.95,4.264446127
SN,AH,sutra,1045,8.66,4.14,4.264446127
SN,AH,sutra,1197,8.66,4.44,4.264446127
SN,AH,sutra,2123,8.66,4.48,4.264446127
SN,AH,sutra,2305,8.66,5.08,4.264446127
SN,AH,sutra,2581,8.66,4.3,4.264446127
SN,AH,sutra,2706,8.67,4.33,4.289679536
SN,AH,sutra,2963,8.67,5.72,4.289679536
SN,AH,sutra,363,8.68,5.11,4.314912945
SN,AH,sutra,365,8.68,5.16,4.314912945
SN,AH,sutra,1146,8.68,4.12,4.314912945
SN,AH,sutra,1808,8.68,4.78,4.314912945
SN,AH,sutra,2964,8.68,5.69,4.314912945
SN,AH,sutra,382,8.69,4.91,4.340146354
SN,AH,sutra,444,8.69,4.79,4.340146354
SN,AH,sutra,647,8.69,5.09,4.340146354
SN,AH,sutra,1180,8.69,4.55,4.340146354
SN,AH,sutra,1811,8.69,4.64,4.340146354
SN,AH,sutra,1835,8.69,5.04,4.340146354
SN,AH,sutra,2161,8.69,5.04,4.340146354
SN,AH,sutra,2304,8.69,5,4.340146354
SN,AH,sutra,125,8.7,4.9,4.365379763
SN,AH,sutra,1046,8.7,4.06,4.365379763
SN,AH,sutra,2129,8.7,4.68,4.365379763
SN,AH,sutra,2257,8.7,4.86,4.365379763
SN,AH,sutra,975,8.71,5.22,4.390613172
SN,AH,sutra,651,8.72,5.52,4.415846581
SN,AH,sutra,674,8.72,4.37,4.415846581
SN,AH,sutra,2044,8.73,4.87,4.44107999
SN,AH,sutra,1178,8.74,4.57,4.466313399
SN,AH,sutra,1181,8.74,4.73,4.466313399
SN,AH,sutra,1972,8.74,4.67,4.466313399
SN,AH,sutra,1988,8.74,5.27,4.466313399
SN,AH,sutra,2484,8.74,4.53,4.466313399
SN,AH,sutra,839,8.75,5.01,4.491546808
SN,AH,sutra,2726,8.75,4.13,4.491546808
SN,AH,sutra,2807,8.75,5.08,4.491546808
SN,AH,sutra,447,8.76,4.76,4.516780217
SN,AH,sutra,1176,8.76,4.68,4.516780217
SN,AH,sutra,1177,8.76,4.63,4.516780217
SN,AH,sutra,1457,8.76,4.86,4.516780217
SN,AH,sutra,2729,8.76,3.94,4.516780217
SN,AH,sutra,2805,8.76,5.65,4.516780217
SN,AH,sutra,361,8.77,4.99,4.542013626
SN,AH,sutra,1807,8.77,4.87,4.542013626
SN,AH,sutra,1973,8.77,4.8,4.542013626
SN,AH,sutra,2169,8.77,5.45,4.542013626
SN,AH,sutra,726,8.78,4.41,4.567247035
