Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,uttara,2183,8.11,8.86,0
SN,AH,uttara,2529,8.19,8.75,0.065832785
SN,AH,uttara,2528,8.23,8.8,0.098749177
SN,AH,uttara,2533,8.32,9.25,0.17281106
SN,AH,uttara,3413,8.37,9.47,0.21395655
SN,AH,uttara,3416,8.39,9.3,0.230414747
SN,AH,uttara,2531,8.4,9.33,0.238643845
SN,AH,uttara,2187,8.42,8.88,0.255102041
SN,AH,uttara,3876,8.43,9.19,0.263331139
SN,AH,uttara,3177,8.46,8.54,0.288018433
SN,AH,uttara,3880,8.48,9,0.304476629
SN,AH,uttara,2530,8.53,9.07,0.34562212
SN,AH,uttara,3181,8.53,8.43,0.34562212
SN,AH,uttara,3877,8.54,9.12,0.353851218
SN,AH,uttara,2534,8.55,9.42,0.362080316
SN,AH,uttara,3415,8.55,9.38,0.362080316
SN,AH,uttara,2105,8.57,7.99,0.378538512
SN,AH,uttara,2532,8.58,9.3,0.38676761
SN,AH,uttara,3882,8.6,9.34,0.403225806
SN,AH,uttara,4011,8.6,7.77,0.403225806
SN,AH,uttara,1019,8.62,8.62,0.419684003
SN,AH,uttara,1436,8.64,7.77,0.436142199
SN,AH,uttara,1421,8.66,8.18,0.452600395
SN,AH,uttara,3881,8.66,9.16,0.452600395
SN,AH,uttara,3175,8.67,8.56,0.460829493
SN,AH,uttara,3176,8.67,8.61,0.460829493
SN,AH,uttara,3182,8.68,8.44,0.469058591
SN,AH,uttara,3412,8.7,9.72,0.485516787
SN,AH,uttara,4012,8.71,7.94,0.493745885
SN,AH,uttara,2836,8.72,9.33,0.501974984
SN,AH,uttara,3879,8.73,9.21,0.510204082
SN,AH,uttara,755,8.74,9.3,0.51843318
SN,AH,uttara,2184,8.74,8.58,0.51843318
SN,AH,uttara,753,8.75,8.81,0.526662278
SN,AH,uttara,2106,8.75,7.84,0.526662278
SN,AH,uttara,1178,8.76,7.76,0.534891376
SN,AH,uttara,2185,8.76,8.73,0.534891376
SN,AH,uttara,3173,8.77,8.73,0.543120474
SN,AH,uttara,1416,8.78,8.93,0.551349572
SN,AH,uttara,2182,8.78,8.87,0.551349572
SN,AH,uttara,4342,8.78,8.1,0.551349572
