Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,nidana,731,11.48,13.13
SN,AS,nidana,730,11.74,13.95
SN,AS,nidana,1394,11.93,15.79
SN,AS,nidana,1393,11.94,15.09
SN,AS,nidana,1530,11.97,14.3
SN,AS,nidana,1392,11.98,15.19
SN,AS,nidana,1079,12.12,13.22
SN,AS,nidana,1531,12.12,13.86
SN,AS,nidana,1075,12.16,13.64
SN,AS,nidana,1528,12.18,14.75
SN,AS,nidana,1086,12.2,13.83
SN,AS,nidana,1074,12.22,13.58
SN,AS,nidana,1396,12.25,15.45
SN,AS,nidana,1082,12.26,14.14
SN,AS,nidana,1395,12.26,15.66
SN,AS,nidana,518,12.28,15.22
SN,AS,nidana,1087,12.28,14.25
SN,AS,nidana,1147,12.29,13.87
SN,AS,nidana,732,12.31,11.44
SN,AS,nidana,596,12.32,14.95
SN,AS,nidana,519,12.33,15.32
SN,AS,nidana,520,12.35,15.66
SN,AS,nidana,248,12.38,13.01
SN,AS,nidana,517,12.38,15.29
SN,AS,nidana,729,12.39,14.7
SN,AS,nidana,1529,12.39,14.19
SN,AS,nidana,894,12.41,14.08
SN,AS,nidana,1083,12.41,13.78
SN,AS,nidana,1085,12.41,14.26
SN,AS,nidana,1089,12.42,15.49
SN,AS,nidana,1067,12.43,10.96
SN,AS,nidana,522,12.45,15.59
SN,AS,nidana,1081,12.48,12.75
SN,AS,nidana,521,12.53,15.88
SN,AS,nidana,249,12.54,13.21
SN,AS,nidana,523,12.54,15.29
SN,AS,nidana,1084,12.54,13.65
SN,AS,nidana,1088,12.54,14.7
SN,AS,nidana,1148,12.54,13.44
SN,AS,nidana,1152,12.54,15.29
SN,AS,nidana,1071,12.56,11.39
SN,AS,nidana,178,12.57,15.2
SN,AS,nidana,1073,12.58,13.28
SN,AS,nidana,1059,12.59,14.18
SN,AS,nidana,1070,12.6,10.93
SN,AS,nidana,1076,12.6,13.78
SN,AS,nidana,1056,12.61,13.52
SN,AS,nidana,1080,12.62,13.66
SN,AS,nidana,1293,12.62,15.59
SN,AS,nidana,1391,12.62,16.21
SN,AS,nidana,1398,12.62,16
SN,AS,nidana,1055,12.66,13.55
SN,AS,nidana,1133,12.66,16.27
SN,AS,nidana,1072,12.67,12.96
SN,AS,nidana,180,12.68,15.02
SN,AS,nidana,895,12.68,14.36
SN,AS,nidana,1065,12.71,11.12
SN,AS,nidana,1397,12.71,16.24
SN,AS,nidana,1151,12.72,15.59
SN,AS,nidana,1146,12.74,15.2
SN,AS,nidana,893,12.75,13.89
SN,AS,nidana,1389,12.75,16.4
SN,AS,nidana,1058,12.77,14.11
SN,AS,nidana,251,12.78,13.39
SN,AS,nidana,1078,12.78,13.6
SN,AS,nidana,591,12.79,17.17
SN,AS,nidana,1057,12.79,13.26
SN,AS,nidana,1292,12.79,15.95
SN,AS,nidana,378,12.8,17.26
SN,AS,nidana,1068,12.8,10.6
SN,AS,nidana,250,12.81,13
SN,AS,nidana,892,12.81,12.37
SN,AS,nidana,1062,12.82,13.85
SN,AS,nidana,1063,12.82,13.52
SN,AS,nidana,595,12.83,16.26
SN,AS,nidana,728,12.83,15
SN,AS,nidana,357,12.84,14.85
SN,AS,nidana,176,12.85,15.79
SN,AS,nidana,179,12.85,15.33
SN,AS,nidana,247,12.85,12.93
SN,AS,nidana,1066,12.85,10.45
SN,AS,nidana,1061,12.86,13.88
SN,AS,nidana,587,12.88,17.12
SN,AS,nidana,1390,12.88,15.78
SN,AS,nidana,477,12.9,17.29
SN,AS,nidana,1416,12.9,16.47
SN,AS,nidana,1153,12.91,15.67
SN,AS,nidana,734,12.92,10.04
SN,AS,nidana,118,12.93,14.67
SN,AS,nidana,377,12.94,16.83
SN,AS,nidana,1294,12.95,15.59
SN,AS,nidana,1077,12.96,13.56
SN,AS,nidana,700,12.97,15.8
SN,AS,nidana,1127,12.97,17.24
SN,AS,nidana,1388,12.97,16.37
SN,AS,nidana,1414,12.97,16.71
SN,AS,nidana,1051,12.99,13.49
SN,AS,nidana,733,13,11.83
SN,AS,nidana,1483,13,16.44
SN,AS,nidana,109,13.01,12.22
SN,AS,nidana,177,13.01,15.57
SN,AS,nidana,718,13.01,16.39
SN,AS,nidana,1069,13.01,11.01
SN,AS,nidana,699,13.02,15.96
SN,AS,nidana,1124,13.02,16.75
SN,AS,nidana,1060,13.03,13.64
SN,AS,nidana,1412,13.04,17.13
SN,AS,nidana,1415,13.04,17.19
SN,AS,nidana,120,13.05,16.27
SN,AS,nidana,1064,13.05,12.26
SN,AS,nidana,1120,13.05,17.77
SN,AS,nidana,1150,13.06,15.28
SN,AS,nidana,1291,13.06,16.05
SN,AS,nidana,1132,13.07,16.92
SN,AS,nidana,1167,13.08,16.48
SN,AS,nidana,1290,13.09,16.24
SN,AS,nidana,524,13.1,15.72
SN,AS,nidana,1134,13.1,16.56
SN,AS,nidana,198,13.11,16.93
SN,AS,nidana,252,13.11,13.81
SN,AS,nidana,1527,13.11,15.08
SN,AS,nidana,594,13.12,17.7
SN,AS,nidana,108,13.13,12.35
SN,AS,nidana,478,13.13,17.76
SN,AS,nidana,696,13.13,16.16
SN,AS,nidana,679,13.14,12.82
SN,AS,nidana,1135,13.14,16.59
SN,AS,nidana,1119,13.15,17.45
SN,AS,nidana,1479,13.15,17.14
SN,AS,nidana,593,13.17,17.71
SN,AS,nidana,175,13.19,15.49
SN,AS,nidana,697,13.19,16.33
SN,AS,nidana,698,13.19,15.65
SN,AS,nidana,1126,13.19,17.16
SN,AS,nidana,1128,13.19,17.16
SN,AS,nidana,1289,13.19,17.08
SN,AS,nidana,316,13.2,16.75
SN,AS,nidana,246,13.21,12.74
SN,AS,nidana,1122,13.21,17.88
SN,AS,nidana,197,13.22,17.52
SN,AS,nidana,1121,13.23,17.91
SN,AS,nidana,317,13.25,16.78
SN,AS,nidana,1399,13.25,16.61
SN,AS,nidana,1052,13.26,13.25
SN,AS,nidana,111,13.27,12.24
SN,AS,nidana,318,13.27,16.82
SN,AS,nidana,93,13.28,14.52
SN,AS,nidana,717,13.28,16.93
SN,AS,nidana,885,13.28,10.81
SN,AS,nidana,1296,13.28,16.06
SN,AS,nidana,199,13.29,16.82
SN,AS,nidana,200,13.29,17.25
SN,AS,nidana,1526,13.29,15.23
SN,AS,nidana,375,13.3,17.29
SN,AS,nidana,896,13.3,15.44
SN,AS,nidana,1480,13.3,17.51
SN,AS,nidana,716,13.31,16.59
SN,AS,nidana,1166,13.31,15.88
SN,AS,nidana,1516,13.31,14.67
SN,AS,nidana,897,13.32,15.87
SN,AS,nidana,1054,13.32,13.43
SN,AS,nidana,1413,13.32,17.78
SN,AS,nidana,1411,13.33,17.18
SN,AS,nidana,121,13.34,16.66
SN,AS,nidana,379,13.34,17.55
SN,AS,nidana,592,13.34,17.49
SN,AS,nidana,1170,13.34,17.68
SN,AS,nidana,112,13.36,12.34
SN,AS,nidana,1484,13.37,16.49
SN,AS,nidana,94,13.39,13.52
SN,AS,nidana,245,13.39,11.71
SN,AS,nidana,1387,13.39,17.01
SN,AS,nidana,380,13.4,17.31
SN,AS,nidana,1482,13.41,17.01
SN,AS,nidana,1499,13.41,15.79
SN,AS,nidana,1532,13.42,13.68
SN,AS,nidana,196,13.43,16.72
SN,AS,nidana,1383,13.43,16.17
SN,AS,nidana,677,13.44,12.09
SN,AS,nidana,1266,13.46,16.66
SN,AS,nidana,116,13.47,13.19
SN,AS,nidana,376,13.47,17.3
SN,AS,nidana,585,13.47,17.61
SN,AS,nidana,588,13.47,17.85
SN,AS,nidana,694,13.47,16.37
SN,AS,nidana,695,13.47,16.37
SN,AS,nidana,1149,13.48,15.1
SN,AS,nidana,1168,13.48,17.25
SN,AS,nidana,1533,13.48,13.58
SN,AS,nidana,110,13.49,12.35
SN,AS,nidana,119,13.49,16.13
SN,AS,nidana,1428,13.49,15.31
SN,AS,nidana,95,13.5,13.41
SN,AS,nidana,187,13.5,15.19
SN,AS,nidana,371,13.5,16.86
SN,AS,nidana,586,13.5,17.48
SN,AS,nidana,887,13.5,12.13
SN,AS,nidana,1417,13.5,17.27
SN,AS,nidana,1481,13.5,17.21
SN,AS,nidana,1477,13.51,17.89
SN,AS,nidana,86,13.52,14.97
SN,AS,nidana,476,13.52,17.63
SN,AS,nidana,1505,13.52,15.14
SN,AS,nidana,886,13.53,11.34
SN,AS,nidana,356,13.54,13.96
SN,AS,nidana,727,13.54,16.52
SN,AS,nidana,1262,13.54,16.05
SN,AS,nidana,1525,13.54,15.18
SN,AS,nidana,1534,13.54,13.33
SN,AS,nidana,340,13.55,10.53
SN,AS,nidana,1384,13.55,16.56
SN,AS,nidana,117,13.56,13.73
SN,AS,nidana,1014,13.56,14.2
SN,AS,nidana,1169,13.56,17.67
SN,AS,nidana,1478,13.56,17.77
SN,AS,nidana,107,13.57,12.41
SN,AS,nidana,581,13.58,17.78
SN,AS,nidana,1090,13.58,16.07
SN,AS,nidana,1297,13.58,15.89
SN,AS,nidana,590,13.59,17.57
SN,AS,nidana,1129,13.59,17.5
SN,AS,nidana,1287,13.59,16.58
SN,AS,nidana,1403,13.59,16.93
SN,AS,nidana,1443,13.59,12.04
SN,AS,nidana,372,13.6,17.02
SN,AS,nidana,381,13.6,17.76
SN,AS,nidana,182,13.62,15.99
SN,AS,nidana,186,13.62,15.09
SN,AS,nidana,1130,13.62,17.32
SN,AS,nidana,1154,13.62,15.78
SN,AS,nidana,355,13.63,12.59
SN,AS,nidana,597,13.64,13.32
SN,AS,nidana,113,13.65,12.29
SN,AS,nidana,382,13.65,17.67
SN,AS,nidana,1418,13.65,17.36
SN,AS,nidana,726,13.66,17.38
SN,AS,nidana,1265,13.66,16.33
SN,AS,nidana,1386,13.66,16.96
SN,AS,nidana,1013,13.67,14.53
SN,AS,nidana,87,13.68,16.54
SN,AS,nidana,183,13.68,16.06
SN,AS,nidana,984,13.68,13.36
SN,AS,nidana,253,13.69,13.9
SN,AS,nidana,1050,13.69,13.91
SN,AS,nidana,242,13.7,13.38
SN,AS,nidana,1016,13.7,14.49
SN,AS,nidana,1524,13.7,14.82
SN,AS,nidana,114,13.71,12.57
SN,AS,nidana,122,13.71,16.6
SN,AS,nidana,181,13.71,16.36
SN,AS,nidana,1268,13.72,16.42
SN,AS,nidana,1269,13.72,16.42
SN,AS,nidana,1286,13.72,16.33
SN,AS,nidana,115,13.73,13.02
SN,AS,nidana,241,13.73,13.41
SN,AS,nidana,319,13.73,16.55
SN,AS,nidana,1257,13.73,16.04
SN,AS,nidana,1327,13.73,12.82
SN,AS,nidana,1426,13.73,16.1
SN,AS,nidana,1485,13.73,16.42
SN,AS,nidana,724,13.74,16.93
SN,AS,nidana,1160,13.74,15.75
SN,AS,nidana,701,13.75,15.83
SN,AS,nidana,891,13.75,11.6
SN,AS,nidana,1295,13.75,16.34
SN,AS,nidana,1385,13.76,16.63
SN,AS,nidana,1419,13.76,17.35
SN,AS,nidana,1536,13.76,13.85
SN,AS,nidana,321,13.77,15.92
SN,AS,nidana,1125,13.77,17.83
SN,AS,nidana,308,13.78,17.57
SN,AS,nidana,725,13.78,17.43
SN,AS,nidana,85,13.79,14.18
SN,AS,nidana,320,13.79,16.34
SN,AS,nidana,890,13.79,11.88
SN,AS,nidana,1053,13.79,13.04
SN,AS,nidana,1123,13.79,18
SN,AS,nidana,1288,13.8,17.49
SN,AS,nidana,1500,13.8,15.57
SN,AS,nidana,1176,13.81,18.25
SN,AS,nidana,1444,13.82,12.18
SN,AS,nidana,676,13.83,11.74
SN,AS,nidana,1118,13.83,17.92
SN,AS,nidana,91,13.84,16.02
SN,AS,nidana,442,13.84,15.71
SN,AS,nidana,983,13.84,13.25
SN,AS,nidana,1165,13.84,15.64
SN,AS,nidana,1253,13.84,16.6
SN,AS,nidana,195,13.85,17.15
SN,AS,nidana,1402,13.85,17.24
SN,AS,nidana,88,13.86,17.12
SN,AS,nidana,1164,13.86,15.58
SN,AS,nidana,1312,13.86,17.02
SN,AS,nidana,1092,13.87,16.77
SN,AS,nidana,1313,13.87,15.43
SN,AS,nidana,1329,13.87,12.72
SN,AS,nidana,1093,13.88,17.33
SN,AS,nidana,358,13.89,15.45
SN,AS,nidana,580,13.89,18.11
SN,AS,nidana,1131,13.89,17.38
SN,AS,nidana,201,13.9,17.61
SN,AS,nidana,1285,13.9,16.25
SN,AS,nidana,374,13.91,17.51
SN,AS,nidana,441,13.91,15.97
SN,AS,nidana,1095,13.91,16.88
SN,AS,nidana,1326,13.91,12.99
SN,AS,nidana,709,13.92,16.96
SN,AS,nidana,719,13.92,17.12
SN,AS,nidana,1261,13.92,16.39
SN,AS,nidana,309,13.93,17.17
SN,AS,nidana,692,13.93,17.34
SN,AS,nidana,1515,13.93,16.15
SN,AS,nidana,1048,13.94,13.5
SN,AS,nidana,322,13.95,15.02
SN,AS,nidana,1311,13.95,16.92
SN,AS,nidana,1501,13.95,15.93
SN,AS,nidana,1517,13.95,15.16
SN,AS,nidana,352,13.96,11.49
SN,AS,nidana,481,13.97,17.31
SN,AS,nidana,721,13.97,16.58
SN,AS,nidana,1099,13.97,17.43
SN,AS,nidana,370,13.98,17.57
SN,AS,nidana,589,13.98,18.09
SN,AS,nidana,680,13.98,13.05
SN,AS,nidana,1049,13.98,13.67
SN,AS,nidana,1498,13.98,15.68
SN,AS,nidana,354,13.99,11.57
SN,AS,nidana,1101,13.99,16.95
SN,AS,nidana,92,14,15.89
SN,AS,nidana,1096,14,16.84
SN,AS,nidana,1175,14,18.56
SN,AS,nidana,1105,14.01,16.78
SN,AS,nidana,1538,14.01,13.89
SN,AS,nidana,1236,14.02,16.56
SN,AS,nidana,106,14.03,11.75
SN,AS,nidana,243,14.03,12.85
SN,AS,nidana,985,14.04,13.4
SN,AS,nidana,1155,14.05,16.09
SN,AS,nidana,1476,14.05,16.64
SN,AS,nidana,348,14.06,10.88
SN,AS,nidana,723,14.06,17.25
SN,AS,nidana,1145,14.06,16.07
SN,AS,nidana,1252,14.06,15.92
SN,AS,nidana,387,14.07,18.1
SN,AS,nidana,678,14.07,12.37
SN,AS,nidana,1537,14.07,14.46
SN,AS,nidana,584,14.08,18.15
SN,AS,nidana,898,14.08,17.68
SN,AS,nidana,1251,14.08,16.07
SN,AS,nidana,105,14.09,11.4
SN,AS,nidana,170,14.09,16.52
SN,AS,nidana,194,14.09,17.02
SN,AS,nidana,711,14.09,16.66
SN,AS,nidana,174,14.1,16.04
SN,AS,nidana,888,14.1,12.55
SN,AS,nidana,1102,14.1,17.49
SN,AS,nidana,1442,14.1,12.65
SN,AS,nidana,1270,14.11,15.57
SN,AS,nidana,96,14.12,13.17
SN,AS,nidana,1298,14.12,16.33
SN,AS,nidana,1382,14.12,16.62
SN,AS,nidana,103,14.13,11.06
SN,AS,nidana,1178,14.13,18.39
SN,AS,nidana,102,14.14,11.32
SN,AS,nidana,1328,14.14,12.76
SN,AS,nidana,1546,14.14,15.32
SN,AS,nidana,350,14.15,10.95
SN,AS,nidana,1100,14.15,16.3
SN,AS,nidana,1161,14.16,15.47
SN,AS,nidana,1267,14.16,16.76
SN,AS,nidana,1547,14.17,15.92
SN,AS,nidana,479,14.18,17.79
SN,AS,nidana,1180,14.18,18.48
SN,AS,nidana,1260,14.18,16.86
SN,AS,nidana,1549,14.18,16.42
SN,AS,nidana,89,14.19,16.48
SN,AS,nidana,373,14.19,18.53
SN,AS,nidana,1156,14.19,15.8
SN,AS,nidana,1157,14.19,15.8
SN,AS,nidana,104,14.2,11.21
SN,AS,nidana,341,14.2,11.28
SN,AS,nidana,185,14.21,14.98
SN,AS,nidana,191,14.21,16.12
SN,AS,nidana,1179,14.21,18.26
SN,AS,nidana,1502,14.21,15.8
SN,AS,nidana,351,14.22,11.55
SN,AS,nidana,1177,14.22,18.55
SN,AS,nidana,1545,14.22,15.53
SN,AS,nidana,671,14.23,12.51
SN,AS,nidana,1541,14.23,16.1
SN,AS,nidana,1429,14.24,13.97
SN,AS,nidana,188,14.25,15.38
SN,AS,nidana,349,14.26,11.1
SN,AS,nidana,455,14.26,16
SN,AS,nidana,475,14.26,18.08
SN,AS,nidana,525,14.26,16.07
SN,AS,nidana,1098,14.26,17.71
SN,AS,nidana,1314,14.26,13.48
SN,AS,nidana,388,14.27,18.06
SN,AS,nidana,889,14.27,12.52
SN,AS,nidana,1331,14.27,11.73
SN,AS,nidana,1427,14.27,15.31
SN,AS,nidana,169,14.28,17.01
SN,AS,nidana,189,14.28,15.84
SN,AS,nidana,240,14.28,15.23
SN,AS,nidana,369,14.28,17.35
SN,AS,nidana,1208,14.29,12.77
SN,AS,nidana,1225,14.29,15.2
SN,AS,nidana,1379,14.29,17.22
SN,AS,nidana,722,14.3,16.68
SN,AS,nidana,1097,14.3,17.45
SN,AS,nidana,1235,14.3,16.36
SN,AS,nidana,1256,14.3,16.75
SN,AS,nidana,1330,14.3,11.78
SN,AS,nidana,1380,14.3,16.9
SN,AS,nidana,1420,14.3,17.46
SN,AS,nidana,1474,14.3,17.14
SN,AS,nidana,980,14.31,10.72
SN,AS,nidana,1540,14.31,14.96
SN,AS,nidana,1324,14.33,12.49
SN,AS,nidana,1506,14.33,15.63
SN,AS,nidana,1159,14.34,15.82
SN,AS,nidana,1181,14.34,18.49
SN,AS,nidana,1182,14.34,18.56
SN,AS,nidana,712,14.35,16.46
SN,AS,nidana,1319,14.35,11.92
SN,AS,nidana,669,14.36,12.45
SN,AS,nidana,720,14.36,16.78
SN,AS,nidana,1018,14.36,14.53
SN,AS,nidana,1318,14.36,11.62
SN,AS,nidana,1015,14.37,14.69
SN,AS,nidana,1263,14.37,15.76
SN,AS,nidana,1378,14.37,17.77
SN,AS,nidana,1445,14.37,11.38
SN,AS,nidana,100,14.38,11.96
SN,AS,nidana,172,14.38,15.85
SN,AS,nidana,244,14.38,12.79
SN,AS,nidana,338,14.38,10.15
SN,AS,nidana,486,14.38,17.68
SN,AS,nidana,347,14.39,12.35
SN,AS,nidana,1518,14.39,15.22
SN,AS,nidana,192,14.41,16.01
SN,AS,nidana,193,14.41,16.61
SN,AS,nidana,344,14.41,11.47
SN,AS,nidana,735,14.41,9.43
SN,AS,nidana,1320,14.41,12.24
SN,AS,nidana,1334,14.41,12.1
SN,AS,nidana,101,14.42,11.85
SN,AS,nidana,315,14.42,17.52
SN,AS,nidana,1206,14.42,13.08
SN,AS,nidana,1401,14.42,17.57
SN,AS,nidana,353,14.43,11.09
SN,AS,nidana,1503,14.43,15.48
SN,AS,nidana,1249,14.44,16.61
SN,AS,nidana,1259,14.44,16.34
SN,AS,nidana,1475,14.44,17.03
SN,AS,nidana,254,14.45,14.25
SN,AS,nidana,343,14.45,11.18
SN,AS,nidana,674,14.45,12.02
SN,AS,nidana,926,14.45,18.23
SN,AS,nidana,1174,14.45,18.99
SN,AS,nidana,1278,14.45,14.94
SN,AS,nidana,304,14.46,16.78
SN,AS,nidana,1091,14.46,17.34
SN,AS,nidana,1486,14.46,16.29
SN,AS,nidana,1535,14.46,13.72
SN,AS,nidana,97,14.47,12.79
SN,AS,nidana,516,14.47,16.45
SN,AS,nidana,1158,14.47,16.09
SN,AS,nidana,1237,14.47,16.45
SN,AS,nidana,715,14.48,16.76
SN,AS,nidana,1108,14.48,18.48
SN,AS,nidana,90,14.49,15.96
SN,AS,nidana,311,14.49,17.63
SN,AS,nidana,884,14.49,9.12
SN,AS,nidana,903,14.49,16.59
SN,AS,nidana,1264,14.49,15.57
SN,AS,nidana,1277,14.49,15.12
SN,AS,nidana,474,14.5,18.48
SN,AS,nidana,1226,14.5,17.64
SN,AS,nidana,1321,14.5,12.73
SN,AS,nidana,672,14.51,12.15
SN,AS,nidana,675,14.52,11.6
SN,AS,nidana,1144,14.52,16.57
SN,AS,nidana,693,14.53,17.43
SN,AS,nidana,1140,14.53,17.45
SN,AS,nidana,1104,14.54,17.24
SN,AS,nidana,1250,14.54,16.86
SN,AS,nidana,1504,14.54,15.62
SN,AS,nidana,473,14.55,18.63
SN,AS,nidana,485,14.55,17.79
SN,AS,nidana,899,14.55,17.82
SN,AS,nidana,902,14.55,16.7
SN,AS,nidana,1143,14.55,16.29
SN,AS,nidana,1204,14.55,13.02
SN,AS,nidana,1255,14.57,17.09
SN,AS,nidana,1325,14.57,13.43
SN,AS,nidana,480,14.58,17.87
SN,AS,nidana,1207,14.58,13.16
SN,AS,nidana,1400,14.58,17.16
SN,AS,nidana,58,14.59,12.12
SN,AS,nidana,342,14.59,11.44
SN,AS,nidana,301,14.6,16.22
