Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,sutra,5212,16.17,6.15
SN,AS,sutra,4561,16.43,6.49
SN,AS,sutra,4562,16.54,6.58
SN,AS,sutra,3658,16.61,6.46
SN,AS,sutra,5213,16.68,6.3
SN,AS,sutra,5689,16.75,6.65
SN,AS,sutra,3657,16.76,6.6
SN,AS,sutra,4738,16.85,7.41
SN,AS,sutra,5211,16.96,6.57
SN,AS,sutra,4563,16.97,6.67
SN,AS,sutra,3660,17.01,6.64
SN,AS,sutra,4564,17.01,7.6
SN,AS,sutra,3656,17.03,6.56
SN,AS,sutra,4737,17.09,8.5
SN,AS,sutra,4565,17.1,7.32
SN,AS,sutra,3659,17.21,6.58
SN,AS,sutra,4560,17.31,6.88
SN,AS,sutra,4736,17.38,8.25
SN,AS,sutra,4559,17.39,7.11
SN,AS,sutra,5209,17.43,7.61
SN,AS,sutra,4739,17.45,8.05
SN,AS,sutra,2054,17.46,6.61
SN,AS,sutra,3663,17.46,6.68
SN,AS,sutra,2053,17.49,6.49
SN,AS,sutra,4505,17.49,7.63
SN,AS,sutra,2057,17.54,6.67
SN,AS,sutra,4567,17.54,8.93
SN,AS,sutra,2056,17.55,6.64
SN,AS,sutra,3655,17.55,6.98
SN,AS,sutra,4744,17.56,6.54
SN,AS,sutra,4504,17.57,7.81
SN,AS,sutra,5214,17.58,6.63
SN,AS,sutra,5687,17.58,8.66
SN,AS,sutra,5688,17.62,7.34
SN,AS,sutra,5210,17.63,7.48
SN,AS,sutra,2277,17.65,8.5
SN,AS,sutra,2278,17.65,9.36
SN,AS,sutra,2275,17.68,7.02
SN,AS,sutra,4879,17.68,6.78
SN,AS,sutra,5208,17.68,7.72
SN,AS,sutra,2279,17.69,9.76
SN,AS,sutra,2052,17.75,7.04
SN,AS,sutra,4503,17.78,7.68
SN,AS,sutra,2276,17.81,7.34
SN,AS,sutra,760,17.84,10.62
SN,AS,sutra,4882,17.85,6.77
SN,AS,sutra,5611,17.85,7.78
SN,AS,sutra,3156,17.86,6.7
SN,AS,sutra,4880,17.86,7.12
SN,AS,sutra,470,17.9,8.53
SN,AS,sutra,2055,17.9,6.8
SN,AS,sutra,3661,17.9,6.84
SN,AS,sutra,3664,17.9,6.78
SN,AS,sutra,3662,17.91,6.85
SN,AS,sutra,5591,17.94,7.39
SN,AS,sutra,5600,17.99,11.21
SN,AS,sutra,765,18.04,9.88
SN,AS,sutra,5690,18.04,6.98
SN,AS,sutra,2050,18.05,8.91
SN,AS,sutra,2323,18.05,7.05
SN,AS,sutra,5216,18.08,6.79
SN,AS,sutra,3155,18.11,6.81
SN,AS,sutra,4568,18.11,9.52
SN,AS,sutra,4881,18.11,6.92
SN,AS,sutra,4732,18.12,9.53
SN,AS,sutra,3654,18.13,7.1
SN,AS,sutra,5592,18.13,8.16
SN,AS,sutra,4569,18.15,11.51
SN,AS,sutra,764,18.17,9.46
SN,AS,sutra,5207,18.18,8.3
SN,AS,sutra,5612,18.19,7.25
SN,AS,sutra,2322,18.2,6.66
SN,AS,sutra,4558,18.21,7.79
SN,AS,sutra,4566,18.22,8.47
SN,AS,sutra,4740,18.22,9.12
SN,AS,sutra,4743,18.23,6.88
SN,AS,sutra,5219,18.23,7.09
SN,AS,sutra,2048,18.24,11.03
SN,AS,sutra,4093,18.24,7.48
SN,AS,sutra,5677,18.24,6.63
SN,AS,sutra,2047,18.25,10.71
SN,AS,sutra,4557,18.26,8.35
SN,AS,sutra,4878,18.26,7.07
SN,AS,sutra,761,18.27,11.88
SN,AS,sutra,2321,18.27,6.59
SN,AS,sutra,2274,18.28,6.97
SN,AS,sutra,4092,18.28,7.97
SN,AS,sutra,5215,18.3,6.73
SN,AS,sutra,466,18.31,6.95
SN,AS,sutra,2280,18.32,10.38
SN,AS,sutra,4502,18.32,8.05
SN,AS,sutra,4884,18.35,6.89
SN,AS,sutra,1587,18.36,10.31
SN,AS,sutra,4886,18.37,7.12
SN,AS,sutra,758,18.38,11.1
SN,AS,sutra,4741,18.38,8.78
SN,AS,sutra,762,18.41,10.92
SN,AS,sutra,4730,18.41,7.95
SN,AS,sutra,5582,18.41,6.43
SN,AS,sutra,4727,18.44,6.63
SN,AS,sutra,2049,18.46,10.21
SN,AS,sutra,465,18.47,6.62
SN,AS,sutra,4742,18.47,7.39
SN,AS,sutra,5574,18.47,6.51
SN,AS,sutra,3077,18.5,11.76
SN,AS,sutra,759,18.51,11.38
SN,AS,sutra,4390,18.51,7.6
SN,AS,sutra,2051,18.54,8.07
SN,AS,sutra,3159,18.55,7.06
SN,AS,sutra,3653,18.55,7.5
SN,AS,sutra,5217,18.55,7.07
SN,AS,sutra,2059,18.56,7.53
SN,AS,sutra,5218,18.56,7.11
SN,AS,sutra,1477,18.57,7.42
SN,AS,sutra,2058,18.57,7.1
SN,AS,sutra,5601,18.58,11.61
SN,AS,sutra,5613,18.59,7.16
SN,AS,sutra,469,18.6,7.76
SN,AS,sutra,4570,18.6,11.95
SN,AS,sutra,5614,18.61,7.29
SN,AS,sutra,763,18.62,10.58
SN,AS,sutra,4445,18.63,6.93
SN,AS,sutra,4391,18.65,7.53
SN,AS,sutra,5458,18.66,8.29
SN,AS,sutra,464,18.67,6.66
SN,AS,sutra,4506,18.68,7.68
SN,AS,sutra,4094,18.69,7.17
SN,AS,sutra,570,18.7,12.51
SN,AS,sutra,4731,18.7,8.91
SN,AS,sutra,1588,18.71,11.64
SN,AS,sutra,5581,18.71,6.47
SN,AS,sutra,4885,18.72,7.05
SN,AS,sutra,5678,18.75,7.47
SN,AS,sutra,3365,18.77,6.78
SN,AS,sutra,5720,18.77,7.08
SN,AS,sutra,2544,18.79,8.62
SN,AS,sutra,3157,18.8,7.08
SN,AS,sutra,5548,18.81,7.51
SN,AS,sutra,5593,18.81,9.03
SN,AS,sutra,3158,18.83,7.04
SN,AS,sutra,4389,18.83,8.01
SN,AS,sutra,5608,18.83,11.92
SN,AS,sutra,4444,18.85,7.11
SN,AS,sutra,2232,18.86,9.71
SN,AS,sutra,4809,18.86,7.04
SN,AS,sutra,4811,18.87,7.28
SN,AS,sutra,5609,18.87,11.3
SN,AS,sutra,5206,18.88,8.93
SN,AS,sutra,5546,18.88,7.81
SN,AS,sutra,5549,18.89,7.46
SN,AS,sutra,3161,18.9,6.83
SN,AS,sutra,3652,18.9,8.15
SN,AS,sutra,1478,18.91,7.08
SN,AS,sutra,4733,18.93,10.25
SN,AS,sutra,2273,18.94,6.92
SN,AS,sutra,5545,18.96,7.55
SN,AS,sutra,5719,18.96,6.99
SN,AS,sutra,3079,18.97,10.14
SN,AS,sutra,3651,18.97,6.66
SN,AS,sutra,1820,18.98,7.31
SN,AS,sutra,3084,18.98,7.21
SN,AS,sutra,1821,18.99,7.17
SN,AS,sutra,5584,19,6.54
SN,AS,sutra,4394,19.01,7.85
SN,AS,sutra,5544,19.01,7.21
SN,AS,sutra,2228,19.02,7
SN,AS,sutra,3078,19.02,10.79
SN,AS,sutra,4887,19.02,7.08
SN,AS,sutra,2319,19.04,6.91
SN,AS,sutra,1589,19.05,11.67
SN,AS,sutra,5599,19.06,11.25
SN,AS,sutra,2281,19.07,12.11
SN,AS,sutra,2227,19.08,7.03
SN,AS,sutra,4883,19.08,6.88
SN,AS,sutra,4338,19.09,9.83
SN,AS,sutra,4339,19.09,10.01
SN,AS,sutra,4810,19.09,7.23
SN,AS,sutra,5594,19.09,9.43
SN,AS,sutra,5595,19.09,10.02
SN,AS,sutra,5610,19.09,8.78
SN,AS,sutra,4828,19.1,8.54
SN,AS,sutra,4869,19.11,6.99
SN,AS,sutra,4728,19.12,6.77
SN,AS,sutra,5580,19.12,6.76
SN,AS,sutra,4443,19.13,7.37
SN,AS,sutra,766,19.14,12.02
SN,AS,sutra,5590,19.14,7.46
SN,AS,sutra,461,19.15,6.77
SN,AS,sutra,757,19.15,11.52
SN,AS,sutra,4877,19.15,8.02
SN,AS,sutra,471,19.18,9.1
SN,AS,sutra,770,19.18,12.2
SN,AS,sutra,1476,19.18,8.53
SN,AS,sutra,2248,19.18,10.46
SN,AS,sutra,3160,19.18,6.92
SN,AS,sutra,4729,19.18,7.32
SN,AS,sutra,5550,19.18,7.66
SN,AS,sutra,4442,19.19,7.4
SN,AS,sutra,463,19.2,6.65
SN,AS,sutra,4726,19.2,6.74
SN,AS,sutra,462,19.21,6.65
SN,AS,sutra,2229,19.21,7.53
SN,AS,sutra,4501,19.21,8.52
SN,AS,sutra,4827,19.21,8.49
SN,AS,sutra,4089,19.22,12.08
SN,AS,sutra,4095,19.22,7.09
SN,AS,sutra,2230,19.24,7.95
SN,AS,sutra,5676,19.24,7.08
SN,AS,sutra,4392,19.25,7.45
SN,AS,sutra,467,19.26,7.36
SN,AS,sutra,4547,19.26,7.42
SN,AS,sutra,4393,19.27,7.88
SN,AS,sutra,4888,19.27,6.95
SN,AS,sutra,5462,19.27,8.3
SN,AS,sutra,5602,19.29,12.67
SN,AS,sutra,5685,19.29,8.75
SN,AS,sutra,5686,19.29,8.53
SN,AS,sutra,460,19.3,7.22
SN,AS,sutra,1474,19.3,11.45
SN,AS,sutra,1818,19.32,7.93
SN,AS,sutra,2545,19.32,8.36
SN,AS,sutra,5172,19.32,8.88
SN,AS,sutra,5607,19.32,12.69
SN,AS,sutra,2226,19.36,6.97
SN,AS,sutra,769,19.37,11.98
