Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,uttara,6049,14.02,8.06
SN,AS,uttara,6048,14.05,7.78
SN,AS,uttara,3717,14.12,10.06
SN,AS,uttara,6051,14.19,8.6
SN,AS,uttara,6047,14.22,8.08
SN,AS,uttara,4577,14.33,10.84
SN,AS,uttara,6050,14.33,8.61
SN,AS,uttara,4576,14.46,10.17
SN,AS,uttara,3715,14.51,11.89
SN,AS,uttara,3719,14.51,6.44
SN,AS,uttara,5133,14.52,9.39
SN,AS,uttara,6046,14.58,8.15
SN,AS,uttara,3718,14.59,7.68
SN,AS,uttara,6052,14.59,8.76
SN,AS,uttara,5132,14.71,9.25
SN,AS,uttara,471,14.72,11.07
SN,AS,uttara,4575,14.75,10.16
SN,AS,uttara,3720,14.76,6.01
SN,AS,uttara,3714,14.78,11.8
SN,AS,uttara,470,14.86,10.74
SN,AS,uttara,6044,14.87,8.53
SN,AS,uttara,2694,14.88,7.55
SN,AS,uttara,4578,14.88,12.19
SN,AS,uttara,5131,14.89,9.42
SN,AS,uttara,5129,14.9,9.2
SN,AS,uttara,4304,14.91,7.95
SN,AS,uttara,3716,14.92,11.2
SN,AS,uttara,5134,14.93,11.11
SN,AS,uttara,2696,14.94,9.37
SN,AS,uttara,6238,14.96,12.48
SN,AS,uttara,2693,14.97,7.71
SN,AS,uttara,6045,14.97,8.27
SN,AS,uttara,5130,14.98,9.39
SN,AS,uttara,5135,14.99,11.26
SN,AS,uttara,657,15.01,12.37
SN,AS,uttara,3713,15.03,13.12
SN,AS,uttara,472,15.13,11.33
SN,AS,uttara,1501,15.13,11.62
SN,AS,uttara,2695,15.18,8.31
SN,AS,uttara,661,15.19,12.09
SN,AS,uttara,4274,15.19,10.58
SN,AS,uttara,2701,15.21,11.43
SN,AS,uttara,2703,15.21,9.68
SN,AS,uttara,6239,15.23,12.35
SN,AS,uttara,660,15.25,12.26
SN,AS,uttara,1702,15.25,7.96
SN,AS,uttara,469,15.26,11.85
SN,AS,uttara,2704,15.26,9.48
SN,AS,uttara,2702,15.3,10.54
SN,AS,uttara,2705,15.31,9.43
SN,AS,uttara,2706,15.31,8.9
SN,AS,uttara,3721,15.31,5.94
SN,AS,uttara,2697,15.33,11.25
SN,AS,uttara,4305,15.33,6.83
SN,AS,uttara,658,15.34,11.64
SN,AS,uttara,1517,15.34,12.11
SN,AS,uttara,2716,15.34,10.15
SN,AS,uttara,4303,15.34,9.81
SN,AS,uttara,2709,15.36,10.02
SN,AS,uttara,2699,15.37,11.77
SN,AS,uttara,467,15.39,11.46
SN,AS,uttara,1700,15.42,9.62
SN,AS,uttara,3832,15.42,7.62
SN,AS,uttara,2698,15.43,11.68
SN,AS,uttara,1519,15.44,12.52
SN,AS,uttara,2142,15.46,13.81
SN,AS,uttara,1701,15.48,8.65
SN,AS,uttara,2707,15.48,9
SN,AS,uttara,4574,15.54,9.44
SN,AS,uttara,6043,15.54,9.9
SN,AS,uttara,4275,15.55,10.94
SN,AS,uttara,659,15.56,12.14
SN,AS,uttara,3831,15.56,7.17
SN,AS,uttara,468,15.57,12.19
SN,AS,uttara,6302,15.57,14.33
SN,AS,uttara,1498,15.58,11.88
SN,AS,uttara,1499,15.58,11.88
