Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,chikitsa,10653,13.07,15.95
SN,CS,chikitsa,6268,13.15,16.57
SN,CS,chikitsa,893,13.17,15.65
SN,CS,chikitsa,10544,13.23,16.34
SN,CS,chikitsa,10545,13.23,16.34
SN,CS,chikitsa,10654,13.23,15.8
SN,CS,chikitsa,5495,13.24,16.26
SN,CS,chikitsa,6649,13.24,15.34
SN,CS,chikitsa,7201,13.25,15.86
SN,CS,chikitsa,4976,13.28,14.67
SN,CS,chikitsa,4978,13.29,15.92
SN,CS,chikitsa,6648,13.32,15.76
SN,CS,chikitsa,3082,13.34,17.52
SN,CS,chikitsa,892,13.35,15.12
SN,CS,chikitsa,4979,13.35,15.69
SN,CS,chikitsa,6269,13.36,16.53
SN,CS,chikitsa,894,13.37,15.76
SN,CS,chikitsa,7199,13.37,14.77
SN,CS,chikitsa,7746,13.37,15.96
SN,CS,chikitsa,5494,13.38,17.04
SN,CS,chikitsa,10546,13.38,17.01
SN,CS,chikitsa,3081,13.4,17.16
SN,CS,chikitsa,10657,13.42,16.57
SN,CS,chikitsa,1556,13.43,15.87
SN,CS,chikitsa,7202,13.44,16.17
SN,CS,chikitsa,6650,13.45,15.62
SN,CS,chikitsa,10659,13.46,17.58
SN,CS,chikitsa,279,13.47,15.16
SN,CS,chikitsa,882,13.47,17.05
SN,CS,chikitsa,10543,13.47,16.03
SN,CS,chikitsa,879,13.48,17.58
SN,CS,chikitsa,888,13.49,14.91
SN,CS,chikitsa,4550,13.49,14.2
SN,CS,chikitsa,621,13.51,16.99
SN,CS,chikitsa,887,13.52,15.61
SN,CS,chikitsa,10651,13.52,16.89
SN,CS,chikitsa,620,13.53,17.16
SN,CS,chikitsa,3242,13.53,15.67
SN,CS,chikitsa,7743,13.53,14.93
SN,CS,chikitsa,4549,13.54,13.8
SN,CS,chikitsa,891,13.56,15.49
SN,CS,chikitsa,4975,13.56,14.15
SN,CS,chikitsa,7260,13.57,15.89
SN,CS,chikitsa,10652,13.57,16.01
SN,CS,chikitsa,280,13.58,15.51
SN,CS,chikitsa,3083,13.58,18.44
SN,CS,chikitsa,6554,13.58,18.09
SN,CS,chikitsa,2641,13.59,17.28
SN,CS,chikitsa,7200,13.59,14.41
SN,CS,chikitsa,7745,13.59,15.48
SN,CS,chikitsa,1046,13.6,17.96
SN,CS,chikitsa,8595,13.6,15.49
SN,CS,chikitsa,9210,13.6,15.49
SN,CS,chikitsa,9465,13.6,16.76
SN,CS,chikitsa,1555,13.61,15.81
SN,CS,chikitsa,4905,13.61,16.92
SN,CS,chikitsa,4906,13.61,17.14
SN,CS,chikitsa,5156,13.61,17.75
SN,CS,chikitsa,6264,13.61,17.59
SN,CS,chikitsa,5497,13.62,15.92
SN,CS,chikitsa,4903,13.63,16.16
SN,CS,chikitsa,886,13.64,15.38
SN,CS,chikitsa,4790,13.64,17.55
SN,CS,chikitsa,5351,13.64,18.15
SN,CS,chikitsa,10542,13.64,15.99
SN,CS,chikitsa,6665,13.65,17.07
SN,CS,chikitsa,7744,13.65,14.86
SN,CS,chikitsa,9494,13.65,18.11
SN,CS,chikitsa,2690,13.66,17.58
SN,CS,chikitsa,3090,13.66,17.51
SN,CS,chikitsa,4791,13.66,17.35
SN,CS,chikitsa,9462,13.66,15.98
SN,CS,chikitsa,881,13.67,16.92
SN,CS,chikitsa,4638,13.67,18.22
SN,CS,chikitsa,6255,13.67,16.25
SN,CS,chikitsa,880,13.68,17.51
SN,CS,chikitsa,883,13.68,16.71
SN,CS,chikitsa,8592,13.68,16.19
SN,CS,chikitsa,8596,13.68,15.99
SN,CS,chikitsa,9207,13.68,16.19
SN,CS,chikitsa,9211,13.68,15.99
SN,CS,chikitsa,10203,13.68,17.38
SN,CS,chikitsa,1775,13.69,17.44
SN,CS,chikitsa,3098,13.69,16.91
SN,CS,chikitsa,4353,13.69,17.74
SN,CS,chikitsa,9463,13.69,16.38
SN,CS,chikitsa,9468,13.69,18.02
SN,CS,chikitsa,4631,13.71,17.99
SN,CS,chikitsa,7561,13.71,17.11
SN,CS,chikitsa,4984,13.72,15.83
SN,CS,chikitsa,9500,13.72,17.85
SN,CS,chikitsa,10650,13.72,17.58
SN,CS,chikitsa,3099,13.73,16.37
SN,CS,chikitsa,7742,13.73,14.44
SN,CS,chikitsa,10649,13.73,17.16
SN,CS,chikitsa,885,13.74,16.66
SN,CS,chikitsa,2059,13.74,17.31
SN,CS,chikitsa,6647,13.74,14.9
