Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,kalpa,329,8.82,14.47,0
SN,CS,kalpa,330,8.86,13.87,0.048579062
SN,CS,kalpa,328,8.88,14.67,0.072868594
SN,CS,kalpa,331,8.94,12.4,0.145737187
SN,CS,kalpa,370,8.98,13.64,0.19431625
SN,CS,kalpa,372,9.03,13.52,0.255040078
SN,CS,kalpa,120,9.09,12.7,0.327908671
SN,CS,kalpa,327,9.23,15.46,0.49793539
SN,CS,kalpa,543,9.23,16.37,0.49793539
SN,CS,kalpa,369,9.28,14.22,0.558659218
SN,CS,kalpa,541,9.31,16.3,0.595093515
SN,CS,kalpa,332,9.4,12.43,0.704396405
SN,CS,kalpa,371,9.41,13.32,0.716541171
SN,CS,kalpa,204,9.42,15.45,0.728685936
SN,CS,kalpa,202,9.47,15.37,0.789409764
SN,CS,kalpa,373,9.5,13.34,0.825844061
SN,CS,kalpa,542,9.51,16.54,0.837988827
SN,CS,kalpa,53,9.56,13.75,0.898712655
SN,CS,kalpa,326,9.57,17.06,0.91085742
SN,CS,kalpa,50,9.58,13.73,0.923002186
SN,CS,kalpa,319,9.58,17.2,0.923002186
SN,CS,kalpa,320,9.58,17.2,0.923002186
SN,CS,kalpa,44,9.59,13.9,0.935146952
SN,CS,kalpa,335,9.59,12.15,0.935146952
SN,CS,kalpa,203,9.61,15.37,0.959436483
SN,CS,kalpa,454,9.62,14.51,0.971581248
SN,CS,kalpa,127,9.63,12.89,0.983726014
SN,CS,kalpa,122,9.66,12.54,1.020160311
SN,CS,kalpa,46,9.68,14,1.044449842
SN,CS,kalpa,334,9.68,11.99,1.044449842
SN,CS,kalpa,119,9.7,12.37,1.068739373
SN,CS,kalpa,440,9.7,16.03,1.068739373
SN,CS,kalpa,81,9.71,15.3,1.080884139
SN,CS,kalpa,453,9.72,14.46,1.093028905
SN,CS,kalpa,47,9.79,14.05,1.178042264
SN,CS,kalpa,97,9.8,12.49,1.190187029
SN,CS,kalpa,196,9.81,14.74,1.202331795
SN,CS,kalpa,45,9.82,13.89,1.214476561
SN,CS,kalpa,51,9.82,15.01,1.214476561
SN,CS,kalpa,80,9.84,15.51,1.238766092
SN,CS,kalpa,131,9.84,12.62,1.238766092
SN,CS,kalpa,193,9.85,15.33,1.250910857
SN,CS,kalpa,368,9.85,13.85,1.250910857
SN,CS,kalpa,195,9.88,14.71,1.287345154
