Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,nidana,210,14.6,11.19,0
SN,CS,nidana,135,15.98,12.19,2.50590158
SN,CS,nidana,209,16.16,10.03,2.832758308
SN,CS,nidana,133,16.21,14.14,2.923551843
SN,CS,nidana,134,16.32,12.57,3.123297621
SN,CS,nidana,131,16.43,15.16,3.323043399
SN,CS,nidana,46,16.5,10.49,3.450154349
SN,CS,nidana,136,16.5,11.64,3.450154349
SN,CS,nidana,237,16.79,10.77,3.976756855
SN,CS,nidana,48,16.99,11.53,4.339930997
SN,CS,nidana,55,17.07,11.47,4.485200654
SN,CS,nidana,137,17.07,11.75,4.485200654
SN,CS,nidana,54,17.18,11.29,4.684946432
SN,CS,nidana,236,17.22,10.93,4.75758126
SN,CS,nidana,239,17.24,11.57,4.793898674
SN,CS,nidana,130,17.29,16.15,4.88469221
SN,CS,nidana,238,17.31,11.22,4.921009624
SN,CS,nidana,208,17.32,8.6,4.939168331
SN,CS,nidana,56,17.37,11.52,5.029961867
SN,CS,nidana,138,17.37,11.17,5.029961867
SN,CS,nidana,132,17.47,15.29,5.211548938
SN,CS,nidana,139,17.51,11.2,5.284183766
SN,CS,nidana,47,17.53,11.17,5.32050118
SN,CS,nidana,140,17.56,11.23,5.374977302
SN,CS,nidana,53,17.57,11.44,5.393136009
SN,CS,nidana,64,17.65,11.46,5.538405666
SN,CS,nidana,65,17.7,11.15,5.629199201
SN,CS,nidana,211,17.72,16.36,5.665516615
SN,CS,nidana,49,17.76,11.37,5.738151444
SN,CS,nidana,57,17.8,11.59,5.810786272
SN,CS,nidana,63,17.8,11.55,5.810786272
SN,CS,nidana,51,17.81,11.52,5.828944979
SN,CS,nidana,212,17.85,17.07,5.901579808
SN,CS,nidana,141,17.87,10.76,5.937897222
SN,CS,nidana,142,17.91,10.78,6.01053205
SN,CS,nidana,66,17.96,10.92,6.101325586
SN,CS,nidana,58,17.99,11.84,6.155801707
SN,CS,nidana,2,18,12.46,6.173960414
SN,CS,nidana,234,18.03,14.41,6.228436535
SN,CS,nidana,50,18.11,11.58,6.373706192
SN,CS,nidana,62,18.12,11.71,6.391864899
SN,CS,nidana,52,18.14,11.69,6.428182313
SN,CS,nidana,60,18.15,11.74,6.446341021
SN,CS,nidana,38,18.16,9.21,6.464499728
SN,CS,nidana,129,18.16,16.95,6.464499728
SN,CS,nidana,143,18.29,10.51,6.70056292
SN,CS,nidana,231,18.3,16.17,6.718721627
SN,CS,nidana,45,18.33,10.82,6.773197748
SN,CS,nidana,213,18.34,17.41,6.791356455
SN,CS,nidana,61,18.36,11.99,6.82767387
SN,CS,nidana,36,18.39,9.32,6.882149991
SN,CS,nidana,321,18.44,8.61,6.972943526
SN,CS,nidana,206,18.47,8.77,7.027419648
SN,CS,nidana,314,18.48,12.02,7.045578355
SN,CS,nidana,37,18.51,9.27,7.100054476
SN,CS,nidana,43,18.53,10.58,7.13637189
SN,CS,nidana,39,18.61,9.17,7.281641547
SN,CS,nidana,316,18.72,9.74,7.481387325
SN,CS,nidana,59,18.75,11.84,7.535863447
SN,CS,nidana,207,18.77,9.05,7.572180861
SN,CS,nidana,40,18.82,9.15,7.662974396
SN,CS,nidana,229,18.82,16.69,7.662974396
SN,CS,nidana,35,18.84,9.82,7.69929181
SN,CS,nidana,230,18.85,16.91,7.717450518
SN,CS,nidana,214,18.9,17.92,7.808244053
SN,CS,nidana,233,18.93,16.71,7.862720174
SN,CS,nidana,235,18.95,14.69,7.899037589
SN,CS,nidana,31,18.96,14.98,7.917196296
SN,CS,nidana,232,18.96,16.45,7.917196296
SN,CS,nidana,319,19,8.5,7.989831124
SN,CS,nidana,322,19.01,8.76,8.007989831
SN,CS,nidana,145,19.02,10.09,8.026148538
SN,CS,nidana,313,19.11,13.38,8.189576902
SN,CS,nidana,67,19.14,10.63,8.244053023
SN,CS,nidana,315,19.19,10.72,8.334846559
SN,CS,nidana,317,19.23,9.6,8.407481387
SN,CS,nidana,144,19.29,10.41,8.51643363
SN,CS,nidana,34,19.3,11.06,8.534592337
SN,CS,nidana,44,19.32,9.67,8.570909751
SN,CS,nidana,312,19.34,13.61,8.607227165
SN,CS,nidana,323,19.36,9.65,8.64354458
SN,CS,nidana,32,19.44,14.52,8.788814236
SN,CS,nidana,243,19.53,14.82,8.9522426
SN,CS,nidana,334,19.6,13.67,9.07935355
SN,CS,nidana,330,19.65,13.36,9.170147086
