Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,shareera,466,30.14,20.33,0
SN,CS,shareera,464,30.16,20.5,0.026065424
SN,CS,shareera,463,30.18,19.79,0.052130848
SN,CS,shareera,465,30.48,21.21,0.443112212
SN,CS,shareera,467,30.71,20.8,0.74286459
SN,CS,shareera,462,30.74,20.43,0.781962726
SN,CS,shareera,704,30.81,18.75,0.873191711
SN,CS,shareera,468,30.86,20.33,0.938355272
SN,CS,shareera,469,31.08,20.24,1.225074938
SN,CS,shareera,470,31.3,20.04,1.511794604
SN,CS,shareera,461,31.31,21.97,1.524827317
SN,CS,shareera,703,31.5,19.71,1.772448847
SN,CS,shareera,394,31.71,17.21,2.046135801
SN,CS,shareera,459,31.75,25.03,2.098266649
SN,CS,shareera,471,31.75,20.49,2.098266649
SN,CS,shareera,395,32,18.69,2.424084452
SN,CS,shareera,393,32.13,15.82,2.593509709
SN,CS,shareera,396,32.17,20.27,2.645640558
SN,CS,shareera,702,32.19,19.9,2.671705982
SN,CS,shareera,460,32.28,24.05,2.789000391
SN,CS,shareera,706,32.62,23.92,3.232112603
SN,CS,shareera,705,32.65,23.02,3.271210739
SN,CS,shareera,473,32.91,23.83,3.610061254
SN,CS,shareera,474,32.97,24.79,3.688257526
SN,CS,shareera,392,33.12,11.91,3.883748208
SN,CS,shareera,701,33.23,21.75,4.027108041
SN,CS,shareera,472,33.34,22.91,4.170467874
SN,CS,shareera,707,33.68,24.85,4.613580086
SN,CS,shareera,391,33.78,11.68,4.743907207
SN,CS,shareera,700,33.85,21.95,4.835136192
SN,CS,shareera,699,34.26,23.19,5.369477388
SN,CS,shareera,475,34.38,25.78,5.525869934
SN,CS,shareera,390,34.51,11.04,5.695295191
SN,CS,shareera,397,34.56,24.17,5.760458751
SN,CS,shareera,458,34.69,29.25,5.929884009
SN,CS,shareera,560,35.36,26.97,6.80307572
SN,CS,shareera,561,35.61,26.18,7.128893523
SN,CS,shareera,476,35.63,27.17,7.154958947
SN,CS,shareera,615,35.8,16.89,7.376515053
SN,CS,shareera,614,35.82,16.64,7.402580477
SN,CS,shareera,559,36.01,27.74,7.650202007
SN,CS,shareera,697,36.06,25.79,7.715365568
SN,CS,shareera,698,36.11,25.75,7.780529128
SN,CS,shareera,613,36.17,17.61,7.858725401
SN,CS,shareera,519,36.24,30.1,7.949954386
SN,CS,shareera,634,36.52,19.74,8.314870325
SN,CS,shareera,477,36.53,27.81,8.327903037
SN,CS,shareera,457,36.69,31.48,8.53642643
SN,CS,shareera,562,36.72,26.31,8.575524567
SN,CS,shareera,579,36.79,27.52,8.666753551
SN,CS,shareera,516,36.83,31.25,8.7188844
SN,CS,shareera,696,36.86,25.6,8.757982536
SN,CS,shareera,398,36.89,26.96,8.797080672
SN,CS,shareera,558,37.01,28.95,8.953473218
SN,CS,shareera,616,37.06,17.57,9.018636778
SN,CS,shareera,617,37.08,17.95,9.044702203
SN,CS,shareera,478,37.09,27.44,9.057734915
SN,CS,shareera,479,37.36,29.11,9.409618142
SN,CS,shareera,514,37.39,32.04,9.448716278
SN,CS,shareera,515,37.42,31.63,9.487814414
SN,CS,shareera,389,37.47,11,9.552977975
SN,CS,shareera,714,37.47,26.72,9.552977975
SN,CS,shareera,518,37.5,30.5,9.592076111
SN,CS,shareera,578,37.53,28.02,9.631174247
SN,CS,shareera,513,37.61,31.68,9.735435944
SN,CS,shareera,712,37.61,26.53,9.735435944
SN,CS,shareera,708,37.68,29.8,9.826664929
SN,CS,shareera,563,37.79,26.87,9.970024762
SN,CS,shareera,871,37.83,29.8,10.02215561
SN,CS,shareera,557,37.87,29.93,10.07428646
SN,CS,shareera,580,37.88,29.13,10.08731917
SN,CS,shareera,715,37.93,27.63,10.15248273
SN,CS,shareera,424,38.07,32.66,10.3349407
SN,CS,shareera,547,38.1,30.21,10.37403884
SN,CS,shareera,480,38.19,29.8,10.49133325
SN,CS,shareera,456,38.26,33.56,10.58256223
SN,CS,shareera,581,38.32,29.98,10.6607585
SN,CS,shareera,695,38.34,29.69,10.68682393
SN,CS,shareera,505,38.39,31.64,10.75198749
SN,CS,shareera,517,38.39,33.04,10.75198749
SN,CS,shareera,556,38.4,30.79,10.7650202
SN,CS,shareera,711,38.48,28.09,10.8692819
SN,CS,shareera,633,38.53,20.34,10.93444546
SN,CS,shareera,506,38.59,31.78,11.01264173
SN,CS,shareera,713,38.65,27.39,11.090838
SN,CS,shareera,399,38.66,29.71,11.10387072
SN,CS,shareera,510,38.72,32.89,11.18206699
SN,CS,shareera,564,38.75,26.79,11.22116512
SN,CS,shareera,512,38.8,30.87,11.28632868
SN,CS,shareera,635,38.87,20.79,11.37755767
SN,CS,shareera,710,38.87,28.52,11.37755767
SN,CS,shareera,709,38.89,29.54,11.40362309
SN,CS,shareera,546,38.93,32.03,11.45575394
SN,CS,shareera,753,38.99,32.13,11.53395022
SN,CS,shareera,388,39.03,11.94,11.58608106
SN,CS,shareera,716,39.03,28.6,11.58608106
SN,CS,shareera,425,39.07,33.57,11.63821191
SN,CS,shareera,548,39.08,29.56,11.65124462
SN,CS,shareera,612,39.11,20.81,11.69034276
SN,CS,shareera,873,39.12,27.67,11.70337547
SN,CS,shareera,294,39.13,24.54,11.71640818
SN,CS,shareera,577,39.14,31.02,11.7294409
SN,CS,shareera,905,39.14,29.79,11.7294409
SN,CS,shareera,481,39.21,31.59,11.82066988
SN,CS,shareera,295,39.22,23.97,11.83370259
SN,CS,shareera,632,39.25,21,11.87280073
SN,CS,shareera,870,39.27,30.66,11.89886615
SN,CS,shareera,752,39.31,33.02,11.950997
SN,CS,shareera,582,39.39,30.16,12.0552587
SN,CS,shareera,901,39.43,27.91,12.10738955
SN,CS,shareera,902,39.44,29.61,12.12042226
SN,CS,shareera,863,39.46,29.72,12.14648768
SN,CS,shareera,482,39.47,31.15,12.1595204
SN,CS,shareera,520,39.47,32.96,12.1595204
SN,CS,shareera,555,39.48,31.48,12.17255311
SN,CS,shareera,545,39.5,34.43,12.19861853
SN,CS,shareera,565,39.52,26.49,12.22468396
SN,CS,shareera,862,39.55,31.25,12.26378209
SN,CS,shareera,549,39.63,29.47,12.36804379
SN,CS,shareera,511,39.66,33.27,12.40714193
SN,CS,shareera,504,39.69,31.57,12.44624006
SN,CS,shareera,293,39.73,25.17,12.49837091
SN,CS,shareera,864,39.75,29.35,12.52443634
SN,CS,shareera,483,39.89,31.85,12.7068943
SN,CS,shareera,894,39.9,29.11,12.71992702
SN,CS,shareera,552,39.93,32.1,12.75902515
SN,CS,shareera,503,39.95,28.77,12.78509058
SN,CS,shareera,874,39.95,27.95,12.78509058
SN,CS,shareera,872,40,31.25,12.85025414
SN,CS,shareera,423,40.03,35.07,12.88935227
SN,CS,shareera,611,40.03,21.43,12.88935227
SN,CS,shareera,455,40.06,34.98,12.92845041
SN,CS,shareera,507,40.12,33.21,13.00664668
SN,CS,shareera,551,40.17,30.32,13.07181024
SN,CS,shareera,610,40.17,22.72,13.07181024
SN,CS,shareera,865,40.17,30.37,13.07181024
SN,CS,shareera,296,40.18,23.8,13.08484296
SN,CS,shareera,866,40.18,32.53,13.08484296
SN,CS,shareera,636,40.22,23.44,13.1369738
SN,CS,shareera,867,40.22,33.08,13.1369738
SN,CS,shareera,895,40.23,28.44,13.15000652
SN,CS,shareera,903,40.28,30.21,13.21517008
SN,CS,shareera,297,40.42,23.09,13.39762805
SN,CS,shareera,583,40.44,30.17,13.42369347
SN,CS,shareera,757,40.5,33.78,13.50188974
SN,CS,shareera,869,40.51,31.11,13.51492246
SN,CS,shareera,501,40.52,29.23,13.52795517
SN,CS,shareera,500,40.56,30.3,13.58008602
SN,CS,shareera,502,40.57,30.14,13.59311873
SN,CS,shareera,904,40.6,30.67,13.63221686
SN,CS,shareera,750,40.68,33.64,13.73647856
SN,CS,shareera,508,40.71,33.43,13.7755767
SN,CS,shareera,609,40.78,23.42,13.86680568
SN,CS,shareera,575,40.8,32.25,13.89287111
SN,CS,shareera,292,40.84,26.44,13.94500195
SN,CS,shareera,400,40.84,30.46,13.94500195
SN,CS,shareera,566,40.93,28.73,14.06229636
SN,CS,shareera,291,40.95,27.33,14.08836179
SN,CS,shareera,509,40.95,33.77,14.08836179
SN,CS,shareera,550,40.95,31.13,14.08836179
SN,CS,shareera,900,40.98,28.64,14.12745992
SN,CS,shareera,751,41.02,34.28,14.17959077
SN,CS,shareera,401,41.12,31.03,14.30991789
SN,CS,shareera,570,41.13,32.37,14.32295061
SN,CS,shareera,631,41.17,23.63,14.37508145
SN,CS,shareera,484,41.19,33.37,14.40114688
SN,CS,shareera,569,41.22,29.93,14.44024501
SN,CS,shareera,290,41.25,27.88,14.47934315
SN,CS,shareera,553,41.25,33.43,14.47934315
SN,CS,shareera,758,41.27,32.58,14.50540858
SN,CS,shareera,637,41.32,25.93,14.57057214
SN,CS,shareera,756,41.32,33.96,14.57057214
SN,CS,shareera,454,41.35,36.49,14.60967027
SN,CS,shareera,897,41.41,28.19,14.68786655
SN,CS,shareera,426,41.48,35.79,14.77909553
