Text_Type,Book,Chapter,Window,Mean,StDev,nomalised
SN,CS,siddi,324,24.07,28.48,0
SN,CS,siddi,1127,24.3,28.61,0.225955398
SN,CS,siddi,938,24.38,25.89,0.30454858
SN,CS,siddi,325,24.4,28.64,0.324196876
SN,CS,siddi,939,24.45,26.23,0.373317615
SN,CS,siddi,937,24.46,26.21,0.383141762
SN,CS,siddi,1126,24.48,28.06,0.402790058
SN,CS,siddi,941,24.49,25.99,0.412614206
SN,CS,siddi,1129,24.51,28.85,0.432262501
SN,CS,siddi,327,24.6,28.73,0.520679831
SN,CS,siddi,708,24.61,29.56,0.530503979
SN,CS,siddi,328,24.7,29.94,0.618921309
SN,CS,siddi,940,24.71,26.18,0.628745456
SN,CS,siddi,326,24.72,28.95,0.638569604
SN,CS,siddi,320,24.76,27.76,0.677866195
SN,CS,siddi,330,24.77,29.32,0.687690343
SN,CS,siddi,943,24.78,27.06,0.697514491
SN,CS,siddi,729,24.79,30.78,0.707338638
SN,CS,siddi,936,24.79,26.65,0.707338638
SN,CS,siddi,698,24.8,29.38,0.717162786
SN,CS,siddi,935,24.8,27.03,0.717162786
SN,CS,siddi,1128,24.84,28.48,0.756459377
SN,CS,siddi,707,24.89,29.05,0.805580116
SN,CS,siddi,329,24.9,29.03,0.815404264
SN,CS,siddi,942,24.91,27.11,0.825228411
SN,CS,siddi,709,24.93,30.17,0.844876707
SN,CS,siddi,423,24.96,27.56,0.87434915
SN,CS,siddi,1123,24.97,29.84,0.884173298
SN,CS,siddi,1125,24.97,29.84,0.884173298
SN,CS,siddi,934,24.99,27.18,0.903821593
SN,CS,siddi,1121,25.02,29.55,0.933294037
SN,CS,siddi,1045,25.03,29.25,0.943118184
SN,CS,siddi,1046,25.03,29.25,0.943118184
SN,CS,siddi,322,25.04,29.01,0.952942332
SN,CS,siddi,1122,25.04,30.16,0.952942332
SN,CS,siddi,1119,25.05,30.95,0.96276648
SN,CS,siddi,1124,25.05,30.15,0.96276648
SN,CS,siddi,289,25.09,22.71,1.002063071
SN,CS,siddi,1051,25.09,28.51,1.002063071
SN,CS,siddi,321,25.13,28.94,1.041359662
SN,CS,siddi,323,25.13,29.75,1.041359662
SN,CS,siddi,699,25.13,29.89,1.041359662
SN,CS,siddi,706,25.18,29.5,1.090480401
SN,CS,siddi,1115,25.2,31.39,1.110128696
SN,CS,siddi,944,25.21,27.14,1.119952844
SN,CS,siddi,1134,25.22,28.21,1.129776992
SN,CS,siddi,1118,25.27,30.61,1.178897731
SN,CS,siddi,1130,25.28,29.32,1.188721878
SN,CS,siddi,1133,25.28,28.78,1.188721878
