Book,Chapter,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG,GG,GL,LG,LL,G,L
AH,chikitsa,245,1771,4853,2404,1363,4354,3175,4531,60,14,98,9,3145,293
AH,kalpa,24,280,636,447,260,775,520,711,2,1,47,1,362,42
AH,nidana,52,568,1738,969,419,1783,1205,1814,7,0,36,2,1212,107
AH,shareera,50,437,1149,690,350,1256,782,1329,8,1,32,1,742,105
AH,sutra,223,1306,3560,2123,1052,3786,2486,3754,19,0,106,11,2310,283
AH,uttara,405,2264,5402,3425,1864,6206,4233,5661,72,11,298,21,3190,273
AS,chikitsa,880,2443,4980,3035,2125,4986,3752,4393,191,98,210,24,2739,349
AS,kalpa,123,468,1120,526,435,1075,718,995,21,22,38,7,698,90
AS,nidana,161,633,1820,924,468,1661,1099,1686,37,20,39,10,1172,134
AS,shareera,565,1035,1530,1585,925,1998,1537,2035,157,107,150,54,608,208
AS,sutra,1489,3438,6632,4283,2908,6811,5143,6111,365,181,305,82,3352,566
AS,uttara,1316,4228,9877,5084,3497,8982,6506,8350,369,140,351,35,5830,561
CS,chikitsa,745,4753,13277,5004,4094,12275,8768,11022,225,97,119,18,8492,1257
CS,indriya,16,346,814,306,192,658,397,696,17,1,13,0,499,106
CS,kalpa,2,334,746,302,177,683,380,716,17,0,14,4,527,80
CS,nidana,326,463,665,654,406,815,696,721,24,16,14,11,129,46
CS,shareera,587,961,1362,1320,881,1849,1613,2026,81,32,42,19,447,105
CS,siddi,192,784,1947,811,758,1969,1381,1700,32,11,26,7,1010,155
