Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,chikitsa,1,13.62,8.99
SN,AH,chikitsa,2,12.29,8.89
SN,AH,chikitsa,3,12.36,8.99
SN,AH,chikitsa,4,10.83,8.24
SN,AH,chikitsa,5,11.36,7.87
SN,AH,chikitsa,6,12.14,8.16
SN,AH,chikitsa,7,11.48,8.14
SN,AH,chikitsa,8,11.48,8.14
SN,AH,chikitsa,9,12.43,8.06
SN,AH,chikitsa,10,11.95,7.96
SN,AH,chikitsa,11,11.9,8.11
SN,AH,chikitsa,12,10.87,7.91
SN,AH,chikitsa,13,11.6,7.74
SN,AH,chikitsa,14,12.11,7.66
SN,AH,chikitsa,15,12.61,7.39
SN,AH,chikitsa,16,12.61,7.39
SN,AH,chikitsa,17,11.54,7.24
SN,AH,chikitsa,18,11.76,7.16
SN,AH,chikitsa,19,10.53,7.12
SN,AH,chikitsa,20,10.85,7.2
SN,AH,chikitsa,21,11.0,7.13
SN,AH,chikitsa,22,10.36,7.4
SN,AH,chikitsa,23,11.02,7.32
SN,AH,chikitsa,24,10.7,7.66
SN,AH,chikitsa,25,10.98,7.55
SN,AH,chikitsa,26,11.84,7.81
SN,AH,chikitsa,27,11.39,7.7
SN,AH,chikitsa,28,10.83,7.56
SN,AH,chikitsa,29,10.1,8.19
SN,AH,chikitsa,30,9.81,8.52
SN,AH,chikitsa,31,9.85,8.57
SN,AH,chikitsa,32,10.42,8.73
SN,AH,chikitsa,33,10.51,8.67
SN,AH,chikitsa,34,11.28,8.82
SN,AH,chikitsa,35,11.71,8.9
SN,AH,chikitsa,36,12.01,8.91
SN,AH,chikitsa,37,10.81,8.64
SN,AH,chikitsa,38,9.96,8.77
SN,AH,chikitsa,39,9.74,7.88
SN,AH,chikitsa,40,9.85,8.0
SN,AH,chikitsa,41,11.69,7.59
SN,AH,chikitsa,42,11.37,7.63
SN,AH,chikitsa,43,11.09,7.32
SN,AH,chikitsa,44,10.49,6.97
SN,AH,chikitsa,45,9.45,6.45
SN,AH,chikitsa,46,9.52,6.38
SN,AH,chikitsa,47,10.21,6.17
SN,AH,chikitsa,48,9.5,6.22
SN,AH,chikitsa,49,10.72,6.36
SN,AH,chikitsa,50,10.55,6.53
SN,AH,chikitsa,51,12.12,6.77
SN,AH,chikitsa,52,12.06,6.81
SN,AH,chikitsa,53,12.85,6.94
SN,AH,chikitsa,54,13.71,7.0
SN,AH,chikitsa,55,14.48,7.13
SN,AH,chikitsa,56,14.21,7.01
SN,AH,chikitsa,57,14.79,6.79
SN,AH,chikitsa,58,14.34,6.45
SN,AH,chikitsa,59,13.56,6.37
SN,AH,chikitsa,60,14.39,6.3
SN,AH,chikitsa,61,15.95,6.4
SN,AH,chikitsa,62,16.64,6.41
SN,AH,chikitsa,63,16.55,6.48
SN,AH,chikitsa,64,15.13,7.08
SN,AH,chikitsa,65,14.04,6.88
SN,AH,chikitsa,66,12.78,7.35
SN,AH,chikitsa,67,12.54,7.31
SN,AH,chikitsa,68,12.19,7.54
SN,AH,chikitsa,69,11.32,7.81
SN,AH,chikitsa,70,10.66,8.14
SN,AH,chikitsa,71,11.39,8.38
SN,AH,chikitsa,72,11.07,8.64
SN,AH,chikitsa,73,11.27,8.62
SN,AH,chikitsa,74,10.38,8.62
SN,AH,chikitsa,75,10.24,8.51
SN,AH,chikitsa,76,10.36,8.58
SN,AH,chikitsa,77,10.28,8.56
SN,AH,chikitsa,78,10.28,8.61
SN,AH,chikitsa,79,10.14,8.37
SN,AH,chikitsa,80,10.71,8.54
SN,AH,chikitsa,81,11.74,8.67
SN,AH,chikitsa,82,11.86,8.94
SN,AH,chikitsa,83,12.31,9.14
SN,AH,chikitsa,84,11.67,9.01
SN,AH,chikitsa,85,11.83,9.28
SN,AH,chikitsa,86,11.65,9.26
SN,AH,chikitsa,87,13.03,9.95
SN,AH,chikitsa,88,13.67,10.04
SN,AH,chikitsa,89,12.97,9.77
SN,AH,chikitsa,90,12.61,9.47
SN,AH,chikitsa,91,12.81,9.52
SN,AH,chikitsa,92,12.95,9.16
SN,AH,chikitsa,93,12.76,9.05
SN,AH,chikitsa,94,13.78,9.1
SN,AH,chikitsa,95,13.49,9.0
SN,AH,chikitsa,96,12.11,8.89
