Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,nidana,1,8.97,3.93
SN,AH,nidana,2,8.46,3.78
SN,AH,nidana,3,7.21,3.34
SN,AH,nidana,4,7.47,3.43
SN,AH,nidana,5,6.68,3.16
SN,AH,nidana,6,7.03,3.23
SN,AH,nidana,7,7.02,3.14
SN,AH,nidana,8,7.23,3.19
SN,AH,nidana,9,7.32,3.15
SN,AH,nidana,10,7.97,3.38
SN,AH,nidana,11,8.5,3.55
SN,AH,nidana,12,7.61,3.27
SN,AH,nidana,13,7.4,3.22
SN,AH,nidana,14,8.23,3.49
SN,AH,nidana,15,7.65,3.23
SN,AH,nidana,16,7.67,3.27
SN,AH,nidana,17,8.24,3.46
SN,AH,nidana,18,7.61,3.26
SN,AH,nidana,19,8.44,3.47
SN,AH,nidana,20,8.48,3.41
SN,AH,nidana,21,8.9,3.48
SN,AH,nidana,22,8.35,3.44
SN,AH,nidana,23,8.37,3.43
SN,AH,nidana,24,9.22,3.52
SN,AH,nidana,25,9.86,3.76
SN,AH,nidana,26,12.02,4.23
SN,AH,nidana,27,12.21,4.09
SN,AH,nidana,28,10.46,3.53
SN,AH,nidana,29,9.59,3.38
SN,AH,nidana,30,9.84,3.59
SN,AH,nidana,31,9.09,3.49
SN,AH,nidana,32,9.13,3.52
SN,AH,nidana,33,8.07,3.24
SN,AH,nidana,34,8.45,3.38
SN,AH,nidana,35,8.04,3.23
SN,AH,nidana,36,8.79,3.47
SN,AH,nidana,37,8.5,3.4
SN,AH,nidana,38,8.62,3.43
SN,AH,nidana,39,7.38,2.98
SN,AH,nidana,40,8.42,3.36
SN,AH,nidana,41,9.25,3.62
SN,AH,nidana,42,9.12,3.55
SN,AH,nidana,43,9.89,3.77
SN,AH,nidana,44,9.19,3.5
SN,AH,nidana,45,10.31,3.75
SN,AH,nidana,46,10.28,3.83
SN,AH,nidana,47,8.14,3.2
SN,AH,nidana,48,8.21,3.17
SN,AH,nidana,49,7.4,3.18
SN,AH,nidana,50,7.18,3.09
SN,AH,nidana,51,7.4,3.17
SN,AH,nidana,52,6.86,3.14
SN,AH,nidana,53,6.61,3.08
SN,AH,nidana,54,6.28,2.99
SN,AH,nidana,55,6.1,2.9
SN,AH,nidana,56,6.94,2.95
SN,AH,nidana,57,6.96,3.02
SN,AH,nidana,58,7.24,3.09
SN,AH,nidana,59,6.71,2.8
SN,AH,nidana,60,6.62,2.82
SN,AH,nidana,61,6.84,2.92
SN,AH,nidana,62,6.55,2.77
SN,AH,nidana,63,5.32,2.45
SN,AH,nidana,64,5.72,2.62
SN,AH,nidana,65,5.48,2.47
SN,AH,nidana,66,5.44,2.55
SN,AH,nidana,67,5.34,2.49
SN,AH,nidana,68,5.53,2.48
SN,AH,nidana,69,6.27,2.96
SN,AH,nidana,70,6.34,2.88
SN,AH,nidana,71,6.75,2.93
SN,AH,nidana,72,7.0,3.05
SN,AH,nidana,73,8.07,3.36
SN,AH,nidana,74,8.43,3.46
SN,AH,nidana,75,7.79,3.29
SN,AH,nidana,76,7.93,3.29
SN,AH,nidana,77,7.5,3.18
SN,AH,nidana,78,8.81,3.55
SN,AH,nidana,79,8.93,3.57
SN,AH,nidana,80,9.68,3.69
SN,AH,nidana,81,11.11,4.0
SN,AH,nidana,82,12.12,4.18
SN,AH,nidana,83,12.87,4.32
SN,AH,nidana,84,13.01,4.37
SN,AH,nidana,85,12.9,4.31
SN,AH,nidana,86,12.04,4.05
SN,AH,nidana,87,10.76,3.74
SN,AH,nidana,88,9.49,3.44
SN,AH,nidana,89,9.76,3.57
SN,AH,nidana,90,9.74,3.55
SN,AH,nidana,91,10.25,3.68
SN,AH,nidana,92,9.83,3.56
SN,AH,nidana,93,10.76,3.81
SN,AH,nidana,94,10.71,3.77
SN,AH,nidana,95,11.56,4.06
SN,AH,nidana,96,11.58,4.03
SN,AH,nidana,97,11.44,4.02
SN,AH,nidana,98,10.91,3.82
SN,AH,nidana,99,10.57,3.8
SN,AH,nidana,100,10.9,3.89
SN,AH,nidana,101,11.28,3.97
SN,AH,nidana,102,10.72,3.99
SN,AH,nidana,103,12.55,4.7
SN,AH,nidana,104,11.33,4.35
SN,AH,nidana,105,10.73,4.16
SN,AH,nidana,106,9.39,3.9
SN,AH,nidana,107,10.52,4.04
SN,AH,nidana,108,10.86,4.11
SN,AH,nidana,109,11.25,4.31
SN,AH,nidana,110,10.49,4.28
SN,AH,nidana,111,10.39,4.16
SN,AH,nidana,112,10.81,4.24
SN,AH,nidana,113,11.26,4.28
