Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,shareera,1,11.2,5.56
SN,AH,shareera,2,10.23,5.25
SN,AH,shareera,3,9.62,5.17
SN,AH,shareera,4,10.47,5.39
SN,AH,shareera,5,9.62,5.24
SN,AH,shareera,6,9.0,5.13
SN,AH,shareera,7,8.84,4.98
SN,AH,shareera,8,8.16,4.87
SN,AH,shareera,9,8.47,4.95
SN,AH,shareera,10,9.04,5.32
SN,AH,shareera,11,8.69,5.14
SN,AH,shareera,12,7.92,5.02
SN,AH,shareera,13,7.94,5.0
SN,AH,shareera,14,8.52,5.19
SN,AH,shareera,15,8.3,5.13
SN,AH,shareera,16,8.5,5.26
SN,AH,shareera,17,8.22,5.27
SN,AH,shareera,18,8.46,5.19
SN,AH,shareera,19,8.29,5.04
SN,AH,shareera,20,9.14,5.21
SN,AH,shareera,21,9.21,5.13
SN,AH,shareera,22,9.78,5.17
SN,AH,shareera,23,9.79,5.03
SN,AH,shareera,24,9.84,5.08
SN,AH,shareera,25,9.71,4.86
SN,AH,shareera,26,10.14,5.18
SN,AH,shareera,27,10.91,5.49
SN,AH,shareera,28,11.26,5.79
SN,AH,shareera,29,12.11,6.09
SN,AH,shareera,30,13.04,6.3
SN,AH,shareera,31,13.27,6.29
SN,AH,shareera,32,12.14,5.94
SN,AH,shareera,33,11.94,5.83
SN,AH,shareera,34,11.87,5.85
SN,AH,shareera,35,12.04,5.74
SN,AH,shareera,36,12.52,5.99
SN,AH,shareera,37,12.39,6.17
SN,AH,shareera,38,11.85,6.16
SN,AH,shareera,39,12.69,6.27
SN,AH,shareera,40,13.18,6.43
SN,AH,shareera,41,13.51,6.43
SN,AH,shareera,42,13.15,6.66
SN,AH,shareera,43,13.67,6.86
SN,AH,shareera,44,13.37,6.75
SN,AH,shareera,45,12.39,6.34
SN,AH,shareera,46,11.76,6.19
SN,AH,shareera,47,11.68,6.29
SN,AH,shareera,48,11.14,5.82
SN,AH,shareera,49,10.63,5.54
SN,AH,shareera,50,10.59,5.41
SN,AH,shareera,51,9.74,5.07
SN,AH,shareera,52,9.32,4.92
SN,AH,shareera,53,9.56,5.12
SN,AH,shareera,54,10.14,4.99
SN,AH,shareera,55,10.65,5.05
SN,AH,shareera,56,10.84,5.16
SN,AH,shareera,57,10.5,5.05
SN,AH,shareera,58,11.76,5.44
SN,AH,shareera,59,11.91,5.38
SN,AH,shareera,60,10.86,4.95
SN,AH,shareera,61,10.88,5.06
SN,AH,shareera,62,11.26,5.09
SN,AH,shareera,63,11.52,5.12
SN,AH,shareera,64,11.42,5.09
SN,AH,shareera,65,11.09,4.98
SN,AH,shareera,66,10.91,5.01
SN,AH,shareera,67,11.22,5.06
SN,AH,shareera,68,11.6,5.2
SN,AH,shareera,69,12.89,5.45
SN,AH,shareera,70,13.45,5.49
SN,AH,shareera,71,13.53,5.58
SN,AH,shareera,72,12.3,5.46
SN,AH,shareera,73,12.67,5.57
SN,AH,shareera,74,12.9,5.62
SN,AH,shareera,75,13.12,5.64
SN,AH,shareera,76,13.84,5.85
SN,AH,shareera,77,13.55,5.73
SN,AH,shareera,78,12.31,5.54
SN,AH,shareera,79,11.92,5.4
SN,AH,shareera,80,11.23,5.19
SN,AH,shareera,81,11.27,5.25
SN,AH,shareera,82,10.85,5.12
SN,AH,shareera,83,11.2,5.12
SN,AH,shareera,84,11.1,5.08
SN,AH,shareera,85,10.85,5.0
SN,AH,shareera,86,11.58,5.17
SN,AH,shareera,87,11.96,5.34
SN,AH,shareera,88,11.27,5.12
SN,AH,shareera,89,10.91,5.04
SN,AH,shareera,90,11.56,5.32
SN,AH,shareera,91,12.17,5.5
SN,AH,shareera,92,12.44,5.6
SN,AH,shareera,93,12.72,5.69
SN,AH,shareera,94,12.05,5.53
SN,AH,shareera,95,11.45,5.36
SN,AH,shareera,96,12.63,5.62
SN,AH,shareera,97,12.55,5.55
SN,AH,shareera,98,11.01,5.11
SN,AH,shareera,99,10.7,5.07
SN,AH,shareera,100,11.15,5.23
SN,AH,shareera,101,10.94,5.16
SN,AH,shareera,102,10.94,5.15
SN,AH,shareera,103,11.35,5.19
SN,AH,shareera,104,12.5,5.38
SN,AH,shareera,105,12.24,5.28
SN,AH,shareera,106,11.94,5.22
SN,AH,shareera,107,11.55,5.16
SN,AH,shareera,108,12.36,5.29
SN,AH,shareera,109,11.71,5.1
SN,AH,shareera,110,11.0,4.95
SN,AH,shareera,111,10.96,4.95
SN,AH,shareera,112,11.7,5.07
SN,AH,shareera,113,11.1,4.95
SN,AH,shareera,114,10.86,4.85
SN,AH,shareera,115,10.06,4.7
SN,AH,shareera,116,10.03,4.63
SN,AH,shareera,117,9.45,4.5
SN,AH,shareera,118,8.97,4.35
SN,AH,shareera,119,8.54,4.26
SN,AH,shareera,120,8.31,3.97
SN,AH,shareera,121,8.01,3.94
SN,AH,shareera,122,8.17,3.9
