Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,sutra,1,10.5,7.01
SN,AH,sutra,2,9.75,6.98
SN,AH,sutra,3,9.39,7.1
SN,AH,sutra,4,9.51,7.28
SN,AH,sutra,5,9.57,7.53
SN,AH,sutra,6,9.61,7.54
SN,AH,sutra,7,9.28,7.23
SN,AH,sutra,8,9.09,7.26
SN,AH,sutra,9,9.26,7.25
SN,AH,sutra,10,9.08,7.48
SN,AH,sutra,11,9.18,7.55
SN,AH,sutra,12,9.85,7.86
SN,AH,sutra,13,9.72,7.71
SN,AH,sutra,14,10.14,7.88
SN,AH,sutra,15,10.1,7.74
SN,AH,sutra,16,12.27,8.43
SN,AH,sutra,17,12.57,8.6
SN,AH,sutra,18,12.16,8.34
SN,AH,sutra,19,12.27,8.19
SN,AH,sutra,20,12.26,8.48
SN,AH,sutra,21,12.3,8.28
SN,AH,sutra,22,13.46,8.78
SN,AH,sutra,23,13.46,8.77
SN,AH,sutra,24,13.5,8.71
SN,AH,sutra,25,13.79,8.79
SN,AH,sutra,26,13.89,8.93
SN,AH,sutra,27,14.32,9.13
SN,AH,sutra,28,13.99,9.17
SN,AH,sutra,29,14.86,9.65
SN,AH,sutra,30,14.87,9.64
SN,AH,sutra,31,15.15,9.71
SN,AH,sutra,32,15.03,9.78
SN,AH,sutra,33,15.18,9.81
SN,AH,sutra,34,15.21,9.97
SN,AH,sutra,35,15.15,9.97
SN,AH,sutra,36,16.0,10.3
SN,AH,sutra,37,15.88,10.42
SN,AH,sutra,38,15.29,10.09
SN,AH,sutra,39,15.07,9.94
SN,AH,sutra,40,15.07,9.94
SN,AH,sutra,41,15.92,10.34
SN,AH,sutra,42,16.17,10.43
SN,AH,sutra,43,17.01,10.83
SN,AH,sutra,44,19.67,11.47
SN,AH,sutra,45,19.41,11.44
SN,AH,sutra,46,19.55,11.5
SN,AH,sutra,47,19.39,11.5
SN,AH,sutra,48,20.71,11.82
SN,AH,sutra,49,21.72,12.18
SN,AH,sutra,50,22.12,12.29
SN,AH,sutra,51,22.68,12.31
SN,AH,sutra,52,22.11,12.33
SN,AH,sutra,53,21.35,12.13
SN,AH,sutra,54,18.88,11.36
SN,AH,sutra,55,17.73,11.02
SN,AH,sutra,56,16.47,10.57
SN,AH,sutra,57,16.97,10.64
SN,AH,sutra,58,15.71,9.81
SN,AH,sutra,59,15.12,9.62
SN,AH,sutra,60,16.12,9.92
SN,AH,sutra,61,16.22,9.9
SN,AH,sutra,62,15.25,9.4
SN,AH,sutra,63,14.68,9.16
SN,AH,sutra,64,14.51,9.23
SN,AH,sutra,65,14.23,9.12
SN,AH,sutra,66,13.62,8.34
SN,AH,sutra,67,12.84,7.99
SN,AH,sutra,68,13.9,8.31
SN,AH,sutra,69,14.25,8.49
SN,AH,sutra,70,13.42,8.19
SN,AH,sutra,71,14.72,8.42
SN,AH,sutra,72,15.07,8.49
SN,AH,sutra,73,14.89,8.48
SN,AH,sutra,74,15.86,8.66
SN,AH,sutra,75,16.12,8.45
SN,AH,sutra,76,16.02,8.44
SN,AH,sutra,77,15.36,8.32
SN,AH,sutra,78,14.67,7.95
SN,AH,sutra,79,14.61,7.93
SN,AH,sutra,80,14.75,7.94
SN,AH,sutra,81,14.16,7.45
SN,AH,sutra,82,14.78,7.07
SN,AH,sutra,83,14.73,7.19
SN,AH,sutra,84,14.5,7.25
SN,AH,sutra,85,14.2,7.23
SN,AH,sutra,86,14.06,6.81
SN,AH,sutra,87,13.84,6.68
SN,AH,sutra,88,13.21,6.59
SN,AH,sutra,89,13.33,6.6
SN,AH,sutra,90,13.1,6.58
SN,AH,sutra,91,12.94,6.57
SN,AH,sutra,92,12.87,6.51
SN,AH,sutra,93,12.45,6.39
SN,AH,sutra,94,12.68,6.44
SN,AH,sutra,95,12.48,6.42
SN,AH,sutra,96,11.94,6.42
SN,AH,sutra,97,11.97,6.28
SN,AH,sutra,98,12.02,6.14
SN,AH,sutra,99,11.89,5.98
SN,AH,sutra,100,12.5,6.22
SN,AH,sutra,101,12.17,6.18
SN,AH,sutra,102,12.59,6.25
SN,AH,sutra,103,12.1,6.05
SN,AH,sutra,104,11.95,6.36
SN,AH,sutra,105,12.34,6.44
SN,AH,sutra,106,12.67,6.65
SN,AH,sutra,107,12.29,6.77
SN,AH,sutra,108,12.39,7.28
SN,AH,sutra,109,13.28,7.34
SN,AH,sutra,110,13.04,6.97
SN,AH,sutra,111,13.89,7.0
SN,AH,sutra,112,13.94,7.27
SN,AH,sutra,113,14.32,7.24
SN,AH,sutra,114,14.21,7.21
SN,AH,sutra,115,13.89,7.32
SN,AH,sutra,116,13.84,7.65
SN,AH,sutra,117,14.46,7.79
SN,AH,sutra,118,13.51,7.57
SN,AH,sutra,119,13.45,7.62
SN,AH,sutra,120,13.09,7.53
SN,AH,sutra,121,13.21,7.74
SN,AH,sutra,122,13.39,7.74
SN,AH,sutra,123,13.77,7.74
SN,AH,sutra,124,12.75,7.13
SN,AH,sutra,125,12.92,7.16
SN,AH,sutra,126,12.93,6.89
SN,AH,sutra,127,12.42,6.83
SN,AH,sutra,128,12.39,6.84
SN,AH,sutra,129,13.7,6.97
SN,AH,sutra,130,13.81,6.97
SN,AH,sutra,131,13.35,7.11
SN,AH,sutra,132,14.48,7.79
SN,AH,sutra,133,13.77,7.69
SN,AH,sutra,134,13.89,7.58
SN,AH,sutra,135,14.31,7.42
SN,AH,sutra,136,16.37,7.96
SN,AH,sutra,137,16.11,8.17
SN,AH,sutra,138,17.02,8.34
SN,AH,sutra,139,16.85,8.28
SN,AH,sutra,140,17.03,8.24
SN,AH,sutra,141,16.99,8.16
SN,AH,sutra,142,16.84,8.19
SN,AH,sutra,143,16.11,8.14
SN,AH,sutra,144,16.22,8.2
SN,AH,sutra,145,16.37,8.18
SN,AH,sutra,146,15.86,7.99
SN,AH,sutra,147,15.66,8.07
SN,AH,sutra,148,16.13,8.15
SN,AH,sutra,149,15.68,8.09
SN,AH,sutra,150,15.92,8.23
SN,AH,sutra,151,16.51,8.17
SN,AH,sutra,152,14.88,7.73
SN,AH,sutra,153,14.71,7.91
SN,AH,sutra,154,15.4,8.09
SN,AH,sutra,155,15.19,8.14
SN,AH,sutra,156,15.4,8.08
SN,AH,sutra,157,16.05,8.06
SN,AH,sutra,158,15.56,8.07
SN,AH,sutra,159,17.15,8.39
SN,AH,sutra,160,18.64,8.83
SN,AH,sutra,161,17.6,8.79
