Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,uttara,1,12.11,9.52
SN,AH,uttara,2,12.19,9.65
SN,AH,uttara,3,12.09,9.69
SN,AH,uttara,4,11.67,9.79
SN,AH,uttara,5,11.62,9.63
SN,AH,uttara,6,12.33,9.95
SN,AH,uttara,7,13.09,9.95
SN,AH,uttara,8,13.34,9.95
SN,AH,uttara,9,12.48,9.93
SN,AH,uttara,10,11.7,9.94
SN,AH,uttara,11,11.96,9.55
SN,AH,uttara,12,11.33,9.66
SN,AH,uttara,13,10.71,9.61
SN,AH,uttara,14,10.75,10.22
SN,AH,uttara,15,10.61,9.97
SN,AH,uttara,16,11.06,10.06
SN,AH,uttara,17,11.06,9.98
SN,AH,uttara,18,11.15,9.74
SN,AH,uttara,19,10.84,9.67
SN,AH,uttara,20,10.46,9.78
SN,AH,uttara,21,10.49,9.49
SN,AH,uttara,22,10.7,9.71
SN,AH,uttara,23,11.11,9.8
SN,AH,uttara,24,10.87,9.45
SN,AH,uttara,25,11.49,9.67
SN,AH,uttara,26,10.98,8.93
SN,AH,uttara,27,11.23,9.11
SN,AH,uttara,28,11.35,9.4
SN,AH,uttara,29,11.89,9.41
SN,AH,uttara,30,12.01,9.42
SN,AH,uttara,31,11.2,9.27
SN,AH,uttara,32,11.42,9.74
SN,AH,uttara,33,11.79,9.84
SN,AH,uttara,34,12.3,9.42
SN,AH,uttara,35,12.21,9.3
SN,AH,uttara,36,12.12,9.4
SN,AH,uttara,37,11.96,9.54
SN,AH,uttara,38,12.7,9.96
SN,AH,uttara,39,12.55,9.83
SN,AH,uttara,40,12.48,9.7
SN,AH,uttara,41,12.74,9.76
SN,AH,uttara,42,12.91,10.54
SN,AH,uttara,43,13.23,10.86
SN,AH,uttara,44,14.18,10.77
SN,AH,uttara,45,14.03,10.86
SN,AH,uttara,46,15.22,11.32
SN,AH,uttara,47,14.95,11.23
SN,AH,uttara,48,15.31,10.93
SN,AH,uttara,49,15.03,10.82
SN,AH,uttara,50,14.61,10.91
SN,AH,uttara,51,14.82,10.72
SN,AH,uttara,52,14.47,10.5
SN,AH,uttara,53,14.71,10.61
SN,AH,uttara,54,13.55,10.4
SN,AH,uttara,55,13.71,10.11
SN,AH,uttara,56,13.46,10.04
SN,AH,uttara,57,13.33,10.36
SN,AH,uttara,58,12.68,10.46
SN,AH,uttara,59,12.73,10.67
SN,AH,uttara,60,12.71,10.79
SN,AH,uttara,61,12.99,11.19
SN,AH,uttara,62,12.58,10.62
SN,AH,uttara,63,12.65,10.52
SN,AH,uttara,64,12.76,10.24
SN,AH,uttara,65,12.95,10.36
SN,AH,uttara,66,12.97,9.93
