Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,kalpa,1,13.98,9.4
SN,AH,kalpa,2,14.03,9.09
SN,AH,kalpa,3,14.24,9.2
SN,AH,kalpa,4,13.61,9.69
SN,AH,kalpa,5,13.56,9.34
SN,AH,kalpa,6,12.87,9.22
SN,AH,kalpa,7,12.81,9.11
SN,AH,kalpa,8,13.02,8.68
SN,AH,kalpa,9,13.11,8.35
SN,AH,kalpa,10,12.31,7.9
SN,AH,kalpa,11,12.65,7.8
SN,AH,kalpa,12,12.67,8.1
SN,AH,kalpa,13,12.97,8.1
SN,AH,kalpa,14,13.08,7.97
SN,AH,kalpa,15,13.77,8.69
SN,AH,kalpa,16,13.63,8.79
SN,AH,kalpa,17,13.94,9.28
SN,AH,kalpa,18,13.57,8.72
SN,AH,kalpa,19,13.1,8.57
SN,AH,kalpa,20,13.04,8.18
SN,AH,kalpa,21,13.49,7.72
SN,AH,kalpa,22,13.54,7.3
SN,AH,kalpa,23,14.31,7.78
SN,AH,kalpa,24,14.16,8.68
SN,AH,kalpa,25,13.99,8.6
SN,AH,kalpa,26,13.5,8.94
SN,AH,kalpa,27,13.56,9.07
SN,AH,kalpa,28,12.94,8.55
SN,AH,kalpa,29,13.18,8.57
SN,AH,kalpa,30,12.56,8.4
SN,AH,kalpa,31,12.87,8.9
SN,AH,kalpa,32,12.62,8.94
SN,AH,kalpa,33,13.36,9.41
SN,AH,kalpa,34,12.87,8.96
SN,AH,kalpa,35,13.18,8.95
SN,AH,kalpa,36,12.78,9.04
SN,AH,kalpa,37,12.72,8.62
SN,AH,kalpa,38,12.63,8.76
SN,AH,kalpa,39,12.96,9.39
SN,AH,kalpa,40,12.97,9.37
SN,AH,kalpa,41,13.56,9.57
SN,AH,kalpa,42,13.68,9.51
SN,AH,kalpa,43,14.47,9.93
SN,AH,kalpa,44,14.03,10.36
SN,AH,kalpa,45,13.88,10.51
SN,AH,kalpa,46,13.68,10.5
SN,AH,kalpa,47,14.24,10.58
SN,AH,kalpa,48,13.32,9.93
SN,AH,kalpa,49,13.05,9.32
SN,AH,kalpa,50,11.9,8.82
SN,AH,kalpa,51,11.87,8.37
SN,AH,kalpa,52,11.79,8.38
SN,AH,kalpa,53,11.58,8.53
SN,AH,kalpa,54,11.88,9.11
SN,AH,kalpa,55,12.28,9.36
SN,AH,kalpa,56,11.83,8.99
SN,AH,kalpa,57,12.24,8.6
SN,AH,kalpa,58,11.12,8.44
SN,AH,kalpa,59,11.07,8.46
SN,AH,kalpa,60,11.03,8.13
SN,AH,kalpa,61,11.12,8.38
SN,AH,kalpa,62,11.39,8.33
SN,AH,kalpa,63,11.92,8.41
SN,AH,kalpa,64,11.62,8.09
SN,AH,kalpa,65,11.8,7.96
SN,AH,kalpa,66,12.2,8.24
SN,AH,kalpa,67,11.84,8.15
SN,AH,kalpa,68,11.62,8.68
SN,AH,kalpa,69,10.85,8.29
SN,AH,kalpa,70,11.14,8.22
SN,AH,kalpa,71,11.99,9.02
SN,AH,kalpa,72,11.05,8.86
SN,AH,kalpa,73,11.14,8.81
SN,AH,kalpa,74,11.25,8.55
SN,AH,kalpa,75,10.76,8.06
SN,AH,kalpa,76,10.6,8.47
SN,AH,kalpa,77,10.62,8.82
SN,AH,kalpa,78,11.03,8.94
SN,AH,kalpa,79,11.27,9.09
SN,AH,kalpa,80,11.7,9.44
SN,AH,kalpa,81,11.22,9.1
SN,AH,kalpa,82,11.7,9.44
SN,AH,kalpa,83,12.34,9.97
SN,AH,kalpa,84,11.53,9.61
SN,AH,kalpa,85,11.32,9.19
SN,AH,kalpa,86,11.84,9.47
SN,AH,kalpa,87,12.06,9.79
SN,AH,kalpa,88,12.5,9.53
SN,AH,kalpa,89,12.21,9.23
