Text_Type,Book,Chapter,Window,LG,G,GGG,GLG,L,GGL,GLL,LLG,LGL,LGG,LLL,GG,LL
SN,AH,nidana,1,1,22,42,23,2,23,7,7,26,13,0,0,0
SN,AH,nidana,2,1,22,41,22,2,22,7,9,27,13,0,0,0
SN,AH,nidana,3,1,21,39,23,2,22,8,10,26,15,1,0,0
SN,AH,nidana,4,1,21,39,22,2,22,8,10,26,16,1,0,0
SN,AH,nidana,5,1,21,37,23,2,22,8,10,27,16,1,0,0
SN,AH,nidana,6,1,21,38,24,2,22,9,10,26,14,1,0,0
SN,AH,nidana,7,1,21,36,25,2,23,10,10,26,13,1,0,0
SN,AH,nidana,8,1,20,34,25,3,23,11,10,26,14,1,0,0
SN,AH,nidana,9,1,19,30,26,3,24,12,11,27,16,1,0,0
SN,AH,nidana,10,1,19,30,25,3,23,13,12,27,16,1,0,0
SN,AH,nidana,11,1,18,29,26,3,22,14,13,28,17,1,0,0
SN,AH,nidana,12,1,18,30,27,3,22,13,12,28,17,1,0,0
SN,AH,nidana,13,1,18,32,27,3,21,13,11,28,17,1,0,0
SN,AH,nidana,14,1,18,33,27,3,20,14,10,28,16,2,0,0
SN,AH,nidana,15,1,18,33,29,3,21,13,9,28,15,2,0,0
SN,AH,nidana,16,1,18,33,28,3,21,13,9,29,15,2,0,0
SN,AH,nidana,17,1,18,30,27,3,22,14,10,30,15,2,0,0
SN,AH,nidana,18,1,18,30,28,3,22,13,10,29,16,2,0,0
SN,AH,nidana,19,2,18,31,27,2,22,14,11,31,17,2,0,0
SN,AH,nidana,20,1,19,30,26,2,22,15,10,32,18,2,0,0
SN,AH,nidana,21,1,18,30,28,2,21,16,10,32,19,2,0,0
SN,AH,nidana,22,1,18,32,29,2,19,15,11,31,19,2,0,0
SN,AH,nidana,23,1,18,32,30,2,18,15,11,32,18,2,0,0
SN,AH,nidana,24,1,18,30,29,1,18,15,11,31,17,2,1,0
SN,AH,nidana,25,1,18,31,28,1,16,15,12,31,18,2,1,0
SN,AH,nidana,26,1,18,27,23,1,13,16,11,28,17,2,1,0
SN,AH,nidana,27,1,17,28,26,1,13,17,9,27,18,2,1,0
SN,AH,nidana,28,1,18,28,26,1,14,16,8,28,16,1,1,0
SN,AH,nidana,29,1,18,29,26,1,15,15,8,29,14,1,1,0
SN,AH,nidana,30,1,18,31,24,1,15,15,9,28,14,1,1,0
SN,AH,nidana,31,1,17,30,24,2,16,14,9,29,14,1,1,0
SN,AH,nidana,32,1,17,30,23,2,17,14,9,29,14,1,1,0
SN,AH,nidana,33,1,18,30,23,1,19,12,10,29,13,1,1,0
SN,AH,nidana,34,1,19,33,22,1,19,11,9,28,11,1,1,0
SN,AH,nidana,35,1,18,35,24,1,20,10,9,27,11,1,1,0
SN,AH,nidana,36,1,19,36,22,1,21,9,8,27,10,1,1,0
SN,AH,nidana,37,1,19,34,22,1,22,9,9,27,10,1,1,0
SN,AH,nidana,38,1,19,33,23,1,22,9,9,28,9,1,1,0
SN,AH,nidana,39,1,18,33,25,1,23,8,9,27,11,1,1,0
SN,AH,nidana,40,1,18,35,23,1,23,8,9,28,10,1,1,0
SN,AH,nidana,41,1,18,37,23,1,22,8,10,27,9,1,1,0
SN,AH,nidana,42,1,18,38,24,1,22,7,9,27,9,1,1,0
SN,AH,nidana,43,1,18,39,24,1,21,7,9,28,8,1,1,0
SN,AH,nidana,44,0,19,37,24,1,20,7,9,26,8,1,1,0
SN,AH,nidana,45,0,19,39,25,1,19,6,9,26,7,1,1,0
SN,AH,nidana,46,0,20,38,24,1,18,5,9,27,7,1,1,0
SN,AH,nidana,47,0,19,36,26,1,20,6,8,26,9,1,1,0
SN,AH,nidana,48,0,19,36,26,1,20,7,8,25,9,1,1,0
SN,AH,nidana,49,0,20,36,27,1,21,7,9,27,9,1,0,0
SN,AH,nidana,50,0,20,35,28,1,21,7,9,27,9,1,0,0
SN,AH,nidana,51,0,20,34,28,1,23,6,10,26,9,1,0,0
SN,AH,nidana,52,0,21,33,26,1,22,5,10,27,10,1,0,0
SN,AH,nidana,53,0,21,33,27,1,21,5,9,28,10,1,0,0
SN,AH,nidana,54,0,21,33,26,1,21,5,9,28,11,1,0,0
SN,AH,nidana,55,0,21,31,26,1,22,6,8,29,11,1,0,0
SN,AH,nidana,56,0,22,32,26,0,21,6,8,28,12,1,0,0
SN,AH,nidana,57,0,22,33,26,0,20,5,8,28,13,1,0,0
SN,AH,nidana,58,0,22,34,27,0,18,5,7,29,13,1,0,0
SN,AH,nidana,59,0,21,32,30,0,18,5,9,29,13,1,0,0
