Text_Type,Book,Chapter,Window,GLL,GLG,LGG,LLL,G,GGG,LGL,LLG,GGL,L,LG,LL,GG
SN,AH,sutra,1,7,40,15,1,20,25,21,7,22,2,0,0,0
SN,AH,sutra,2,7,40,15,1,19,26,21,7,19,3,0,0,0
SN,AH,sutra,3,6,37,16,1,19,27,21,7,19,3,0,0,0
SN,AH,sutra,4,7,36,17,1,19,26,21,7,19,3,0,0,0
SN,AH,sutra,5,7,36,17,1,19,27,22,7,17,3,0,0,0
SN,AH,sutra,6,7,35,17,1,19,28,22,7,17,3,0,0,0
SN,AH,sutra,7,8,33,17,1,19,28,23,7,17,3,0,0,0
SN,AH,sutra,8,8,32,17,1,19,28,23,8,17,3,0,0,0
SN,AH,sutra,9,8,32,18,1,19,28,23,9,15,3,0,0,0
SN,AH,sutra,10,8,32,16,1,19,30,24,8,15,3,0,0,0
SN,AH,sutra,11,8,29,15,1,19,31,25,10,15,3,0,0,0
SN,AH,sutra,12,9,25,14,1,20,30,28,10,14,3,0,0,0
SN,AH,sutra,13,9,25,15,1,20,29,28,10,14,3,0,0,0
SN,AH,sutra,14,9,26,14,1,21,31,28,8,14,2,0,0,0
SN,AH,sutra,15,9,26,15,1,21,31,28,8,13,2,0,0,0
SN,AH,sutra,16,9,24,16,0,22,30,29,9,11,2,0,0,0
SN,AH,sutra,17,9,23,16,0,22,30,29,9,12,2,0,0,0
SN,AH,sutra,18,10,22,18,0,23,27,30,9,12,1,0,0,0
SN,AH,sutra,19,11,25,21,0,22,27,29,9,9,1,0,0,0
SN,AH,sutra,20,10,25,19,0,22,28,30,9,10,1,0,0,0
SN,AH,sutra,21,10,27,19,0,21,28,31,8,13,1,1,0,0
SN,AH,sutra,22,10,25,17,0,22,28,32,7,14,1,1,0,0
SN,AH,sutra,23,11,24,16,0,22,28,32,7,15,1,1,0,0
SN,AH,sutra,24,11,25,17,0,22,25,32,7,16,1,1,0,0
SN,AH,sutra,25,12,24,17,0,22,25,32,8,15,1,1,0,0
SN,AH,sutra,26,13,22,15,0,22,26,33,8,16,1,1,0,0
SN,AH,sutra,27,12,20,15,0,22,26,34,8,18,1,1,0,0
SN,AH,sutra,28,12,21,14,0,22,27,34,8,17,1,1,0,0
SN,AH,sutra,29,10,22,14,0,22,28,34,7,18,1,1,0,0
SN,AH,sutra,30,9,22,14,0,22,28,35,7,18,1,1,0,0
SN,AH,sutra,31,9,22,15,0,22,28,35,7,17,1,1,0,0
SN,AH,sutra,32,9,22,15,0,22,28,33,8,18,1,1,0,0
SN,AH,sutra,33,8,22,15,0,22,28,34,8,18,1,1,0,0
SN,AH,sutra,34,8,22,15,0,21,29,34,7,18,2,1,0,0
SN,AH,sutra,35,7,22,15,0,21,28,33,8,20,2,1,0,0
SN,AH,sutra,36,7,24,16,0,21,28,32,6,20,2,1,0,0
SN,AH,sutra,37,6,25,15,0,21,30,30,6,21,2,1,0,0
SN,AH,sutra,38,6,26,15,0,21,29,31,6,20,2,1,0,0
SN,AH,sutra,39,6,26,16,0,20,26,32,6,21,3,1,0,0
SN,AH,sutra,40,6,26,16,0,20,25,33,7,20,3,1,0,0
SN,AH,sutra,41,6,26,14,0,20,26,34,6,21,3,1,0,0
SN,AH,sutra,42,6,27,14,0,20,27,34,5,20,3,1,0,0
SN,AH,sutra,43,5,28,12,0,20,27,33,6,22,3,1,0,0
SN,AH,sutra,44,4,25,11,0,21,26,34,6,24,3,1,0,0
SN,AH,sutra,45,4,25,12,0,21,27,33,6,23,3,1,0,0
SN,AH,sutra,46,4,22,13,0,22,25,32,7,22,3,0,0,0
SN,AH,sutra,47,4,21,13,0,22,27,32,7,21,3,0,0,0
SN,AH,sutra,48,3,21,14,0,22,28,32,8,19,3,0,0,0
SN,AH,sutra,49,3,19,13,0,22,31,32,9,18,3,0,0,0
SN,AH,sutra,50,2,19,13,0,22,32,32,8,19,3,0,0,0
SN,AH,sutra,51,1,21,14,0,22,32,31,8,18,3,0,0,0
SN,AH,sutra,52,1,23,14,0,23,32,30,8,17,2,0,0,0
SN,AH,sutra,53,1,25,14,0,23,30,31,8,16,2,0,0,0
SN,AH,sutra,54,1,24,14,0,23,30,32,8,16,2,0,0,0
SN,AH,sutra,55,1,24,16,0,22,31,31,8,17,2,0,0,0
SN,AH,sutra,56,1,24,15,0,22,31,32,8,17,2,0,0,0
SN,AH,sutra,57,0,25,14,0,22,31,33,8,17,2,0,0,0
SN,AH,sutra,58,1,25,15,0,22,31,32,7,17,2,0,0,0
SN,AH,sutra,59,1,25,14,0,22,31,32,7,18,2,0,0,0
SN,AH,sutra,60,1,27,14,0,21,31,32,6,17,3,0,0,0
SN,AH,sutra,61,1,26,13,0,20,32,33,6,17,4,0,0,0
SN,AH,sutra,62,2,26,13,0,20,31,34,6,16,4,0,0,0
SN,AH,sutra,63,3,25,12,0,19,31,34,7,16,5,0,0,0
SN,AH,sutra,64,3,26,11,0,20,32,33,7,16,4,0,0,0
SN,AH,sutra,65,3,26,11,0,20,33,32,6,17,4,0,0,0
SN,AH,sutra,66,3,27,11,0,20,33,31,6,17,4,0,0,0
SN,AH,sutra,67,3,27,12,0,20,32,31,6,17,4,0,0,0
SN,AH,sutra,68,3,26,13,0,20,34,31,5,16,4,0,0,0
SN,AH,sutra,69,3,27,11,0,19,36,31,5,15,5,0,0,0
SN,AH,sutra,70,3,28,10,0,19,35,31,5,16,5,0,0,0
SN,AH,sutra,71,4,29,9,0,19,36,32,4,14,5,0,0,0
SN,AH,sutra,72,4,30,10,0,19,35,32,4,13,5,0,0,0
SN,AH,sutra,73,4,31,9,0,19,34,34,3,13,5,0,0,0
SN,AH,sutra,74,4,32,9,0,19,34,34,2,13,5,0,0,0
SN,AH,sutra,75,4,33,11,0,18,34,33,2,14,5,0,0,0
SN,AH,sutra,76,4,31,10,0,18,33,32,2,14,5,0,0,0
SN,AH,sutra,77,4,30,10,0,18,34,31,2,15,5,0,0,0
SN,AH,sutra,78,5,27,10,0,18,35,32,2,15,5,0,0,0
SN,AH,sutra,79,7,27,9,1,18,35,31,2,14,5,0,0,0
SN,AH,sutra,80,8,27,7,1,19,33,31,2,14,5,0,0,0
SN,AH,sutra,81,8,26,9,1,19,31,30,3,15,5,0,0,0
SN,AH,sutra,82,9,26,11,1,19,30,30,2,14,5,0,0,0
SN,AH,sutra,83,9,28,11,2,18,29,29,2,16,5,0,0,0
SN,AH,sutra,84,10,28,11,2,19,28,29,2,16,4,0,0,0
SN,AH,sutra,85,10,27,11,2,20,29,29,2,16,3,0,0,0
SN,AH,sutra,86,11,27,11,2,21,29,28,2,16,2,0,0,0
SN,AH,sutra,87,11,28,14,2,20,29,27,2,16,2,0,0,0
SN,AH,sutra,88,11,28,14,2,20,30,26,2,16,2,0,0,0
SN,AH,sutra,89,11,28,15,2,20,30,26,2,15,2,0,0,0
SN,AH,sutra,90,11,28,16,2,20,29,26,3,14,2,0,0,0
SN,AH,sutra,91,11,29,19,3,19,28,25,3,14,2,0,0,0
SN,AH,sutra,92,11,29,18,3,18,27,25,4,15,3,0,0,0
SN,AH,sutra,93,11,30,17,3,18,26,26,4,15,3,0,0,0
SN,AH,sutra,94,11,30,18,3,19,25,26,4,15,2,0,0,0
SN,AH,sutra,95,11,29,19,3,19,24,27,5,14,2,0,0,0
SN,AH,sutra,96,11,29,20,3,19,24,26,5,14,2,0,0,0
SN,AH,sutra,97,11,29,19,3,19,25,26,5,14,2,0,0,0
SN,AH,sutra,98,11,28,19,3,19,25,25,6,15,2,0,0,0
SN,AH,sutra,99,11,29,19,3,19,24,25,6,15,2,0,0,0
SN,AH,sutra,100,12,29,18,3,20,22,26,6,13,2,0,0,0
SN,AH,sutra,101,12,32,18,3,20,22,27,6,14,2,0,0,0
SN,AH,sutra,102,12,31,18,3,20,22,29,7,12,2,0,0,0
SN,AH,sutra,103,12,31,20,3,20,21,27,7,13,2,0,0,0
SN,AH,sutra,104,10,32,21,2,20,21,27,7,14,2,0,0,0
SN,AH,sutra,105,9,32,22,2,20,21,27,7,14,2,0,0,0
SN,AH,sutra,106,10,32,21,2,19,21,27,7,14,3,0,0,0
SN,AH,sutra,107,10,34,19,3,18,21,27,8,15,3,0,0,0
SN,AH,sutra,108,9,31,19,2,19,22,30,8,13,3,0,0,0
SN,AH,sutra,109,8,31,19,2,19,24,30,8,12,3,0,0,0
SN,AH,sutra,110,8,32,19,2,19,23,30,8,12,3,0,0,0
SN,AH,sutra,111,7,34,20,3,18,23,29,8,13,3,0,0,0
SN,AH,sutra,112,7,33,18,3,19,22,29,8,14,3,0,0,0
SN,AH,sutra,113,7,35,20,3,19,23,30,9,15,3,0,0,0
SN,AH,sutra,114,7,35,19,3,19,22,31,9,16,3,0,0,0
SN,AH,sutra,115,7,35,17,3,19,23,31,8,18,3,0,0,0
SN,AH,sutra,116,7,33,14,2,20,25,32,8,18,3,0,0,0
SN,AH,sutra,117,7,33,15,2,21,25,32,7,18,2,0,0,0
SN,AH,sutra,118,7,32,15,2,21,25,32,8,18,2,0,0,0
SN,AH,sutra,119,7,33,14,2,21,25,32,8,18,2,0,0,0
SN,AH,sutra,120,7,33,13,2,21,27,31,7,19,2,0,0,0
SN,AH,sutra,121,6,32,12,2,21,29,31,7,20,2,0,0,0
SN,AH,sutra,122,7,30,14,2,21,28,31,7,20,2,0,0,0
SN,AH,sutra,123,7,31,16,2,21,27,30,6,20,2,0,0,0
SN,AH,sutra,124,7,30,16,2,21,25,31,7,21,2,0,0,0
SN,AH,sutra,125,6,31,15,2,21,25,32,7,21,2,0,0,0
SN,AH,sutra,126,6,29,16,2,21,26,32,8,20,2,0,0,0
SN,AH,sutra,127,6,30,16,2,21,24,32,8,21,2,0,0,0
SN,AH,sutra,128,5,30,15,2,20,25,32,8,22,3,0,0,0
SN,AH,sutra,129,5,30,15,2,20,24,32,8,23,3,0,0,0
SN,AH,sutra,130,5,29,14,2,20,23,33,8,25,3,0,0,0
SN,AH,sutra,131,4,31,13,2,21,23,33,7,26,2,0,0,0
SN,AH,sutra,132,3,29,14,1,22,25,33,6,25,2,0,0,0
SN,AH,sutra,133,3,29,14,1,22,24,32,6,27,2,0,0,0
SN,AH,sutra,134,3,29,16,1,21,21,33,6,27,3,0,0,0
SN,AH,sutra,135,4,28,18,1,20,21,33,7,27,3,0,0,0
SN,AH,sutra,136,5,25,17,0,21,19,35,7,28,3,0,0,0
SN,AH,sutra,137,4,24,16,0,21,21,36,7,28,3,0,0,0
SN,AH,sutra,138,4,21,16,0,22,19,35,6,27,2,0,0,0
SN,AH,sutra,139,4,20,16,0,22,20,35,7,26,2,0,0,0
SN,AH,sutra,140,5,20,16,0,22,20,36,7,24,2,0,0,0
SN,AH,sutra,141,7,21,18,0,21,18,37,7,23,2,0,0,0
SN,AH,sutra,142,7,21,17,0,21,17,38,8,23,2,0,0,0
SN,AH,sutra,143,7,21,17,0,21,18,37,9,22,2,0,0,0
SN,AH,sutra,144,7,21,17,0,21,18,37,9,22,2,0,0,0
SN,AH,sutra,145,8,21,17,0,20,17,37,9,22,3,0,0,0
SN,AH,sutra,146,8,22,17,0,20,16,38,9,21,3,0,0,0
SN,AH,sutra,147,7,23,15,0,20,17,38,9,22,3,0,0,0
SN,AH,sutra,148,7,22,13,0,20,17,39,10,23,3,0,0,0
SN,AH,sutra,149,8,22,15,0,19,19,38,10,24,3,1,0,0
SN,AH,sutra,150,9,19,16,0,19,20,37,10,25,3,1,0,0
SN,AH,sutra,151,9,19,16,0,18,21,37,11,28,3,2,0,0
SN,AH,sutra,152,9,20,16,0,18,23,36,10,27,3,2,0,0
SN,AH,sutra,153,10,20,16,0,19,22,36,11,26,2,2,0,0
SN,AH,sutra,154,10,19,15,0,18,22,37,11,27,3,2,0,0
SN,AH,sutra,155,10,19,17,0,18,23,37,11,24,3,2,0,0
SN,AH,sutra,156,11,18,17,0,18,24,38,11,22,3,2,0,0
SN,AH,sutra,157,11,19,16,0,18,22,38,11,24,3,2,0,0
SN,AH,sutra,158,11,19,15,0,17,25,37,12,22,4,2,0,0
SN,AH,sutra,159,11,20,13,0,18,26,36,13,22,3,2,0,0
SN,AH,sutra,160,12,19,12,0,19,25,37,12,21,3,2,0,0
SN,AH,sutra,161,11,21,12,0,19,26,36,13,19,3,2,0,0
SN,AH,sutra,162,11,22,12,0,19,26,36,13,18,3,2,0,0
SN,AH,sutra,163,11,22,10,0,19,27,35,13,20,3,2,0,0
SN,AH,sutra,164,12,21,10,0,19,28,34,13,20,3,2,0,0
SN,AH,sutra,165,12,21,10,0,19,27,34,14,20,3,2,0,0
SN,AH,sutra,166,10,20,9,0,20,28,33,15,20,3,2,0,0
SN,AH,sutra,167,10,21,9,0,20,29,32,14,20,3,2,0,0
SN,AH,sutra,168,10,21,9,0,20,30,32,12,21,3,2,0,0
SN,AH,sutra,169,10,21,9,0,20,30,33,12,20,3,2,0,0
SN,AH,sutra,170,9,20,10,0,21,31,33,13,19,2,2,0,0
SN,AH,sutra,171,9,21,11,0,21,30,32,13,19,2,2,0,0
SN,AH,sutra,172,9,23,11,0,21,28,32,13,19,2,2,0,0
SN,AH,sutra,173,10,24,11,0,20,29,31,12,18,3,2,0,0
SN,AH,sutra,174,9,24,9,0,21,28,31,12,17,3,1,0,0
SN,AH,sutra,175,8,24,8,0,21,30,31,13,16,3,1,0,0
SN,AH,sutra,176,9,24,7,0,22,28,30,11,16,3,0,0,0
