Text_Type,Book,Chapter,Window,LGL,LLG,LLL,GGL,GGG,LGG,LG,G,L,GLG,GLL,LL,GG,GL
SN,AH,kalpa,1,68,28,8,40,80,36,5,31,6,63,24,0,0,0
SN,AH,kalpa,2,68,26,8,40,82,36,5,30,6,66,24,0,0,0
SN,AH,kalpa,3,68,26,8,39,81,38,5,29,7,66,24,0,0,0
SN,AH,kalpa,4,66,26,8,41,83,39,5,29,6,67,23,0,0,0
SN,AH,kalpa,5,66,27,8,41,82,39,5,29,6,67,23,0,0,0
SN,AH,kalpa,6,62,26,7,42,81,43,6,28,6,66,23,0,0,0
SN,AH,kalpa,7,62,26,7,42,83,42,6,28,6,65,23,0,0,0
SN,AH,kalpa,8,62,24,7,40,84,43,5,28,6,67,23,1,0,0
SN,AH,kalpa,9,62,24,7,40,84,42,5,28,6,68,23,1,0,0
SN,AH,kalpa,10,62,24,6,40,83,40,6,28,6,66,23,1,0,0
SN,AH,kalpa,11,61,23,6,41,82,40,6,28,6,68,23,1,0,0
SN,AH,kalpa,12,59,22,6,41,82,44,6,28,6,68,22,1,0,0
SN,AH,kalpa,13,59,22,6,41,82,42,6,27,7,70,22,1,0,0
SN,AH,kalpa,14,59,21,6,41,82,41,6,27,7,71,23,1,0,0
SN,AH,kalpa,15,60,21,6,42,81,42,6,27,7,70,22,1,0,0
SN,AH,kalpa,16,61,21,6,42,80,40,6,28,7,70,21,1,0,0
SN,AH,kalpa,17,59,22,6,44,79,42,6,28,7,69,20,1,0,0
SN,AH,kalpa,18,57,20,6,45,76,42,5,28,7,71,22,1,0,0
SN,AH,kalpa,19,57,20,6,44,76,43,5,29,6,71,22,1,0,0
SN,AH,kalpa,20,55,20,7,47,78,44,4,29,6,72,22,1,0,0
SN,AH,kalpa,21,57,19,7,48,76,43,4,28,7,73,22,1,0,0
SN,AH,kalpa,22,56,21,8,48,75,42,4,27,7,75,23,1,0,0
SN,AH,kalpa,23,55,22,8,49,74,42,4,27,7,75,23,1,0,0
SN,AH,kalpa,24,53,20,7,44,76,39,4,27,7,73,20,1,0,0
SN,AH,kalpa,25,53,20,7,44,74,39,4,27,7,74,21,1,0,0
SN,AH,kalpa,26,53,21,7,44,73,39,4,28,6,74,21,1,0,0
SN,AH,kalpa,27,53,21,7,42,74,37,4,28,6,76,22,1,0,0
SN,AH,kalpa,28,53,22,6,44,73,37,5,28,6,75,24,1,0,0
SN,AH,kalpa,29,53,22,6,44,72,38,5,28,6,75,24,1,0,0
SN,AH,kalpa,30,52,22,5,45,71,38,4,28,6,76,23,1,0,0
SN,AH,kalpa,31,52,22,5,45,69,39,4,28,6,77,23,1,0,0
SN,AH,kalpa,32,52,23,5,47,69,38,4,28,6,75,23,1,0,0
