Text_Type,Book,Chapter,Window,LGL,GGL,LGG,GLG,LLG,GLL,G,LLL,L,GGG,LG,GL,GG,LL
SN,AH,shareera,1,63,33,21,50,18,15,39,1,4,70,0,0,0,0
SN,AH,shareera,2,62,33,22,52,19,15,38,1,4,70,0,0,0,0
SN,AH,shareera,3,62,33,24,51,20,14,38,1,4,69,0,0,0,0
SN,AH,shareera,4,62,32,23,49,19,15,39,1,4,70,0,0,0,0
SN,AH,shareera,5,61,32,25,49,19,15,39,1,4,69,0,0,0,0
SN,AH,shareera,6,59,31,27,51,19,15,38,1,4,71,0,0,0,0
SN,AH,shareera,7,59,31,28,50,19,16,38,1,4,70,0,0,0,0
SN,AH,shareera,8,59,33,30,51,18,16,37,1,4,69,0,0,0,0
SN,AH,shareera,9,60,32,31,50,18,16,37,1,4,69,0,0,0,0
SN,AH,shareera,10,60,32,31,50,16,16,37,1,4,71,0,0,0,0
SN,AH,shareera,11,60,32,31,51,16,16,36,1,5,70,0,0,0,0
SN,AH,shareera,12,59,33,34,51,16,16,35,1,5,72,1,0,0,0
SN,AH,shareera,13,58,33,35,52,15,17,35,1,5,71,1,0,0,0
SN,AH,shareera,14,57,32,36,51,15,17,35,1,5,73,1,0,0,0
SN,AH,shareera,15,57,33,35,51,15,17,35,1,5,73,1,0,0,0
SN,AH,shareera,16,58,33,34,52,14,17,35,1,5,73,1,0,0,0
SN,AH,shareera,17,58,33,35,53,14,17,36,1,4,71,1,0,0,0
SN,AH,shareera,18,57,32,36,54,14,18,35,1,5,72,1,0,0,0
SN,AH,shareera,19,56,32,36,53,14,17,34,1,6,70,1,0,0,0
SN,AH,shareera,20,58,31,36,54,13,18,33,1,6,71,1,0,0,0
SN,AH,shareera,21,57,29,36,54,13,18,32,1,6,69,1,0,0,0
SN,AH,shareera,22,57,28,34,54,13,17,32,1,6,67,1,1,0,0
SN,AH,shareera,23,56,27,34,53,13,17,31,1,6,65,1,1,0,0
SN,AH,shareera,24,57,27,34,55,13,17,31,1,6,65,1,1,0,0
SN,AH,shareera,25,57,28,35,54,13,18,31,1,6,63,1,1,0,0
SN,AH,shareera,26,56,28,36,55,12,17,31,1,6,64,1,1,0,0
SN,AH,shareera,27,55,26,36,55,12,17,31,1,6,67,1,1,0,0
SN,AH,shareera,28,54,26,37,58,12,17,31,1,5,69,2,1,0,0
SN,AH,shareera,29,53,26,37,58,11,17,31,1,5,71,2,1,0,0
SN,AH,shareera,30,53,25,39,57,13,16,30,1,5,75,3,1,0,0
SN,AH,shareera,31,53,24,39,56,14,16,30,1,5,76,3,1,0,0
SN,AH,shareera,32,53,25,38,56,15,16,30,1,5,75,3,1,0,0
SN,AH,shareera,33,52,25,37,56,16,16,30,1,5,76,3,1,0,0
SN,AH,shareera,34,54,24,35,54,17,15,31,1,5,76,3,1,0,0
SN,AH,shareera,35,54,24,36,52,18,15,31,1,5,76,3,1,0,0
SN,AH,shareera,36,53,24,36,51,18,15,32,1,4,78,3,1,0,0
SN,AH,shareera,37,54,24,36,53,16,15,32,1,4,77,3,1,0,0
SN,AH,shareera,38,55,25,36,52,16,13,33,1,4,75,3,1,0,0
SN,AH,shareera,39,55,24,37,50,16,14,33,1,4,76,3,1,0,0
SN,AH,shareera,40,55,23,37,51,15,15,33,1,4,76,3,1,0,0
SN,AH,shareera,41,53,22,37,52,16,15,33,1,4,77,3,1,0,0
SN,AH,shareera,42,53,23,36,53,14,14,34,1,4,76,3,1,0,0
SN,AH,shareera,43,52,22,36,56,14,13,34,1,4,76,3,1,0,0
SN,AH,shareera,44,53,22,36,56,15,12,34,1,4,75,3,1,0,0
SN,AH,shareera,45,53,23,36,56,17,11,34,1,4,73,3,1,0,0
SN,AH,shareera,46,53,24,36,56,17,11,34,1,4,72,3,1,0,0
SN,AH,shareera,47,55,24,35,57,16,11,34,1,4,71,3,1,0,0
SN,AH,shareera,48,59,26,34,58,17,12,34,2,4,72,4,1,0,0
SN,AH,shareera,49,59,26,34,57,18,13,34,2,4,71,4,1,0,0
SN,AH,shareera,50,57,26,34,60,19,13,33,2,4,72,4,1,0,0
