Text_Type,Book,Chapter,Window,G,LGL,LGG,L,LLL,GGL,GLG,LLG,GLL,LG,GGG,LL,GG
SN,AH,sutra,1,42,54,30,3,1,38,62,15,20,1,51,0,0
SN,AH,sutra,2,41,55,30,4,1,37,60,15,19,1,52,0,0
SN,AH,sutra,3,41,55,30,4,1,36,58,15,18,1,54,0,0
SN,AH,sutra,4,41,55,31,4,1,37,58,14,17,1,54,0,0
SN,AH,sutra,5,41,57,31,4,1,35,58,14,16,1,55,0,0
SN,AH,sutra,6,41,57,32,4,1,34,57,14,16,1,56,0,0
SN,AH,sutra,7,41,56,32,4,1,35,55,15,17,1,56,0,0
SN,AH,sutra,8,41,57,32,4,1,35,54,16,16,1,56,0,0
SN,AH,sutra,9,40,57,33,5,1,33,54,16,16,1,57,0,0
SN,AH,sutra,10,40,57,31,5,1,35,54,16,15,1,58,0,0
SN,AH,sutra,11,40,57,31,5,1,35,53,16,15,1,59,0,0
SN,AH,sutra,12,41,58,29,5,1,35,50,16,15,1,60,0,0
SN,AH,sutra,13,41,59,30,5,1,34,51,16,15,1,58,0,0
SN,AH,sutra,14,41,60,30,5,1,35,52,14,15,1,57,0,0
SN,AH,sutra,15,41,61,31,5,1,33,52,15,15,1,56,0,0
SN,AH,sutra,16,42,63,30,5,0,32,50,15,15,1,56,0,0
SN,AH,sutra,17,42,63,30,5,0,32,50,14,15,1,57,0,0
SN,AH,sutra,18,43,63,30,4,0,34,50,15,15,1,54,0,0
SN,AH,sutra,19,43,63,32,4,0,33,50,15,15,1,53,0,0
SN,AH,sutra,20,43,63,31,4,0,33,50,15,14,1,55,0,0
SN,AH,sutra,21,43,63,32,4,0,35,49,15,14,1,53,0,0
SN,AH,sutra,22,44,64,30,4,0,35,46,14,14,1,55,0,0
SN,AH,sutra,23,44,64,30,4,0,34,45,15,14,1,56,0,0
SN,AH,sutra,24,44,64,30,4,0,34,44,16,14,1,56,0,0
SN,AH,sutra,25,44,64,30,4,0,34,43,16,14,1,57,0,0
SN,AH,sutra,26,44,64,29,4,0,34,43,16,14,1,58,0,0
SN,AH,sutra,27,45,64,29,3,0,35,43,16,13,1,58,0,0
SN,AH,sutra,28,45,65,28,3,0,33,46,16,13,1,57,0,0
SN,AH,sutra,29,45,66,28,3,0,34,46,15,11,1,58,0,0
SN,AH,sutra,30,44,66,30,3,0,35,46,15,10,1,59,0,0
SN,AH,sutra,31,44,67,30,3,0,34,46,15,10,1,59,0,0
SN,AH,sutra,32,44,66,29,3,0,35,47,16,9,1,59,0,0
SN,AH,sutra,33,44,66,30,3,0,35,47,15,9,1,59,0,0
SN,AH,sutra,34,43,66,29,4,0,36,47,14,9,1,60,0,0
SN,AH,sutra,35,42,65,29,5,0,37,49,14,8,1,59,0,0
SN,AH,sutra,36,41,65,29,6,0,37,50,12,8,1,60,0,0
SN,AH,sutra,37,41,64,28,6,0,37,51,12,8,1,61,0,0
SN,AH,sutra,38,40,65,27,7,0,36,51,13,9,1,60,0,0
SN,AH,sutra,39,40,65,27,7,0,37,52,13,9,1,58,0,0
SN,AH,sutra,40,40,65,27,7,0,37,52,13,9,1,58,0,0
SN,AH,sutra,41,40,65,25,7,0,38,53,12,9,1,59,0,0
SN,AH,sutra,42,40,65,26,7,0,37,54,11,9,1,59,0,0
SN,AH,sutra,43,40,64,25,7,0,38,54,11,8,1,61,0,0
SN,AH,sutra,44,40,65,22,8,0,39,52,11,7,1,62,0,0
SN,AH,sutra,45,40,64,22,8,0,39,53,11,7,1,62,0,0
SN,AH,sutra,46,41,64,22,8,0,36,51,11,8,0,61,0,0
SN,AH,sutra,47,41,64,23,8,0,34,51,11,8,0,62,0,0
SN,AH,sutra,48,41,66,23,8,0,32,52,11,7,0,62,0,0
SN,AH,sutra,49,41,66,22,8,0,31,51,11,7,0,65,0,0
SN,AH,sutra,50,40,65,24,8,0,33,52,10,6,0,66,0,0
SN,AH,sutra,51,40,63,24,8,0,32,52,10,5,0,65,0,0
SN,AH,sutra,52,41,61,24,7,0,32,53,10,5,0,66,0,0
SN,AH,sutra,53,41,63,24,7,0,31,52,10,6,0,65,0,0
SN,AH,sutra,54,41,63,23,7,1,30,51,10,8,0,65,0,0
SN,AH,sutra,55,41,62,23,7,1,31,51,10,9,0,64,0,0
SN,AH,sutra,56,41,62,24,7,1,32,50,11,9,0,62,0,0
SN,AH,sutra,57,41,63,25,7,1,31,51,10,9,0,61,0,0
SN,AH,sutra,58,40,61,26,7,2,33,53,9,10,0,60,0,0
SN,AH,sutra,59,41,61,25,6,2,34,53,9,11,0,59,0,0
SN,AH,sutra,60,41,61,25,6,2,33,54,8,11,0,60,0,0
SN,AH,sutra,61,41,61,24,6,2,33,53,8,12,0,61,0,0
SN,AH,sutra,62,40,61,27,6,2,32,54,8,13,0,60,0,0
SN,AH,sutra,63,39,60,26,7,2,32,53,9,14,0,61,0,0
SN,AH,sutra,64,40,59,26,6,2,31,54,9,14,0,62,0,0
SN,AH,sutra,65,40,58,27,6,2,31,54,9,14,0,62,0,0
SN,AH,sutra,66,39,56,30,6,3,31,56,9,14,0,61,0,0
SN,AH,sutra,67,38,56,30,7,3,32,56,10,14,0,59,0,0
SN,AH,sutra,68,38,57,30,7,3,31,56,9,14,0,60,0,0
SN,AH,sutra,69,38,57,29,7,3,30,57,9,14,0,61,0,0
SN,AH,sutra,70,38,58,29,7,3,30,57,10,14,0,59,0,0
SN,AH,sutra,71,38,58,29,7,3,28,58,9,15,0,60,0,0
SN,AH,sutra,72,38,58,29,7,3,27,59,9,15,0,60,0,0
SN,AH,sutra,73,38,59,28,7,3,28,59,9,15,0,59,0,0
SN,AH,sutra,74,38,59,28,7,3,28,61,8,15,0,58,0,0
SN,AH,sutra,75,38,59,29,7,3,27,62,8,16,0,56,0,0
SN,AH,sutra,76,38,59,28,7,3,28,63,8,16,0,55,0,0
SN,AH,sutra,77,38,60,28,7,3,27,61,9,16,0,56,0,0
SN,AH,sutra,78,38,59,30,7,3,28,58,9,17,0,56,0,0
SN,AH,sutra,79,38,58,30,7,3,28,59,9,17,0,56,0,0
SN,AH,sutra,80,39,58,29,7,3,28,59,9,17,0,54,0,0
SN,AH,sutra,81,38,57,30,8,3,29,58,10,18,0,52,0,0
SN,AH,sutra,82,37,57,30,8,4,29,60,10,19,0,51,0,0
SN,AH,sutra,83,37,59,30,8,4,29,59,10,18,0,51,0,0
SN,AH,sutra,84,38,59,30,7,4,28,59,10,18,0,52,0,0
SN,AH,sutra,85,39,59,30,6,4,28,59,10,18,0,52,0,0
SN,AH,sutra,86,39,57,31,5,5,29,61,10,18,0,52,0,0
SN,AH,sutra,87,39,56,32,5,5,30,61,10,18,0,51,0,0
SN,AH,sutra,88,39,56,34,5,5,31,63,11,18,0,53,0,0
SN,AH,sutra,89,39,57,34,5,5,31,63,11,18,0,52,0,0
SN,AH,sutra,90,39,57,33,5,5,32,63,11,18,0,52,0,0
SN,AH,sutra,91,39,57,33,5,5,32,62,11,18,0,53,0,0
SN,AH,sutra,92,39,57,33,5,5,33,62,11,18,0,52,0,0
SN,AH,sutra,93,39,58,32,5,5,33,62,12,18,0,51,0,0
SN,AH,sutra,94,40,58,32,4,5,33,63,12,18,0,50,0,0
SN,AH,sutra,95,40,58,32,4,5,33,62,12,18,0,51,0,0
SN,AH,sutra,96,40,57,32,4,5,34,61,12,17,0,53,0,0
SN,AH,sutra,97,40,57,33,4,5,34,59,12,18,0,53,0,0
SN,AH,sutra,98,40,55,35,4,5,35,59,12,18,0,52,0,0
SN,AH,sutra,99,40,56,35,4,5,36,59,13,18,0,49,0,0
SN,AH,sutra,100,41,58,33,4,5,34,60,13,18,0,47,0,0
SN,AH,sutra,101,41,59,34,4,5,34,61,14,18,0,48,0,0
SN,AH,sutra,102,41,61,34,4,5,33,61,15,18,0,46,0,0
SN,AH,sutra,103,40,59,35,5,5,35,61,15,17,0,46,0,0
SN,AH,sutra,104,40,59,36,5,4,37,62,15,15,0,45,0,0
SN,AH,sutra,105,40,60,36,5,4,39,61,15,14,0,44,0,0
SN,AH,sutra,106,40,60,34,5,4,40,63,14,14,0,44,0,0
SN,AH,sutra,107,40,60,33,5,4,40,63,14,13,0,46,0,0
SN,AH,sutra,108,41,62,33,5,3,40,60,14,12,0,46,0,0
SN,AH,sutra,109,40,63,35,6,3,39,60,14,11,0,45,0,0
SN,AH,sutra,110,39,63,37,6,3,39,60,15,12,0,44,0,0
SN,AH,sutra,111,39,64,37,6,3,41,59,15,12,0,42,0,0
SN,AH,sutra,112,40,65,34,6,3,42,57,15,11,0,43,0,0
SN,AH,sutra,113,41,65,36,5,3,42,56,15,11,0,42,0,0
SN,AH,sutra,114,41,66,35,5,3,42,55,16,11,0,42,0,0
SN,AH,sutra,115,41,67,33,5,3,42,55,15,12,0,43,0,0
SN,AH,sutra,116,41,69,32,5,2,41,54,15,14,0,43,0,0
SN,AH,sutra,117,42,70,32,4,2,41,54,15,14,0,42,0,0
SN,AH,sutra,118,42,69,32,4,2,40,53,17,14,0,43,0,0
SN,AH,sutra,119,42,69,31,4,2,40,54,17,14,0,43,0,0
SN,AH,sutra,120,41,68,30,5,2,41,54,16,15,0,44,0,0
SN,AH,sutra,121,41,69,29,5,2,41,54,16,14,0,45,0,0
SN,AH,sutra,122,41,69,29,5,2,42,53,16,14,0,45,0,0
SN,AH,sutra,123,41,69,29,5,2,43,53,16,14,0,44,0,0
SN,AH,sutra,124,40,69,31,5,2,45,52,17,15,1,44,0,0
SN,AH,sutra,125,40,69,31,5,2,46,50,17,15,1,45,0,0
SN,AH,sutra,126,39,69,32,5,2,48,48,19,15,2,47,0,0
SN,AH,sutra,127,39,68,32,5,2,48,50,18,15,2,47,0,0
SN,AH,sutra,128,39,68,31,5,2,48,50,19,15,2,47,0,0
SN,AH,sutra,129,38,69,30,6,2,50,49,19,15,2,46,0,0
SN,AH,sutra,130,38,70,31,6,2,49,48,19,15,2,46,0,0
SN,AH,sutra,131,39,71,30,5,2,48,49,18,15,2,47,0,0
SN,AH,sutra,132,40,71,30,5,1,49,48,17,14,2,47,0,0
SN,AH,sutra,133,39,69,29,6,1,49,48,18,14,2,49,0,0
SN,AH,sutra,134,39,69,29,6,1,49,49,19,14,2,47,0,0
SN,AH,sutra,135,39,70,30,6,1,48,47,19,16,2,46,0,0
SN,AH,sutra,136,40,71,29,6,0,47,46,20,16,2,45,0,0
SN,AH,sutra,137,40,72,28,6,0,46,46,20,15,2,47,0,0
SN,AH,sutra,138,41,70,26,5,0,47,43,19,15,2,46,0,0
SN,AH,sutra,139,41,69,26,5,0,46,41,20,16,2,48,0,0
SN,AH,sutra,140,41,70,26,5,0,44,41,21,17,2,47,0,0
SN,AH,sutra,141,41,70,27,5,0,43,41,22,17,2,46,0,0
SN,AH,sutra,142,41,70,26,5,0,43,42,22,17,2,46,0,0
SN,AH,sutra,143,41,69,26,5,0,43,42,21,17,2,48,0,0
SN,AH,sutra,144,41,70,26,5,0,42,42,21,17,2,48,0,0
SN,AH,sutra,145,41,70,27,5,0,41,41,22,17,2,48,0,0
SN,AH,sutra,146,41,70,28,5,0,40,43,22,17,2,46,0,0
SN,AH,sutra,147,41,70,26,5,0,41,46,22,16,2,45,0,0
SN,AH,sutra,148,40,70,24,6,0,41,46,22,17,2,46,0,0
SN,AH,sutra,149,40,69,24,6,0,41,46,22,17,2,47,0,0
SN,AH,sutra,150,40,68,24,6,0,41,43,23,17,2,50,0,0
SN,AH,sutra,151,40,67,23,6,0,44,43,22,18,2,49,0,0
SN,AH,sutra,152,39,65,25,6,0,43,44,22,19,2,51,0,0
SN,AH,sutra,153,40,65,24,5,0,42,44,22,19,2,53,0,0
SN,AH,sutra,154,40,65,23,5,0,43,43,22,19,2,54,0,0
SN,AH,sutra,155,40,64,23,5,0,40,43,24,19,2,56,0,0
SN,AH,sutra,156,40,63,23,5,0,39,43,25,20,2,56,0,0
SN,AH,sutra,157,40,63,23,5,0,40,42,25,21,2,55,0,0
SN,AH,sutra,158,40,62,22,5,0,38,44,25,21,2,57,0,0
SN,AH,sutra,159,41,62,20,4,0,40,43,26,21,2,57,0,0
SN,AH,sutra,160,42,64,18,4,0,41,42,25,20,2,56,0,0
SN,AH,sutra,161,42,63,19,4,0,40,42,25,19,2,58,0,0
SN,AH,sutra,162,42,63,19,4,0,40,44,25,19,2,56,0,0
SN,AH,sutra,163,42,63,18,4,0,40,45,24,19,2,57,0,0
SN,AH,sutra,164,42,62,19,4,0,40,45,24,19,2,57,0,0
SN,AH,sutra,165,42,62,19,4,1,40,44,24,19,2,57,0,0
SN,AH,sutra,166,43,61,17,4,1,41,43,24,17,2,59,0,0
SN,AH,sutra,167,43,60,17,4,1,41,43,24,17,2,60,0,0
SN,AH,sutra,168,43,60,19,4,1,42,44,22,17,2,58,0,0
SN,AH,sutra,169,43,61,19,4,1,41,42,22,18,2,59,0,0
SN,AH,sutra,170,44,61,19,3,1,42,41,22,17,2,60,0,0
SN,AH,sutra,171,43,61,19,4,1,42,40,22,18,2,60,0,0
SN,AH,sutra,172,43,61,20,4,1,42,39,22,18,2,60,0,0
SN,AH,sutra,173,43,60,21,4,1,40,39,22,18,2,62,0,0
SN,AH,sutra,174,43,60,20,4,1,40,41,21,18,1,60,0,0
SN,AH,sutra,175,43,60,19,4,1,41,42,22,17,1,59,0,0
SN,AH,sutra,176,44,60,19,4,1,39,42,20,17,0,58,0,0
SN,AH,sutra,177,44,60,19,4,1,40,41,20,18,0,57,0,0
SN,AH,sutra,178,44,60,20,4,1,39,42,19,17,0,58,0,0
SN,AH,sutra,179,45,59,20,3,1,37,42,20,17,0,60,0,0
SN,AH,sutra,180,44,57,20,3,1,38,44,21,19,0,59,0,0
SN,AH,sutra,181,44,56,20,3,1,39,43,22,18,0,60,0,0
SN,AH,sutra,182,44,57,20,3,1,38,43,22,18,0,60,0,0
SN,AH,sutra,183,45,59,20,2,1,38,43,21,18,0,59,0,0
SN,AH,sutra,184,45,59,21,2,1,39,43,20,18,0,58,0,0
SN,AH,sutra,185,45,59,20,2,1,39,44,20,17,0,59,0,0
SN,AH,sutra,186,45,60,21,2,1,40,42,20,17,0,58,0,0
SN,AH,sutra,187,45,60,22,2,1,41,41,20,17,0,57,0,0
SN,AH,sutra,188,45,63,22,2,1,39,41,19,17,0,57,0,0
SN,AH,sutra,189,45,63,22,2,1,41,41,19,16,0,56,0,0
SN,AH,sutra,190,45,62,23,2,1,43,40,19,15,0,56,0,0
SN,AH,sutra,191,45,61,22,2,1,44,40,18,15,0,58,0,0
SN,AH,sutra,192,45,62,22,2,1,44,39,18,15,0,58,0,0
SN,AH,sutra,193,45,64,22,2,1,43,39,19,15,0,56,0,0
SN,AH,sutra,194,45,63,22,2,1,44,37,21,15,0,56,0,0
SN,AH,sutra,195,45,65,21,2,1,44,37,20,16,0,55,0,0
SN,AH,sutra,196,45,65,20,2,1,46,36,21,16,0,54,0,0
SN,AH,sutra,197,45,65,21,2,1,45,36,21,16,0,54,0,0
SN,AH,sutra,198,45,65,21,2,1,44,38,21,16,0,53,0,0
SN,AH,sutra,199,44,66,21,3,1,43,38,21,17,0,52,0,0
SN,AH,sutra,200,43,66,22,3,2,44,39,21,19,0,49,0,0
SN,AH,sutra,201,42,67,23,4,2,41,39,23,18,0,49,0,0
SN,AH,sutra,202,42,68,23,4,2,41,39,22,20,0,47,0,0
SN,AH,sutra,203,42,68,23,4,2,42,39,22,20,0,46,0,0
SN,AH,sutra,204,42,68,23,4,2,39,39,24,21,0,46,0,0
SN,AH,sutra,205,42,68,23,4,2,40,39,23,21,0,46,0,0
SN,AH,sutra,206,41,68,25,4,2,41,39,22,20,0,48,0,0
SN,AH,sutra,207,41,68,25,4,2,41,39,23,19,0,48,0,0
SN,AH,sutra,208,41,69,26,4,2,42,37,23,19,0,47,0,0
SN,AH,sutra,209,41,69,26,4,2,40,38,22,19,0,49,0,0
SN,AH,sutra,210,41,67,26,4,2,39,38,22,20,0,51,0,0
SN,AH,sutra,211,41,67,26,4,2,38,41,22,20,0,49,0,0
SN,AH,sutra,212,40,65,27,4,2,38,43,22,21,0,50,0,0
SN,AH,sutra,213,40,67,26,4,2,39,42,22,20,0,50,0,0
SN,AH,sutra,214,40,68,26,4,2,43,45,22,20,0,50,0,0
SN,AH,sutra,215,40,67,26,4,1,44,46,23,19,0,50,0,0
SN,AH,sutra,216,39,66,29,4,1,44,48,24,19,0,48,0,0
SN,AH,sutra,217,39,67,29,4,1,44,47,24,19,0,48,0,0
SN,AH,sutra,218,39,67,28,4,1,43,47,25,19,0,49,0,0
SN,AH,sutra,219,38,66,29,5,1,44,48,26,18,0,47,0,0
SN,AH,sutra,220,37,67,29,6,1,42,49,26,19,0,46,0,0
SN,AH,sutra,221,38,68,29,5,1,42,50,27,18,0,44,0,0
SN,AH,sutra,222,38,68,28,5,1,42,52,27,19,0,42,0,0
SN,AH,sutra,223,38,68,27,5,1,42,52,28,21,0,40,0,0
SN,AH,sutra,224,39,68,26,5,1,41,51,28,21,0,40,0,0
SN,AH,sutra,225,39,68,26,5,1,40,51,27,21,0,42,0,0
SN,AH,sutra,226,38,68,25,6,1,40,50,28,21,0,43,0,0
SN,AH,sutra,227,37,69,26,7,1,39,49,29,20,0,43,0,0
SN,AH,sutra,228,37,69,25,7,1,39,51,29,20,0,42,0,0
SN,AH,sutra,229,37,70,25,7,1,38,52,28,22,0,40,0,0
SN,AH,sutra,230,38,71,25,7,1,37,52,27,20,0,40,0,0
SN,AH,sutra,231,38,72,25,7,1,37,52,27,20,0,39,0,0
SN,AH,sutra,232,38,71,25,7,1,37,51,27,21,0,40,0,0
SN,AH,sutra,233,38,70,26,7,1,38,51,28,21,0,38,0,0
SN,AH,sutra,234,38,71,25,7,1,37,49,29,22,0,39,0,0
SN,AH,sutra,235,38,70,25,7,1,38,49,30,22,0,38,0,0
SN,AH,sutra,236,37,69,25,8,1,37,49,29,23,0,40,0,0
SN,AH,sutra,237,37,68,25,8,1,37,50,29,23,0,40,0,0
SN,AH,sutra,238,36,66,26,8,2,38,50,29,25,0,40,0,0
SN,AH,sutra,239,36,67,26,8,2,36,51,28,26,0,40,0,0
SN,AH,sutra,240,35,67,25,9,2,34,53,28,26,0,41,0,0
SN,AH,sutra,241,35,68,27,9,2,33,53,28,26,0,39,0,0
SN,AH,sutra,242,35,67,28,9,2,34,52,28,26,0,39,0,0
SN,AH,sutra,243,35,65,29,9,2,34,53,28,26,0,39,0,0
SN,AH,sutra,244,35,65,30,9,2,33,55,26,26,0,39,0,0
SN,AH,sutra,245,35,64,30,9,2,33,56,26,25,0,40,0,0
SN,AH,sutra,246,34,63,31,9,2,32,57,25,27,0,42,0,0
SN,AH,sutra,247,34,65,31,9,2,33,54,25,27,0,42,0,0
SN,AH,sutra,248,35,66,31,8,2,33,54,25,26,0,42,0,0
SN,AH,sutra,249,36,66,31,7,2,33,54,24,25,0,44,0,0
SN,AH,sutra,250,37,66,31,7,1,33,54,23,23,0,45,0,0
SN,AH,sutra,251,37,66,30,7,1,33,54,21,24,0,47,0,0
SN,AH,sutra,252,38,66,28,7,1,34,53,22,21,0,48,0,0
SN,AH,sutra,253,37,66,29,8,1,33,53,23,21,0,47,0,0
SN,AH,sutra,254,37,66,29,8,1,34,54,22,21,0,46,0,0
SN,AH,sutra,255,37,66,30,8,1,33,54,21,22,0,46,0,0
SN,AH,sutra,256,38,67,29,8,1,33,53,21,22,0,44,0,0
SN,AH,sutra,257,38,68,28,8,1,32,55,21,22,0,43,0,0
SN,AH,sutra,258,38,67,27,8,1,32,55,22,22,0,44,0,0
