Text_Type,Book,Chapter,Window,GGL,LL,LLL,G,LGL,LGG,LLG,GGG,LG,GLL,L,GLG,GG,GL
SN,AH,uttara,1,37,1,4,35,56,44,24,53,2,14,3,60,0,0
SN,AH,uttara,2,37,1,4,35,57,44,24,53,2,14,3,59,0,0
SN,AH,uttara,3,38,1,4,35,57,43,24,54,2,13,3,59,0,0
SN,AH,uttara,4,41,1,4,34,56,43,24,58,3,13,3,58,0,0
SN,AH,uttara,5,43,1,4,34,55,43,24,57,3,13,3,58,0,0
SN,AH,uttara,6,44,1,3,33,53,46,24,58,4,13,3,61,0,0
SN,AH,uttara,7,44,1,3,32,54,46,25,58,4,12,4,60,0,0
SN,AH,uttara,8,42,1,3,32,53,45,25,60,4,11,4,63,0,0
SN,AH,uttara,9,42,1,3,33,53,45,24,59,4,12,3,64,0,0
SN,AH,uttara,10,42,1,3,34,54,41,24,60,4,12,3,63,0,0
SN,AH,uttara,11,41,1,3,33,54,41,24,59,4,12,4,65,0,0
SN,AH,uttara,12,40,0,3,34,55,41,24,57,4,12,4,62,0,0
SN,AH,uttara,13,41,0,3,34,56,40,23,57,4,13,4,61,0,0
SN,AH,uttara,14,41,0,2,35,54,39,22,59,3,13,4,59,0,0
SN,AH,uttara,15,44,0,2,35,54,38,21,57,3,13,4,60,0,0
SN,AH,uttara,16,44,0,2,35,54,38,20,57,3,12,4,62,0,0
SN,AH,uttara,17,42,0,2,35,54,38,20,57,3,12,4,64,0,0
SN,AH,uttara,18,41,0,2,35,54,37,20,56,3,12,4,67,0,0
SN,AH,uttara,19,41,0,2,35,55,36,19,56,3,13,4,67,0,0
SN,AH,uttara,20,40,0,2,35,55,36,19,58,3,14,4,65,0,0
SN,AH,uttara,21,41,0,2,35,54,35,19,57,3,14,4,67,0,0
SN,AH,uttara,22,40,0,2,36,54,34,18,57,2,14,4,65,0,0
SN,AH,uttara,23,40,0,2,36,55,32,17,58,2,14,4,66,0,0
SN,AH,uttara,24,41,0,2,35,54,34,18,57,3,14,4,69,0,0
SN,AH,uttara,25,39,0,2,35,54,34,16,59,3,15,4,70,0,0
SN,AH,uttara,26,40,0,3,34,56,32,18,59,4,15,4,71,0,0
SN,AH,uttara,27,38,0,3,34,57,32,18,60,4,15,4,71,0,0
SN,AH,uttara,28,38,0,3,34,57,33,18,61,4,14,4,70,0,0
SN,AH,uttara,29,36,0,3,34,57,33,18,61,4,14,4,72,0,0
SN,AH,uttara,30,36,0,3,34,58,32,18,61,4,14,4,72,0,0
SN,AH,uttara,31,38,0,3,34,57,32,19,61,4,14,4,70,0,0
SN,AH,uttara,32,39,0,2,35,60,31,20,61,4,15,4,71,0,0
SN,AH,uttara,33,39,0,2,35,60,31,20,61,4,14,4,72,0,0
SN,AH,uttara,34,43,0,3,34,59,33,19,63,4,13,4,77,0,0
SN,AH,uttara,35,43,0,3,34,59,32,20,63,4,13,4,77,0,0
SN,AH,uttara,36,43,0,3,34,59,32,20,64,4,13,4,76,0,0
SN,AH,uttara,37,42,0,3,34,60,33,20,64,4,13,4,75,0,0
SN,AH,uttara,38,42,0,3,34,61,33,21,66,5,12,4,74,0,0
SN,AH,uttara,39,42,0,3,34,60,33,22,66,5,12,4,74,0,0
SN,AH,uttara,40,41,0,3,34,60,32,22,69,5,14,4,76,0,0
SN,AH,uttara,41,39,0,3,34,60,33,22,69,5,14,4,77,0,0
SN,AH,uttara,42,41,0,2,35,62,33,23,71,5,14,4,76,0,0
SN,AH,uttara,43,41,0,2,35,62,34,23,72,5,13,4,75,0,0
SN,AH,uttara,44,41,0,2,34,61,35,23,73,6,13,4,79,0,0
SN,AH,uttara,45,41,0,2,34,61,35,24,74,6,13,4,77,0,0
SN,AH,uttara,46,44,0,2,35,62,33,23,77,6,12,4,79,0,0
SN,AH,uttara,47,44,0,2,35,62,32,23,78,6,13,4,78,0,0
SN,AH,uttara,48,46,0,3,35,63,32,22,80,6,13,4,81,0,0
SN,AH,uttara,49,47,0,3,35,63,33,21,78,6,13,4,82,0,0
SN,AH,uttara,50,48,0,3,36,62,33,20,78,6,14,3,82,0,0
SN,AH,uttara,51,47,0,3,36,61,33,19,77,6,14,2,81,1,0
SN,AH,uttara,52,46,0,3,35,59,35,20,79,7,16,2,80,1,0
SN,AH,uttara,53,45,0,3,35,59,35,20,80,7,16,2,80,1,0
SN,AH,uttara,54,42,0,3,36,60,35,20,77,6,17,2,79,1,0
SN,AH,uttara,55,41,0,3,35,60,35,20,77,6,17,3,80,1,0
SN,AH,uttara,56,39,0,3,35,61,33,21,78,5,18,3,78,1,0
SN,AH,uttara,57,39,0,3,36,60,35,20,78,5,19,2,77,1,0
SN,AH,uttara,58,40,0,3,37,62,34,20,76,5,19,2,74,1,0
SN,AH,uttara,59,41,0,3,37,62,34,20,77,5,18,2,73,1,0
SN,AH,uttara,60,42,0,3,37,64,34,19,76,5,18,2,72,1,0
SN,AH,uttara,61,42,0,3,38,64,36,19,75,5,18,1,71,1,0
SN,AH,uttara,62,43,0,3,37,61,38,19,74,5,19,1,74,1,0
SN,AH,uttara,63,43,0,3,37,60,38,19,74,5,19,1,75,1,0
SN,AH,uttara,64,43,0,3,36,61,39,20,73,6,20,1,77,1,0
SN,AH,uttara,65,41,0,3,36,62,40,20,73,6,21,1,76,1,0
SN,AH,uttara,66,41,1,4,35,63,40,23,74,6,21,1,75,1,0
SN,AH,uttara,67,43,1,4,35,61,40,23,74,6,21,1,75,1,0
SN,AH,uttara,68,44,1,4,36,62,38,24,74,6,20,1,72,1,0
SN,AH,uttara,69,44,1,4,36,61,39,24,73,6,19,1,74,1,0
SN,AH,uttara,70,44,1,4,37,62,38,26,71,6,17,1,73,1,0
SN,AH,uttara,71,43,1,4,37,63,39,27,71,6,17,1,71,1,0
SN,AH,uttara,72,45,1,4,37,64,39,27,69,6,16,1,71,1,0
SN,AH,uttara,73,44,1,4,37,63,39,29,69,6,17,1,70,1,0
SN,AH,uttara,74,44,1,4,37,64,38,28,70,5,17,1,68,1,0
SN,AH,uttara,75,46,1,4,37,65,38,29,68,5,16,1,67,1,0
SN,AH,uttara,76,47,1,3,38,63,38,27,69,4,16,1,65,1,0
SN,AH,uttara,77,47,1,3,38,62,37,27,69,4,17,1,66,1,0
SN,AH,uttara,78,49,1,3,38,62,38,27,68,4,17,1,64,1,0
SN,AH,uttara,79,49,1,3,38,62,37,29,67,4,18,1,63,1,0
SN,AH,uttara,80,49,1,3,38,61,38,28,66,4,18,1,65,1,0
SN,AH,uttara,81,48,1,3,38,61,39,27,65,4,18,1,67,1,0
SN,AH,uttara,82,47,1,3,38,59,38,26,66,4,17,1,64,1,0
SN,AH,uttara,83,48,1,3,38,60,37,26,66,4,18,1,62,1,0
SN,AH,uttara,84,46,1,2,38,61,34,26,65,4,18,2,57,1,0
SN,AH,uttara,85,46,1,2,38,61,34,25,64,4,19,2,58,1,0
SN,AH,uttara,86,47,1,3,37,61,36,26,67,4,19,2,61,1,0
SN,AH,uttara,87,48,1,3,37,61,35,27,66,4,19,2,61,1,0
SN,AH,uttara,88,48,1,3,38,61,34,27,62,3,19,2,61,1,0
SN,AH,uttara,89,47,1,3,38,61,34,28,61,3,19,2,62,1,0
SN,AH,uttara,90,47,1,3,38,63,34,31,58,4,17,2,59,1,0
SN,AH,uttara,91,47,1,3,38,63,35,31,59,4,17,2,57,1,0
SN,AH,uttara,92,44,1,3,38,62,35,30,57,4,17,2,56,1,0
SN,AH,uttara,93,45,1,3,38,61,35,31,56,4,17,2,56,1,0
SN,AH,uttara,94,44,1,3,39,61,35,29,56,3,17,2,54,1,0
SN,AH,uttara,95,45,1,3,39,61,34,29,56,3,17,2,54,1,0
SN,AH,uttara,96,44,1,3,38,59,34,29,54,3,18,2,53,1,0
SN,AH,uttara,97,44,1,3,38,59,35,29,53,3,18,2,53,1,0
SN,AH,uttara,98,43,1,2,38,57,35,30,51,3,18,2,50,1,0
SN,AH,uttara,99,42,1,2,38,57,35,30,53,3,18,2,49,1,0
SN,AH,uttara,100,41,1,2,38,57,35,31,55,3,17,2,48,1,0
SN,AH,uttara,101,42,1,2,39,60,36,31,55,3,17,2,48,0,0
SN,AH,uttara,102,43,1,2,40,61,35,31,52,2,15,2,49,0,0
SN,AH,uttara,103,44,1,2,40,61,35,31,51,2,15,2,49,0,0
SN,AH,uttara,104,45,1,2,40,61,35,32,50,2,14,2,49,0,0
SN,AH,uttara,105,46,1,2,41,61,36,32,49,2,14,1,48,0,0
SN,AH,uttara,106,46,1,2,42,62,35,31,47,2,13,1,49,0,0
SN,AH,uttara,107,47,1,2,42,62,34,31,47,2,12,1,50,0,0
SN,AH,uttara,108,48,1,2,41,60,35,30,48,2,12,1,53,0,0
SN,AH,uttara,109,46,1,2,41,61,36,30,47,2,12,1,54,0,0
SN,AH,uttara,110,47,1,2,41,62,37,30,49,2,12,1,57,0,0
SN,AH,uttara,111,48,1,2,41,62,36,30,50,2,12,1,56,0,0
SN,AH,uttara,112,46,1,2,41,62,38,30,51,2,12,1,55,0,0
SN,AH,uttara,113,47,1,2,41,62,38,31,52,2,11,1,53,0,0
SN,AH,uttara,114,48,1,2,41,60,39,30,52,1,12,1,51,0,0
SN,AH,uttara,115,49,1,2,41,59,39,30,53,1,11,1,51,0,0
SN,AH,uttara,116,50,0,1,42,58,38,27,52,1,11,1,52,0,0
SN,AH,uttara,117,49,0,1,42,59,38,27,52,1,11,1,52,0,0
SN,AH,uttara,118,50,0,1,42,59,38,26,51,1,11,1,53,0,0
SN,AH,uttara,119,49,0,1,42,59,37,27,53,1,11,1,52,0,0
SN,AH,uttara,120,51,0,1,42,60,39,26,54,1,12,1,54,0,0
SN,AH,uttara,121,52,0,1,42,60,38,25,54,1,12,1,55,0,0
SN,AH,uttara,122,50,0,2,41,58,40,26,55,1,12,1,57,0,0
SN,AH,uttara,123,51,0,2,41,58,40,25,54,1,12,1,58,0,0
SN,AH,uttara,124,52,0,2,42,62,38,25,53,1,13,1,60,0,0
SN,AH,uttara,125,51,0,2,42,63,38,25,53,1,13,1,60,0,0
SN,AH,uttara,126,49,0,2,41,63,38,27,53,1,14,2,59,0,0
SN,AH,uttara,127,49,0,2,41,64,39,28,52,1,14,2,57,0,0
SN,AH,uttara,128,50,0,2,40,65,38,30,53,2,15,2,57,0,0
SN,AH,uttara,129,50,0,2,40,65,39,29,54,2,14,2,57,0,0
SN,AH,uttara,130,50,0,2,40,65,40,29,53,2,14,2,57,0,0
SN,AH,uttara,131,50,0,2,40,66,39,29,53,2,14,2,57,0,0
SN,AH,uttara,132,50,0,3,39,66,40,30,51,2,14,2,59,0,0
SN,AH,uttara,133,50,0,3,39,67,41,30,50,2,13,2,59,0,0
SN,AH,uttara,134,49,0,3,39,69,41,31,50,3,14,1,61,0,0
SN,AH,uttara,135,48,0,3,39,69,41,32,51,3,13,1,61,0,0
SN,AH,uttara,136,46,0,2,40,70,39,32,47,3,13,1,58,0,0
SN,AH,uttara,137,47,0,2,40,69,39,31,46,3,14,1,59,0,0
SN,AH,uttara,138,48,0,2,39,68,40,30,47,3,14,1,61,0,0
SN,AH,uttara,139,48,0,2,39,68,41,28,47,3,14,1,62,0,0
SN,AH,uttara,140,48,0,3,39,67,41,25,45,2,15,1,64,0,0
SN,AH,uttara,141,49,0,3,39,68,39,25,44,2,15,1,65,0,0
SN,AH,uttara,142,49,0,3,39,69,40,25,42,2,16,1,64,0,0
SN,AH,uttara,143,48,0,3,39,69,39,24,43,2,17,1,65,0,0
SN,AH,uttara,144,49,0,3,38,69,40,25,42,2,18,1,65,0,0
