Text_Type,Book,Chapter,Window,G,LGL,LLG,LGG,GLG,GGG,L,GLL,GGL,LG,LLL,LL,GG,GL
SN,AH,chikitsa,1,55,86,29,42,93,89,7,23,60,1,2,0,0,0
SN,AH,chikitsa,2,55,86,29,42,95,87,7,23,60,1,2,0,0,0
SN,AH,chikitsa,3,55,86,28,44,96,85,7,23,60,1,2,0,0,0
SN,AH,chikitsa,4,55,87,28,45,97,83,7,23,59,1,2,0,0,0
SN,AH,chikitsa,5,55,87,28,44,98,81,7,23,61,1,2,0,0,0
SN,AH,chikitsa,6,56,87,29,42,97,80,7,23,61,1,2,0,0,0
SN,AH,chikitsa,7,55,87,30,44,99,78,7,24,60,1,2,0,0,0
SN,AH,chikitsa,8,54,87,32,44,99,77,8,24,59,1,2,0,0,0
SN,AH,chikitsa,9,54,86,32,43,99,79,8,24,59,1,2,0,0,0
SN,AH,chikitsa,10,53,86,32,43,100,79,9,24,58,1,2,0,0,0
SN,AH,chikitsa,11,52,87,30,45,101,79,9,25,58,1,2,0,0,0
SN,AH,chikitsa,12,51,87,30,46,99,79,10,25,59,1,2,0,0,0
SN,AH,chikitsa,13,51,88,30,46,97,81,10,26,57,1,2,0,0,0
SN,AH,chikitsa,14,51,89,30,46,98,81,10,24,57,1,2,0,0,0
SN,AH,chikitsa,15,51,88,32,46,97,81,10,24,57,1,2,0,0,0
SN,AH,chikitsa,16,51,88,31,46,98,81,10,24,57,1,2,0,0,0
SN,AH,chikitsa,17,51,87,31,46,97,84,10,23,57,1,2,0,0,0
SN,AH,chikitsa,18,51,85,31,47,98,84,10,24,56,1,2,0,0,0
SN,AH,chikitsa,19,52,84,30,48,99,83,9,24,57,1,2,0,0,0
SN,AH,chikitsa,20,52,84,31,49,99,83,9,24,55,1,2,0,0,0
SN,AH,chikitsa,21,52,83,31,49,101,82,9,24,55,1,2,0,0,0
SN,AH,chikitsa,22,53,83,30,49,99,79,9,23,54,1,2,0,0,0
SN,AH,chikitsa,23,53,83,29,50,99,79,9,24,53,1,2,0,0,0
SN,AH,chikitsa,24,54,85,28,51,97,77,9,22,54,1,2,0,0,0
SN,AH,chikitsa,25,54,86,28,53,95,76,9,21,55,1,2,0,0,0
SN,AH,chikitsa,26,54,86,28,52,96,77,9,20,55,1,2,0,0,0
SN,AH,chikitsa,27,54,86,27,51,96,78,9,20,56,1,2,0,0,0
SN,AH,chikitsa,28,54,87,27,52,95,77,9,20,56,1,2,0,0,0
SN,AH,chikitsa,29,55,87,27,51,96,78,8,21,54,1,2,0,0,0
SN,AH,chikitsa,30,56,87,26,52,97,77,7,21,54,1,2,0,0,0
SN,AH,chikitsa,31,55,87,25,53,97,79,7,22,54,1,2,0,0,0
SN,AH,chikitsa,32,55,88,25,53,97,78,7,22,54,1,2,0,0,0
SN,AH,chikitsa,33,54,90,25,54,97,76,7,24,54,1,2,0,0,0
SN,AH,chikitsa,34,54,90,24,54,100,74,7,24,54,1,2,0,0,0
SN,AH,chikitsa,35,54,90,25,53,101,73,7,24,54,1,2,0,0,0
SN,AH,chikitsa,36,54,89,25,54,101,72,7,25,54,1,2,0,0,0
SN,AH,chikitsa,37,54,91,24,54,100,72,7,25,54,1,2,0,0,0
SN,AH,chikitsa,38,55,92,24,54,100,71,6,26,53,1,2,0,0,0
SN,AH,chikitsa,39,56,92,24,54,99,71,5,27,53,1,2,0,0,0
SN,AH,chikitsa,40,57,93,24,53,96,69,5,28,54,1,2,0,0,0
SN,AH,chikitsa,41,57,94,23,53,96,69,5,28,54,1,2,0,0,0
SN,AH,chikitsa,42,56,94,23,51,98,69,6,29,53,1,2,0,0,0
SN,AH,chikitsa,43,55,95,23,52,98,69,6,30,53,1,2,0,0,0
SN,AH,chikitsa,44,56,96,23,51,95,68,6,31,53,1,2,0,0,0
SN,AH,chikitsa,45,56,96,24,51,93,69,6,30,54,1,2,0,0,0
SN,AH,chikitsa,46,56,95,24,50,94,71,6,29,54,1,2,0,0,0
SN,AH,chikitsa,47,56,95,25,51,92,72,6,29,53,1,2,0,0,0
SN,AH,chikitsa,48,57,96,24,49,91,73,6,28,53,1,2,0,0,0
SN,AH,chikitsa,49,57,96,23,49,91,73,6,28,54,1,2,0,0,0
SN,AH,chikitsa,50,57,98,23,47,91,73,6,28,54,1,2,0,0,0
SN,AH,chikitsa,51,57,98,24,48,91,72,6,28,53,1,2,0,0,0
SN,AH,chikitsa,52,56,98,25,48,90,72,7,28,53,1,2,0,0,0
SN,AH,chikitsa,53,55,96,26,48,94,72,7,29,52,1,2,0,0,0
SN,AH,chikitsa,54,55,94,26,49,94,72,7,29,53,1,2,0,0,0
SN,AH,chikitsa,55,55,94,26,50,94,71,7,29,53,1,2,0,0,0
SN,AH,chikitsa,56,55,95,25,50,95,71,7,29,52,1,2,0,0,0
SN,AH,chikitsa,57,55,96,25,50,93,71,7,29,53,1,2,0,0,0
SN,AH,chikitsa,58,55,96,25,50,94,71,7,29,52,1,2,0,0,0
SN,AH,chikitsa,59,55,96,25,51,93,72,7,29,51,1,2,0,0,0
SN,AH,chikitsa,60,55,96,25,52,93,73,7,28,50,1,2,0,0,0
SN,AH,chikitsa,61,55,95,25,52,93,74,7,28,50,1,2,0,0,0
SN,AH,chikitsa,62,55,95,24,52,93,73,8,27,50,1,2,0,0,0
SN,AH,chikitsa,63,54,94,24,55,94,72,8,28,50,1,2,0,0,0
SN,AH,chikitsa,64,55,94,25,55,95,73,7,27,49,1,1,0,0,0
