Text_Type,Book,Chapter,Window,LLG,G,L,GLG,LGL,GGG,GLL,GGL,LGG,LLL,LG,LL,GG,GL
SN,AH,chikitsa,1,9,21,1,24,31,37,11,16,6,0,0,0,0,0
SN,AH,chikitsa,2,10,21,1,25,31,35,11,15,7,0,0,0,0,0
SN,AH,chikitsa,3,9,21,1,26,31,35,11,15,7,0,0,0,0,0
SN,AH,chikitsa,4,10,20,2,25,31,33,11,16,8,0,0,0,0,0
SN,AH,chikitsa,5,11,19,3,26,31,31,11,17,7,0,0,0,0,0
SN,AH,chikitsa,6,13,20,3,26,31,29,10,16,6,0,0,0,0,0
SN,AH,chikitsa,7,13,20,3,26,31,29,10,15,7,0,0,0,0,0
SN,AH,chikitsa,8,13,20,3,26,31,29,10,15,7,0,0,0,0,0
SN,AH,chikitsa,9,14,20,3,25,30,30,10,16,6,0,0,0,0,0
SN,AH,chikitsa,10,14,20,3,25,30,29,11,15,7,0,0,0,0,0
SN,AH,chikitsa,11,13,20,3,24,32,29,11,15,7,0,0,0,0,0
SN,AH,chikitsa,12,14,20,3,24,31,28,10,16,8,0,0,0,0,0
SN,AH,chikitsa,13,14,19,4,24,31,29,10,15,8,0,0,0,0,0
SN,AH,chikitsa,14,14,18,5,25,30,31,8,15,8,0,0,0,0,0
SN,AH,chikitsa,15,15,17,5,26,28,33,8,16,8,0,0,0,0,0
SN,AH,chikitsa,16,15,17,5,26,28,33,8,16,8,0,0,0,0,0
SN,AH,chikitsa,17,14,17,5,25,27,34,7,17,10,0,0,0,0,0
SN,AH,chikitsa,18,14,17,5,27,25,34,7,17,10,0,0,0,0,0
SN,AH,chikitsa,19,13,17,4,30,24,33,7,18,12,0,0,0,0,0
SN,AH,chikitsa,20,13,17,4,32,24,32,8,16,12,0,0,0,0,0
SN,AH,chikitsa,21,13,17,4,33,23,31,8,16,13,0,0,0,0,0
SN,AH,chikitsa,22,12,18,4,33,24,29,7,16,13,0,0,0,0,0
SN,AH,chikitsa,23,12,17,4,35,24,28,8,15,15,0,0,0,0,0
SN,AH,chikitsa,24,12,18,4,34,25,27,6,15,15,0,0,0,0,0
SN,AH,chikitsa,25,13,18,4,32,24,27,5,16,17,0,0,0,0,0
SN,AH,chikitsa,26,13,18,4,34,24,27,4,16,16,0,0,0,0,0
SN,AH,chikitsa,27,12,18,4,34,24,27,4,18,15,0,0,0,0,0
SN,AH,chikitsa,28,12,18,4,32,25,26,4,20,15,0,0,0,0,0
SN,AH,chikitsa,29,11,19,3,33,27,27,4,18,14,0,0,0,0,0
SN,AH,chikitsa,30,11,20,2,33,27,27,4,18,14,0,0,0,0,0
SN,AH,chikitsa,31,10,20,2,33,27,28,4,19,13,0,0,0,0,0
SN,AH,chikitsa,32,10,20,2,35,28,26,4,19,12,0,0,0,0,0
SN,AH,chikitsa,33,10,20,2,35,28,25,4,20,12,0,0,0,0,0
SN,AH,chikitsa,34,9,20,2,37,28,24,4,20,12,0,0,0,0,0
SN,AH,chikitsa,35,9,20,2,37,29,23,4,21,11,0,0,0,0,0
SN,AH,chikitsa,36,8,20,2,37,29,22,4,22,12,0,0,0,0,0
SN,AH,chikitsa,37,8,19,2,36,30,24,5,22,12,0,0,0,0,0
SN,AH,chikitsa,38,9,20,1,35,30,24,6,21,12,0,0,0,0,0
SN,AH,chikitsa,39,9,20,1,34,30,22,7,22,12,1,0,0,0,0
SN,AH,chikitsa,40,8,21,1,32,31,20,8,21,13,1,0,0,0,0
SN,AH,chikitsa,41,7,20,1,36,30,19,8,21,14,2,0,0,0,0
SN,AH,chikitsa,42,8,20,1,36,31,19,8,20,13,2,0,0,0,0
SN,AH,chikitsa,43,8,19,1,36,30,20,8,22,14,2,0,0,0,0
SN,AH,chikitsa,44,8,19,2,34,30,20,9,21,13,2,0,0,0,0
SN,AH,chikitsa,45,10,18,2,32,29,22,8,22,17,2,1,0,0,0
SN,AH,chikitsa,46,10,18,2,31,28,23,7,24,17,2,1,0,0,0
SN,AH,chikitsa,47,10,17,2,31,27,23,8,25,19,2,1,0,0,0
SN,AH,chikitsa,48,9,18,2,28,28,24,8,25,18,2,1,0,0,0
SN,AH,chikitsa,49,8,17,2,31,28,23,8,26,19,2,1,0,0,0
SN,AH,chikitsa,50,7,17,2,32,29,24,8,25,18,2,1,0,0,0
SN,AH,chikitsa,51,7,16,2,35,31,25,8,28,20,2,1,0,0,0
SN,AH,chikitsa,52,7,16,2,36,31,25,8,27,20,2,1,0,0,0
SN,AH,chikitsa,53,7,16,2,38,30,24,8,25,22,2,1,0,0,0
SN,AH,chikitsa,54,7,16,2,39,29,23,8,25,23,2,1,0,0,0
SN,AH,chikitsa,55,6,16,2,39,29,23,8,26,23,2,1,0,0,0
SN,AH,chikitsa,56,6,16,2,38,29,23,9,26,23,2,1,0,0,0
SN,AH,chikitsa,57,7,15,2,38,28,23,10,26,25,2,1,0,0,0
SN,AH,chikitsa,58,9,14,3,38,28,23,10,24,25,2,1,0,0,0
SN,AH,chikitsa,59,9,14,3,37,28,25,10,23,25,2,1,0,0,0
SN,AH,chikitsa,60,9,13,4,38,27,27,9,22,25,2,1,0,0,0
SN,AH,chikitsa,61,9,12,4,40,26,28,10,21,26,2,1,0,0,0
SN,AH,chikitsa,62,8,12,5,39,26,27,10,21,26,2,1,0,0,0
SN,AH,chikitsa,63,7,12,5,38,27,28,10,21,26,2,1,0,0,0
SN,AH,chikitsa,64,7,13,4,39,29,28,9,20,26,1,1,0,0,0
SN,AH,chikitsa,65,9,13,4,39,29,28,8,20,25,1,1,0,0,0
SN,AH,chikitsa,66,9,14,4,36,30,29,8,20,24,0,1,0,0,0
SN,AH,chikitsa,67,9,14,4,36,29,31,8,20,23,0,1,0,0,0
SN,AH,chikitsa,68,9,15,4,35,30,30,9,17,23,0,1,0,0,0
SN,AH,chikitsa,69,9,16,3,35,30,30,8,18,23,0,1,0,0,0
SN,AH,chikitsa,70,8,17,3,35,31,29,8,17,20,0,0,0,0,0
SN,AH,chikitsa,71,8,17,3,37,32,28,9,15,19,0,0,0,0,0
SN,AH,chikitsa,72,8,18,3,35,32,27,8,13,17,0,0,0,0,0
SN,AH,chikitsa,73,8,18,3,36,31,27,8,13,17,0,0,0,0,0
SN,AH,chikitsa,74,8,19,3,32,32,27,8,13,17,0,0,0,0,0
SN,AH,chikitsa,75,8,19,3,31,33,25,8,14,18,0,0,0,0,0
SN,AH,chikitsa,76,8,20,3,27,31,25,8,11,16,0,0,0,0,0
SN,AH,chikitsa,77,8,20,3,26,31,26,8,11,16,0,0,0,0,0
SN,AH,chikitsa,78,8,20,3,25,32,27,8,11,15,0,0,0,0,0
SN,AH,chikitsa,79,9,20,3,24,31,28,9,11,14,0,0,0,0,0
SN,AH,chikitsa,80,9,20,3,25,31,27,9,10,15,0,0,0,0,0
SN,AH,chikitsa,81,9,19,3,26,31,28,9,9,17,0,0,0,0,0
SN,AH,chikitsa,82,8,20,3,24,32,29,8,9,16,0,0,0,0,0
SN,AH,chikitsa,83,6,20,2,24,34,28,10,10,17,0,0,0,0,0
SN,AH,chikitsa,84,6,20,2,26,34,25,10,11,17,0,0,0,0,0
SN,AH,chikitsa,85,7,21,1,26,34,23,11,11,17,0,0,0,0,0
SN,AH,chikitsa,86,8,22,1,24,34,22,11,11,16,0,0,0,0,0
SN,AH,chikitsa,87,8,23,0,25,35,21,10,11,16,0,0,0,0,0
SN,AH,chikitsa,88,8,23,0,27,35,19,10,11,16,0,0,0,0,0
SN,AH,chikitsa,89,8,23,0,26,33,21,11,11,16,0,0,0,0,0
SN,AH,chikitsa,90,7,23,0,25,33,21,12,13,15,0,0,0,0,0
SN,AH,chikitsa,91,7,23,0,24,34,21,12,13,15,0,0,0,0,0
SN,AH,chikitsa,92,6,22,1,26,34,19,13,13,15,0,0,0,0,0
SN,AH,chikitsa,93,6,21,1,27,35,19,13,14,15,0,0,0,0,0
SN,AH,chikitsa,94,6,21,1,26,36,18,14,14,15,0,0,0,0,0
SN,AH,chikitsa,95,6,21,1,26,36,18,14,15,14,0,0,0,0,0
SN,AH,chikitsa,96,6,21,1,26,35,20,13,15,14,0,0,0,0,0
SN,AH,chikitsa,97,7,21,1,26,36,22,13,15,15,0,0,0,0,0
SN,AH,chikitsa,98,7,21,1,27,37,22,12,15,14,0,0,0,0,0
SN,AH,chikitsa,99,7,21,1,28,36,23,12,15,13,0,0,0,0,0
SN,AH,chikitsa,100,8,21,1,28,36,24,12,15,11,0,0,0,0,0
SN,AH,chikitsa,101,9,21,1,29,36,22,12,14,12,0,0,0,0,0
SN,AH,chikitsa,102,10,20,2,28,36,21,12,15,12,0,0,0,0,0
SN,AH,chikitsa,103,11,19,2,31,34,21,13,16,11,0,0,0,0,0
SN,AH,chikitsa,104,10,19,2,31,34,21,12,17,12,0,0,0,0,0
SN,AH,chikitsa,105,11,19,2,30,34,21,12,17,12,0,0,0,0,0
SN,AH,chikitsa,106,10,20,2,31,35,20,11,17,10,0,0,0,0,0
SN,AH,chikitsa,107,10,20,2,31,36,19,11,18,9,0,0,0,0,0
SN,AH,chikitsa,108,10,21,2,32,34,20,9,18,8,0,0,0,0,0
SN,AH,chikitsa,109,10,21,2,30,34,22,9,17,9,0,0,0,0,0
SN,AH,chikitsa,110,9,21,2,29,35,23,8,17,10,0,0,0,0,0
SN,AH,chikitsa,111,8,21,2,29,35,24,7,18,10,0,0,0,0,0
SN,AH,chikitsa,112,8,20,3,29,34,25,7,18,10,0,0,0,0,0
SN,AH,chikitsa,113,9,19,3,29,32,25,8,18,13,0,0,0,0,0
SN,AH,chikitsa,114,10,19,3,30,32,24,7,18,13,0,0,0,0,0
