Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AH,kalpa,1,3,16,0,3,0,0,3,20,37,20,16,30,20,35
SN,AH,kalpa,2,3,16,0,3,0,0,3,18,37,22,16,30,21,34
SN,AH,kalpa,3,3,15,0,3,0,0,4,19,37,23,15,30,21,35
SN,AH,kalpa,4,2,16,0,3,0,0,4,19,36,23,13,30,22,37
SN,AH,kalpa,5,2,15,0,4,0,0,5,19,36,24,14,32,22,37
SN,AH,kalpa,6,2,15,0,4,0,0,4,17,33,24,12,31,22,38
SN,AH,kalpa,7,2,15,0,4,0,0,4,17,33,24,12,31,22,38
SN,AH,kalpa,8,2,16,0,3,0,0,4,15,33,22,11,33,21,37
SN,AH,kalpa,9,3,15,0,3,0,0,4,15,33,21,12,33,21,37
SN,AH,kalpa,10,3,16,0,3,0,0,3,13,33,19,12,31,19,35
SN,AH,kalpa,11,3,15,0,3,0,0,3,12,32,22,11,34,20,34
SN,AH,kalpa,12,3,16,0,3,0,0,3,12,31,23,10,32,19,35
SN,AH,kalpa,13,3,15,0,3,0,0,3,11,32,23,10,36,22,39
SN,AH,kalpa,14,3,15,0,3,0,0,3,10,32,23,11,35,23,39
SN,AH,kalpa,15,3,14,0,3,0,0,3,11,32,24,10,34,25,40
SN,AH,kalpa,16,3,15,0,3,0,0,3,11,33,23,9,33,24,40
SN,AH,kalpa,17,3,15,0,3,0,0,3,11,32,23,8,35,24,40
SN,AH,kalpa,18,3,16,0,2,0,0,3,10,32,22,9,33,24,38
SN,AH,kalpa,19,2,17,0,2,0,0,4,11,33,23,11,33,26,38
SN,AH,kalpa,20,3,17,0,1,0,0,4,10,32,22,11,32,25,38
SN,AH,kalpa,21,4,16,0,1,0,0,4,9,33,21,11,33,25,38
SN,AH,kalpa,22,4,16,0,1,0,0,4,8,33,19,11,33,27,39
SN,AH,kalpa,23,4,15,0,2,0,0,5,8,33,19,11,35,27,41
SN,AH,kalpa,24,4,15,0,2,0,0,4,7,31,16,8,32,21,44
SN,AH,kalpa,25,4,14,0,2,0,0,5,8,30,16,9,34,21,43
SN,AH,kalpa,26,3,15,0,2,0,0,5,8,31,16,8,33,20,45
SN,AH,kalpa,27,3,14,0,2,0,0,5,8,31,14,8,36,19,48
SN,AH,kalpa,28,4,14,0,2,0,0,4,7,31,15,9,36,18,46
SN,AH,kalpa,29,4,13,0,2,0,0,4,7,30,16,10,37,19,46
SN,AH,kalpa,30,4,14,0,1,0,0,3,8,30,15,9,35,19,45
SN,AH,kalpa,31,4,13,0,2,0,0,3,9,29,19,11,35,20,43
SN,AH,kalpa,32,4,13,0,2,0,0,3,9,29,18,11,34,20,45
SN,AH,kalpa,33,4,12,1,2,0,0,3,9,29,21,12,34,19,47
SN,AH,kalpa,34,3,13,1,2,0,0,3,9,29,21,11,35,19,47
SN,AH,kalpa,35,3,12,1,3,0,0,3,11,29,21,11,35,21,48
SN,AH,kalpa,36,3,13,1,3,0,0,3,11,29,18,12,34,21,48
SN,AH,kalpa,37,3,12,1,3,0,0,3,10,28,21,12,36,22,47
SN,AH,kalpa,38,4,12,1,3,0,0,3,11,27,19,12,34,19,43
SN,AH,kalpa,39,4,12,1,3,0,0,3,11,27,18,12,36,18,43
SN,AH,kalpa,40,4,13,1,3,0,0,3,10,28,18,12,36,17,41
SN,AH,kalpa,41,4,13,1,3,0,0,3,10,28,17,12,37,18,40
SN,AH,kalpa,42,4,13,1,3,0,0,3,11,27,19,12,34,20,39
SN,AH,kalpa,43,4,12,1,3,0,0,3,10,25,20,13,38,21,38
SN,AH,kalpa,44,4,12,1,3,0,0,2,9,24,20,11,38,18,38
SN,AH,kalpa,45,3,12,1,3,0,0,3,10,23,22,11,40,22,40
SN,AH,kalpa,46,3,12,1,3,0,0,3,10,24,22,11,40,23,38
SN,AH,kalpa,47,3,11,1,3,0,0,4,13,23,23,12,42,21,36
SN,AH,kalpa,48,3,12,1,2,0,0,3,14,22,23,12,40,22,33
SN,AH,kalpa,49,3,12,1,2,0,0,3,13,22,23,12,41,23,32
SN,AH,kalpa,50,3,13,1,2,0,0,2,12,23,23,12,40,23,31
SN,AH,kalpa,51,3,13,1,2,0,0,2,13,22,23,13,41,24,28
SN,AH,kalpa,52,3,14,1,2,0,0,2,13,22,23,14,40,23,26
