Text_Type,Book,Chapter,Window,LLL,G,GLL,LLG,L,LGG,GGL,LGL,GLG,GGG,LG,LL,GG
SN,AH,sutra,1,1,20,7,7,2,15,22,21,40,25,0,0,0
SN,AH,sutra,2,1,19,7,7,3,15,19,21,40,26,0,0,0
SN,AH,sutra,3,1,19,6,7,3,16,19,21,37,27,0,0,0
SN,AH,sutra,4,1,19,7,7,3,17,19,21,36,26,0,0,0
SN,AH,sutra,5,1,19,7,7,3,17,17,22,36,27,0,0,0
SN,AH,sutra,6,1,19,7,7,3,17,17,22,35,28,0,0,0
SN,AH,sutra,7,1,19,8,7,3,17,17,23,33,28,0,0,0
SN,AH,sutra,8,1,19,8,8,3,17,17,23,32,28,0,0,0
SN,AH,sutra,9,1,19,8,9,3,18,15,23,32,28,0,0,0
SN,AH,sutra,10,1,19,8,8,3,16,15,24,32,30,0,0,0
SN,AH,sutra,11,1,19,8,10,3,15,15,25,29,31,0,0,0
SN,AH,sutra,12,1,20,9,10,3,14,14,28,25,30,0,0,0
SN,AH,sutra,13,1,20,9,10,3,15,14,28,25,29,0,0,0
SN,AH,sutra,14,1,21,9,8,2,14,14,28,26,31,0,0,0
SN,AH,sutra,15,1,21,9,8,2,15,13,28,26,31,0,0,0
SN,AH,sutra,16,0,22,9,9,2,16,11,29,24,30,0,0,0
SN,AH,sutra,17,0,22,9,9,2,16,12,29,23,30,0,0,0
SN,AH,sutra,18,0,23,10,9,1,18,12,30,22,27,0,0,0
SN,AH,sutra,19,0,22,11,9,1,21,9,29,25,27,0,0,0
SN,AH,sutra,20,0,22,10,9,1,19,10,30,25,28,0,0,0
SN,AH,sutra,21,0,21,10,8,1,19,13,31,27,28,1,0,0
SN,AH,sutra,22,0,22,10,7,1,17,14,32,25,28,1,0,0
SN,AH,sutra,23,0,22,11,7,1,16,15,32,24,28,1,0,0
SN,AH,sutra,24,0,22,11,7,1,17,16,32,25,25,1,0,0
SN,AH,sutra,25,0,22,12,8,1,17,15,32,24,25,1,0,0
SN,AH,sutra,26,0,22,13,8,1,15,16,33,22,26,1,0,0
SN,AH,sutra,27,0,22,12,8,1,15,18,34,20,26,1,0,0
SN,AH,sutra,28,0,22,12,8,1,14,17,34,21,27,1,0,0
SN,AH,sutra,29,0,22,10,7,1,14,18,34,22,28,1,0,0
SN,AH,sutra,30,0,22,9,7,1,14,18,35,22,28,1,0,0
SN,AH,sutra,31,0,22,9,7,1,15,17,35,22,28,1,0,0
SN,AH,sutra,32,0,22,9,8,1,15,18,33,22,28,1,0,0
SN,AH,sutra,33,0,22,8,8,1,15,18,34,22,28,1,0,0
SN,AH,sutra,34,0,21,8,7,2,15,18,34,22,29,1,0,0
SN,AH,sutra,35,0,21,7,8,2,15,20,33,22,28,1,0,0
SN,AH,sutra,36,0,21,7,6,2,16,20,32,24,28,1,0,0
SN,AH,sutra,37,0,21,6,6,2,15,21,30,25,30,1,0,0
SN,AH,sutra,38,0,21,6,6,2,15,20,31,26,29,1,0,0
SN,AH,sutra,39,0,20,6,6,3,16,21,32,26,26,1,0,0
SN,AH,sutra,40,0,20,6,7,3,16,20,33,26,25,1,0,0
SN,AH,sutra,41,0,20,6,6,3,14,21,34,26,26,1,0,0
SN,AH,sutra,42,0,20,6,5,3,14,20,34,27,27,1,0,0
SN,AH,sutra,43,0,20,5,6,3,12,22,33,28,27,1,0,0
SN,AH,sutra,44,0,21,4,6,3,11,24,34,25,26,1,0,0
SN,AH,sutra,45,0,21,4,6,3,12,23,33,25,27,1,0,0
SN,AH,sutra,46,0,22,4,7,3,13,22,32,22,25,0,0,0
SN,AH,sutra,47,0,22,4,7,3,13,21,32,21,27,0,0,0
SN,AH,sutra,48,0,22,3,8,3,14,19,32,21,28,0,0,0
SN,AH,sutra,49,0,22,3,9,3,13,18,32,19,31,0,0,0
SN,AH,sutra,50,0,22,2,8,3,13,19,32,19,32,0,0,0
SN,AH,sutra,51,0,22,1,8,3,14,18,31,21,32,0,0,0
SN,AH,sutra,52,0,23,1,8,2,14,17,30,23,32,0,0,0
SN,AH,sutra,53,0,23,1,8,2,14,16,31,25,30,0,0,0
SN,AH,sutra,54,0,23,1,8,2,14,16,32,24,30,0,0,0
SN,AH,sutra,55,0,22,1,8,2,16,17,31,24,31,0,0,0
SN,AH,sutra,56,0,22,1,8,2,15,17,32,24,31,0,0,0
SN,AH,sutra,57,0,22,0,8,2,14,17,33,25,31,0,0,0
SN,AH,sutra,58,0,22,1,7,2,15,17,32,25,31,0,0,0
SN,AH,sutra,59,0,22,1,7,2,14,18,32,25,31,0,0,0
SN,AH,sutra,60,0,21,1,6,3,14,17,32,27,31,0,0,0
SN,AH,sutra,61,0,20,1,6,4,13,17,33,26,32,0,0,0
SN,AH,sutra,62,0,20,2,6,4,13,16,34,26,31,0,0,0
SN,AH,sutra,63,0,19,3,7,5,12,16,34,25,31,0,0,0
SN,AH,sutra,64,0,20,3,7,4,11,16,33,26,32,0,0,0
SN,AH,sutra,65,0,20,3,6,4,11,17,32,26,33,0,0,0
SN,AH,sutra,66,0,20,3,6,4,11,17,31,27,33,0,0,0
SN,AH,sutra,67,0,20,3,6,4,12,17,31,27,32,0,0,0
SN,AH,sutra,68,0,20,3,5,4,13,16,31,26,34,0,0,0
SN,AH,sutra,69,0,19,3,5,5,11,15,31,27,36,0,0,0
SN,AH,sutra,70,0,19,3,5,5,10,16,31,28,35,0,0,0
SN,AH,sutra,71,0,19,4,4,5,9,14,32,29,36,0,0,0
SN,AH,sutra,72,0,19,4,4,5,10,13,32,30,35,0,0,0
SN,AH,sutra,73,0,19,4,3,5,9,13,34,31,34,0,0,0
SN,AH,sutra,74,0,19,4,2,5,9,13,34,32,34,0,0,0
SN,AH,sutra,75,0,18,4,2,5,11,14,33,33,34,0,0,0
SN,AH,sutra,76,0,18,4,2,5,10,14,32,31,33,0,0,0
SN,AH,sutra,77,0,18,4,2,5,10,15,31,30,34,0,0,0
SN,AH,sutra,78,0,18,5,2,5,10,15,32,27,35,0,0,0
SN,AH,sutra,79,1,18,7,2,5,9,14,31,27,35,0,0,0
SN,AH,sutra,80,1,19,8,2,5,7,14,31,27,33,0,0,0
SN,AH,sutra,81,1,19,8,3,5,9,15,30,26,31,0,0,0
SN,AH,sutra,82,1,19,9,2,5,11,14,30,26,30,0,0,0
SN,AH,sutra,83,2,18,9,2,5,11,16,29,28,29,0,0,0
SN,AH,sutra,84,2,19,10,2,4,11,16,29,28,28,0,0,0
SN,AH,sutra,85,2,20,10,2,3,11,16,29,27,29,0,0,0
SN,AH,sutra,86,2,21,11,2,2,11,16,28,27,29,0,0,0
SN,AH,sutra,87,2,20,11,2,2,14,16,27,28,29,0,0,0
SN,AH,sutra,88,2,20,11,2,2,14,16,26,28,30,0,0,0
SN,AH,sutra,89,2,20,11,2,2,15,15,26,28,30,0,0,0
SN,AH,sutra,90,2,20,11,3,2,16,14,26,28,29,0,0,0
SN,AH,sutra,91,3,19,11,3,2,19,14,25,29,28,0,0,0
SN,AH,sutra,92,3,18,11,4,3,18,15,25,29,27,0,0,0
SN,AH,sutra,93,3,18,11,4,3,17,15,26,30,26,0,0,0
SN,AH,sutra,94,3,19,11,4,2,18,15,26,30,25,0,0,0
SN,AH,sutra,95,3,19,11,5,2,19,14,27,29,24,0,0,0
SN,AH,sutra,96,3,19,11,5,2,20,14,26,29,24,0,0,0
SN,AH,sutra,97,3,19,11,5,2,19,14,26,29,25,0,0,0
SN,AH,sutra,98,3,19,11,6,2,19,15,25,28,25,0,0,0
SN,AH,sutra,99,3,19,11,6,2,19,15,25,29,24,0,0,0
SN,AH,sutra,100,3,20,12,6,2,18,13,26,29,22,0,0,0
SN,AH,sutra,101,3,20,12,6,2,18,14,27,32,22,0,0,0
SN,AH,sutra,102,3,20,12,7,2,18,12,29,31,22,0,0,0
SN,AH,sutra,103,3,20,12,7,2,20,13,27,31,21,0,0,0
SN,AH,sutra,104,2,20,10,7,2,21,14,27,32,21,0,0,0
SN,AH,sutra,105,2,20,9,7,2,22,14,27,32,21,0,0,0
SN,AH,sutra,106,2,19,10,7,3,21,14,27,32,21,0,0,0
SN,AH,sutra,107,3,18,10,8,3,19,15,27,34,21,0,0,0
SN,AH,sutra,108,2,19,9,8,3,19,13,30,31,22,0,0,0
SN,AH,sutra,109,2,19,8,8,3,19,12,30,31,24,0,0,0
SN,AH,sutra,110,2,19,8,8,3,19,12,30,32,23,0,0,0
SN,AH,sutra,111,3,18,7,8,3,20,13,29,34,23,0,0,0
SN,AH,sutra,112,3,19,7,8,3,18,14,29,33,22,0,0,0
SN,AH,sutra,113,3,19,7,9,3,20,15,30,35,23,0,0,0
SN,AH,sutra,114,3,19,7,9,3,19,16,31,35,22,0,0,0
SN,AH,sutra,115,3,19,7,8,3,17,18,31,35,23,0,0,0
SN,AH,sutra,116,2,20,7,8,3,14,18,32,33,25,0,0,0
SN,AH,sutra,117,2,21,7,7,2,15,18,32,33,25,0,0,0
SN,AH,sutra,118,2,21,7,8,2,15,18,32,32,25,0,0,0
SN,AH,sutra,119,2,21,7,8,2,14,18,32,33,25,0,0,0
SN,AH,sutra,120,2,21,7,7,2,13,19,31,33,27,0,0,0
SN,AH,sutra,121,2,21,6,7,2,12,20,31,32,29,0,0,0
SN,AH,sutra,122,2,21,7,7,2,14,20,31,30,28,0,0,0
SN,AH,sutra,123,2,21,7,6,2,16,20,30,31,27,0,0,0
SN,AH,sutra,124,2,21,7,7,2,16,21,31,30,25,0,0,0
SN,AH,sutra,125,2,21,6,7,2,15,21,32,31,25,0,0,0
SN,AH,sutra,126,2,21,6,8,2,16,20,32,29,26,0,0,0
SN,AH,sutra,127,2,21,6,8,2,16,21,32,30,24,0,0,0
SN,AH,sutra,128,2,20,5,8,3,15,22,32,30,25,0,0,0
SN,AH,sutra,129,2,20,5,8,3,15,23,32,30,24,0,0,0
SN,AH,sutra,130,2,20,5,8,3,14,25,33,29,23,0,0,0
SN,AH,sutra,131,2,21,4,7,2,13,26,33,31,23,0,0,0
SN,AH,sutra,132,1,22,3,6,2,14,25,33,29,25,0,0,0
SN,AH,sutra,133,1,22,3,6,2,14,27,32,29,24,0,0,0
SN,AH,sutra,134,1,21,3,6,3,16,27,33,29,21,0,0,0
SN,AH,sutra,135,1,20,4,7,3,18,27,33,28,21,0,0,0
SN,AH,sutra,136,0,21,5,7,3,17,28,35,25,19,0,0,0
SN,AH,sutra,137,0,21,4,7,3,16,28,36,24,21,0,0,0
SN,AH,sutra,138,0,22,4,6,2,16,27,35,21,19,0,0,0
SN,AH,sutra,139,0,22,4,7,2,16,26,35,20,20,0,0,0
SN,AH,sutra,140,0,22,5,7,2,16,24,36,20,20,0,0,0
SN,AH,sutra,141,0,21,7,7,2,18,23,37,21,18,0,0,0
SN,AH,sutra,142,0,21,7,8,2,17,23,38,21,17,0,0,0
SN,AH,sutra,143,0,21,7,9,2,17,22,37,21,18,0,0,0
SN,AH,sutra,144,0,21,7,9,2,17,22,37,21,18,0,0,0
SN,AH,sutra,145,0,20,8,9,3,17,22,37,21,17,0,0,0
SN,AH,sutra,146,0,20,8,9,3,17,21,38,22,16,0,0,0
SN,AH,sutra,147,0,20,7,9,3,15,22,38,23,17,0,0,0
