Text_Type,Book,Chapter,Window,LL,L,GGL,G,LGG,GLL,GLG,GGG,LLL,LGL,LLG,LG,GG,GL
SN,AH,uttara,1,1,1,20,17,27,8,27,26,2,28,14,2,0,0
SN,AH,uttara,2,1,1,21,17,28,8,26,25,2,28,14,2,0,0
SN,AH,uttara,3,1,1,21,17,27,8,28,24,2,28,14,2,0,0
SN,AH,uttara,4,1,1,23,17,27,8,25,25,2,28,14,2,0,0
SN,AH,uttara,5,1,1,23,17,28,8,24,25,2,27,15,2,0,0
SN,AH,uttara,6,1,1,22,17,28,8,26,25,1,27,15,2,0,0
SN,AH,uttara,7,1,1,22,16,30,7,27,26,2,26,15,2,0,0
SN,AH,uttara,8,1,1,19,17,29,7,28,27,2,26,14,2,0,0
SN,AH,uttara,9,1,0,18,18,30,8,29,25,2,26,14,2,0,0
SN,AH,uttara,10,1,0,19,19,27,8,28,25,2,27,13,2,0,0
SN,AH,uttara,11,1,0,19,19,27,8,29,24,2,27,13,2,0,0
SN,AH,uttara,12,0,0,18,20,27,8,27,23,2,26,13,2,0,0
SN,AH,uttara,13,0,0,20,19,27,9,26,25,2,26,12,2,0,0
SN,AH,uttara,14,0,0,20,20,26,9,24,27,1,25,10,1,0,0
SN,AH,uttara,15,0,0,21,19,27,9,26,28,1,24,9,1,0,0
SN,AH,uttara,16,0,0,23,19,26,8,27,28,1,24,8,1,0,0
SN,AH,uttara,17,0,0,22,18,27,8,30,29,2,22,8,1,0,0
SN,AH,uttara,18,0,0,21,19,24,8,31,27,2,24,8,1,0,0
SN,AH,uttara,19,0,0,21,19,23,8,31,26,2,25,9,1,0,0
SN,AH,uttara,20,0,0,19,20,22,7,30,27,2,26,9,1,0,0
SN,AH,uttara,21,0,0,19,19,23,7,31,26,2,26,11,1,0,0
SN,AH,uttara,22,0,0,19,20,22,6,30,25,2,26,10,0,0,0
SN,AH,uttara,23,0,0,18,20,20,6,31,26,2,27,10,0,0,0
SN,AH,uttara,24,0,0,18,20,19,6,32,26,2,27,10,0,0,0
SN,AH,uttara,25,0,1,16,19,19,6,34,26,2,28,9,0,0,0
SN,AH,uttara,26,0,2,17,18,17,6,33,27,2,28,10,0,0,0
SN,AH,uttara,27,0,2,16,18,16,6,33,28,2,29,10,0,0,0
SN,AH,uttara,28,0,2,17,18,16,5,31,30,2,29,10,0,0,0
SN,AH,uttara,29,0,2,18,17,16,5,33,33,2,28,10,1,0,0
SN,AH,uttara,30,0,2,20,17,15,5,34,32,2,28,9,1,0,0
SN,AH,uttara,31,0,2,22,16,18,5,35,33,2,26,9,2,0,0
SN,AH,uttara,32,0,3,22,16,16,5,33,32,1,28,10,2,0,0
SN,AH,uttara,33,0,3,23,15,16,4,35,33,1,27,11,2,0,0
SN,AH,uttara,34,0,3,24,15,15,4,35,34,1,27,10,2,0,0
SN,AH,uttara,35,0,3,23,15,14,4,35,35,1,27,11,2,0,0
SN,AH,uttara,36,0,4,22,14,14,4,36,35,1,27,11,2,0,0
SN,AH,uttara,37,0,4,22,14,14,4,35,34,1,29,11,2,0,0
SN,AH,uttara,38,0,4,21,15,13,4,35,32,1,30,11,2,0,0
