Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AH,chikitsa,1,5,39,0,0,0,0,0,22,55,22,15,58,32,64
SN,AH,chikitsa,2,5,39,0,0,0,0,0,22,55,22,15,59,33,62
SN,AH,chikitsa,3,5,39,0,0,0,0,0,21,56,22,15,58,35,61
SN,AH,chikitsa,4,5,39,0,0,0,0,0,21,58,22,15,58,34,60
SN,AH,chikitsa,5,5,39,0,0,0,0,0,22,58,21,15,59,35,58
SN,AH,chikitsa,6,5,40,0,0,0,0,0,23,58,19,14,59,35,57
SN,AH,chikitsa,7,5,40,0,0,0,0,0,23,59,19,14,61,34,55
SN,AH,chikitsa,8,5,40,0,0,0,0,0,23,59,19,14,61,35,54
SN,AH,chikitsa,9,5,40,0,0,0,0,0,23,58,18,14,62,36,54
SN,AH,chikitsa,10,5,40,0,0,0,0,0,23,59,18,15,62,36,52
SN,AH,chikitsa,11,5,40,0,0,0,0,0,21,61,19,15,61,37,51
SN,AH,chikitsa,12,5,39,0,0,0,0,0,22,61,20,15,60,38,52
SN,AH,chikitsa,13,5,39,0,0,0,0,0,23,61,20,16,59,36,53
SN,AH,chikitsa,14,6,38,0,0,0,0,1,23,60,20,15,59,37,53
SN,AH,chikitsa,15,6,38,0,0,0,0,1,23,59,21,16,58,37,53
SN,AH,chikitsa,16,6,37,0,0,0,0,2,22,58,22,16,62,37,52
SN,AH,chikitsa,17,6,37,0,0,0,0,2,22,58,23,15,61,37,53
SN,AH,chikitsa,18,6,36,0,0,0,0,2,22,55,24,15,63,39,54
SN,AH,chikitsa,19,6,36,0,0,0,0,2,21,54,25,16,64,39,53
SN,AH,chikitsa,20,6,35,0,1,0,0,2,23,53,29,16,64,38,54
SN,AH,chikitsa,21,6,35,0,1,0,0,2,23,51,30,15,64,40,54
SN,AH,chikitsa,22,6,35,0,1,0,0,2,22,51,32,15,64,41,52
SN,AH,chikitsa,23,6,35,0,1,0,0,2,21,52,33,16,63,40,52
SN,AH,chikitsa,24,6,35,0,1,0,0,2,20,53,34,14,65,41,50
SN,AH,chikitsa,25,6,35,0,1,0,0,2,20,53,35,13,64,41,51
SN,AH,chikitsa,26,6,34,0,1,0,0,2,20,55,36,12,69,44,52
SN,AH,chikitsa,27,6,34,0,1,0,0,2,19,55,35,12,70,45,52
SN,AH,chikitsa,28,6,34,0,1,0,0,2,19,55,37,12,70,45,50
SN,AH,chikitsa,29,5,35,0,1,0,0,2,18,56,37,12,72,43,50
SN,AH,chikitsa,30,4,36,0,1,0,0,2,17,56,37,12,72,44,50
SN,AH,chikitsa,31,4,36,0,1,0,0,2,16,56,36,13,71,45,51
SN,AH,chikitsa,32,4,35,0,1,0,0,2,17,56,37,14,73,45,49
SN,AH,chikitsa,33,5,34,0,1,0,0,2,19,56,37,14,73,44,48
SN,AH,chikitsa,34,5,34,0,1,0,0,2,18,56,37,14,74,43,49
SN,AH,chikitsa,35,6,33,0,1,0,0,2,18,56,36,13,75,43,50
SN,AH,chikitsa,36,6,32,0,1,0,0,2,17,55,38,14,77,43,50
SN,AH,chikitsa,37,7,31,0,1,0,0,2,16,56,38,15,75,43,51
SN,AH,chikitsa,38,6,32,0,1,0,0,2,16,57,38,16,73,42,52
SN,AH,chikitsa,39,5,33,0,1,0,0,2,16,59,38,16,73,42,50
SN,AH,chikitsa,40,5,34,0,1,0,0,2,17,60,38,16,71,41,48
SN,AH,chikitsa,41,5,34,0,1,0,0,2,16,60,38,16,72,41,48
SN,AH,chikitsa,42,5,34,0,1,0,0,2,17,60,36,16,72,40,50
SN,AH,chikitsa,43,5,34,0,1,0,0,2,17,60,37,17,71,39,50
SN,AH,chikitsa,44,5,35,0,1,0,0,2,17,60,36,17,69,39,50
SN,AH,chikitsa,45,5,35,0,1,0,0,2,18,60,37,16,67,39,51
SN,AH,chikitsa,46,5,35,0,1,0,0,2,18,60,36,16,68,39,51
SN,AH,chikitsa,47,5,35,0,1,0,0,2,18,59,36,16,66,38,50
SN,AH,chikitsa,48,5,36,0,1,0,0,2,17,59,35,16,64,38,51
SN,AH,chikitsa,49,5,36,0,1,0,0,2,16,60,36,16,63,39,50
SN,AH,chikitsa,50,5,36,0,1,0,0,2,15,62,36,16,63,39,49
SN,AH,chikitsa,51,5,36,0,1,0,0,2,15,62,36,16,62,39,50
SN,AH,chikitsa,52,5,36,0,1,0,0,2,15,62,36,16,62,38,51
SN,AH,chikitsa,53,5,36,0,1,0,0,2,15,62,37,16,63,36,51
SN,AH,chikitsa,54,5,36,0,1,0,0,2,16,60,37,17,63,36,51
SN,AH,chikitsa,55,5,36,0,1,0,0,2,15,60,38,17,64,36,50
SN,AH,chikitsa,56,5,35,0,1,0,0,2,15,60,40,18,64,35,51
SN,AH,chikitsa,57,5,35,0,1,0,0,2,15,60,41,18,62,35,52
SN,AH,chikitsa,58,5,34,0,1,0,0,2,15,62,42,20,62,34,51
SN,AH,chikitsa,59,5,34,0,1,0,0,2,15,62,42,20,63,34,50
SN,AH,chikitsa,60,5,34,0,1,0,0,2,16,61,42,20,64,33,50
SN,AH,chikitsa,61,5,34,0,1,0,0,2,17,60,42,21,64,32,50
SN,AH,chikitsa,62,5,35,0,1,0,0,2,16,61,42,20,64,32,48
SN,AH,chikitsa,63,5,35,0,1,0,0,2,15,62,42,20,65,32,47
SN,AH,chikitsa,64,4,36,0,1,0,0,1,15,62,42,20,65,31,49
SN,AH,chikitsa,65,4,36,0,1,0,0,1,16,62,40,20,64,33,49
SN,AH,chikitsa,66,4,37,0,1,0,0,0,16,64,39,20,60,33,50
SN,AH,chikitsa,67,5,36,0,1,0,0,0,15,63,38,21,62,33,50
SN,AH,chikitsa,68,5,36,0,1,0,0,0,15,65,38,22,62,31,49
SN,AH,chikitsa,69,4,37,0,1,0,0,0,15,66,38,22,61,32,48
SN,AH,chikitsa,70,4,38,0,0,0,0,0,14,67,34,22,61,32,47
SN,AH,chikitsa,71,4,38,0,0,0,0,0,14,67,33,22,63,30,48
SN,AH,chikitsa,72,4,39,0,0,0,0,0,15,68,32,21,61,28,49
SN,AH,chikitsa,73,4,39,0,0,0,0,0,15,68,31,20,63,28,49
SN,AH,chikitsa,74,4,40,0,0,0,0,0,15,68,30,20,60,28,50
SN,AH,chikitsa,75,4,40,0,0,0,0,0,16,69,29,20,59,29,49
SN,AH,chikitsa,76,4,41,0,0,0,0,0,17,67,28,20,56,25,47
SN,AH,chikitsa,77,5,40,0,0,0,0,0,18,67,28,20,54,26,47
SN,AH,chikitsa,78,5,39,0,0,0,0,0,19,66,26,21,56,27,48
SN,AH,chikitsa,79,5,39,0,0,0,0,0,19,65,26,21,55,28,49
SN,AH,chikitsa,80,5,39,0,0,0,0,0,20,65,27,21,55,27,48
SN,AH,chikitsa,81,5,39,0,0,0,0,0,19,66,27,20,57,26,48
SN,AH,chikitsa,82,5,40,0,0,0,0,0,18,68,25,19,55,27,48
SN,AH,chikitsa,83,4,41,0,0,0,0,0,16,68,25,19,56,28,48
SN,AH,chikitsa,84,4,41,0,0,0,0,0,16,68,26,19,56,28,47
SN,AH,chikitsa,85,3,42,0,0,0,0,0,16,69,27,19,55,28,46
SN,AH,chikitsa,86,3,43,0,0,0,0,0,16,69,26,18,53,29,46
SN,AH,chikitsa,87,3,43,0,0,0,0,0,16,69,26,17,54,29,46
SN,AH,chikitsa,88,3,42,0,0,0,0,0,17,67,29,18,56,29,44
SN,AH,chikitsa,89,3,42,0,0,0,0,0,18,65,29,18,56,29,45
SN,AH,chikitsa,90,3,41,1,0,0,0,0,17,65,30,18,57,30,48
SN,AH,chikitsa,91,3,41,1,0,0,0,0,18,65,30,18,55,33,46
SN,AH,chikitsa,92,3,41,1,0,0,0,0,17,65,30,18,56,35,44
SN,AH,chikitsa,93,3,41,1,0,0,0,1,17,65,29,18,55,37,43
SN,AH,chikitsa,94,3,40,1,1,0,0,1,19,64,29,19,54,38,46
SN,AH,chikitsa,95,3,40,1,1,0,0,1,18,64,29,19,54,38,47
SN,AH,chikitsa,96,3,40,1,1,0,0,1,18,64,29,18,52,40,48
SN,AH,chikitsa,97,3,40,1,1,0,0,1,18,65,29,18,54,41,49
SN,AH,chikitsa,98,3,40,1,1,0,0,1,18,66,28,18,54,41,49
SN,AH,chikitsa,99,3,40,1,1,0,0,1,19,65,27,18,54,41,50
SN,AH,chikitsa,100,3,40,1,1,0,0,1,20,65,25,18,56,40,50
SN,AH,chikitsa,101,3,40,1,1,0,0,2,20,65,25,20,55,40,48
SN,AH,chikitsa,102,3,40,1,1,0,0,2,21,66,25,20,54,40,47
SN,AH,chikitsa,103,3,40,1,1,0,0,2,21,65,24,21,54,41,47
SN,AH,chikitsa,104,3,40,1,1,0,0,2,20,66,24,20,55,41,47
SN,AH,chikitsa,105,3,40,1,1,0,0,2,20,67,24,20,54,40,48
SN,AH,chikitsa,106,4,40,1,1,0,0,2,19,67,22,19,55,41,47
SN,AH,chikitsa,107,4,40,1,1,0,0,2,20,66,22,19,54,43,46
SN,AH,chikitsa,108,4,41,1,1,0,0,2,21,64,22,17,54,43,46
SN,AH,chikitsa,109,5,40,1,1,0,0,2,22,64,22,17,52,43,47
SN,AH,chikitsa,110,5,40,1,1,0,0,2,22,65,22,16,50,45,47
SN,AH,chikitsa,111,5,40,1,1,0,0,2,21,66,22,15,51,44,48
SN,AH,chikitsa,112,5,40,1,1,0,0,2,21,65,22,15,50,44,50
SN,AH,chikitsa,113,5,40,1,1,0,0,2,21,65,22,15,49,45,50
SN,AH,chikitsa,114,5,40,1,1,0,0,2,21,65,23,14,50,44,50
SN,AH,chikitsa,115,5,40,1,1,0,0,2,20,65,24,13,50,45,50
SN,AH,chikitsa,116,5,40,1,1,0,0,2,20,64,25,13,50,47,48
SN,AH,chikitsa,117,4,41,1,1,0,0,2,20,64,25,12,51,48,47
SN,AH,chikitsa,118,4,42,1,1,0,0,2,21,63,24,11,50,48,47
SN,AH,chikitsa,119,5,41,1,1,0,0,2,21,62,25,10,50,49,47
