Text_Type,Book,Chapter,Window,GLG,GLL,LGG,L,LG,LLG,GGL,GGG,LLL,G,LGL,LL,GG,GL
SN,AH,kalpa,1,63,24,36,6,5,28,40,80,8,31,68,0,0,0
SN,AH,kalpa,2,66,24,36,6,5,26,40,82,8,30,68,0,0,0
SN,AH,kalpa,3,66,24,38,7,5,26,39,81,8,29,68,0,0,0
SN,AH,kalpa,4,67,23,39,6,5,26,41,83,8,29,66,0,0,0
SN,AH,kalpa,5,67,23,39,6,5,27,41,82,8,29,66,0,0,0
SN,AH,kalpa,6,66,23,43,6,6,26,42,81,7,28,62,0,0,0
SN,AH,kalpa,7,65,23,42,6,6,26,42,83,7,28,62,0,0,0
SN,AH,kalpa,8,67,23,43,6,5,24,40,84,7,28,62,1,0,0
SN,AH,kalpa,9,68,23,42,6,5,24,40,84,7,28,62,1,0,0
SN,AH,kalpa,10,66,23,40,6,6,24,40,83,6,28,62,1,0,0
SN,AH,kalpa,11,68,23,40,6,6,23,41,82,6,28,61,1,0,0
SN,AH,kalpa,12,68,22,44,6,6,22,41,82,6,28,59,1,0,0
SN,AH,kalpa,13,70,22,42,7,6,22,41,82,6,27,59,1,0,0
SN,AH,kalpa,14,71,23,41,7,6,21,41,82,6,27,59,1,0,0
SN,AH,kalpa,15,70,22,42,7,6,21,42,81,6,27,60,1,0,0
SN,AH,kalpa,16,70,21,40,7,6,21,42,80,6,28,61,1,0,0
SN,AH,kalpa,17,69,20,42,7,6,22,44,79,6,28,59,1,0,0
SN,AH,kalpa,18,71,22,42,7,5,20,45,76,6,28,57,1,0,0
SN,AH,kalpa,19,71,22,43,6,5,20,44,76,6,29,57,1,0,0
SN,AH,kalpa,20,72,22,44,6,4,20,47,78,7,29,55,1,0,0
SN,AH,kalpa,21,73,22,43,7,4,19,48,76,7,28,57,1,0,0
SN,AH,kalpa,22,75,23,42,7,4,21,48,75,8,27,56,1,0,0
SN,AH,kalpa,23,75,23,42,7,4,22,49,74,8,27,55,1,0,0
SN,AH,kalpa,24,73,20,39,7,4,20,44,76,7,27,53,1,0,0
SN,AH,kalpa,25,74,21,39,7,4,20,44,74,7,27,53,1,0,0
SN,AH,kalpa,26,74,21,39,6,4,21,44,73,7,28,53,1,0,0
SN,AH,kalpa,27,76,22,37,6,4,21,42,74,7,28,53,1,0,0
SN,AH,kalpa,28,75,24,37,6,5,22,44,73,6,28,53,1,0,0
SN,AH,kalpa,29,75,24,38,6,5,22,44,72,6,28,53,1,0,0
SN,AH,kalpa,30,76,23,38,6,4,22,45,71,5,28,52,1,0,0
SN,AH,kalpa,31,77,23,39,6,4,22,45,69,5,28,52,1,0,0
SN,AH,kalpa,32,75,23,38,6,4,23,47,69,5,28,52,1,0,0
SN,AH,kalpa,33,76,23,38,7,4,23,45,69,5,27,53,1,0,0
SN,AH,kalpa,34,78,22,40,6,4,23,46,68,5,27,53,1,0,0
SN,AH,kalpa,35,77,22,40,6,4,23,46,68,5,27,54,1,0,0
SN,AH,kalpa,36,77,23,38,6,4,23,46,70,5,27,53,1,0,0
SN,AH,kalpa,37,78,23,37,6,4,22,47,70,5,27,53,1,0,0
SN,AH,kalpa,38,75,24,37,6,5,24,46,67,5,27,51,1,0,0
SN,AH,kalpa,39,75,23,36,6,5,24,46,68,5,27,52,1,0,0
SN,AH,kalpa,40,76,23,37,6,5,25,44,67,6,27,51,1,0,0
SN,AH,kalpa,41,77,24,36,6,5,25,43,67,6,27,51,1,0,0
SN,AH,kalpa,42,75,24,36,6,5,25,43,69,6,27,51,1,0,0
SN,AH,kalpa,43,77,23,36,6,5,25,43,69,6,27,50,1,0,0
SN,AH,kalpa,44,77,23,36,6,5,24,41,69,5,26,49,1,0,0
SN,AH,kalpa,45,76,25,37,5,5,24,41,68,5,27,48,1,0,0
SN,AH,kalpa,46,76,27,38,4,5,26,43,67,6,28,49,1,0,0
SN,AH,kalpa,47,76,28,39,4,5,27,42,65,6,28,49,1,0,0
SN,AH,kalpa,48,75,28,39,4,4,28,43,66,6,29,50,1,0,0
SN,AH,kalpa,49,77,28,40,4,4,27,43,64,6,29,50,1,0,0
SN,AH,kalpa,50,75,27,41,4,4,26,43,64,5,30,51,1,0,0
SN,AH,kalpa,51,75,28,44,4,4,26,43,61,5,30,50,1,0,0
SN,AH,kalpa,52,73,28,45,4,4,27,43,58,5,31,50,1,0,0
SN,AH,kalpa,53,73,28,43,3,4,27,43,59,5,32,51,1,0,0
SN,AH,kalpa,54,74,28,44,3,4,28,41,58,5,32,51,1,0,0
SN,AH,kalpa,55,75,28,44,3,4,27,40,59,5,32,51,1,0,0
SN,AH,kalpa,56,74,28,42,3,4,27,39,63,5,32,51,1,0,0
SN,AH,kalpa,57,73,28,43,3,4,28,40,61,5,32,51,1,0,0
SN,AH,kalpa,58,73,28,43,3,4,28,39,60,5,32,51,0,0,0
SN,AH,kalpa,59,73,28,43,4,4,27,41,59,5,31,51,0,0,0
SN,AH,kalpa,60,76,30,46,4,3,27,42,61,5,32,51,0,0,0
SN,AH,kalpa,61,74,29,47,4,3,28,42,61,5,32,52,0,0,0
SN,AH,kalpa,62,75,29,43,4,3,28,41,61,5,33,53,0,0,0
SN,AH,kalpa,63,73,29,44,3,3,28,41,61,5,34,54,0,0,0
SN,AH,kalpa,64,74,28,45,3,4,29,41,63,5,33,55,0,0,0
SN,AH,kalpa,65,74,28,44,3,4,30,41,64,5,33,54,0,0,0
SN,AH,kalpa,66,74,29,45,3,4,31,39,66,5,32,54,0,0,0
SN,AH,kalpa,67,76,30,43,3,4,30,37,67,5,32,55,0,0,0
SN,AH,kalpa,68,74,28,42,3,4,31,37,70,6,32,55,0,0,0
SN,AH,kalpa,69,72,28,42,3,4,32,38,70,6,32,55,0,0,0
SN,AH,kalpa,70,74,29,42,3,4,32,37,72,5,33,57,0,0,0
SN,AH,kalpa,71,74,29,43,2,4,33,37,72,5,34,55,0,0,0
SN,AH,kalpa,72,73,29,44,2,4,30,38,74,4,34,56,0,0,0
SN,AH,kalpa,73,73,29,44,2,4,30,37,74,4,34,57,0,0,0
SN,AH,kalpa,74,72,30,45,2,4,30,36,72,4,34,59,0,0,0
SN,AH,kalpa,75,72,29,45,2,4,30,37,72,4,34,59,0,0,0
SN,AH,kalpa,76,73,28,45,2,4,29,37,73,4,34,59,0,0,0
SN,AH,kalpa,77,71,27,45,2,4,31,38,72,4,34,60,0,0,0
SN,AH,kalpa,78,72,25,45,2,3,29,36,71,4,35,61,0,0,0
SN,AH,kalpa,79,71,25,46,2,3,30,35,71,4,35,61,0,0,0
SN,AH,kalpa,80,71,24,47,2,4,32,34,70,4,35,63,0,0,0
SN,AH,kalpa,81,71,24,46,2,4,33,35,69,4,35,63,0,0,0
SN,AH,kalpa,82,72,26,48,2,4,33,34,69,4,34,62,0,0,0
SN,AH,kalpa,83,70,26,48,1,4,33,35,71,4,35,61,0,0,0
SN,AH,kalpa,84,71,26,46,1,5,33,35,73,4,35,62,0,0,0
SN,AH,kalpa,85,70,26,46,1,5,33,35,71,4,35,60,0,0,0
SN,AH,kalpa,86,69,26,45,1,5,33,34,70,4,36,61,0,0,0
