Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AH,nidana,1,3,40,0,2,0,1,2,18,54,30,23,46,36,69
SN,AH,nidana,2,3,39,0,2,0,1,2,18,54,31,24,48,35,69
SN,AH,nidana,3,3,39,0,2,0,1,2,18,54,31,24,49,36,67
SN,AH,nidana,4,3,39,0,2,0,1,2,18,55,30,23,48,37,68
SN,AH,nidana,5,3,39,0,2,0,1,2,19,55,30,23,47,37,68
SN,AH,nidana,6,4,38,0,2,0,1,2,19,55,28,23,48,38,68
SN,AH,nidana,7,4,38,0,2,0,1,2,19,55,27,24,48,40,66
SN,AH,nidana,8,4,38,0,2,0,1,2,20,55,27,23,48,42,64
SN,AH,nidana,9,4,38,0,2,0,1,2,20,55,27,23,48,43,63
SN,AH,nidana,10,4,37,0,2,0,1,2,21,54,27,23,49,43,65
SN,AH,nidana,11,4,37,0,2,0,1,2,21,55,27,23,48,43,65
SN,AH,nidana,12,4,37,0,2,0,1,2,21,55,27,22,49,44,64
SN,AH,nidana,13,4,37,0,2,0,1,2,20,56,26,22,50,43,65
SN,AH,nidana,14,4,36,0,2,0,1,3,19,55,27,22,52,43,66
SN,AH,nidana,15,4,36,0,2,0,1,3,18,56,25,21,52,44,68
SN,AH,nidana,16,4,36,0,2,0,1,3,19,56,24,21,51,43,70
SN,AH,nidana,17,4,36,0,2,0,1,3,19,57,24,21,51,44,68
SN,AH,nidana,18,4,36,0,2,0,1,3,19,57,24,20,52,43,69
SN,AH,nidana,19,3,37,0,2,0,1,3,20,57,25,21,51,42,68
SN,AH,nidana,20,3,38,0,1,0,1,3,19,58,25,21,51,41,69
SN,AH,nidana,21,3,38,0,1,0,1,3,19,59,26,21,52,39,68
SN,AH,nidana,22,3,37,0,1,0,1,3,19,57,28,21,55,39,68
SN,AH,nidana,23,3,37,0,1,0,1,3,19,57,27,22,56,38,68
SN,AH,nidana,24,2,38,0,1,0,1,3,20,58,26,22,56,39,66
SN,AH,nidana,25,2,38,0,1,0,1,3,21,58,27,22,56,37,66
SN,AH,nidana,26,2,38,0,1,0,1,3,21,54,26,22,51,36,61
SN,AH,nidana,27,2,38,0,1,0,1,3,19,54,28,22,52,35,61
SN,AH,nidana,28,2,39,0,1,0,1,2,17,56,26,21,53,35,61
SN,AH,nidana,29,2,39,0,1,0,1,2,17,57,25,20,52,36,62
SN,AH,nidana,30,2,39,0,1,0,1,2,17,57,25,21,50,37,62
SN,AH,nidana,31,2,39,0,1,0,1,2,17,57,26,20,50,37,62
SN,AH,nidana,32,2,39,0,1,0,1,2,17,57,27,19,49,37,63
SN,AH,nidana,33,1,40,0,1,0,1,2,17,58,26,17,50,37,64
SN,AH,nidana,34,1,40,0,1,0,1,2,18,57,24,16,52,37,65
SN,AH,nidana,35,1,40,0,1,0,1,2,18,57,24,15,52,39,64
SN,AH,nidana,36,1,41,0,1,0,1,2,17,57,22,14,50,41,65
SN,AH,nidana,37,1,41,0,1,0,1,2,17,56,23,15,49,43,63
SN,AH,nidana,38,2,40,0,1,0,1,2,17,55,23,16,50,44,61
SN,AH,nidana,39,2,40,0,1,0,1,1,17,55,24,15,51,44,61
