Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AH,shareera,1,4,39,0,0,0,0,1,18,63,21,15,50,33,70
SN,AH,shareera,2,4,38,0,0,0,0,1,19,62,22,15,52,33,70
SN,AH,shareera,3,4,38,0,0,0,0,1,20,62,24,14,51,33,69
SN,AH,shareera,4,4,39,0,0,0,0,1,19,62,23,15,49,32,70
SN,AH,shareera,5,4,39,0,0,0,0,1,19,61,25,15,49,32,69
SN,AH,shareera,6,4,38,0,0,0,0,1,19,59,27,15,51,31,71
SN,AH,shareera,7,4,38,0,0,0,0,1,19,59,28,16,50,31,70
SN,AH,shareera,8,4,37,0,0,0,0,1,18,59,30,16,51,33,69
SN,AH,shareera,9,4,37,0,0,0,0,1,18,60,31,16,50,32,69
SN,AH,shareera,10,4,37,0,0,0,0,1,16,60,31,16,50,32,71
SN,AH,shareera,11,5,36,0,0,0,0,1,16,60,31,16,51,32,70
SN,AH,shareera,12,5,35,0,1,0,0,1,16,59,34,16,51,33,72
SN,AH,shareera,13,5,35,0,1,0,0,1,15,58,35,17,52,33,71
SN,AH,shareera,14,5,35,0,1,0,0,1,15,57,36,17,51,32,73
SN,AH,shareera,15,5,35,0,1,0,0,1,15,57,35,17,51,33,73
SN,AH,shareera,16,5,35,0,1,0,0,1,14,58,34,17,52,33,73
SN,AH,shareera,17,4,36,0,1,0,0,1,14,58,35,17,53,33,71
SN,AH,shareera,18,5,35,0,1,0,0,1,14,57,36,18,54,32,72
SN,AH,shareera,19,6,34,0,1,0,0,1,14,56,36,17,53,32,70
SN,AH,shareera,20,6,33,0,1,0,0,1,13,58,36,18,54,31,71
SN,AH,shareera,21,6,32,0,1,0,0,1,13,57,36,18,54,29,69
SN,AH,shareera,22,6,32,0,1,1,0,1,13,57,34,17,54,28,67
SN,AH,shareera,23,6,31,0,1,1,0,1,13,56,34,17,53,27,65
SN,AH,shareera,24,6,31,0,1,1,0,1,13,57,34,17,55,27,65
SN,AH,shareera,25,6,31,0,1,1,0,1,13,57,35,18,54,28,63
SN,AH,shareera,26,6,31,0,1,1,0,1,12,56,36,17,55,28,64
SN,AH,shareera,27,6,31,0,1,1,0,1,12,55,36,17,55,26,67
SN,AH,shareera,28,5,31,0,2,1,0,1,12,54,37,17,58,26,69
SN,AH,shareera,29,5,31,0,2,1,0,1,11,53,37,17,58,26,71
SN,AH,shareera,30,5,30,0,3,1,0,1,13,53,39,16,57,25,75
SN,AH,shareera,31,5,30,0,3,1,0,1,14,53,39,16,56,24,76
SN,AH,shareera,32,5,30,0,3,1,0,1,15,53,38,16,56,25,75
SN,AH,shareera,33,5,30,0,3,1,0,1,16,52,37,16,56,25,76
SN,AH,shareera,34,5,31,0,3,1,0,1,17,54,35,15,54,24,76
SN,AH,shareera,35,5,31,0,3,1,0,1,18,54,36,15,52,24,76
SN,AH,shareera,36,4,32,0,3,1,0,1,18,53,36,15,51,24,78
SN,AH,shareera,37,4,32,0,3,1,0,1,16,54,36,15,53,24,77
SN,AH,shareera,38,4,33,0,3,1,0,1,16,55,36,13,52,25,75
SN,AH,shareera,39,4,33,0,3,1,0,1,16,55,37,14,50,24,76
SN,AH,shareera,40,4,33,0,3,1,0,1,15,55,37,15,51,23,76
SN,AH,shareera,41,4,33,0,3,1,0,1,16,53,37,15,52,22,77
SN,AH,shareera,42,4,34,0,3,1,0,1,14,53,36,14,53,23,76
SN,AH,shareera,43,4,34,0,3,1,0,1,14,52,36,13,56,22,76
SN,AH,shareera,44,4,34,0,3,1,0,1,15,53,36,12,56,22,75
SN,AH,shareera,45,4,34,0,3,1,0,1,17,53,36,11,56,23,73
SN,AH,shareera,46,4,34,0,3,1,0,1,17,53,36,11,56,24,72
SN,AH,shareera,47,4,34,0,3,1,0,1,16,55,35,11,57,24,71
SN,AH,shareera,48,4,34,0,4,1,0,2,17,59,34,12,58,26,72
SN,AH,shareera,49,4,34,0,4,1,0,2,18,59,34,13,57,26,71
SN,AH,shareera,50,4,33,0,4,1,0,2,19,57,34,13,60,26,72
SN,AH,shareera,51,4,33,0,4,1,0,2,20,56,34,13,59,28,71
SN,AH,shareera,52,4,33,0,4,1,0,2,20,56,34,14,57,29,71
SN,AH,shareera,53,4,33,0,4,1,0,2,19,56,32,14,58,29,73
SN,AH,shareera,54,4,32,0,4,1,0,3,19,56,32,13,60,29,74
SN,AH,shareera,55,4,32,0,4,1,0,3,20,56,30,12,61,29,75
SN,AH,shareera,56,4,33,0,4,1,0,3,20,58,28,13,58,28,75
SN,AH,shareera,57,4,33,0,4,1,0,3,20,59,28,13,57,29,74
SN,AH,shareera,58,4,34,0,4,1,0,3,20,59,26,13,56,27,76
SN,AH,shareera,59,4,34,0,4,1,0,3,21,58,25,13,57,27,76
SN,AH,shareera,60,4,33,0,4,1,0,3,22,57,25,14,59,29,74
SN,AH,shareera,61,3,34,0,4,1,0,3,22,57,25,14,58,30,74
SN,AH,shareera,62,3,35,0,3,1,0,3,21,58,22,15,59,28,72
SN,AH,shareera,63,3,35,0,3,1,0,3,21,58,22,16,59,27,72
SN,AH,shareera,64,3,34,0,3,1,0,3,20,57,22,16,62,28,73
SN,AH,shareera,65,3,34,0,3,1,0,3,21,56,22,17,60,29,73
SN,AH,shareera,66,3,33,0,4,1,0,3,22,55,25,17,59,30,75
