Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AH,sutra,1,3,42,0,1,0,0,1,15,54,30,20,62,38,51
SN,AH,sutra,2,4,41,0,1,0,0,1,15,55,30,19,60,37,52
SN,AH,sutra,3,4,41,0,1,0,0,1,15,55,30,18,58,36,54
SN,AH,sutra,4,4,41,0,1,0,0,1,14,55,31,17,58,37,54
SN,AH,sutra,5,4,41,0,1,0,0,1,14,57,31,16,58,35,55
SN,AH,sutra,6,4,41,0,1,0,0,1,14,57,32,16,57,34,56
SN,AH,sutra,7,4,41,0,1,0,0,1,15,56,32,17,55,35,56
SN,AH,sutra,8,4,41,0,1,0,0,1,16,57,32,16,54,35,56
SN,AH,sutra,9,5,40,0,1,0,0,1,16,57,33,16,54,33,57
SN,AH,sutra,10,5,40,0,1,0,0,1,16,57,31,15,54,35,58
SN,AH,sutra,11,5,40,0,1,0,0,1,16,57,31,15,53,35,59
SN,AH,sutra,12,5,41,0,1,0,0,1,16,58,29,15,50,35,60
SN,AH,sutra,13,5,41,0,1,0,0,1,16,59,30,15,51,34,58
SN,AH,sutra,14,5,41,0,1,0,0,1,14,60,30,15,52,35,57
SN,AH,sutra,15,5,41,0,1,0,0,1,15,61,31,15,52,33,56
SN,AH,sutra,16,5,42,0,1,0,0,0,15,63,30,15,50,32,56
SN,AH,sutra,17,5,42,0,1,0,0,0,14,63,30,15,50,32,57
SN,AH,sutra,18,4,43,0,1,0,0,0,15,63,30,15,50,34,54
SN,AH,sutra,19,4,43,0,1,0,0,0,15,63,32,15,50,33,53
SN,AH,sutra,20,4,43,0,1,0,0,0,15,63,31,14,50,33,55
SN,AH,sutra,21,4,43,0,1,0,0,0,15,63,32,14,49,35,53
SN,AH,sutra,22,4,44,0,1,0,0,0,14,64,30,14,46,35,55
SN,AH,sutra,23,4,44,0,1,0,0,0,15,64,30,14,45,34,56
SN,AH,sutra,24,4,44,0,1,0,0,0,16,64,30,14,44,34,56
SN,AH,sutra,25,4,44,0,1,0,0,0,16,64,30,14,43,34,57
SN,AH,sutra,26,4,44,0,1,0,0,0,16,64,29,14,43,34,58
SN,AH,sutra,27,3,45,0,1,0,0,0,16,64,29,13,43,35,58
SN,AH,sutra,28,3,45,0,1,0,0,0,16,65,28,13,46,33,57
SN,AH,sutra,29,3,45,0,1,0,0,0,15,66,28,11,46,34,58
SN,AH,sutra,30,3,44,0,1,0,0,0,15,66,30,10,46,35,59
SN,AH,sutra,31,3,44,0,1,0,0,0,15,67,30,10,46,34,59
SN,AH,sutra,32,3,44,0,1,0,0,0,16,66,29,9,47,35,59
SN,AH,sutra,33,3,44,0,1,0,0,0,15,66,30,9,47,35,59
SN,AH,sutra,34,4,43,0,1,0,0,0,14,66,29,9,47,36,60
SN,AH,sutra,35,5,42,0,1,0,0,0,14,65,29,8,49,37,59
SN,AH,sutra,36,6,41,0,1,0,0,0,12,65,29,8,50,37,60
SN,AH,sutra,37,6,41,0,1,0,0,0,12,64,28,8,51,37,61
SN,AH,sutra,38,7,40,0,1,0,0,0,13,65,27,9,51,36,60
SN,AH,sutra,39,7,40,0,1,0,0,0,13,65,27,9,52,37,58
SN,AH,sutra,40,7,40,0,1,0,0,0,13,65,27,9,52,37,58
SN,AH,sutra,41,7,40,0,1,0,0,0,12,65,25,9,53,38,59
SN,AH,sutra,42,7,40,0,1,0,0,0,11,65,26,9,54,37,59
SN,AH,sutra,43,7,40,0,1,0,0,0,11,64,25,8,54,38,61
SN,AH,sutra,44,8,40,0,1,0,0,0,11,65,22,7,52,39,62
SN,AH,sutra,45,8,40,0,1,0,0,0,11,64,22,7,53,39,62
SN,AH,sutra,46,8,41,0,0,0,0,0,11,64,22,8,51,36,61
SN,AH,sutra,47,8,41,0,0,0,0,0,11,64,23,8,51,34,62
SN,AH,sutra,48,8,41,0,0,0,0,0,11,66,23,7,52,32,62
SN,AH,sutra,49,8,41,0,0,0,0,0,11,66,22,7,51,31,65
SN,AH,sutra,50,8,40,0,0,0,0,0,10,65,24,6,52,33,66
SN,AH,sutra,51,8,40,0,0,0,0,0,10,63,24,5,52,32,65
SN,AH,sutra,52,7,41,0,0,0,0,0,10,61,24,5,53,32,66
SN,AH,sutra,53,7,41,0,0,0,0,0,10,63,24,6,52,31,65
SN,AH,sutra,54,7,41,0,0,0,0,1,10,63,23,8,51,30,65
SN,AH,sutra,55,7,41,0,0,0,0,1,10,62,23,9,51,31,64
SN,AH,sutra,56,7,41,0,0,0,0,1,11,62,24,9,50,32,62
SN,AH,sutra,57,7,41,0,0,0,0,1,10,63,25,9,51,31,61
SN,AH,sutra,58,7,40,0,0,0,0,2,9,61,26,10,53,33,60
SN,AH,sutra,59,6,41,0,0,0,0,2,9,61,25,11,53,34,59
SN,AH,sutra,60,6,41,0,0,0,0,2,8,61,25,11,54,33,60
SN,AH,sutra,61,6,41,0,0,0,0,2,8,61,24,12,53,33,61
SN,AH,sutra,62,6,40,0,0,0,0,2,8,61,27,13,54,32,60
SN,AH,sutra,63,7,39,0,0,0,0,2,9,60,26,14,53,32,61
SN,AH,sutra,64,6,40,0,0,0,0,2,9,59,26,14,54,31,62
SN,AH,sutra,65,6,40,0,0,0,0,2,9,58,27,14,54,31,62
SN,AH,sutra,66,6,39,0,0,0,0,3,9,56,30,14,56,31,61
SN,AH,sutra,67,7,38,0,0,0,0,3,10,56,30,14,56,32,59
SN,AH,sutra,68,7,38,0,0,0,0,3,9,57,30,14,56,31,60
SN,AH,sutra,69,7,38,0,0,0,0,3,9,57,29,14,57,30,61
SN,AH,sutra,70,7,38,0,0,0,0,3,10,58,29,14,57,30,59
SN,AH,sutra,71,7,38,0,0,0,0,3,9,58,29,15,58,28,60
SN,AH,sutra,72,7,38,0,0,0,0,3,9,58,29,15,59,27,60
SN,AH,sutra,73,7,38,0,0,0,0,3,9,59,28,15,59,28,59
SN,AH,sutra,74,7,38,0,0,0,0,3,8,59,28,15,61,28,58
SN,AH,sutra,75,7,38,0,0,0,0,3,8,59,29,16,62,27,56
SN,AH,sutra,76,7,38,0,0,0,0,3,8,59,28,16,63,28,55
SN,AH,sutra,77,7,38,0,0,0,0,3,9,60,28,16,61,27,56
SN,AH,sutra,78,7,38,0,0,0,0,3,9,59,30,17,58,28,56
SN,AH,sutra,79,7,38,0,0,0,0,3,9,58,30,17,59,28,56
SN,AH,sutra,80,7,39,0,0,0,0,3,9,58,29,17,59,28,54
SN,AH,sutra,81,8,38,0,0,0,0,3,10,57,30,18,58,29,52
SN,AH,sutra,82,8,37,0,0,0,0,4,10,57,30,19,60,29,51
SN,AH,sutra,83,8,37,0,0,0,0,4,10,59,30,18,59,29,51
SN,AH,sutra,84,7,38,0,0,0,0,4,10,59,30,18,59,28,52
SN,AH,sutra,85,6,39,0,0,0,0,4,10,59,30,18,59,28,52
SN,AH,sutra,86,5,39,0,0,0,0,5,10,57,31,18,61,29,52
SN,AH,sutra,87,5,39,0,0,0,0,5,10,56,32,18,61,30,51
SN,AH,sutra,88,5,39,0,0,0,0,5,11,56,34,18,63,31,53
SN,AH,sutra,89,5,39,0,0,0,0,5,11,57,34,18,63,31,52
SN,AH,sutra,90,5,39,0,0,0,0,5,11,57,33,18,63,32,52
SN,AH,sutra,91,5,39,0,0,0,0,5,11,57,33,18,62,32,53
SN,AH,sutra,92,5,39,0,0,0,0,5,11,57,33,18,62,33,52
SN,AH,sutra,93,5,39,0,0,0,0,5,12,58,32,18,62,33,51
SN,AH,sutra,94,4,40,0,0,0,0,5,12,58,32,18,63,33,50
SN,AH,sutra,95,4,40,0,0,0,0,5,12,58,32,18,62,33,51
SN,AH,sutra,96,4,40,0,0,0,0,5,12,57,32,17,61,34,53
SN,AH,sutra,97,4,40,0,0,0,0,5,12,57,33,18,59,34,53
SN,AH,sutra,98,4,40,0,0,0,0,5,12,55,35,18,59,35,52
SN,AH,sutra,99,4,40,0,0,0,0,5,13,56,35,18,59,36,49
SN,AH,sutra,100,4,41,0,0,0,0,5,13,58,33,18,60,34,47
SN,AH,sutra,101,4,41,0,0,0,0,5,14,59,34,18,61,34,48
SN,AH,sutra,102,4,41,0,0,0,0,5,15,61,34,18,61,33,46
SN,AH,sutra,103,5,40,0,0,0,0,5,15,59,35,17,61,35,46
SN,AH,sutra,104,5,40,0,0,0,0,4,15,59,36,15,62,37,45
SN,AH,sutra,105,5,40,0,0,0,0,4,15,60,36,14,61,39,44
SN,AH,sutra,106,5,40,0,0,0,0,4,14,60,34,14,63,40,44
SN,AH,sutra,107,5,40,0,0,0,0,4,14,60,33,13,63,40,46
SN,AH,sutra,108,5,41,0,0,0,0,3,14,62,33,12,60,40,46
SN,AH,sutra,109,6,40,0,0,0,0,3,14,63,35,11,60,39,45
SN,AH,sutra,110,6,39,0,0,0,0,3,15,63,37,12,60,39,44
SN,AH,sutra,111,6,39,0,0,0,0,3,15,64,37,12,59,41,42
SN,AH,sutra,112,6,40,0,0,0,0,3,15,65,34,11,57,42,43
SN,AH,sutra,113,5,41,0,0,0,0,3,15,65,36,11,56,42,42
SN,AH,sutra,114,5,41,0,0,0,0,3,16,66,35,11,55,42,42
SN,AH,sutra,115,5,41,0,0,0,0,3,15,67,33,12,55,42,43
SN,AH,sutra,116,5,41,0,0,0,0,2,15,69,32,14,54,41,43
SN,AH,sutra,117,4,42,0,0,0,0,2,15,70,32,14,54,41,42
SN,AH,sutra,118,4,42,0,0,0,0,2,17,69,32,14,53,40,43
SN,AH,sutra,119,4,42,0,0,0,0,2,17,69,31,14,54,40,43
SN,AH,sutra,120,5,41,0,0,0,0,2,16,68,30,15,54,41,44
SN,AH,sutra,121,5,41,0,0,0,0,2,16,69,29,14,54,41,45
SN,AH,sutra,122,5,41,0,0,0,0,2,16,69,29,14,53,42,45
SN,AH,sutra,123,5,41,0,0,0,0,2,16,69,29,14,53,43,44
SN,AH,sutra,124,5,40,0,1,0,0,2,17,69,31,15,52,45,44
SN,AH,sutra,125,5,40,0,1,0,0,2,17,69,31,15,50,46,45
SN,AH,sutra,126,5,39,0,2,0,0,2,19,69,32,15,48,48,47
SN,AH,sutra,127,5,39,0,2,0,0,2,18,68,32,15,50,48,47
SN,AH,sutra,128,5,39,0,2,0,0,2,19,68,31,15,50,48,47
SN,AH,sutra,129,6,38,0,2,0,0,2,19,69,30,15,49,50,46
SN,AH,sutra,130,6,38,0,2,0,0,2,19,70,31,15,48,49,46
SN,AH,sutra,131,5,39,0,2,0,0,2,18,71,30,15,49,48,47
SN,AH,sutra,132,5,40,0,2,0,0,1,17,71,30,14,48,49,47
SN,AH,sutra,133,6,39,0,2,0,0,1,18,69,29,14,48,49,49
SN,AH,sutra,134,6,39,0,2,0,0,1,19,69,29,14,49,49,47
SN,AH,sutra,135,6,39,0,2,0,0,1,19,70,30,16,47,48,46
SN,AH,sutra,136,6,40,0,2,0,0,0,20,71,29,16,46,47,45
SN,AH,sutra,137,6,40,0,2,0,0,0,20,72,28,15,46,46,47
SN,AH,sutra,138,5,41,0,2,0,0,0,19,70,26,15,43,47,46
SN,AH,sutra,139,5,41,0,2,0,0,0,20,69,26,16,41,46,48
SN,AH,sutra,140,5,41,0,2,0,0,0,21,70,26,17,41,44,47
SN,AH,sutra,141,5,41,0,2,0,0,0,22,70,27,17,41,43,46
SN,AH,sutra,142,5,41,0,2,0,0,0,22,70,26,17,42,43,46
SN,AH,sutra,143,5,41,0,2,0,0,0,21,69,26,17,42,43,48
SN,AH,sutra,144,5,41,0,2,0,0,0,21,70,26,17,42,42,48
SN,AH,sutra,145,5,41,0,2,0,0,0,22,70,27,17,41,41,48
SN,AH,sutra,146,5,41,0,2,0,0,0,22,70,28,17,43,40,46
SN,AH,sutra,147,5,41,0,2,0,0,0,22,70,26,16,46,41,45
SN,AH,sutra,148,6,40,0,2,0,0,0,22,70,24,17,46,41,46
SN,AH,sutra,149,6,40,0,2,0,0,0,22,69,24,17,46,41,47
SN,AH,sutra,150,6,40,0,2,0,0,0,23,68,24,17,43,41,50
SN,AH,sutra,151,6,40,0,2,0,0,0,22,67,23,18,43,44,49
SN,AH,sutra,152,6,39,0,2,0,0,0,22,65,25,19,44,43,51
SN,AH,sutra,153,5,40,0,2,0,0,0,22,65,24,19,44,42,53
SN,AH,sutra,154,5,40,0,2,0,0,0,22,65,23,19,43,43,54
SN,AH,sutra,155,5,40,0,2,0,0,0,24,64,23,19,43,40,56
SN,AH,sutra,156,5,40,0,2,0,0,0,25,63,23,20,43,39,56
SN,AH,sutra,157,5,40,0,2,0,0,0,25,63,23,21,42,40,55
SN,AH,sutra,158,5,40,0,2,0,0,0,25,62,22,21,44,38,57
SN,AH,sutra,159,4,41,0,2,0,0,0,26,62,20,21,43,40,57
SN,AH,sutra,160,4,42,0,2,0,0,0,25,64,18,20,42,41,56
SN,AH,sutra,161,4,42,0,2,0,0,0,25,63,19,19,42,40,58
SN,AH,sutra,162,4,42,0,2,0,0,0,25,63,19,19,44,40,56
SN,AH,sutra,163,4,42,0,2,0,0,0,24,63,18,19,45,40,57
SN,AH,sutra,164,4,42,0,2,0,0,0,24,62,19,19,45,40,57
SN,AH,sutra,165,4,42,0,2,0,0,1,24,62,19,19,44,40,57
SN,AH,sutra,166,4,43,0,2,0,0,1,24,61,17,17,43,41,59
SN,AH,sutra,167,4,43,0,2,0,0,1,24,60,17,17,43,41,60
SN,AH,sutra,168,4,43,0,2,0,0,1,22,60,19,17,44,42,58
SN,AH,sutra,169,4,43,0,2,0,0,1,22,61,19,18,42,41,59
SN,AH,sutra,170,3,44,0,2,0,0,1,22,61,19,17,41,42,60
SN,AH,sutra,171,4,43,0,2,0,0,1,22,61,19,18,40,42,60
SN,AH,sutra,172,4,43,0,2,0,0,1,22,61,20,18,39,42,60
SN,AH,sutra,173,4,43,0,2,0,0,1,22,60,21,18,39,40,62
SN,AH,sutra,174,4,43,0,1,0,0,1,21,60,20,18,41,40,60
SN,AH,sutra,175,4,43,0,1,0,0,1,22,60,19,17,42,41,59
SN,AH,sutra,176,4,44,0,0,0,0,1,20,60,19,17,42,39,58
SN,AH,sutra,177,4,44,0,0,0,0,1,20,60,19,18,41,40,57
SN,AH,sutra,178,4,44,0,0,0,0,1,19,60,20,17,42,39,58
SN,AH,sutra,179,3,45,0,0,0,0,1,20,59,20,17,42,37,60
SN,AH,sutra,180,3,44,0,0,0,0,1,21,57,20,19,44,38,59
SN,AH,sutra,181,3,44,0,0,0,0,1,22,56,20,18,43,39,60
SN,AH,sutra,182,3,44,0,0,0,0,1,22,57,20,18,43,38,60
SN,AH,sutra,183,2,45,0,0,0,0,1,21,59,20,18,43,38,59
SN,AH,sutra,184,2,45,0,0,0,0,1,20,59,21,18,43,39,58
SN,AH,sutra,185,2,45,0,0,0,0,1,20,59,20,17,44,39,59
SN,AH,sutra,186,2,45,0,0,0,0,1,20,60,21,17,42,40,58
SN,AH,sutra,187,2,45,0,0,0,0,1,20,60,22,17,41,41,57
SN,AH,sutra,188,2,45,0,0,0,0,1,19,63,22,17,41,39,57
SN,AH,sutra,189,2,45,0,0,0,0,1,19,63,22,16,41,41,56
SN,AH,sutra,190,2,45,0,0,0,0,1,19,62,23,15,40,43,56
SN,AH,sutra,191,2,45,0,0,0,0,1,18,61,22,15,40,44,58
SN,AH,sutra,192,2,45,0,0,0,0,1,18,62,22,15,39,44,58
SN,AH,sutra,193,2,45,0,0,0,0,1,19,64,22,15,39,43,56
SN,AH,sutra,194,2,45,0,0,0,0,1,21,63,22,15,37,44,56
SN,AH,sutra,195,2,45,0,0,0,0,1,20,65,21,16,37,44,55
SN,AH,sutra,196,2,45,0,0,0,0,1,21,65,20,16,36,46,54
SN,AH,sutra,197,2,45,0,0,0,0,1,21,65,21,16,36,45,54
SN,AH,sutra,198,2,45,0,0,0,0,1,21,65,21,16,38,44,53
SN,AH,sutra,199,3,44,0,0,0,0,1,21,66,21,17,38,43,52
SN,AH,sutra,200,3,43,0,0,0,0,2,21,66,22,19,39,44,49
SN,AH,sutra,201,4,42,0,0,0,0,2,23,67,23,18,39,41,49
SN,AH,sutra,202,4,42,0,0,0,0,2,22,68,23,20,39,41,47
SN,AH,sutra,203,4,42,0,0,0,0,2,22,68,23,20,39,42,46
SN,AH,sutra,204,4,42,0,0,0,0,2,24,68,23,21,39,39,46
SN,AH,sutra,205,4,42,0,0,0,0,2,23,68,23,21,39,40,46
SN,AH,sutra,206,4,41,0,0,0,0,2,22,68,25,20,39,41,48
SN,AH,sutra,207,4,41,0,0,0,0,2,23,68,25,19,39,41,48
SN,AH,sutra,208,4,41,0,0,0,0,2,23,69,26,19,37,42,47
SN,AH,sutra,209,4,41,0,0,0,0,2,22,69,26,19,38,40,49
SN,AH,sutra,210,4,41,0,0,0,0,2,22,67,26,20,38,39,51
SN,AH,sutra,211,4,41,0,0,0,0,2,22,67,26,20,41,38,49
SN,AH,sutra,212,4,40,0,0,0,0,2,22,65,27,21,43,38,50
SN,AH,sutra,213,4,40,0,0,0,0,2,22,67,26,20,42,39,50
SN,AH,sutra,214,4,40,0,0,0,0,2,22,68,26,20,45,43,50
SN,AH,sutra,215,4,40,0,0,0,0,1,23,67,26,19,46,44,50
SN,AH,sutra,216,4,39,0,0,0,0,1,24,66,29,19,48,44,48
SN,AH,sutra,217,4,39,0,0,0,0,1,24,67,29,19,47,44,48
SN,AH,sutra,218,4,39,0,0,0,0,1,25,67,28,19,47,43,49
SN,AH,sutra,219,5,38,0,0,0,0,1,26,66,29,18,48,44,47
SN,AH,sutra,220,6,37,0,0,0,0,1,26,67,29,19,49,42,46
SN,AH,sutra,221,5,38,0,0,0,0,1,27,68,29,18,50,42,44
SN,AH,sutra,222,5,38,0,0,0,0,1,27,68,28,19,52,42,42
SN,AH,sutra,223,5,38,0,0,0,0,1,28,68,27,21,52,42,40
SN,AH,sutra,224,5,39,0,0,0,0,1,28,68,26,21,51,41,40
SN,AH,sutra,225,5,39,0,0,0,0,1,27,68,26,21,51,40,42
SN,AH,sutra,226,6,38,0,0,0,0,1,28,68,25,21,50,40,43
SN,AH,sutra,227,7,37,0,0,0,0,1,29,69,26,20,49,39,43
SN,AH,sutra,228,7,37,0,0,0,0,1,29,69,25,20,51,39,42
SN,AH,sutra,229,7,37,0,0,0,0,1,28,70,25,22,52,38,40
SN,AH,sutra,230,7,38,0,0,0,0,1,27,71,25,20,52,37,40
SN,AH,sutra,231,7,38,0,0,0,0,1,27,72,25,20,52,37,39
SN,AH,sutra,232,7,38,0,0,0,0,1,27,71,25,21,51,37,40
SN,AH,sutra,233,7,38,0,0,0,0,1,28,70,26,21,51,38,38
SN,AH,sutra,234,7,38,0,0,0,0,1,29,71,25,22,49,37,39
SN,AH,sutra,235,7,38,0,0,0,0,1,30,70,25,22,49,38,38
SN,AH,sutra,236,8,37,0,0,0,0,1,29,69,25,23,49,37,40
SN,AH,sutra,237,8,37,0,0,0,0,1,29,68,25,23,50,37,40
SN,AH,sutra,238,8,36,0,0,0,0,2,29,66,26,25,50,38,40
SN,AH,sutra,239,8,36,0,0,0,0,2,28,67,26,26,51,36,40
SN,AH,sutra,240,9,35,0,0,0,0,2,28,67,25,26,53,34,41
SN,AH,sutra,241,9,35,0,0,0,0,2,28,68,27,26,53,33,39
SN,AH,sutra,242,9,35,0,0,0,0,2,28,67,28,26,52,34,39
SN,AH,sutra,243,9,35,0,0,0,0,2,28,65,29,26,53,34,39
SN,AH,sutra,244,9,35,0,0,0,0,2,26,65,30,26,55,33,39
SN,AH,sutra,245,9,35,0,0,0,0,2,26,64,30,25,56,33,40
SN,AH,sutra,246,9,34,0,0,0,0,2,25,63,31,27,57,32,42
