Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AH,uttara,1,3,35,1,2,0,0,4,24,56,44,14,60,37,53
SN,AH,uttara,2,3,35,1,2,0,0,4,24,57,44,14,59,37,53
SN,AH,uttara,3,3,35,1,2,0,0,4,24,57,43,13,59,38,54
SN,AH,uttara,4,3,34,1,3,0,0,4,24,56,43,13,58,41,58
SN,AH,uttara,5,3,34,1,3,0,0,4,24,55,43,13,58,43,57
SN,AH,uttara,6,3,33,1,4,0,0,3,24,53,46,13,61,44,58
SN,AH,uttara,7,4,32,1,4,0,0,3,25,54,46,12,60,44,58
SN,AH,uttara,8,4,32,1,4,0,0,3,25,53,45,11,63,42,60
SN,AH,uttara,9,3,33,1,4,0,0,3,24,53,45,12,64,42,59
SN,AH,uttara,10,3,34,1,4,0,0,3,24,54,41,12,63,42,60
SN,AH,uttara,11,4,33,1,4,0,0,3,24,54,41,12,65,41,59
SN,AH,uttara,12,4,34,0,4,0,0,3,24,55,41,12,62,40,57
SN,AH,uttara,13,4,34,0,4,0,0,3,23,56,40,13,61,41,57
SN,AH,uttara,14,4,35,0,3,0,0,2,22,54,39,13,59,41,59
SN,AH,uttara,15,4,35,0,3,0,0,2,21,54,38,13,60,44,57
SN,AH,uttara,16,4,35,0,3,0,0,2,20,54,38,12,62,44,57
SN,AH,uttara,17,4,35,0,3,0,0,2,20,54,38,12,64,42,57
SN,AH,uttara,18,4,35,0,3,0,0,2,20,54,37,12,67,41,56
SN,AH,uttara,19,4,35,0,3,0,0,2,19,55,36,13,67,41,56
SN,AH,uttara,20,4,35,0,3,0,0,2,19,55,36,14,65,40,58
SN,AH,uttara,21,4,35,0,3,0,0,2,19,54,35,14,67,41,57
SN,AH,uttara,22,4,36,0,2,0,0,2,18,54,34,14,65,40,57
SN,AH,uttara,23,4,36,0,2,0,0,2,17,55,32,14,66,40,58
SN,AH,uttara,24,4,35,0,3,0,0,2,18,54,34,14,69,41,57
SN,AH,uttara,25,4,35,0,3,0,0,2,16,54,34,15,70,39,59
SN,AH,uttara,26,4,34,0,4,0,0,3,18,56,32,15,71,40,59
SN,AH,uttara,27,4,34,0,4,0,0,3,18,57,32,15,71,38,60
SN,AH,uttara,28,4,34,0,4,0,0,3,18,57,33,14,70,38,61
SN,AH,uttara,29,4,34,0,4,0,0,3,18,57,33,14,72,36,61
SN,AH,uttara,30,4,34,0,4,0,0,3,18,58,32,14,72,36,61
SN,AH,uttara,31,4,34,0,4,0,0,3,19,57,32,14,70,38,61
SN,AH,uttara,32,4,35,0,4,0,0,2,20,60,31,15,71,39,61
SN,AH,uttara,33,4,35,0,4,0,0,2,20,60,31,14,72,39,61
SN,AH,uttara,34,4,34,0,4,0,0,3,19,59,33,13,77,43,63
SN,AH,uttara,35,4,34,0,4,0,0,3,20,59,32,13,77,43,63
SN,AH,uttara,36,4,34,0,4,0,0,3,20,59,32,13,76,43,64
SN,AH,uttara,37,4,34,0,4,0,0,3,20,60,33,13,75,42,64
SN,AH,uttara,38,4,34,0,5,0,0,3,21,61,33,12,74,42,66
SN,AH,uttara,39,4,34,0,5,0,0,3,22,60,33,12,74,42,66
SN,AH,uttara,40,4,34,0,5,0,0,3,22,60,32,14,76,41,69
SN,AH,uttara,41,4,34,0,5,0,0,3,22,60,33,14,77,39,69
SN,AH,uttara,42,4,35,0,5,0,0,2,23,62,33,14,76,41,71
SN,AH,uttara,43,4,35,0,5,0,0,2,23,62,34,13,75,41,72
SN,AH,uttara,44,4,34,0,6,0,0,2,23,61,35,13,79,41,73
SN,AH,uttara,45,4,34,0,6,0,0,2,24,61,35,13,77,41,74
SN,AH,uttara,46,4,35,0,6,0,0,2,23,62,33,12,79,44,77
SN,AH,uttara,47,4,35,0,6,0,0,2,23,62,32,13,78,44,78
SN,AH,uttara,48,4,35,0,6,0,0,3,22,63,32,13,81,46,80
SN,AH,uttara,49,4,35,0,6,0,0,3,21,63,33,13,82,47,78
SN,AH,uttara,50,3,36,0,6,0,0,3,20,62,33,14,82,48,78
SN,AH,uttara,51,2,36,0,6,0,1,3,19,61,33,14,81,47,77
SN,AH,uttara,52,2,35,0,7,0,1,3,20,59,35,16,80,46,79
SN,AH,uttara,53,2,35,0,7,0,1,3,20,59,35,16,80,45,80
SN,AH,uttara,54,2,36,0,6,0,1,3,20,60,35,17,79,42,77
SN,AH,uttara,55,3,35,0,6,0,1,3,20,60,35,17,80,41,77
SN,AH,uttara,56,3,35,0,5,0,1,3,21,61,33,18,78,39,78
SN,AH,uttara,57,2,36,0,5,0,1,3,20,60,35,19,77,39,78
SN,AH,uttara,58,2,37,0,5,0,1,3,20,62,34,19,74,40,76
SN,AH,uttara,59,2,37,0,5,0,1,3,20,62,34,18,73,41,77
SN,AH,uttara,60,2,37,0,5,0,1,3,19,64,34,18,72,42,76
SN,AH,uttara,61,1,38,0,5,0,1,3,19,64,36,18,71,42,75
SN,AH,uttara,62,1,37,0,5,0,1,3,19,61,38,19,74,43,74
SN,AH,uttara,63,1,37,0,5,0,1,3,19,60,38,19,75,43,74
SN,AH,uttara,64,1,36,0,6,0,1,3,20,61,39,20,77,43,73
SN,AH,uttara,65,1,36,0,6,0,1,3,20,62,40,21,76,41,73
SN,AH,uttara,66,1,35,1,6,0,1,4,23,63,40,21,75,41,74
SN,AH,uttara,67,1,35,1,6,0,1,4,23,61,40,21,75,43,74
SN,AH,uttara,68,1,36,1,6,0,1,4,24,62,38,20,72,44,74
SN,AH,uttara,69,1,36,1,6,0,1,4,24,61,39,19,74,44,73
SN,AH,uttara,70,1,37,1,6,0,1,4,26,62,38,17,73,44,71
SN,AH,uttara,71,1,37,1,6,0,1,4,27,63,39,17,71,43,71
SN,AH,uttara,72,1,37,1,6,0,1,4,27,64,39,16,71,45,69
SN,AH,uttara,73,1,37,1,6,0,1,4,29,63,39,17,70,44,69
SN,AH,uttara,74,1,37,1,5,0,1,4,28,64,38,17,68,44,70
SN,AH,uttara,75,1,37,1,5,0,1,4,29,65,38,16,67,46,68
SN,AH,uttara,76,1,38,1,4,0,1,3,27,63,38,16,65,47,69
SN,AH,uttara,77,1,38,1,4,0,1,3,27,62,37,17,66,47,69
SN,AH,uttara,78,1,38,1,4,0,1,3,27,62,38,17,64,49,68
SN,AH,uttara,79,1,38,1,4,0,1,3,29,62,37,18,63,49,67
SN,AH,uttara,80,1,38,1,4,0,1,3,28,61,38,18,65,49,66
SN,AH,uttara,81,1,38,1,4,0,1,3,27,61,39,18,67,48,65
SN,AH,uttara,82,1,38,1,4,0,1,3,26,59,38,17,64,47,66
SN,AH,uttara,83,1,38,1,4,0,1,3,26,60,37,18,62,48,66
SN,AH,uttara,84,2,38,1,4,0,1,2,26,61,34,18,57,46,65
SN,AH,uttara,85,2,38,1,4,0,1,2,25,61,34,19,58,46,64
SN,AH,uttara,86,2,37,1,4,0,1,3,26,61,36,19,61,47,67
SN,AH,uttara,87,2,37,1,4,0,1,3,27,61,35,19,61,48,66
SN,AH,uttara,88,2,38,1,3,0,1,3,27,61,34,19,61,48,62
SN,AH,uttara,89,2,38,1,3,0,1,3,28,61,34,19,62,47,61
SN,AH,uttara,90,2,38,1,4,0,1,3,31,63,34,17,59,47,58
SN,AH,uttara,91,2,38,1,4,0,1,3,31,63,35,17,57,47,59
SN,AH,uttara,92,2,38,1,4,0,1,3,30,62,35,17,56,44,57
SN,AH,uttara,93,2,38,1,4,0,1,3,31,61,35,17,56,45,56
SN,AH,uttara,94,2,39,1,3,0,1,3,29,61,35,17,54,44,56
SN,AH,uttara,95,2,39,1,3,0,1,3,29,61,34,17,54,45,56
SN,AH,uttara,96,2,38,1,3,0,1,3,29,59,34,18,53,44,54
SN,AH,uttara,97,2,38,1,3,0,1,3,29,59,35,18,53,44,53
SN,AH,uttara,98,2,38,1,3,0,1,2,30,57,35,18,50,43,51
SN,AH,uttara,99,2,38,1,3,0,1,2,30,57,35,18,49,42,53
SN,AH,uttara,100,2,38,1,3,0,1,2,31,57,35,17,48,41,55
SN,AH,uttara,101,2,39,1,3,0,0,2,31,60,36,17,48,42,55
