Text_Type,Book,Chapter,Window,GGL,GGG,GLG,G,LLG,LLL,GLL,LG,LGL,L,LGG,LL,GG,GL
SN,AH,chikitsa,1,60,89,93,55,29,2,23,1,86,7,42,0,0,0
SN,AH,chikitsa,2,60,87,95,55,29,2,23,1,86,7,42,0,0,0
SN,AH,chikitsa,3,60,85,96,55,28,2,23,1,86,7,44,0,0,0
SN,AH,chikitsa,4,59,83,97,55,28,2,23,1,87,7,45,0,0,0
SN,AH,chikitsa,5,61,81,98,55,28,2,23,1,87,7,44,0,0,0
SN,AH,chikitsa,6,61,80,97,56,29,2,23,1,87,7,42,0,0,0
SN,AH,chikitsa,7,60,78,99,55,30,2,24,1,87,7,44,0,0,0
SN,AH,chikitsa,8,59,77,99,54,32,2,24,1,87,8,44,0,0,0
SN,AH,chikitsa,9,59,79,99,54,32,2,24,1,86,8,43,0,0,0
SN,AH,chikitsa,10,58,79,100,53,32,2,24,1,86,9,43,0,0,0
SN,AH,chikitsa,11,58,79,101,52,30,2,25,1,87,9,45,0,0,0
SN,AH,chikitsa,12,59,79,99,51,30,2,25,1,87,10,46,0,0,0
SN,AH,chikitsa,13,57,81,97,51,30,2,26,1,88,10,46,0,0,0
SN,AH,chikitsa,14,57,81,98,51,30,2,24,1,89,10,46,0,0,0
SN,AH,chikitsa,15,57,81,97,51,32,2,24,1,88,10,46,0,0,0
SN,AH,chikitsa,16,57,81,98,51,31,2,24,1,88,10,46,0,0,0
SN,AH,chikitsa,17,57,84,97,51,31,2,23,1,87,10,46,0,0,0
SN,AH,chikitsa,18,56,84,98,51,31,2,24,1,85,10,47,0,0,0
SN,AH,chikitsa,19,57,83,99,52,30,2,24,1,84,9,48,0,0,0
SN,AH,chikitsa,20,55,83,99,52,31,2,24,1,84,9,49,0,0,0
SN,AH,chikitsa,21,55,82,101,52,31,2,24,1,83,9,49,0,0,0
SN,AH,chikitsa,22,54,79,99,53,30,2,23,1,83,9,49,0,0,0
SN,AH,chikitsa,23,53,79,99,53,29,2,24,1,83,9,50,0,0,0
SN,AH,chikitsa,24,54,77,97,54,28,2,22,1,85,9,51,0,0,0
SN,AH,chikitsa,25,55,76,95,54,28,2,21,1,86,9,53,0,0,0
SN,AH,chikitsa,26,55,77,96,54,28,2,20,1,86,9,52,0,0,0
SN,AH,chikitsa,27,56,78,96,54,27,2,20,1,86,9,51,0,0,0
SN,AH,chikitsa,28,56,77,95,54,27,2,20,1,87,9,52,0,0,0
SN,AH,chikitsa,29,54,78,96,55,27,2,21,1,87,8,51,0,0,0
SN,AH,chikitsa,30,54,77,97,56,26,2,21,1,87,7,52,0,0,0
SN,AH,chikitsa,31,54,79,97,55,25,2,22,1,87,7,53,0,0,0
SN,AH,chikitsa,32,54,78,97,55,25,2,22,1,88,7,53,0,0,0
SN,AH,chikitsa,33,54,76,97,54,25,2,24,1,90,7,54,0,0,0
SN,AH,chikitsa,34,54,74,100,54,24,2,24,1,90,7,54,0,0,0
SN,AH,chikitsa,35,54,73,101,54,25,2,24,1,90,7,53,0,0,0
SN,AH,chikitsa,36,54,72,101,54,25,2,25,1,89,7,54,0,0,0
SN,AH,chikitsa,37,54,72,100,54,24,2,25,1,91,7,54,0,0,0
SN,AH,chikitsa,38,53,71,100,55,24,2,26,1,92,6,54,0,0,0
SN,AH,chikitsa,39,53,71,99,56,24,2,27,1,92,5,54,0,0,0
SN,AH,chikitsa,40,54,69,96,57,24,2,28,1,93,5,53,0,0,0
SN,AH,chikitsa,41,54,69,96,57,23,2,28,1,94,5,53,0,0,0
SN,AH,chikitsa,42,53,69,98,56,23,2,29,1,94,6,51,0,0,0
SN,AH,chikitsa,43,53,69,98,55,23,2,30,1,95,6,52,0,0,0
SN,AH,chikitsa,44,53,68,95,56,23,2,31,1,96,6,51,0,0,0
SN,AH,chikitsa,45,54,69,93,56,24,2,30,1,96,6,51,0,0,0
SN,AH,chikitsa,46,54,71,94,56,24,2,29,1,95,6,50,0,0,0
SN,AH,chikitsa,47,53,72,92,56,25,2,29,1,95,6,51,0,0,0
SN,AH,chikitsa,48,53,73,91,57,24,2,28,1,96,6,49,0,0,0
SN,AH,chikitsa,49,54,73,91,57,23,2,28,1,96,6,49,0,0,0
SN,AH,chikitsa,50,54,73,91,57,23,2,28,1,98,6,47,0,0,0
SN,AH,chikitsa,51,53,72,91,57,24,2,28,1,98,6,48,0,0,0
SN,AH,chikitsa,52,53,72,90,56,25,2,28,1,98,7,48,0,0,0
