Text_Type,Book,Chapter,Window,GGL,G,GGG,GLG,LL,GLL,L,LLL,LGL,LLG,LG,LGG,GG,GL
SN,AH,kalpa,1,64,44,108,104,1,37,9,10,90,41,7,59,0,0
SN,AH,kalpa,2,63,44,108,106,1,38,9,10,90,39,7,59,0,0
SN,AH,kalpa,3,65,43,108,105,1,39,9,10,90,41,8,60,0,0
SN,AH,kalpa,4,66,44,109,105,1,37,8,10,89,41,8,61,0,0
SN,AH,kalpa,5,67,43,108,108,1,37,8,10,88,41,8,62,0,0
SN,AH,kalpa,6,67,43,107,108,1,35,8,9,85,39,8,63,0,0
SN,AH,kalpa,7,69,43,107,106,1,35,8,9,85,40,8,62,0,0
SN,AH,kalpa,8,66,43,106,109,1,34,9,9,86,38,7,60,0,0
SN,AH,kalpa,9,67,42,105,111,1,34,9,9,86,38,7,61,0,0
SN,AH,kalpa,10,65,43,103,108,1,34,9,8,87,36,7,59,0,0
SN,AH,kalpa,11,66,42,104,111,1,34,9,8,85,35,7,60,0,0
SN,AH,kalpa,12,66,43,105,110,1,33,9,8,84,34,7,60,0,0
SN,AH,kalpa,13,68,42,106,111,1,34,9,8,83,35,8,60,0,0
SN,AH,kalpa,14,69,42,107,110,1,34,9,8,84,34,8,59,0,0
SN,AH,kalpa,15,69,41,107,110,1,33,9,9,83,36,8,61,0,0
SN,AH,kalpa,16,67,42,107,110,1,33,9,9,84,36,8,59,0,0
SN,AH,kalpa,17,67,42,109,110,1,32,9,9,83,36,8,59,0,0
SN,AH,kalpa,18,67,43,107,110,1,32,9,9,82,35,7,58,0,0
SN,AH,kalpa,19,67,43,107,110,1,34,8,9,82,35,7,59,0,0
SN,AH,kalpa,20,66,44,106,108,1,36,8,9,80,34,6,59,0,0
SN,AH,kalpa,21,68,44,105,109,1,38,8,10,82,35,6,59,0,0
SN,AH,kalpa,22,69,44,104,109,1,39,8,10,82,35,6,58,0,0
SN,AH,kalpa,23,70,44,107,110,1,39,8,11,83,36,6,58,0,0
SN,AH,kalpa,24,64,44,108,109,1,36,8,10,81,34,6,56,0,0
SN,AH,kalpa,25,64,44,107,109,1,36,8,10,81,34,6,57,0,0
SN,AH,kalpa,26,63,45,106,108,1,36,7,10,81,34,6,60,0,0
SN,AH,kalpa,27,62,45,106,109,1,36,7,10,81,35,6,59,0,0
SN,AH,kalpa,28,61,46,105,109,1,37,7,9,82,34,6,58,0,0
SN,AH,kalpa,29,60,45,104,111,1,38,7,9,81,35,6,60,0,0
SN,AH,kalpa,30,59,46,104,110,1,37,7,8,81,35,5,59,0,0
SN,AH,kalpa,31,59,45,106,109,1,39,7,8,80,36,6,61,0,0
SN,AH,kalpa,32,60,45,106,107,1,39,7,8,80,37,6,61,0,0
SN,AH,kalpa,33,58,44,107,107,1,40,7,8,80,37,6,64,0,0
SN,AH,kalpa,34,60,44,106,108,1,39,7,8,80,36,6,64,0,0
SN,AH,kalpa,35,63,44,109,111,1,41,7,8,80,38,6,67,0,0
SN,AH,kalpa,36,63,45,109,108,1,41,7,8,81,39,6,65,0,0
SN,AH,kalpa,37,63,45,108,111,1,41,7,8,81,38,6,64,0,0
SN,AH,kalpa,38,60,46,104,107,1,41,7,8,81,39,6,63,0,0
SN,AH,kalpa,39,59,45,106,110,1,40,7,8,82,40,7,63,0,0
SN,AH,kalpa,40,58,46,105,110,1,40,7,8,82,40,7,62,0,0
SN,AH,kalpa,41,57,45,106,111,1,41,7,8,82,41,7,62,0,0
SN,AH,kalpa,42,57,45,106,110,1,42,7,8,82,41,7,62,0,0
SN,AH,kalpa,43,58,44,108,112,1,41,7,9,80,41,7,62,0,0
SN,AH,kalpa,44,56,44,108,110,1,39,7,8,79,41,7,62,0,0
SN,AH,kalpa,45,59,45,112,114,1,40,6,8,80,42,7,64,0,0
SN,AH,kalpa,46,60,46,110,114,1,40,5,8,79,43,7,65,0,0
SN,AH,kalpa,47,59,45,110,115,1,41,5,8,79,43,7,67,0,0
SN,AH,kalpa,48,59,46,107,113,1,41,5,7,79,44,6,67,0,0
SN,AH,kalpa,49,59,46,104,113,1,42,5,7,81,43,6,68,0,0
SN,AH,kalpa,50,60,47,103,112,1,41,5,6,82,42,6,68,0,0
SN,AH,kalpa,51,61,47,101,114,1,41,5,6,81,42,6,68,0,0
SN,AH,kalpa,52,61,48,98,111,1,41,5,6,82,44,6,68,0,0
