Text_Type,Book,Chapter,Window,LGL,L,GGG,GLL,LG,GG,GLG,LGG,LLL,G,LLG,GGL,LL
SN,AH,nidana,1,80,4,103,29,2,1,74,39,3,60,28,59,0
SN,AH,nidana,2,81,4,102,29,2,1,74,41,3,60,28,57,0
SN,AH,nidana,3,82,4,100,29,2,1,76,41,3,60,27,57,0
SN,AH,nidana,4,83,4,101,28,2,1,74,41,3,60,27,58,0
SN,AH,nidana,5,84,4,99,29,2,1,73,41,3,60,27,59,0
SN,AH,nidana,6,83,4,100,29,2,1,74,40,3,60,27,59,0
SN,AH,nidana,7,83,4,99,29,2,1,74,40,3,60,27,60,0
SN,AH,nidana,8,84,4,98,28,2,1,75,40,3,60,27,60,0
SN,AH,nidana,9,84,4,95,28,2,1,78,40,3,59,29,61,0
SN,AH,nidana,10,84,4,94,28,2,1,77,40,3,59,30,62,0
SN,AH,nidana,11,85,4,94,28,2,1,76,39,3,59,30,63,0
SN,AH,nidana,12,84,4,93,28,2,1,76,40,3,59,29,65,0
SN,AH,nidana,13,83,5,93,29,2,1,77,40,3,58,28,65,0
SN,AH,nidana,14,83,5,94,29,2,1,78,40,3,58,27,64,0
SN,AH,nidana,15,83,5,96,28,2,1,78,39,3,58,27,64,0
SN,AH,nidana,16,83,5,98,27,2,1,77,39,3,58,28,63,0
SN,AH,nidana,17,83,6,98,27,2,1,77,39,3,57,28,63,0
SN,AH,nidana,18,82,6,98,27,2,1,77,40,3,57,28,63,0
SN,AH,nidana,19,81,5,99,27,2,1,75,40,3,58,28,65,0
SN,AH,nidana,20,81,5,97,27,1,1,74,40,3,59,27,64,0
SN,AH,nidana,21,83,5,95,28,1,1,73,42,3,59,27,62,0
SN,AH,nidana,22,81,5,95,27,1,1,73,42,3,58,27,60,0
SN,AH,nidana,23,81,6,95,27,1,1,73,42,3,57,27,60,0
SN,AH,nidana,24,80,5,93,27,1,1,72,41,3,58,27,60,0
SN,AH,nidana,25,81,5,92,28,1,1,74,41,3,58,27,59,0
SN,AH,nidana,26,78,5,87,29,1,1,70,40,3,58,26,58,0
SN,AH,nidana,27,78,5,87,30,1,1,71,40,4,58,26,57,0
SN,AH,nidana,28,79,5,87,30,1,1,71,38,4,59,26,57,0
SN,AH,nidana,29,78,5,90,29,1,1,72,36,4,59,26,59,0
SN,AH,nidana,30,76,6,92,29,1,1,72,36,4,58,26,61,0
SN,AH,nidana,31,75,6,94,28,1,1,72,38,5,57,26,62,0
SN,AH,nidana,32,75,7,94,27,1,1,72,38,5,56,26,63,0
SN,AH,nidana,33,75,6,95,25,1,1,72,38,5,57,26,64,0
SN,AH,nidana,34,74,6,95,25,1,1,72,37,5,58,26,63,0
SN,AH,nidana,35,74,6,94,24,1,1,74,40,6,57,25,63,0
SN,AH,nidana,36,74,6,93,23,1,1,75,39,6,58,24,63,0
SN,AH,nidana,37,74,6,92,23,1,1,75,39,6,58,25,63,0
SN,AH,nidana,38,74,6,91,23,1,1,75,38,6,58,26,64,0
SN,AH,nidana,39,74,6,90,23,1,1,77,41,5,57,26,64,0
SN,AH,nidana,40,74,6,92,23,1,1,76,41,5,57,26,63,0
