Text_Type,Book,Chapter,Window,GGG,G,GLG,LGG,LLL,LLG,GGL,L,GLL,LG,LGL,GL,GG,LL
SN,AH,shareera,1,101,53,81,42,1,22,44,7,22,1,87,1,0,0
SN,AH,shareera,2,102,53,81,42,1,22,43,7,22,1,87,1,0,0
SN,AH,shareera,3,103,52,83,44,1,22,44,7,21,2,87,1,0,0
SN,AH,shareera,4,105,53,81,42,1,21,44,7,21,2,87,1,0,0
SN,AH,shareera,5,108,52,81,44,1,23,44,7,20,3,86,1,0,0
SN,AH,shareera,6,110,52,81,44,1,24,42,7,20,3,85,1,0,0
SN,AH,shareera,7,109,52,80,44,1,25,43,7,20,3,85,1,0,0
SN,AH,shareera,8,109,52,80,44,1,25,43,7,20,3,85,1,0,0
SN,AH,shareera,9,107,52,80,44,1,26,43,7,20,3,86,1,0,0
SN,AH,shareera,10,107,52,79,45,1,25,44,7,20,3,86,1,0,0
SN,AH,shareera,11,107,52,78,45,1,25,45,7,20,3,86,1,0,0
SN,AH,shareera,12,107,52,79,45,1,24,44,7,20,3,87,1,0,0
SN,AH,shareera,13,107,52,80,46,1,23,44,7,20,3,86,1,0,0
SN,AH,shareera,14,109,52,79,47,1,22,43,7,21,3,85,1,0,0
SN,AH,shareera,15,110,52,78,46,1,22,43,7,22,3,85,1,0,0
SN,AH,shareera,16,111,52,78,45,1,22,43,7,22,3,85,1,0,0
SN,AH,shareera,17,108,53,79,46,1,22,44,6,22,3,85,1,0,0
SN,AH,shareera,18,107,53,80,46,1,22,44,6,22,3,85,1,0,0
SN,AH,shareera,19,106,52,81,47,2,23,45,6,21,3,85,1,0,0
SN,AH,shareera,20,107,52,80,47,2,24,44,6,21,3,85,1,0,0
SN,AH,shareera,21,107,51,80,47,2,24,43,7,21,3,86,1,0,0
SN,AH,shareera,22,105,52,80,45,2,24,43,7,20,3,88,1,0,0
SN,AH,shareera,23,106,51,82,46,3,26,44,7,22,4,91,1,0,0
SN,AH,shareera,24,104,51,82,47,3,27,43,7,23,4,91,1,0,0
SN,AH,shareera,25,103,50,84,49,3,28,43,7,24,4,89,1,0,0
SN,AH,shareera,26,104,50,83,49,3,28,45,7,23,4,88,1,0,0
SN,AH,shareera,27,106,49,83,50,3,29,45,7,24,4,86,1,0,0
SN,AH,shareera,28,108,50,84,49,3,29,44,6,24,4,85,1,0,0
SN,AH,shareera,29,110,49,86,50,4,28,43,6,24,4,84,1,0,0
SN,AH,shareera,30,111,49,86,50,4,29,42,6,23,4,84,1,0,0
SN,AH,shareera,31,112,49,84,50,4,29,41,6,24,4,85,1,0,0
SN,AH,shareera,32,110,49,83,50,4,29,42,6,25,4,86,1,0,0
SN,AH,shareera,33,112,49,83,49,4,29,42,6,25,4,85,1,0,0
SN,AH,shareera,34,114,50,81,47,4,30,40,6,24,4,86,1,0,0
SN,AH,shareera,35,114,49,82,47,4,31,41,6,25,4,85,1,0,0
SN,AH,shareera,36,115,50,82,47,4,31,41,5,25,4,84,1,0,0
SN,AH,shareera,37,114,50,84,47,4,29,41,5,26,4,84,1,0,0
SN,AH,shareera,38,111,51,83,47,4,29,41,5,26,4,85,1,0,0
SN,AH,shareera,39,113,50,84,48,4,29,41,5,26,4,84,1,0,0
SN,AH,shareera,40,112,50,84,48,4,29,42,5,27,4,83,1,0,0
SN,AH,shareera,41,114,49,85,51,4,30,42,5,27,5,81,1,0,0
SN,AH,shareera,42,114,50,84,49,4,29,43,5,27,5,81,1,0,0
SN,AH,shareera,43,116,49,85,50,4,29,44,5,27,5,79,1,0,0
SN,AH,shareera,44,115,50,83,50,3,30,43,5,27,5,80,1,0,0
SN,AH,shareera,45,113,49,86,51,3,32,45,5,26,6,80,1,0,0
SN,AH,shareera,46,111,50,87,51,3,32,45,4,27,6,80,1,0,0
SN,AH,shareera,47,111,49,89,52,3,31,46,4,28,6,79,1,0,0
SN,AH,shareera,48,110,50,87,50,3,31,46,4,28,6,81,1,0,0
SN,AH,shareera,49,111,50,86,49,3,31,47,4,28,6,81,1,0,0
SN,AH,shareera,50,111,50,86,47,3,31,47,4,27,6,79,1,0,0
SN,AH,shareera,51,111,50,86,47,3,31,48,4,28,6,77,1,0,0
SN,AH,shareera,52,109,50,83,46,3,30,47,4,28,6,77,1,0,0
SN,AH,shareera,53,110,49,84,44,3,29,48,5,28,6,77,1,0,0
SN,AH,shareera,54,108,49,84,43,3,29,48,5,27,6,76,1,0,0
SN,AH,shareera,55,107,49,86,41,3,30,48,5,27,6,76,1,0,0
SN,AH,shareera,56,106,50,83,39,3,31,49,5,27,6,77,1,0,0
SN,AH,shareera,57,106,50,85,38,3,31,49,5,26,6,77,1,0,0
SN,AH,shareera,58,105,51,84,36,4,31,47,5,27,6,78,1,0,0
SN,AH,shareera,59,104,51,86,35,4,31,48,5,27,6,77,1,0,0
SN,AH,shareera,60,101,51,86,36,4,31,49,5,27,6,78,1,0,0
SN,AH,shareera,61,99,52,84,36,4,32,50,4,29,6,78,1,0,0
SN,AH,shareera,62,97,53,83,33,4,32,50,4,29,5,79,1,0,0
SN,AH,shareera,63,97,52,83,34,4,32,49,5,29,5,79,1,0,0
SN,AH,shareera,64,96,52,84,34,4,31,50,5,29,5,79,1,0,0
SN,AH,shareera,65,97,51,83,35,4,33,52,5,29,6,79,1,0,0
SN,AH,shareera,66,96,51,82,35,4,34,53,5,30,6,78,1,0,0
SN,AH,shareera,67,95,50,82,36,4,36,54,5,30,6,78,1,0,0
SN,AH,shareera,68,93,51,80,36,4,36,55,4,30,6,79,1,0,0
SN,AH,shareera,69,95,52,82,36,4,36,55,3,30,6,80,1,0,0
SN,AH,shareera,70,96,53,81,36,4,36,55,3,29,6,78,1,0,0
SN,AH,shareera,71,98,53,84,37,4,36,55,3,31,6,78,1,0,0
SN,AH,shareera,72,100,54,84,38,4,36,55,3,31,6,78,0,0,0
SN,AH,shareera,73,101,54,86,39,4,37,56,3,31,6,80,0,0,0
SN,AH,shareera,74,101,54,84,39,4,37,56,3,31,6,79,0,0,0
SN,AH,shareera,75,102,54,84,39,4,37,55,3,32,6,78,0,0,0
SN,AH,shareera,76,103,54,83,38,4,37,56,3,32,6,78,0,0,0
SN,AH,shareera,77,101,54,83,38,4,37,57,3,33,6,78,0,0,0
