Text_Type,Book,Chapter,Window,GLG,GGL,G,LG,LGG,GGG,LLG,GLL,LLL,LGL,L,LL,GG
SN,AH,sutra,1,83,56,64,1,44,83,23,21,1,85,6,0,0
SN,AH,sutra,2,83,54,64,1,44,84,23,20,1,85,6,0,0
SN,AH,sutra,3,83,52,64,1,44,84,23,19,1,86,6,0,0
SN,AH,sutra,4,82,53,64,1,45,84,22,18,1,87,6,0,0
SN,AH,sutra,5,82,52,63,1,47,86,22,17,1,88,6,0,0
SN,AH,sutra,6,81,51,63,1,47,87,22,17,1,89,6,0,0
SN,AH,sutra,7,80,52,63,1,46,87,23,17,1,89,6,0,0
SN,AH,sutra,8,79,52,63,1,47,87,23,17,1,89,6,0,0
SN,AH,sutra,9,79,51,62,1,47,88,23,17,1,89,7,0,0
SN,AH,sutra,10,81,52,61,1,45,89,22,16,1,89,8,0,0
SN,AH,sutra,11,79,52,60,1,44,91,22,16,1,90,9,0,0
SN,AH,sutra,12,76,51,61,1,42,91,22,17,1,92,9,0,0
SN,AH,sutra,13,76,50,60,1,42,89,23,18,1,93,10,0,0
SN,AH,sutra,14,78,51,61,1,41,89,21,18,1,93,9,0,0
SN,AH,sutra,15,78,50,61,1,42,89,21,18,1,93,9,0,0
SN,AH,sutra,16,77,49,62,1,41,89,21,18,0,94,9,0,0
SN,AH,sutra,17,77,49,62,1,42,89,20,18,0,94,9,0,0
SN,AH,sutra,18,76,50,63,1,43,88,20,18,0,94,8,0,0
SN,AH,sutra,19,77,48,62,1,43,89,20,18,0,94,9,0,0
SN,AH,sutra,20,78,49,62,1,41,90,20,17,0,94,9,0,0
SN,AH,sutra,21,78,49,62,1,41,89,19,18,0,95,9,0,0
SN,AH,sutra,22,76,48,63,1,40,90,18,18,0,96,9,0,0
SN,AH,sutra,23,76,47,63,1,39,90,18,18,0,98,9,0,0
SN,AH,sutra,24,76,47,63,1,39,90,18,18,0,98,9,0,0
SN,AH,sutra,25,76,48,62,1,41,91,18,18,0,97,9,0,0
SN,AH,sutra,26,74,48,62,1,39,91,18,18,0,96,9,0,0
SN,AH,sutra,27,73,50,63,1,39,92,18,17,0,95,8,0,0
SN,AH,sutra,28,73,48,63,1,38,92,18,18,0,97,8,0,0
SN,AH,sutra,29,73,48,63,1,37,93,17,18,1,97,8,0,0
SN,AH,sutra,30,73,49,63,1,37,92,17,18,1,97,8,0,0
SN,AH,sutra,31,72,49,63,1,39,90,18,18,1,97,8,0,0
SN,AH,sutra,32,73,49,63,1,40,89,18,18,1,96,8,0,0
SN,AH,sutra,33,75,51,62,1,41,88,17,18,2,95,8,0,0
SN,AH,sutra,34,75,52,62,1,40,88,16,19,2,95,8,0,0
SN,AH,sutra,35,76,53,62,1,40,88,16,18,2,94,8,0,0
SN,AH,sutra,36,77,53,62,1,40,89,14,19,2,93,8,0,0
SN,AH,sutra,37,79,53,61,1,42,90,14,19,2,91,8,0,0
SN,AH,sutra,38,79,52,60,1,41,90,15,20,2,91,9,0,0
SN,AH,sutra,39,80,52,60,1,42,88,15,20,2,91,9,0,0
SN,AH,sutra,40,80,51,60,1,43,87,16,20,2,91,9,0,0
SN,AH,sutra,41,82,52,59,1,44,87,15,20,3,90,9,0,0
SN,AH,sutra,42,83,52,58,1,44,86,15,20,3,90,10,0,0
SN,AH,sutra,43,84,53,58,1,42,87,15,19,3,90,10,0,0
SN,AH,sutra,44,82,54,59,1,40,87,15,18,3,91,10,0,0
SN,AH,sutra,45,82,53,59,1,41,86,16,18,3,91,10,0,0
SN,AH,sutra,46,80,50,60,0,42,85,16,19,3,90,10,0,0
SN,AH,sutra,47,80,48,60,0,42,87,16,19,3,90,10,0,0
SN,AH,sutra,48,80,47,60,0,42,87,17,18,3,91,10,0,0
SN,AH,sutra,49,80,46,60,0,41,89,17,18,3,91,10,0,0
SN,AH,sutra,50,81,46,60,0,42,88,16,18,3,91,10,0,0
SN,AH,sutra,51,84,46,60,0,42,87,16,17,3,90,10,0,0
SN,AH,sutra,52,84,44,61,0,42,88,17,17,3,90,9,0,0
SN,AH,sutra,53,83,44,61,0,44,86,17,18,3,90,9,0,0
SN,AH,sutra,54,83,44,61,0,44,86,17,18,3,90,9,0,0
SN,AH,sutra,55,83,45,61,0,45,85,17,18,3,89,9,0,0
