Text_Type,Book,Chapter,Window,LL,GGG,L,GGL,LGL,LG,G,LLL,LGG,GLL,LLG,GLG,GG,GL
SN,AH,uttara,1,1,85,5,60,84,6,51,5,59,23,32,98,0,0
SN,AH,uttara,2,1,85,5,59,85,6,51,5,60,23,32,97,0,0
SN,AH,uttara,3,1,85,5,59,85,6,51,5,60,22,32,98,0,0
SN,AH,uttara,4,1,86,5,59,85,6,51,5,60,22,32,97,0,0
SN,AH,uttara,5,1,86,5,59,85,6,51,5,60,22,33,96,0,0
SN,AH,uttara,6,1,86,5,60,84,6,51,4,60,22,34,96,0,0
SN,AH,uttara,7,1,87,5,61,86,6,51,4,61,22,35,98,0,0
SN,AH,uttara,8,1,88,5,58,86,6,52,4,60,21,34,100,0,0
SN,AH,uttara,9,1,88,4,61,85,6,52,5,63,21,33,106,0,0
SN,AH,uttara,10,1,88,4,62,86,6,53,5,59,21,33,105,0,0
SN,AH,uttara,11,1,88,4,62,86,6,53,5,59,21,33,105,0,0
SN,AH,uttara,12,0,87,4,60,86,6,54,5,60,21,33,102,0,0
SN,AH,uttara,13,0,91,4,62,87,7,53,5,60,21,33,100,0,0
SN,AH,uttara,14,0,93,4,62,85,6,54,4,59,21,32,98,0,0
SN,AH,uttara,15,0,97,4,62,84,6,53,4,59,23,31,102,0,0
SN,AH,uttara,16,0,97,4,62,84,6,53,4,59,22,30,104,0,0
SN,AH,uttara,17,0,100,4,63,84,6,53,4,60,22,31,106,0,0
SN,AH,uttara,18,0,99,4,62,86,6,54,4,58,21,31,106,0,0
SN,AH,uttara,19,0,99,4,62,86,7,53,4,58,21,32,110,0,0
SN,AH,uttara,20,0,101,4,60,87,7,54,4,57,20,33,107,0,0
SN,AH,uttara,21,0,103,4,63,88,7,54,4,56,19,34,110,0,0
SN,AH,uttara,22,0,103,4,63,88,6,55,4,54,19,33,108,0,0
SN,AH,uttara,23,0,106,4,64,90,6,55,5,52,19,32,112,0,0
SN,AH,uttara,24,0,104,4,65,90,6,55,5,52,19,31,114,0,0
SN,AH,uttara,25,0,104,4,64,90,6,55,5,52,20,29,116,0,0
SN,AH,uttara,26,0,104,4,64,89,6,54,5,50,20,29,114,1,0
SN,AH,uttara,27,0,107,4,62,88,7,53,5,51,22,30,113,1,0
SN,AH,uttara,28,0,110,4,62,88,7,53,5,51,21,30,111,1,0
SN,AH,uttara,29,0,110,4,60,88,7,53,5,51,22,30,112,1,0
SN,AH,uttara,30,0,109,5,61,88,7,52,5,50,22,29,114,1,0
SN,AH,uttara,31,0,111,5,61,87,7,51,5,51,23,30,113,1,0
SN,AH,uttara,32,0,110,5,61,88,7,52,4,51,24,30,110,1,0
SN,AH,uttara,33,0,109,5,63,89,7,52,4,50,23,31,109,1,0
SN,AH,uttara,34,0,111,5,65,89,7,52,4,49,22,30,108,1,0
SN,AH,uttara,35,0,111,5,65,91,7,52,4,48,22,30,107,1,0
SN,AH,uttara,36,0,110,5,64,91,7,52,4,50,22,30,107,1,0
SN,AH,uttara,37,0,108,5,65,90,7,51,4,52,23,30,109,1,0
SN,AH,uttara,38,0,106,5,64,90,7,52,4,51,23,30,110,1,0
SN,AH,uttara,39,0,105,5,64,90,8,51,4,52,24,32,112,1,0
SN,AH,uttara,40,0,102,5,64,92,8,52,4,51,25,32,110,1,0
SN,AH,uttara,41,1,103,5,62,93,8,51,5,52,25,35,110,1,0
SN,AH,uttara,42,1,102,5,63,93,8,52,4,51,25,35,109,1,0
SN,AH,uttara,43,1,103,5,64,92,8,52,4,51,24,36,108,1,0
SN,AH,uttara,44,1,103,5,64,91,8,52,4,52,24,34,110,1,0
SN,AH,uttara,45,1,102,5,65,91,8,52,4,52,24,36,108,1,0
SN,AH,uttara,46,1,102,5,65,91,8,53,4,51,24,35,107,1,0
