Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AH,kalpa,1,7.49,7.4,24.32,0.7,0.16,0.01
SN,AH,kalpa,2,7.49,7.4,24.36,0.69,0.16,0.01
SN,AH,kalpa,3,7.55,7.44,24.68,0.69,0.16,0.01
SN,AH,kalpa,4,7.53,7.48,24.72,0.7,0.16,0.01
SN,AH,kalpa,5,7.39,7.8,25.48,0.67,0.16,0.01
SN,AH,kalpa,6,7.56,7.32,24.56,0.68,0.16,0.01
SN,AH,kalpa,7,7.49,7.4,24.6,0.68,0.16,0.01
SN,AH,kalpa,8,7.47,7.16,23.92,0.68,0.16,0.01
SN,AH,kalpa,9,7.62,7.0,23.8,0.69,0.16,0.01
SN,AH,kalpa,10,7.75,6.44,22.56,0.7,0.16,0.01
SN,AH,kalpa,11,7.88,6.48,22.92,0.7,0.16,0.01
SN,AH,kalpa,12,7.8,6.44,22.6,0.71,0.16,0.01
SN,AH,kalpa,13,7.54,7.16,24.16,0.69,0.16,0.01
SN,AH,kalpa,14,7.53,7.16,24.24,0.69,0.16,0.01
SN,AH,kalpa,15,7.63,7.16,24.64,0.69,0.16,0.01
SN,AH,kalpa,16,7.51,7.12,24.32,0.71,0.16,0.01
SN,AH,kalpa,17,7.59,7.04,24.24,0.71,0.16,0.01
SN,AH,kalpa,18,7.64,6.76,23.52,0.73,0.15,0.01
SN,AH,kalpa,19,7.44,7.2,24.56,0.72,0.15,0.01
SN,AH,kalpa,20,7.65,6.8,23.76,0.73,0.15,0.01
SN,AH,kalpa,21,7.61,6.84,23.76,0.73,0.15,0.01
SN,AH,kalpa,22,7.53,6.92,23.8,0.73,0.15,0.01
SN,AH,kalpa,23,7.35,7.28,24.52,0.73,0.15,0.0
SN,AH,kalpa,24,7.27,6.72,22.36,0.74,0.15,0.0
SN,AH,kalpa,25,7.23,6.84,22.64,0.73,0.15,0.0
SN,AH,kalpa,26,7.19,6.92,22.68,0.73,0.15,0.0
SN,AH,kalpa,27,7.07,7.16,23.0,0.72,0.15,0.0
SN,AH,kalpa,28,6.94,7.16,22.72,0.73,0.15,0.0
SN,AH,kalpa,29,7.04,7.16,22.96,0.73,0.15,0.0
SN,AH,kalpa,30,7.08,6.92,22.24,0.75,0.15,0.0
SN,AH,kalpa,31,7.05,7.16,22.88,0.74,0.15,0.0
SN,AH,kalpa,32,7.18,7.08,22.84,0.75,0.15,0.0
SN,AH,kalpa,33,7.02,7.52,23.6,0.72,0.15,0.0
SN,AH,kalpa,34,6.8,7.76,23.68,0.72,0.15,0.0
SN,AH,kalpa,35,6.68,8.12,24.24,0.7,0.15,0.0
SN,AH,kalpa,36,6.49,8.16,23.88,0.7,0.15,0.0
SN,AH,kalpa,37,6.5,8.28,24.16,0.69,0.15,0.0
SN,AH,kalpa,38,6.7,7.48,22.56,0.71,0.15,0.0
SN,AH,kalpa,39,6.77,7.44,22.56,0.7,0.15,0.0
SN,AH,kalpa,40,6.69,7.4,22.2,0.69,0.15,0.0
SN,AH,kalpa,41,6.69,7.4,22.2,0.67,0.15,0.0
SN,AH,kalpa,42,6.56,7.56,22.24,0.67,0.15,0.0
SN,AH,kalpa,43,6.54,7.76,22.64,0.67,0.15,0.0
SN,AH,kalpa,44,6.58,7.4,21.68,0.69,0.15,0.0
SN,AH,kalpa,45,6.6,7.88,23.08,0.68,0.15,0.0
SN,AH,kalpa,46,6.6,7.84,23.04,0.68,0.15,0.0
SN,AH,kalpa,47,6.47,8.08,23.36,0.67,0.15,0.0
SN,AH,kalpa,48,6.44,7.8,22.6,0.68,0.15,0.0
SN,AH,kalpa,49,6.47,7.68,22.56,0.7,0.15,0.0
SN,AH,kalpa,50,6.5,7.52,22.24,0.71,0.15,0.0
SN,AH,kalpa,51,6.48,7.48,22.2,0.72,0.15,0.0
SN,AH,kalpa,52,6.61,7.24,21.88,0.72,0.15,0.0
SN,AH,kalpa,53,6.68,7.4,22.48,0.7,0.15,0.0
SN,AH,kalpa,54,6.57,7.4,22.16,0.71,0.15,0.0
SN,AH,kalpa,55,6.52,7.6,22.52,0.71,0.15,0.0
SN,AH,kalpa,56,6.49,7.36,21.76,0.72,0.15,0.0
SN,AH,kalpa,57,6.47,7.36,21.76,0.73,0.15,0.0
SN,AH,kalpa,58,6.71,6.84,21.0,0.74,0.16,0.01
SN,AH,kalpa,59,6.77,6.88,21.36,0.74,0.16,0.01
SN,AH,kalpa,60,6.82,6.56,20.68,0.75,0.16,0.01
SN,AH,kalpa,61,6.89,6.64,20.96,0.74,0.16,0.01
SN,AH,kalpa,62,6.91,6.52,20.68,0.74,0.16,0.01
SN,AH,kalpa,63,6.84,6.84,21.36,0.72,0.16,0.01
SN,AH,kalpa,64,6.75,6.92,21.32,0.72,0.16,0.01
SN,AH,kalpa,65,6.72,7.04,21.6,0.72,0.16,0.01
SN,AH,kalpa,66,6.75,6.96,21.6,0.73,0.15,0.01
SN,AH,kalpa,67,6.91,6.84,21.6,0.72,0.15,0.01
SN,AH,kalpa,68,7.11,6.48,21.2,0.73,0.16,0.01
SN,AH,kalpa,69,7.08,6.6,21.52,0.73,0.16,0.01
SN,AH,kalpa,70,7.05,6.16,20.2,0.74,0.16,0.01
SN,AH,kalpa,71,6.88,6.68,21.4,0.72,0.16,0.01
SN,AH,kalpa,72,7.08,6.4,21.08,0.73,0.16,0.01
SN,AH,kalpa,73,7.05,6.8,22.2,0.72,0.15,0.01
SN,AH,kalpa,74,7.12,6.76,22.28,0.72,0.15,0.01
SN,AH,kalpa,75,7.03,6.88,22.24,0.72,0.15,0.01
SN,AH,kalpa,76,7.05,6.88,22.24,0.73,0.15,0.01
SN,AH,kalpa,77,6.95,6.96,22.28,0.72,0.15,0.01
SN,AH,kalpa,78,7.08,6.6,21.64,0.73,0.16,0.02
SN,AH,kalpa,79,7.14,6.68,22.12,0.72,0.15,0.02
SN,AH,kalpa,80,7.22,6.48,21.72,0.73,0.15,0.02
SN,AH,kalpa,81,7.16,6.8,22.44,0.71,0.15,0.02
SN,AH,kalpa,82,7.07,6.88,22.48,0.72,0.15,0.02
SN,AH,kalpa,83,6.84,7.24,22.96,0.72,0.15,0.01
SN,AH,kalpa,84,6.9,7.08,22.56,0.73,0.15,0.01
SN,AH,kalpa,85,6.85,7.88,24.48,0.68,0.15,0.02
SN,AH,kalpa,86,6.93,7.64,24.12,0.68,0.15,0.02
SN,AH,kalpa,87,6.95,7.6,24.08,0.68,0.15,0.02
SN,AH,kalpa,88,6.99,7.32,23.4,0.7,0.15,0.02
SN,AH,kalpa,89,7.11,7.44,24.08,0.69,0.15,0.02
SN,AH,kalpa,90,7.16,7.32,23.8,0.69,0.15,0.02
SN,AH,kalpa,91,7.21,7.44,24.08,0.69,0.15,0.02
SN,AH,kalpa,92,7.31,7.28,24.0,0.7,0.15,0.02
