Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AH,chikitsa,1,7.58,5.24,18.8,0.85,0.13,0.02
SN,AH,chikitsa,2,7.58,5.24,18.8,0.85,0.13,0.02
SN,AH,chikitsa,3,7.65,5.2,18.78,0.85,0.13,0.02
SN,AH,chikitsa,4,7.69,5.18,18.8,0.85,0.13,0.02
SN,AH,chikitsa,5,7.66,5.2,18.8,0.85,0.13,0.02
SN,AH,chikitsa,6,7.83,5.04,18.64,0.85,0.13,0.02
SN,AH,chikitsa,7,8.05,4.88,18.54,0.85,0.13,0.03
SN,AH,chikitsa,8,8.06,4.88,18.58,0.85,0.13,0.03
SN,AH,chikitsa,9,8.01,4.92,18.6,0.85,0.13,0.02
SN,AH,chikitsa,10,8.02,4.9,18.62,0.86,0.13,0.02
SN,AH,chikitsa,11,8.09,4.86,18.58,0.86,0.13,0.02
SN,AH,chikitsa,12,7.99,4.98,18.74,0.86,0.13,0.02
SN,AH,chikitsa,13,8.12,4.88,18.66,0.86,0.13,0.02
SN,AH,chikitsa,14,8.11,4.9,18.66,0.86,0.13,0.02
SN,AH,chikitsa,15,8.12,4.9,18.68,0.86,0.13,0.02
SN,AH,chikitsa,16,8.2,4.9,18.86,0.86,0.13,0.02
SN,AH,chikitsa,17,8.28,4.86,18.84,0.86,0.13,0.02
SN,AH,chikitsa,18,8.5,4.8,18.96,0.86,0.13,0.03
SN,AH,chikitsa,19,8.52,4.8,19.02,0.87,0.13,0.03
SN,AH,chikitsa,20,8.57,4.86,19.32,0.87,0.13,0.02
SN,AH,chikitsa,21,8.6,4.86,19.28,0.86,0.13,0.02
SN,AH,chikitsa,22,8.54,4.9,19.22,0.86,0.13,0.02
SN,AH,chikitsa,23,8.6,4.86,19.22,0.86,0.13,0.02
SN,AH,chikitsa,24,8.53,4.88,19.24,0.84,0.13,0.02
SN,AH,chikitsa,25,8.43,4.96,19.28,0.84,0.13,0.02
SN,AH,chikitsa,26,8.18,5.32,20.0,0.81,0.13,0.02
SN,AH,chikitsa,27,8.07,5.4,19.98,0.81,0.13,0.02
SN,AH,chikitsa,28,8.04,5.4,19.92,0.81,0.13,0.02
SN,AH,chikitsa,29,7.93,5.46,19.94,0.81,0.13,0.02
SN,AH,chikitsa,30,7.84,5.5,19.92,0.81,0.13,0.02
SN,AH,chikitsa,31,7.69,5.6,19.92,0.81,0.13,0.01
SN,AH,chikitsa,32,7.66,5.66,20.12,0.8,0.13,0.01
SN,AH,chikitsa,33,7.78,5.56,20.12,0.79,0.13,0.02
SN,AH,chikitsa,34,7.71,5.58,20.1,0.79,0.13,0.02
SN,AH,chikitsa,35,7.7,5.6,20.1,0.8,0.13,0.02
SN,AH,chikitsa,36,7.72,5.62,20.28,0.79,0.13,0.02
SN,AH,chikitsa,37,7.89,5.52,20.22,0.8,0.13,0.02
SN,AH,chikitsa,38,7.88,5.52,20.2,0.8,0.13,0.02
SN,AH,chikitsa,39,7.71,5.64,20.28,0.8,0.13,0.02
