Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AH,shareera,1,7.75,5.34,18.46,0.87,0.13,0.01
SN,AH,shareera,2,7.68,5.42,18.64,0.87,0.13,0.01
SN,AH,shareera,3,7.67,5.44,18.62,0.87,0.13,0.01
SN,AH,shareera,4,7.65,5.4,18.46,0.88,0.13,0.01
SN,AH,shareera,5,7.59,5.46,18.48,0.88,0.13,0.01
SN,AH,shareera,6,7.49,5.62,18.7,0.86,0.13,0.01
SN,AH,shareera,7,7.49,5.62,18.74,0.87,0.13,0.01
SN,AH,shareera,8,7.43,5.74,18.96,0.85,0.13,0.01
SN,AH,shareera,9,7.35,5.78,18.94,0.85,0.13,0.01
SN,AH,shareera,10,7.37,5.78,18.94,0.86,0.13,0.01
SN,AH,shareera,11,7.38,5.76,18.96,0.86,0.13,0.01
SN,AH,shareera,12,7.32,5.92,19.3,0.84,0.13,0.01
SN,AH,shareera,13,7.34,5.9,19.3,0.84,0.13,0.01
SN,AH,shareera,14,7.42,5.84,19.3,0.85,0.13,0.01
SN,AH,shareera,15,7.44,5.82,19.26,0.85,0.13,0.01
SN,AH,shareera,16,7.4,5.86,19.28,0.84,0.13,0.01
SN,AH,shareera,17,7.45,5.82,19.3,0.84,0.13,0.01
SN,AH,shareera,18,7.39,5.92,19.5,0.83,0.13,0.01
SN,AH,shareera,19,7.44,5.78,19.16,0.83,0.13,0.01
SN,AH,shareera,20,7.27,5.98,19.32,0.82,0.13,0.0
SN,AH,shareera,21,7.24,5.9,18.96,0.82,0.13,0.0
SN,AH,shareera,22,7.2,5.8,18.6,0.82,0.13,0.0
SN,AH,shareera,23,7.15,5.74,18.3,0.82,0.13,0.0
SN,AH,shareera,24,7.1,5.82,18.48,0.82,0.13,0.0
SN,AH,shareera,25,7.05,5.84,18.48,0.82,0.13,0.0
SN,AH,shareera,26,6.99,5.92,18.48,0.82,0.13,0.0
SN,AH,shareera,27,7.0,5.94,18.46,0.82,0.13,0.0
SN,AH,shareera,28,6.91,6.16,18.84,0.81,0.13,0.0
SN,AH,shareera,29,6.88,6.2,18.84,0.81,0.13,0.0
SN,AH,shareera,30,6.89,6.34,19.18,0.8,0.13,0.0
SN,AH,shareera,31,6.87,6.36,19.18,0.81,0.13,0.0
SN,AH,shareera,32,6.82,6.38,19.18,0.81,0.13,0.0
SN,AH,shareera,33,6.78,6.42,19.18,0.8,0.13,0.0
SN,AH,shareera,34,6.74,6.38,19.02,0.81,0.13,0.0
SN,AH,shareera,35,6.74,6.36,19.0,0.81,0.13,0.0
SN,AH,shareera,36,6.82,6.32,19.02,0.82,0.13,0.0
SN,AH,shareera,37,6.82,6.32,19.06,0.82,0.13,0.0
SN,AH,shareera,38,6.86,6.22,18.92,0.83,0.13,0.0
SN,AH,shareera,39,6.87,6.2,18.94,0.83,0.13,0.0
SN,AH,shareera,40,6.87,6.2,18.94,0.83,0.13,0.0
