Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AH,sutra,1,7.57,5.42,18.86,0.83,0.13,0.02
SN,AH,sutra,2,7.43,5.48,18.68,0.83,0.13,0.02
SN,AH,sutra,3,7.48,5.4,18.52,0.83,0.13,0.02
SN,AH,sutra,4,7.44,5.46,18.56,0.83,0.13,0.02
SN,AH,sutra,5,7.46,5.48,18.58,0.83,0.13,0.02
SN,AH,sutra,6,7.49,5.48,18.6,0.83,0.13,0.02
SN,AH,sutra,7,7.5,5.44,18.56,0.83,0.13,0.02
SN,AH,sutra,8,7.53,5.4,18.54,0.84,0.13,0.02
SN,AH,sutra,9,7.47,5.44,18.54,0.84,0.13,0.02
SN,AH,sutra,10,7.33,5.56,18.56,0.83,0.13,0.02
SN,AH,sutra,11,7.2,5.66,18.58,0.83,0.13,0.01
SN,AH,sutra,12,7.16,5.6,18.36,0.83,0.13,0.01
SN,AH,sutra,13,7.28,5.52,18.38,0.83,0.13,0.01
SN,AH,sutra,14,7.38,5.44,18.38,0.84,0.13,0.01
SN,AH,sutra,15,7.35,5.44,18.38,0.85,0.13,0.01
SN,AH,sutra,16,7.32,5.38,18.16,0.86,0.13,0.01
SN,AH,sutra,17,7.39,5.32,18.12,0.86,0.13,0.02
SN,AH,sutra,18,7.49,5.24,18.1,0.86,0.13,0.02
SN,AH,sutra,19,7.51,5.22,18.12,0.86,0.13,0.02
SN,AH,sutra,20,7.53,5.24,18.14,0.86,0.13,0.02
SN,AH,sutra,21,7.52,5.22,18.18,0.87,0.13,0.02
SN,AH,sutra,22,7.65,5.08,17.98,0.87,0.13,0.02
SN,AH,sutra,23,7.68,5.06,17.98,0.87,0.13,0.02
SN,AH,sutra,24,7.86,4.92,17.96,0.86,0.13,0.02
SN,AH,sutra,25,7.97,4.86,17.94,0.86,0.13,0.02
SN,AH,sutra,26,8.02,4.84,17.92,0.86,0.13,0.02
SN,AH,sutra,27,8.2,4.74,17.92,0.86,0.13,0.03
SN,AH,sutra,28,8.34,4.66,17.92,0.86,0.14,0.03
SN,AH,sutra,29,8.34,4.68,17.92,0.86,0.14,0.03
SN,AH,sutra,30,8.38,4.72,18.12,0.87,0.13,0.03
SN,AH,sutra,31,8.56,4.62,18.1,0.87,0.14,0.03
SN,AH,sutra,32,8.56,4.62,18.12,0.87,0.13,0.03
SN,AH,sutra,33,8.79,4.52,18.14,0.88,0.13,0.04
SN,AH,sutra,34,8.86,4.48,18.1,0.88,0.14,0.04
SN,AH,sutra,35,8.83,4.48,18.1,0.88,0.14,0.04
SN,AH,sutra,36,8.58,4.6,18.1,0.88,0.14,0.03
SN,AH,sutra,37,8.45,4.68,18.12,0.87,0.14,0.03
SN,AH,sutra,38,8.48,4.66,18.12,0.87,0.14,0.03
SN,AH,sutra,39,8.58,4.62,18.1,0.87,0.14,0.04
SN,AH,sutra,40,8.58,4.64,18.14,0.87,0.14,0.04
SN,AH,sutra,41,8.59,4.64,18.18,0.88,0.14,0.04
SN,AH,sutra,42,8.59,4.66,18.2,0.89,0.13,0.04
SN,AH,sutra,43,8.69,4.62,18.14,0.9,0.13,0.04
SN,AH,sutra,44,8.69,4.58,17.94,0.9,0.13,0.04
SN,AH,sutra,45,8.56,4.66,17.94,0.89,0.13,0.03
SN,AH,sutra,46,8.69,4.5,17.54,0.9,0.14,0.04
SN,AH,sutra,47,8.73,4.5,17.54,0.91,0.13,0.04
SN,AH,sutra,48,8.72,4.5,17.5,0.91,0.13,0.04
SN,AH,sutra,49,8.76,4.48,17.5,0.91,0.13,0.04
SN,AH,sutra,50,8.77,4.54,17.7,0.91,0.13,0.04
SN,AH,sutra,51,8.76,4.48,17.38,0.91,0.13,0.04
SN,AH,sutra,52,8.87,4.46,17.4,0.91,0.13,0.04
SN,AH,sutra,53,8.83,4.48,17.4,0.92,0.13,0.04
SN,AH,sutra,54,8.95,4.4,17.36,0.92,0.13,0.04
SN,AH,sutra,55,8.94,4.4,17.36,0.91,0.14,0.04
SN,AH,sutra,56,9.0,4.36,17.32,0.92,0.14,0.04
SN,AH,sutra,57,9.05,4.34,17.34,0.92,0.14,0.04
SN,AH,sutra,58,9.13,4.34,17.5,0.91,0.14,0.04
SN,AH,sutra,59,9.25,4.28,17.5,0.9,0.14,0.05
SN,AH,sutra,60,9.32,4.24,17.52,0.9,0.14,0.05
SN,AH,sutra,61,9.3,4.24,17.54,0.91,0.14,0.05
SN,AH,sutra,62,9.26,4.32,17.76,0.89,0.14,0.05
SN,AH,sutra,63,9.09,4.4,17.76,0.88,0.14,0.05
SN,AH,sutra,64,9.01,4.46,17.84,0.88,0.14,0.04
SN,AH,sutra,65,9.07,4.42,17.84,0.88,0.14,0.05
SN,AH,sutra,66,9.25,4.4,18.04,0.88,0.14,0.05
SN,AH,sutra,67,9.27,4.38,18.04,0.88,0.14,0.05
SN,AH,sutra,68,9.25,4.38,18.04,0.88,0.14,0.05
SN,AH,sutra,69,9.39,4.34,18.02,0.88,0.14,0.06
SN,AH,sutra,70,9.43,4.28,17.98,0.88,0.14,0.06
SN,AH,sutra,71,9.54,4.26,17.96,0.88,0.14,0.06
SN,AH,sutra,72,9.52,4.28,17.98,0.88,0.14,0.06
SN,AH,sutra,73,9.58,4.24,17.98,0.88,0.14,0.06
SN,AH,sutra,74,9.31,4.36,18.02,0.87,0.14,0.06
SN,AH,sutra,75,9.15,4.44,18.04,0.87,0.14,0.05
SN,AH,sutra,76,8.86,4.56,18.08,0.86,0.14,0.04
SN,AH,sutra,77,8.65,4.66,18.08,0.86,0.14,0.04
SN,AH,sutra,78,8.47,4.76,18.06,0.86,0.14,0.03
SN,AH,sutra,79,8.34,4.82,18.1,0.86,0.14,0.03
SN,AH,sutra,80,8.52,4.66,17.86,0.86,0.14,0.04
SN,AH,sutra,81,8.31,4.76,17.88,0.87,0.14,0.03
SN,AH,sutra,82,8.22,4.84,18.06,0.86,0.14,0.03
SN,AH,sutra,83,8.08,4.9,18.06,0.86,0.14,0.03
SN,AH,sutra,84,8.01,4.94,18.12,0.86,0.14,0.03
SN,AH,sutra,85,8.11,4.88,18.14,0.86,0.14,0.03
SN,AH,sutra,86,8.2,4.86,18.34,0.86,0.14,0.03
SN,AH,sutra,87,8.36,4.76,18.34,0.87,0.13,0.03
SN,AH,sutra,88,8.24,4.98,18.84,0.83,0.14,0.04
SN,AH,sutra,89,8.17,5.0,18.84,0.83,0.14,0.03
SN,AH,sutra,90,8.1,5.04,18.84,0.83,0.14,0.03
SN,AH,sutra,91,8.05,5.08,18.88,0.83,0.14,0.03
SN,AH,sutra,92,8.06,5.06,18.82,0.83,0.14,0.03
SN,AH,sutra,93,8.0,5.1,18.88,0.83,0.14,0.03
SN,AH,sutra,94,8.09,5.02,18.86,0.83,0.14,0.03
SN,AH,sutra,95,8.15,4.98,18.88,0.84,0.13,0.03
SN,AH,sutra,96,8.16,5.0,18.92,0.84,0.13,0.03
SN,AH,sutra,97,8.12,5.0,18.92,0.84,0.13,0.03
SN,AH,sutra,98,8.23,4.96,18.94,0.83,0.14,0.03
SN,AH,sutra,99,8.17,4.98,18.96,0.84,0.13,0.03
SN,AH,sutra,100,8.33,4.84,18.78,0.83,0.14,0.04
SN,AH,sutra,101,8.36,4.92,19.14,0.84,0.14,0.04
SN,AH,sutra,102,8.33,4.9,19.16,0.84,0.14,0.04
SN,AH,sutra,103,8.25,4.96,19.2,0.83,0.14,0.04
SN,AH,sutra,104,8.1,5.06,19.22,0.83,0.13,0.03
SN,AH,sutra,105,8.1,5.04,19.18,0.83,0.13,0.03
SN,AH,sutra,106,7.91,5.14,19.16,0.82,0.13,0.03
SN,AH,sutra,107,7.85,5.2,19.16,0.82,0.13,0.03
SN,AH,sutra,108,7.74,5.22,18.98,0.82,0.14,0.03
SN,AH,sutra,109,7.67,5.26,18.98,0.83,0.13,0.03
SN,AH,sutra,110,7.72,5.24,19.08,0.82,0.13,0.03
SN,AH,sutra,111,7.69,5.26,19.08,0.82,0.14,0.03
SN,AH,sutra,112,7.71,5.18,18.9,0.82,0.14,0.03
SN,AH,sutra,113,7.8,5.12,18.9,0.83,0.14,0.03
SN,AH,sutra,114,7.86,5.06,18.84,0.83,0.14,0.03
