Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AH,uttara,1,7.67,5.66,19.9,0.8,0.13,0.0
SN,AH,uttara,2,7.61,5.7,19.9,0.79,0.13,0.0
SN,AH,uttara,3,7.61,5.72,19.94,0.8,0.13,0.0
SN,AH,uttara,4,7.66,5.84,20.28,0.79,0.13,0.0
SN,AH,uttara,5,7.66,5.84,20.26,0.79,0.13,0.0
SN,AH,uttara,6,7.72,5.94,20.62,0.78,0.13,0.0
SN,AH,uttara,7,7.78,5.9,20.62,0.79,0.13,0.0
SN,AH,uttara,8,7.89,5.86,20.58,0.78,0.13,0.0
SN,AH,uttara,9,7.86,5.88,20.58,0.79,0.13,0.0
SN,AH,uttara,10,7.86,5.82,20.42,0.8,0.13,0.0
SN,AH,uttara,11,7.84,5.82,20.4,0.81,0.13,0.0
SN,AH,uttara,12,7.98,5.6,20.0,0.83,0.13,0.0
SN,AH,uttara,13,7.96,5.62,20.02,0.84,0.13,0.0
SN,AH,uttara,14,7.98,5.54,19.72,0.84,0.13,0.0
SN,AH,uttara,15,7.86,5.64,19.72,0.84,0.13,0.0
SN,AH,uttara,16,7.92,5.6,19.74,0.85,0.13,0.0
SN,AH,uttara,17,7.95,5.56,19.7,0.85,0.13,0.01
SN,AH,uttara,18,7.92,5.58,19.74,0.85,0.13,0.0
SN,AH,uttara,19,7.82,5.66,19.76,0.84,0.13,0.0
SN,AH,uttara,20,7.8,5.7,19.76,0.84,0.13,0.0
SN,AH,uttara,21,7.76,5.72,19.78,0.85,0.13,0.0
SN,AH,uttara,22,7.79,5.6,19.44,0.86,0.13,0.0
SN,AH,uttara,23,7.71,5.66,19.46,0.86,0.13,0.0
SN,AH,uttara,24,7.71,5.76,19.84,0.85,0.13,0.0
SN,AH,uttara,25,7.67,5.8,19.88,0.85,0.13,0.0
SN,AH,uttara,26,7.64,5.9,20.22,0.84,0.13,0.0
SN,AH,uttara,27,7.66,5.88,20.22,0.84,0.13,0.0
SN,AH,uttara,28,7.63,5.88,20.2,0.84,0.13,0.0
SN,AH,uttara,29,7.7,5.82,20.18,0.84,0.13,0.0
SN,AH,uttara,30,7.75,5.78,20.18,0.85,0.13,0.0
SN,AH,uttara,31,7.77,5.78,20.22,0.85,0.13,0.0
SN,AH,uttara,32,7.7,5.94,20.6,0.84,0.13,0.0
SN,AH,uttara,33,7.71,5.96,20.7,0.84,0.13,0.0
SN,AH,uttara,34,7.77,6.18,21.46,0.81,0.13,0.01
SN,AH,uttara,35,7.72,6.22,21.5,0.81,0.13,0.01
SN,AH,uttara,36,7.76,6.18,21.5,0.81,0.13,0.01
SN,AH,uttara,37,7.88,6.08,21.48,0.81,0.13,0.01
SN,AH,uttara,38,7.9,6.12,21.62,0.81,0.13,0.01
SN,AH,uttara,39,7.9,6.12,21.64,0.81,0.13,0.01
SN,AH,uttara,40,7.92,6.24,21.98,0.8,0.13,0.01
SN,AH,uttara,41,8.03,6.16,21.96,0.8,0.13,0.01
SN,AH,uttara,42,8.12,6.22,22.38,0.79,0.13,0.01
SN,AH,uttara,43,8.25,6.12,22.32,0.79,0.13,0.02
SN,AH,uttara,44,8.25,6.22,22.68,0.78,0.13,0.02
SN,AH,uttara,45,8.25,6.22,22.66,0.78,0.13,0.02
SN,AH,uttara,46,8.09,6.42,22.9,0.77,0.13,0.02
SN,AH,uttara,47,8.07,6.44,22.88,0.77,0.13,0.02
SN,AH,uttara,48,7.95,6.68,23.32,0.75,0.13,0.01
SN,AH,uttara,49,8.04,6.6,23.26,0.75,0.13,0.02
SN,AH,uttara,50,8.05,6.6,23.28,0.75,0.13,0.02
SN,AH,uttara,51,8.03,6.54,23.0,0.76,0.13,0.02
SN,AH,uttara,52,8.05,6.58,23.22,0.76,0.13,0.02
SN,AH,uttara,53,8.07,6.58,23.18,0.76,0.13,0.02
SN,AH,uttara,54,7.97,6.52,22.88,0.76,0.13,0.02
SN,AH,uttara,55,7.91,6.56,22.9,0.76,0.13,0.02
SN,AH,uttara,56,7.84,6.54,22.66,0.76,0.13,0.02
SN,AH,uttara,57,7.84,6.56,22.7,0.76,0.13,0.02
SN,AH,uttara,58,7.79,6.52,22.54,0.76,0.13,0.02
SN,AH,uttara,59,7.88,6.46,22.54,0.76,0.13,0.02
SN,AH,uttara,60,7.92,6.44,22.6,0.75,0.13,0.02
SN,AH,uttara,61,7.89,6.48,22.68,0.75,0.13,0.02
SN,AH,uttara,62,7.71,6.7,22.9,0.75,0.13,0.02
SN,AH,uttara,63,7.69,6.74,22.92,0.74,0.13,0.02
SN,AH,uttara,64,7.69,6.84,23.22,0.73,0.13,0.02
SN,AH,uttara,65,7.8,6.72,23.2,0.73,0.13,0.02
SN,AH,uttara,66,7.83,6.78,23.5,0.73,0.13,0.02
SN,AH,uttara,67,7.8,6.84,23.5,0.73,0.13,0.02
SN,AH,uttara,68,7.78,6.8,23.32,0.73,0.13,0.02
SN,AH,uttara,69,7.79,6.8,23.32,0.74,0.13,0.02
SN,AH,uttara,70,7.89,6.64,23.14,0.73,0.13,0.02
SN,AH,uttara,71,8.01,6.54,23.12,0.73,0.14,0.03
SN,AH,uttara,72,7.99,6.54,23.14,0.73,0.14,0.03
SN,AH,uttara,73,8.02,6.52,23.14,0.75,0.13,0.03
SN,AH,uttara,74,8.05,6.44,22.98,0.74,0.14,0.03
SN,AH,uttara,75,8.18,6.32,22.96,0.74,0.14,0.03
SN,AH,uttara,76,8.13,6.28,22.64,0.74,0.14,0.03
SN,AH,uttara,77,8.22,6.22,22.68,0.74,0.14,0.03
SN,AH,uttara,78,8.13,6.3,22.74,0.74,0.14,0.03
SN,AH,uttara,79,8.13,6.3,22.74,0.74,0.14,0.03
SN,AH,uttara,80,8.13,6.28,22.68,0.74,0.14,0.03
SN,AH,uttara,81,8.07,6.32,22.68,0.73,0.14,0.03
SN,AH,uttara,82,8.2,6.1,22.18,0.75,0.14,0.03
