Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AH,nidana,1,8.72,4.88,18.99,0.84,0.13,0.04
SN,AH,nidana,2,8.75,4.87,18.99,0.84,0.13,0.04
SN,AH,nidana,3,8.71,4.89,19.0,0.84,0.13,0.04
SN,AH,nidana,4,8.73,4.88,19.01,0.85,0.12,0.04
SN,AH,nidana,5,8.83,4.81,18.99,0.85,0.13,0.04
SN,AH,nidana,6,8.83,4.81,18.99,0.85,0.13,0.04
SN,AH,nidana,7,8.86,4.8,19.0,0.85,0.13,0.04
SN,AH,nidana,8,8.81,4.83,19.0,0.85,0.13,0.04
SN,AH,nidana,9,8.78,4.87,19.07,0.85,0.13,0.04
SN,AH,nidana,10,8.85,4.84,19.05,0.85,0.13,0.04
SN,AH,nidana,11,8.84,4.84,19.05,0.85,0.13,0.04
SN,AH,nidana,12,8.76,4.88,19.05,0.85,0.12,0.04
SN,AH,nidana,13,8.77,4.88,19.03,0.85,0.12,0.04
SN,AH,nidana,14,8.84,4.84,19.01,0.85,0.13,0.04
SN,AH,nidana,15,8.78,4.87,19.04,0.85,0.12,0.04
SN,AH,nidana,16,8.82,4.85,19.04,0.85,0.12,0.04
SN,AH,nidana,17,8.8,4.87,19.01,0.85,0.13,0.04
SN,AH,nidana,18,8.74,4.91,19.03,0.85,0.12,0.04
SN,AH,nidana,19,8.75,4.91,19.04,0.85,0.12,0.04
SN,AH,nidana,20,8.73,4.87,18.84,0.85,0.12,0.04
SN,AH,nidana,21,8.72,4.84,18.81,0.85,0.13,0.04
SN,AH,nidana,22,8.64,4.83,18.59,0.85,0.13,0.04
SN,AH,nidana,23,8.56,4.87,18.57,0.84,0.13,0.04
SN,AH,nidana,24,8.54,4.81,18.36,0.85,0.13,0.04
SN,AH,nidana,25,8.7,4.75,18.44,0.85,0.13,0.04
SN,AH,nidana,26,8.85,4.51,17.89,0.88,0.13,0.04
SN,AH,nidana,27,9.0,4.44,17.95,0.89,0.13,0.05
SN,AH,nidana,28,9.07,4.4,17.91,0.89,0.13,0.05
SN,AH,nidana,29,9.12,4.41,17.99,0.89,0.13,0.05
SN,AH,nidana,30,9.02,4.49,18.08,0.89,0.13,0.04
SN,AH,nidana,31,8.88,4.61,18.27,0.88,0.13,0.04
SN,AH,nidana,32,8.75,4.67,18.28,0.89,0.13,0.04
SN,AH,nidana,33,8.57,4.76,18.29,0.88,0.12,0.03
SN,AH,nidana,34,8.58,4.72,18.2,0.88,0.12,0.03
SN,AH,nidana,35,8.39,4.85,18.33,0.87,0.12,0.03
SN,AH,nidana,36,8.4,4.83,18.23,0.88,0.12,0.03
SN,AH,nidana,37,8.39,4.81,18.23,0.88,0.12,0.03
SN,AH,nidana,38,8.41,4.8,18.2,0.88,0.12,0.03
SN,AH,nidana,39,8.33,4.88,18.33,0.88,0.12,0.03
SN,AH,nidana,40,8.25,4.93,18.35,0.88,0.12,0.03
SN,AH,nidana,41,8.12,5.05,18.51,0.87,0.12,0.02
SN,AH,nidana,42,8.12,5.05,18.45,0.87,0.12,0.02
SN,AH,nidana,43,8.11,5.08,18.52,0.86,0.12,0.02
SN,AH,nidana,44,8.03,5.05,18.29,0.87,0.12,0.02
SN,AH,nidana,45,7.99,5.11,18.41,0.86,0.12,0.02
SN,AH,nidana,46,7.99,5.08,18.29,0.86,0.12,0.02
SN,AH,nidana,47,7.99,5.08,18.28,0.86,0.12,0.02
SN,AH,nidana,48,7.99,5.03,18.09,0.86,0.12,0.02
SN,AH,nidana,49,7.99,5.08,18.28,0.86,0.12,0.02
SN,AH,nidana,50,7.96,5.11,18.28,0.86,0.12,0.02
SN,AH,nidana,51,7.87,5.16,18.32,0.86,0.12,0.02
SN,AH,nidana,52,7.79,5.17,18.19,0.86,0.12,0.02
SN,AH,nidana,53,7.75,5.24,18.33,0.85,0.12,0.02
SN,AH,nidana,54,7.78,5.21,18.31,0.85,0.12,0.02
SN,AH,nidana,55,7.76,5.21,18.29,0.85,0.12,0.02
SN,AH,nidana,56,7.8,5.21,18.31,0.85,0.12,0.02
SN,AH,nidana,57,7.86,5.16,18.31,0.85,0.12,0.02
SN,AH,nidana,58,7.91,5.13,18.31,0.85,0.12,0.02
SN,AH,nidana,59,7.88,5.15,18.33,0.85,0.12,0.02
SN,AH,nidana,60,7.93,5.07,18.21,0.86,0.12,0.02
SN,AH,nidana,61,7.99,5.01,18.16,0.85,0.13,0.03
SN,AH,nidana,62,7.97,5.03,18.19,0.85,0.12,0.03
SN,AH,nidana,63,7.94,5.04,18.17,0.85,0.12,0.03
SN,AH,nidana,64,8.0,4.97,18.08,0.86,0.13,0.03
SN,AH,nidana,65,7.9,5.13,18.43,0.83,0.13,0.03
SN,AH,nidana,66,7.95,5.11,18.44,0.83,0.13,0.03
SN,AH,nidana,67,7.87,5.17,18.55,0.83,0.13,0.03
SN,AH,nidana,68,7.88,5.16,18.52,0.83,0.13,0.03
SN,AH,nidana,69,7.71,5.35,18.73,0.81,0.13,0.02
SN,AH,nidana,70,7.78,5.29,18.72,0.81,0.13,0.02
SN,AH,nidana,71,7.72,5.36,18.87,0.81,0.13,0.02
SN,AH,nidana,72,7.76,5.31,18.77,0.81,0.13,0.02
SN,AH,nidana,73,7.7,5.35,18.79,0.81,0.13,0.02
SN,AH,nidana,74,7.72,5.35,18.81,0.81,0.13,0.02
SN,AH,nidana,75,7.72,5.36,18.81,0.81,0.13,0.02
SN,AH,nidana,76,7.7,5.36,18.77,0.81,0.13,0.02
SN,AH,nidana,77,7.71,5.35,18.77,0.81,0.13,0.02
SN,AH,nidana,78,7.69,5.36,18.77,0.81,0.13,0.02
SN,AH,nidana,79,7.65,5.4,18.76,0.8,0.13,0.02
SN,AH,nidana,80,7.53,5.48,18.79,0.8,0.13,0.02
SN,AH,nidana,81,7.49,5.52,18.8,0.8,0.13,0.02
SN,AH,nidana,82,7.44,5.56,18.83,0.79,0.13,0.02
SN,AH,nidana,83,7.46,5.56,18.83,0.8,0.13,0.02
SN,AH,nidana,84,7.43,5.53,18.71,0.8,0.13,0.02
SN,AH,nidana,85,7.37,5.6,18.83,0.79,0.13,0.02
SN,AH,nidana,86,7.34,5.61,18.84,0.79,0.13,0.02
SN,AH,nidana,87,7.33,5.67,18.96,0.79,0.13,0.02
SN,AH,nidana,88,7.31,5.69,18.97,0.79,0.13,0.02
SN,AH,nidana,89,7.34,5.67,18.99,0.79,0.13,0.02
SN,AH,nidana,90,7.3,5.71,18.99,0.79,0.13,0.02
SN,AH,nidana,91,7.25,5.75,19.0,0.78,0.13,0.02
SN,AH,nidana,92,7.27,5.72,19.01,0.79,0.13,0.02
SN,AH,nidana,93,7.25,5.77,19.16,0.78,0.13,0.02
SN,AH,nidana,94,7.29,5.73,19.15,0.78,0.13,0.02
SN,AH,nidana,95,7.3,5.77,19.33,0.79,0.13,0.02
SN,AH,nidana,96,7.27,5.8,19.36,0.79,0.13,0.02
SN,AH,nidana,97,7.29,5.88,19.67,0.78,0.13,0.02
SN,AH,nidana,98,7.33,5.85,19.67,0.79,0.12,0.02
SN,AH,nidana,99,7.34,5.91,19.87,0.79,0.12,0.02
SN,AH,nidana,100,7.27,5.96,19.79,0.79,0.12,0.01
SN,AH,nidana,101,7.18,6.0,19.71,0.79,0.12,0.01
SN,AH,nidana,102,7.11,6.05,19.64,0.79,0.12,0.01
SN,AH,nidana,103,7.0,6.16,19.69,0.79,0.12,0.01
