Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,nidana,1,124.37,47.27
SN,AS,nidana,2,120.81,46.36
SN,AS,nidana,3,116.82,45.3
SN,AS,nidana,4,113.0,44.26
SN,AS,nidana,5,108.05,42.92
SN,AS,nidana,6,101.96,41.03
SN,AS,nidana,7,98.11,39.45
SN,AS,nidana,8,91.84,37.33
SN,AS,nidana,9,84.14,35.02
SN,AS,nidana,10,80.54,33.75
SN,AS,nidana,11,78.11,32.65
SN,AS,nidana,12,76.98,32.2
SN,AS,nidana,13,75.34,31.27
SN,AS,nidana,14,72.33,29.9
SN,AS,nidana,15,68.99,28.5
SN,AS,nidana,16,69.64,28.77
SN,AS,nidana,17,66.92,27.38
SN,AS,nidana,18,66.62,27.54
SN,AS,nidana,19,65.14,26.78
SN,AS,nidana,20,61.46,24.54
SN,AS,nidana,21,59.36,23.62
SN,AS,nidana,22,59.61,23.22
SN,AS,nidana,23,58.01,22.57
SN,AS,nidana,24,58.14,22.62
SN,AS,nidana,25,56.75,22.46
SN,AS,nidana,26,55.57,22.18
SN,AS,nidana,27,55.03,21.99
SN,AS,nidana,28,52.37,20.97
SN,AS,nidana,29,51.05,20.23
SN,AS,nidana,30,49.9,19.59
SN,AS,nidana,31,50.52,19.85
SN,AS,nidana,32,50.79,19.95
SN,AS,nidana,33,50.57,19.89
SN,AS,nidana,34,58.29,23.01
SN,AS,nidana,35,62.81,25.74
SN,AS,nidana,36,63.02,25.95
SN,AS,nidana,37,64.03,26.5
SN,AS,nidana,38,62.27,25.5
SN,AS,nidana,39,60.33,24.62
SN,AS,nidana,40,58.36,23.42
SN,AS,nidana,41,57.02,22.96
SN,AS,nidana,42,55.01,22.09
SN,AS,nidana,43,54.22,21.62
SN,AS,nidana,44,52.88,21.01
SN,AS,nidana,45,42.73,16.75
SN,AS,nidana,46,39.62,14.45
SN,AS,nidana,47,33.81,11.81
SN,AS,nidana,48,33.82,11.02
SN,AS,nidana,49,25.64,8.86
SN,AS,nidana,50,25.32,9.47
SN,AS,nidana,51,24.98,9.7
SN,AS,nidana,52,24.36,9.66
SN,AS,nidana,53,24.97,9.8
SN,AS,nidana,54,24.72,9.72
SN,AS,nidana,55,25.2,9.82
SN,AS,nidana,56,25.49,9.49
SN,AS,nidana,57,25.1,9.26
SN,AS,nidana,58,24.71,9.18
SN,AS,nidana,59,24.94,9.2
SN,AS,nidana,60,25.28,9.25
SN,AS,nidana,61,26.07,9.22
SN,AS,nidana,62,26.61,9.27
SN,AS,nidana,63,26.41,9.33
SN,AS,nidana,64,26.42,9.37
