Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,sutra,1,46.17,36.57
SN,AS,sutra,2,45.96,36.72
SN,AS,sutra,3,44.96,35.86
SN,AS,sutra,4,45.52,35.93
SN,AS,sutra,5,45.9,36.16
SN,AS,sutra,6,45.99,36.0
SN,AS,sutra,7,45.89,36.5
SN,AS,sutra,8,45.23,35.97
SN,AS,sutra,9,44.27,35.54
SN,AS,sutra,10,44.92,35.66
SN,AS,sutra,11,46.65,35.98
SN,AS,sutra,12,46.25,35.64
SN,AS,sutra,13,47.45,35.55
SN,AS,sutra,14,45.27,34.48
SN,AS,sutra,15,44.8,34.14
SN,AS,sutra,16,44.72,34.37
SN,AS,sutra,17,44.71,34.34
SN,AS,sutra,18,44.07,34.41
SN,AS,sutra,19,42.96,33.91
SN,AS,sutra,20,42.88,34.29
SN,AS,sutra,21,42.17,34.64
SN,AS,sutra,22,42.15,35.04
SN,AS,sutra,23,42.35,35.23
SN,AS,sutra,24,41.44,34.6
SN,AS,sutra,25,40.59,33.92
SN,AS,sutra,26,39.99,33.78
SN,AS,sutra,27,40.32,33.77
SN,AS,sutra,28,40.66,33.81
SN,AS,sutra,29,41.83,34.65
SN,AS,sutra,30,42.42,35.08
SN,AS,sutra,31,41.18,34.4
SN,AS,sutra,32,40.6,33.94
SN,AS,sutra,33,40.79,34.13
SN,AS,sutra,34,41.01,34.09
SN,AS,sutra,35,41.26,34.28
SN,AS,sutra,36,41.35,34.52
SN,AS,sutra,37,40.96,34.13
SN,AS,sutra,38,40.74,34.04
SN,AS,sutra,39,40.44,33.72
SN,AS,sutra,40,39.55,33.32
SN,AS,sutra,41,39.31,33.05
SN,AS,sutra,42,39.31,33.05
SN,AS,sutra,43,41.0,33.9
SN,AS,sutra,44,40.65,33.81
SN,AS,sutra,45,40.96,34.1
SN,AS,sutra,46,41.05,33.82
SN,AS,sutra,47,41.26,33.68
SN,AS,sutra,48,41.45,33.49
SN,AS,sutra,49,41.72,34.04
SN,AS,sutra,50,42.04,33.95
SN,AS,sutra,51,42.66,34.54
SN,AS,sutra,52,42.91,34.81
SN,AS,sutra,53,44.28,35.97
SN,AS,sutra,54,44.33,36.03
SN,AS,sutra,55,44.71,35.6
SN,AS,sutra,56,44.66,35.77
SN,AS,sutra,57,45.7,35.91
SN,AS,sutra,58,44.72,35.95
SN,AS,sutra,59,44.73,35.75
SN,AS,sutra,60,43.85,35.18
SN,AS,sutra,61,44.23,35.32
SN,AS,sutra,62,43.39,34.94
SN,AS,sutra,63,43.66,35.3
SN,AS,sutra,64,44.79,36.65
SN,AS,sutra,65,45.01,36.92
SN,AS,sutra,66,44.8,36.73
SN,AS,sutra,67,45.34,37.24
SN,AS,sutra,68,45.28,37.27
SN,AS,sutra,69,46.16,37.63
SN,AS,sutra,70,44.97,36.84
SN,AS,sutra,71,45.83,36.32
SN,AS,sutra,72,45.94,36.36
SN,AS,sutra,73,46.21,36.4
SN,AS,sutra,74,46.37,36.86
SN,AS,sutra,75,47.72,37.85
SN,AS,sutra,76,47.66,37.9
SN,AS,sutra,77,47.21,37.63
SN,AS,sutra,78,44.53,35.35
SN,AS,sutra,79,41.71,33.57
SN,AS,sutra,80,40.91,33.1
SN,AS,sutra,81,41.95,33.56
SN,AS,sutra,82,42.35,33.65
SN,AS,sutra,83,41.98,33.54
SN,AS,sutra,84,42.18,33.89
SN,AS,sutra,85,41.43,33.25
SN,AS,sutra,86,41.15,32.94
SN,AS,sutra,87,40.67,33.01
SN,AS,sutra,88,40.87,32.82
SN,AS,sutra,89,41.46,33.4
SN,AS,sutra,90,42.13,33.57
SN,AS,sutra,91,42.73,33.74
SN,AS,sutra,92,43.22,34.27
SN,AS,sutra,93,43.13,34.26
SN,AS,sutra,94,42.16,33.83
SN,AS,sutra,95,41.53,33.6
SN,AS,sutra,96,41.91,33.97
SN,AS,sutra,97,41.73,34.01
SN,AS,sutra,98,42.81,34.52
SN,AS,sutra,99,41.65,34.08
SN,AS,sutra,100,40.86,33.82
SN,AS,sutra,101,39.98,33.33
SN,AS,sutra,102,40.38,33.58
SN,AS,sutra,103,41.1,34.12
SN,AS,sutra,104,40.67,33.59
