Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,uttara,1,57.64,31.3
SN,AS,uttara,2,58.19,31.7
SN,AS,uttara,3,56.32,30.98
SN,AS,uttara,4,56.62,31.03
SN,AS,uttara,5,51.37,28.0
SN,AS,uttara,6,48.98,27.08
SN,AS,uttara,7,47.95,26.46
SN,AS,uttara,8,47.27,25.95
SN,AS,uttara,9,46.87,25.66
SN,AS,uttara,10,46.61,25.18
SN,AS,uttara,11,45.83,24.87
SN,AS,uttara,12,45.29,24.68
SN,AS,uttara,13,42.69,23.49
SN,AS,uttara,14,41.75,22.71
SN,AS,uttara,15,40.61,22.0
SN,AS,uttara,16,39.53,21.18
SN,AS,uttara,17,37.83,19.16
SN,AS,uttara,18,36.54,17.88
SN,AS,uttara,19,34.99,16.76
SN,AS,uttara,20,34.56,16.33
SN,AS,uttara,21,33.7,15.87
SN,AS,uttara,22,32.53,15.26
SN,AS,uttara,23,32.11,14.65
SN,AS,uttara,24,32.29,14.2
SN,AS,uttara,25,31.5,13.69
SN,AS,uttara,26,31.17,13.45
SN,AS,uttara,27,29.84,12.46
SN,AS,uttara,28,29.01,12.24
SN,AS,uttara,29,28.77,11.91
SN,AS,uttara,30,28.76,11.48
SN,AS,uttara,31,27.23,10.73
SN,AS,uttara,32,27.31,10.28
SN,AS,uttara,33,26.46,10.03
SN,AS,uttara,34,26.23,9.89
SN,AS,uttara,35,25.96,9.81
SN,AS,uttara,36,24.9,9.84
SN,AS,uttara,37,25.22,9.96
SN,AS,uttara,38,24.71,10.07
SN,AS,uttara,39,24.18,10.61
SN,AS,uttara,40,23.93,11.41
SN,AS,uttara,41,23.87,11.94
SN,AS,uttara,42,24.32,13.18
SN,AS,uttara,43,24.3,12.95
SN,AS,uttara,44,23.94,13.76
SN,AS,uttara,45,24.08,14.79
SN,AS,uttara,46,24.19,17.15
SN,AS,uttara,47,26.58,19.6
SN,AS,uttara,48,27.58,20.46
SN,AS,uttara,49,27.25,21.35
SN,AS,uttara,50,29.02,22.31
SN,AS,uttara,51,30.9,24.15
SN,AS,uttara,52,31.42,26.93
SN,AS,uttara,53,31.07,27.4
SN,AS,uttara,54,32.65,29.49
SN,AS,uttara,55,33.9,30.09
SN,AS,uttara,56,33.67,29.84
SN,AS,uttara,57,33.85,29.92
SN,AS,uttara,58,33.88,29.93
SN,AS,uttara,59,34.15,30.18
SN,AS,uttara,60,33.52,29.72
SN,AS,uttara,61,33.26,29.65
SN,AS,uttara,62,34.9,30.27
SN,AS,uttara,63,34.98,30.52
SN,AS,uttara,64,36.05,31.1
SN,AS,uttara,65,36.51,31.23
SN,AS,uttara,66,37.23,31.44
SN,AS,uttara,67,38.42,31.98
SN,AS,uttara,68,37.73,31.41
SN,AS,uttara,69,37.68,31.15
SN,AS,uttara,70,38.47,32.14
SN,AS,uttara,71,38.47,32.14
SN,AS,uttara,72,40.14,33.33
SN,AS,uttara,73,40.35,33.78
SN,AS,uttara,74,40.23,34.07
SN,AS,uttara,75,39.2,33.73
SN,AS,uttara,76,39.36,33.55
SN,AS,uttara,77,40.37,33.74
SN,AS,uttara,78,42.98,34.25
