Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,chikitsa,1,53.45,51.37
SN,AS,chikitsa,2,54.28,52.06
SN,AS,chikitsa,3,56.52,54.07
SN,AS,chikitsa,4,55.54,53.38
SN,AS,chikitsa,5,55.96,53.09
SN,AS,chikitsa,6,55.63,52.84
SN,AS,chikitsa,7,55.21,52.37
SN,AS,chikitsa,8,53.92,52.03
SN,AS,chikitsa,9,54.12,52.42
SN,AS,chikitsa,10,53.54,52.2
SN,AS,chikitsa,11,53.6,51.88
SN,AS,chikitsa,12,53.43,51.65
SN,AS,chikitsa,13,52.66,51.23
SN,AS,chikitsa,14,52.75,51.51
SN,AS,chikitsa,15,52.87,51.67
SN,AS,chikitsa,16,53.05,51.94
SN,AS,chikitsa,17,53.11,51.58
SN,AS,chikitsa,18,52.95,50.74
SN,AS,chikitsa,19,53.09,50.82
SN,AS,chikitsa,20,52.74,50.41
SN,AS,chikitsa,21,52.65,50.04
SN,AS,chikitsa,22,51.88,49.8
SN,AS,chikitsa,23,51.46,48.66
SN,AS,chikitsa,24,51.49,48.66
SN,AS,chikitsa,25,51.21,47.91
SN,AS,chikitsa,26,51.12,48.05
SN,AS,chikitsa,27,51.51,48.31
SN,AS,chikitsa,28,51.95,48.88
SN,AS,chikitsa,29,52.52,49.46
SN,AS,chikitsa,30,51.95,49.02
SN,AS,chikitsa,31,51.69,49.55
SN,AS,chikitsa,32,51.13,49.73
SN,AS,chikitsa,33,51.89,50.4
SN,AS,chikitsa,34,51.46,49.78
SN,AS,chikitsa,35,51.26,49.82
SN,AS,chikitsa,36,50.75,49.41
SN,AS,chikitsa,37,51.02,49.5
SN,AS,chikitsa,38,50.63,48.99
SN,AS,chikitsa,39,51.16,49.62
SN,AS,chikitsa,40,50.73,49.86
SN,AS,chikitsa,41,50.56,49.95
SN,AS,chikitsa,42,50.15,49.34
SN,AS,chikitsa,43,50.44,49.28
SN,AS,chikitsa,44,50.35,49.38
SN,AS,chikitsa,45,50.45,49.59
SN,AS,chikitsa,46,50.53,49.45
SN,AS,chikitsa,47,50.65,49.82
SN,AS,chikitsa,48,50.66,50.12
SN,AS,chikitsa,49,50.24,49.55
SN,AS,chikitsa,50,50.38,49.93
SN,AS,chikitsa,51,50.34,49.82
SN,AS,chikitsa,52,50.48,50.0
SN,AS,chikitsa,53,50.55,50.38
SN,AS,chikitsa,54,50.5,50.23
SN,AS,chikitsa,55,50.51,50.08
SN,AS,chikitsa,56,50.58,49.83
SN,AS,chikitsa,57,50.71,50.0
SN,AS,chikitsa,58,50.89,50.43
SN,AS,chikitsa,59,51.53,50.41
SN,AS,chikitsa,60,50.9,49.97
SN,AS,chikitsa,61,50.65,49.59
SN,AS,chikitsa,62,50.59,49.26
SN,AS,chikitsa,63,50.42,48.46
SN,AS,chikitsa,64,50.8,48.25
SN,AS,chikitsa,65,50.11,47.73
SN,AS,chikitsa,66,49.91,47.65
SN,AS,chikitsa,67,49.68,47.57
