Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,kalpa,1,135.52,60.62
SN,AS,kalpa,2,135.33,60.43
SN,AS,kalpa,3,133.21,59.99
SN,AS,kalpa,4,134.46,60.4
SN,AS,kalpa,5,136.57,61.05
SN,AS,kalpa,6,136.48,60.98
SN,AS,kalpa,7,135.93,60.79
SN,AS,kalpa,8,133.61,59.9
SN,AS,kalpa,9,128.82,58.12
SN,AS,kalpa,10,126.49,57.44
SN,AS,kalpa,11,126.66,57.54
SN,AS,kalpa,12,126.53,57.08
SN,AS,kalpa,13,127.43,57.62
SN,AS,kalpa,14,128.06,57.74
SN,AS,kalpa,15,125.63,56.86
SN,AS,kalpa,16,122.41,55.92
SN,AS,kalpa,17,119.18,54.76
SN,AS,kalpa,18,119.34,54.61
SN,AS,kalpa,19,113.31,52.33
SN,AS,kalpa,20,108.07,50.15
SN,AS,kalpa,21,104.09,48.88
SN,AS,kalpa,22,101.65,48.22
SN,AS,kalpa,23,99.79,47.68
SN,AS,kalpa,24,99.67,47.3
SN,AS,kalpa,25,93.52,44.52
SN,AS,kalpa,26,89.75,42.43
SN,AS,kalpa,27,87.34,41.46
SN,AS,kalpa,28,83.55,39.99
SN,AS,kalpa,29,81.03,38.93
SN,AS,kalpa,30,79.37,38.24
SN,AS,kalpa,31,79.08,37.77
SN,AS,kalpa,32,79.59,37.96
SN,AS,kalpa,33,79.1,37.76
SN,AS,kalpa,34,76.59,36.87
SN,AS,kalpa,35,74.52,35.92
SN,AS,kalpa,36,73.28,35.12
SN,AS,kalpa,37,71.63,33.97
SN,AS,kalpa,38,72.8,33.85
SN,AS,kalpa,39,72.26,33.45
SN,AS,kalpa,40,70.55,32.35
SN,AS,kalpa,41,68.57,31.47
SN,AS,kalpa,42,67.87,31.43
SN,AS,kalpa,43,66.98,30.29
SN,AS,kalpa,44,64.64,29.62
SN,AS,kalpa,45,62.91,28.58
SN,AS,kalpa,46,61.32,27.64
SN,AS,kalpa,47,60.32,27.09
SN,AS,kalpa,48,59.32,26.87
SN,AS,kalpa,49,58.05,25.87
SN,AS,kalpa,50,58.44,26.09
SN,AS,kalpa,51,57.09,25.39
SN,AS,kalpa,52,56.77,25.09
SN,AS,kalpa,53,55.59,24.49
SN,AS,kalpa,54,54.96,24.09
SN,AS,kalpa,55,55.09,23.8
SN,AS,kalpa,56,54.79,23.34
SN,AS,kalpa,57,53.01,22.4
SN,AS,kalpa,58,51.44,22.29
SN,AS,kalpa,59,50.13,21.87
SN,AS,kalpa,60,49.0,21.62
SN,AS,kalpa,61,46.99,21.33
SN,AS,kalpa,62,46.1,21.44
SN,AS,kalpa,63,44.77,22.2
SN,AS,kalpa,64,42.36,22.36
SN,AS,kalpa,65,41.68,22.98
SN,AS,kalpa,66,41.95,23.3
SN,AS,kalpa,67,39.8,23.83
SN,AS,kalpa,68,38.79,24.39
SN,AS,kalpa,69,39.45,24.77
SN,AS,kalpa,70,39.9,25.6
SN,AS,kalpa,71,40.06,25.8
SN,AS,kalpa,72,39.73,25.72
SN,AS,kalpa,73,39.03,25.33
SN,AS,kalpa,74,39.09,25.94
SN,AS,kalpa,75,38.46,25.49
SN,AS,kalpa,76,38.06,26.06
SN,AS,kalpa,77,37.66,26.4
SN,AS,kalpa,78,36.7,26.42
SN,AS,kalpa,79,35.12,26.93
SN,AS,kalpa,80,34.97,28.28
SN,AS,kalpa,81,34.59,30.31
SN,AS,kalpa,82,33.02,31.93
SN,AS,kalpa,83,34.46,33.77
SN,AS,kalpa,84,35.07,33.97
SN,AS,kalpa,85,35.75,34.54
SN,AS,kalpa,86,35.51,35.22
SN,AS,kalpa,87,35.64,36.37
SN,AS,kalpa,88,37.26,41.05
SN,AS,kalpa,89,38.53,43.09
SN,AS,kalpa,90,38.35,43.12
SN,AS,kalpa,91,37.73,42.53
SN,AS,kalpa,92,37.79,42.57
SN,AS,kalpa,93,37.69,42.46
SN,AS,kalpa,94,38.24,43.06
SN,AS,kalpa,95,38.14,42.77
SN,AS,kalpa,96,38.35,42.93
SN,AS,kalpa,97,38.09,42.69
SN,AS,kalpa,98,38.3,42.85
SN,AS,kalpa,99,39.13,43.42
SN,AS,kalpa,100,39.64,43.57
SN,AS,kalpa,101,39.67,43.1
SN,AS,kalpa,102,39.9,43.15
SN,AS,kalpa,103,40.3,43.17
SN,AS,kalpa,104,40.06,43.05
SN,AS,kalpa,105,39.83,42.96
SN,AS,kalpa,106,39.31,42.83
SN,AS,kalpa,107,39.13,42.65
SN,AS,kalpa,108,37.92,42.17
SN,AS,kalpa,109,37.66,41.84
SN,AS,kalpa,110,37.71,41.97
SN,AS,kalpa,111,37.46,41.65
SN,AS,kalpa,112,37.11,41.41
SN,AS,kalpa,113,37.41,41.79
SN,AS,kalpa,114,38.15,42.31
SN,AS,kalpa,115,38.93,42.86
SN,AS,kalpa,116,38.8,42.78
SN,AS,kalpa,117,39.04,43.08
SN,AS,kalpa,118,38.79,43.13
SN,AS,kalpa,119,38.3,42.78
SN,AS,kalpa,120,38.28,42.57
SN,AS,kalpa,121,38.46,42.65
SN,AS,kalpa,122,39.28,43.17
SN,AS,kalpa,123,39.44,43.25
SN,AS,kalpa,124,39.08,43.07
SN,AS,kalpa,125,39.82,43.5
SN,AS,kalpa,126,39.73,43.61
SN,AS,kalpa,127,39.15,43.37
SN,AS,kalpa,128,39.23,43.13
SN,AS,kalpa,129,38.28,42.57
SN,AS,kalpa,130,38.66,42.93
