Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,shareera,1,34.76,28.26
SN,AS,shareera,2,34.36,28.62
SN,AS,shareera,3,35.12,28.01
SN,AS,shareera,4,31.83,27.57
SN,AS,shareera,5,32.95,27.73
SN,AS,shareera,6,33.51,28.03
SN,AS,shareera,7,32.42,27.53
SN,AS,shareera,8,32.84,27.73
SN,AS,shareera,9,32.58,28.2
SN,AS,shareera,10,30.82,27.95
SN,AS,shareera,11,30.95,28.48
SN,AS,shareera,12,31.46,29.12
SN,AS,shareera,13,31.77,27.28
SN,AS,shareera,14,32.8,28.16
SN,AS,shareera,15,34.86,28.82
SN,AS,shareera,16,35.16,28.53
SN,AS,shareera,17,35.07,29.09
SN,AS,shareera,18,34.88,28.53
SN,AS,shareera,19,35.08,27.78
SN,AS,shareera,20,33.65,26.52
SN,AS,shareera,21,32.42,25.67
SN,AS,shareera,22,31.79,25.77
SN,AS,shareera,23,32.41,24.99
SN,AS,shareera,24,31.3,25.04
SN,AS,shareera,25,31.06,24.91
SN,AS,shareera,26,31.04,24.59
SN,AS,shareera,27,29.71,24.17
SN,AS,shareera,28,30.74,24.95
SN,AS,shareera,29,31.17,24.98
SN,AS,shareera,30,30.35,24.4
SN,AS,shareera,31,30.73,25.03
SN,AS,shareera,32,30.98,25.16
SN,AS,shareera,33,31.56,25.61
SN,AS,shareera,34,31.47,25.13
SN,AS,shareera,35,31.5,24.7
SN,AS,shareera,36,31.9,23.96
SN,AS,shareera,37,30.61,23.38
SN,AS,shareera,38,30.32,23.54
SN,AS,shareera,39,30.57,23.77
SN,AS,shareera,40,30.58,23.73
SN,AS,shareera,41,31.09,24.4
SN,AS,shareera,42,30.82,24.09
SN,AS,shareera,43,30.66,23.75
SN,AS,shareera,44,29.88,24.27
SN,AS,shareera,45,29.93,25.36
SN,AS,shareera,46,30.59,25.49
SN,AS,shareera,47,30.89,25.57
SN,AS,shareera,48,31.04,26.21
SN,AS,shareera,49,30.7,25.38
SN,AS,shareera,50,30.53,25.34
SN,AS,shareera,51,30.6,25.54
SN,AS,shareera,52,31.32,25.81
SN,AS,shareera,53,31.64,26.05
SN,AS,shareera,54,31.48,25.83
SN,AS,shareera,55,30.99,25.51
SN,AS,shareera,56,30.88,25.58
SN,AS,shareera,57,31.16,26.34
SN,AS,shareera,58,32.75,26.47
SN,AS,shareera,59,32.94,27.16
SN,AS,shareera,60,32.02,26.36
SN,AS,shareera,61,31.31,25.54
SN,AS,shareera,62,31.2,25.54
SN,AS,shareera,63,29.12,25.06
SN,AS,shareera,64,29.58,25.44
SN,AS,shareera,65,30.16,25.76
SN,AS,shareera,66,30.0,25.41
SN,AS,shareera,67,29.61,24.99
SN,AS,shareera,68,29.85,25.69
SN,AS,shareera,69,31.0,26.59
SN,AS,shareera,70,30.61,25.99
SN,AS,shareera,71,29.9,25.86
SN,AS,shareera,72,29.69,25.97
SN,AS,shareera,73,29.37,25.56
SN,AS,shareera,74,28.42,25.44
SN,AS,shareera,75,28.2,25.99
SN,AS,shareera,76,27.92,25.25
SN,AS,shareera,77,27.47,24.69
SN,AS,shareera,78,27.87,25.16
SN,AS,shareera,79,27.27,24.2
SN,AS,shareera,80,26.41,24.31
SN,AS,shareera,81,27.27,24.72
SN,AS,shareera,82,27.27,25.43
SN,AS,shareera,83,26.79,25.23
SN,AS,shareera,84,26.82,24.69
SN,AS,shareera,85,27.29,25.44
SN,AS,shareera,86,27.14,24.82
SN,AS,shareera,87,26.47,24.2
SN,AS,shareera,88,26.56,24.47
SN,AS,shareera,89,26.5,24.18
SN,AS,shareera,90,26.16,24.0
SN,AS,shareera,91,25.93,24.34
SN,AS,shareera,92,25.87,24.21
SN,AS,shareera,93,26.32,24.66
SN,AS,shareera,94,26.18,24.9
SN,AS,shareera,95,26.02,24.8
SN,AS,shareera,96,26.29,24.6
SN,AS,shareera,97,26.26,24.47
SN,AS,shareera,98,26.09,24.43
SN,AS,shareera,99,25.46,23.27
SN,AS,shareera,100,26.07,23.33
SN,AS,shareera,101,25.85,22.6
SN,AS,shareera,102,25.07,21.35
SN,AS,shareera,103,25.88,20.43
SN,AS,shareera,104,25.64,19.1
SN,AS,shareera,105,25.31,18.66
SN,AS,shareera,106,24.86,17.77
SN,AS,shareera,107,25.01,17.64
SN,AS,shareera,108,25.47,17.1
SN,AS,shareera,109,24.01,18.35
SN,AS,shareera,110,23.78,17.34
SN,AS,shareera,111,23.98,17.72
SN,AS,shareera,112,24.38,17.78
