Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,kalpa,1,70.81,30.34
SN,AS,kalpa,2,70.96,30.5
SN,AS,kalpa,3,72.11,30.82
SN,AS,kalpa,4,73.67,31.31
SN,AS,kalpa,5,76.58,31.87
SN,AS,kalpa,6,75.25,31.1
SN,AS,kalpa,7,68.81,29.4
SN,AS,kalpa,8,62.27,27.45
SN,AS,kalpa,9,60.18,26.57
SN,AS,kalpa,10,58.17,25.92
SN,AS,kalpa,11,58.76,26.06
SN,AS,kalpa,12,58.6,25.8
SN,AS,kalpa,13,54.57,24.57
SN,AS,kalpa,14,54.51,24.17
SN,AS,kalpa,15,55.11,25.48
SN,AS,kalpa,16,56.19,25.9
SN,AS,kalpa,17,55.1,24.71
SN,AS,kalpa,18,59.4,25.9
SN,AS,kalpa,19,56.26,24.38
SN,AS,kalpa,20,54.42,23.51
SN,AS,kalpa,21,50.52,22.22
SN,AS,kalpa,22,48.63,22.02
SN,AS,kalpa,23,47.71,21.96
SN,AS,kalpa,24,49.2,23.39
SN,AS,kalpa,25,42.15,20.27
SN,AS,kalpa,26,40.81,19.38
SN,AS,kalpa,27,39.58,18.61
SN,AS,kalpa,28,37.87,17.63
SN,AS,kalpa,29,38.92,17.48
SN,AS,kalpa,30,41.21,17.87
SN,AS,kalpa,31,39.44,17.99
SN,AS,kalpa,32,41.93,19.34
SN,AS,kalpa,33,42.47,19.64
SN,AS,kalpa,34,42.35,19.8
SN,AS,kalpa,35,42.2,20.3
SN,AS,kalpa,36,44.45,21.54
SN,AS,kalpa,37,43.9,21.05
SN,AS,kalpa,38,50.27,23.15
SN,AS,kalpa,39,53.51,24.38
SN,AS,kalpa,40,52.01,23.78
SN,AS,kalpa,41,50.41,23.49
SN,AS,kalpa,42,54.7,24.98
SN,AS,kalpa,43,54.61,24.42
SN,AS,kalpa,44,50.95,23.2
SN,AS,kalpa,45,50.56,22.62
SN,AS,kalpa,46,49.21,21.97
SN,AS,kalpa,47,47.16,20.98
SN,AS,kalpa,48,45.29,20.53
SN,AS,kalpa,49,44.7,19.92
SN,AS,kalpa,50,45.19,20.47
SN,AS,kalpa,51,45.79,20.45
SN,AS,kalpa,52,47.28,20.86
SN,AS,kalpa,53,46.52,20.15
SN,AS,kalpa,54,47.79,20.21
SN,AS,kalpa,55,49.1,20.34
SN,AS,kalpa,56,51.62,21.37
SN,AS,kalpa,57,53.88,22.13
SN,AS,kalpa,58,55.06,23.05
SN,AS,kalpa,59,51.2,22.03
SN,AS,kalpa,60,50.4,21.71
SN,AS,kalpa,61,47.78,20.56
SN,AS,kalpa,62,49.34,20.79
SN,AS,kalpa,63,51.88,20.92
SN,AS,kalpa,64,49.96,20.52
SN,AS,kalpa,65,47.99,19.98
SN,AS,kalpa,66,47.57,19.45
SN,AS,kalpa,67,41.37,18.09
SN,AS,kalpa,68,38.49,17.47
SN,AS,kalpa,69,39.58,17.61
SN,AS,kalpa,70,38.05,17.34
SN,AS,kalpa,71,37.55,17.43
SN,AS,kalpa,72,38.25,17.69
SN,AS,kalpa,73,37.56,17.29
SN,AS,kalpa,74,37.84,17.16
SN,AS,kalpa,75,37.66,17.0
SN,AS,kalpa,76,36.48,16.65
SN,AS,kalpa,77,34.89,15.9
SN,AS,kalpa,78,33.24,15.59
SN,AS,kalpa,79,30.76,15.19
SN,AS,kalpa,80,29.02,14.94
SN,AS,kalpa,81,27.43,15.26
SN,AS,kalpa,82,24.72,14.49
SN,AS,kalpa,83,24.33,14.86
SN,AS,kalpa,84,25.49,15.54
SN,AS,kalpa,85,24.21,15.84
SN,AS,kalpa,86,24.22,15.29
SN,AS,kalpa,87,24.82,16.07
SN,AS,kalpa,88,21.26,19.26
SN,AS,kalpa,89,21.13,20.5
SN,AS,kalpa,90,20.56,19.58
SN,AS,kalpa,91,21.11,18.83
SN,AS,kalpa,92,19.92,18.65
SN,AS,kalpa,93,20.22,18.81
SN,AS,kalpa,94,19.45,19.37
SN,AS,kalpa,95,19.94,19.37
SN,AS,kalpa,96,20.47,19.57
SN,AS,kalpa,97,20.51,19.09
SN,AS,kalpa,98,19.77,19.63
SN,AS,kalpa,99,20.33,19.95
SN,AS,kalpa,100,20.47,19.95
SN,AS,kalpa,101,19.63,19.91
SN,AS,kalpa,102,19.63,19.91
SN,AS,kalpa,103,20.11,20.5
SN,AS,kalpa,104,20.04,20.79
SN,AS,kalpa,105,19.75,20.65
SN,AS,kalpa,106,20.64,20.93
SN,AS,kalpa,107,20.56,21.06
SN,AS,kalpa,108,20.96,21.87
SN,AS,kalpa,109,22.11,22.06
SN,AS,kalpa,110,21.09,21.86
SN,AS,kalpa,111,21.63,22.97
SN,AS,kalpa,112,20.73,22.22
SN,AS,kalpa,113,20.75,22.49
SN,AS,kalpa,114,22.13,23.21
SN,AS,kalpa,115,23.75,23.91
SN,AS,kalpa,116,22.88,23.88
SN,AS,kalpa,117,24.05,24.63
SN,AS,kalpa,118,24.04,24.64
SN,AS,kalpa,119,23.14,24.34
SN,AS,kalpa,120,23.17,24.24
SN,AS,kalpa,121,23.82,24.62
SN,AS,kalpa,122,25.19,25.36
SN,AS,kalpa,123,24.31,24.87
SN,AS,kalpa,124,23.37,24.19
SN,AS,kalpa,125,23.67,23.7
SN,AS,kalpa,126,22.25,23.19
SN,AS,kalpa,127,21.62,22.95
SN,AS,kalpa,128,20.88,22.44
SN,AS,kalpa,129,20.06,21.91
SN,AS,kalpa,130,19.99,21.87
SN,AS,kalpa,131,19.47,21.49
SN,AS,kalpa,132,19.98,21.97
SN,AS,kalpa,133,19.04,21.28
SN,AS,kalpa,134,18.86,20.88
SN,AS,kalpa,135,18.61,20.41
SN,AS,kalpa,136,18.26,19.54
SN,AS,kalpa,137,19.54,19.95
SN,AS,kalpa,138,19.3,19.93
SN,AS,kalpa,139,19.24,19.9
SN,AS,kalpa,140,19.83,20.34
SN,AS,kalpa,141,20.18,20.46
SN,AS,kalpa,142,20.01,20.16
SN,AS,kalpa,143,20.24,20.08
SN,AS,kalpa,144,20.17,20.34
SN,AS,kalpa,145,20.97,20.18
SN,AS,kalpa,146,20.3,19.93
SN,AS,kalpa,147,19.41,19.22
SN,AS,kalpa,148,19.25,19.17
SN,AS,kalpa,149,20.25,20.15
SN,AS,kalpa,150,21.65,20.96
SN,AS,kalpa,151,21.87,21.01
SN,AS,kalpa,152,21.87,21.42
SN,AS,kalpa,153,21.79,21.26
SN,AS,kalpa,154,22.06,21.41
SN,AS,kalpa,155,21.68,21.25
SN,AS,kalpa,156,21.79,21.28
SN,AS,kalpa,157,21.46,20.49
SN,AS,kalpa,158,21.12,19.86
SN,AS,kalpa,159,20.55,19.8
SN,AS,kalpa,160,19.84,20.22
SN,AS,kalpa,161,19.91,19.8
SN,AS,kalpa,162,19.62,19.99
SN,AS,kalpa,163,19.69,20.22
SN,AS,kalpa,164,19.07,20.19
SN,AS,kalpa,165,19.06,19.84
SN,AS,kalpa,166,19.98,19.92
SN,AS,kalpa,167,19.1,19.82
SN,AS,kalpa,168,18.92,19.95
SN,AS,kalpa,169,18.77,19.41
SN,AS,kalpa,170,18.41,19.39
SN,AS,kalpa,171,18.45,19.45
SN,AS,kalpa,172,19.66,20.27
SN,AS,kalpa,173,19.88,20.74
SN,AS,kalpa,174,19.92,20.2
SN,AS,kalpa,175,20.42,20.38
SN,AS,kalpa,176,20.87,20.93
SN,AS,kalpa,177,20.61,20.47
SN,AS,kalpa,178,22.06,20.92
SN,AS,kalpa,179,22.7,20.68
SN,AS,kalpa,180,23.34,21.1
SN,AS,kalpa,181,22.94,21.16
SN,AS,kalpa,182,24.77,22.21
SN,AS,kalpa,183,24.73,22.96
SN,AS,kalpa,184,24.08,23.08
SN,AS,kalpa,185,23.7,22.68
SN,AS,kalpa,186,23.7,22.62
SN,AS,kalpa,187,24.11,22.59
SN,AS,kalpa,188,21.53,21.81
SN,AS,kalpa,189,20.46,21.47
SN,AS,kalpa,190,20.67,21.49
SN,AS,kalpa,191,21.06,21.53
SN,AS,kalpa,192,20.6,20.77
SN,AS,kalpa,193,20.57,20.48
SN,AS,kalpa,194,20.62,19.86
SN,AS,kalpa,195,21.73,20.04
SN,AS,kalpa,196,21.41,19.85
SN,AS,kalpa,197,21.35,19.64
SN,AS,kalpa,198,22.69,19.75
SN,AS,kalpa,199,22.76,20.09
SN,AS,kalpa,200,21.41,19.84
SN,AS,kalpa,201,20.39,19.64
SN,AS,kalpa,202,19.77,20.1
SN,AS,kalpa,203,20.26,20.48
SN,AS,kalpa,204,20.51,20.55
SN,AS,kalpa,205,20.56,20.35
SN,AS,kalpa,206,20.56,20.35
SN,AS,kalpa,207,20.42,20.14
SN,AS,kalpa,208,20.48,20.22
SN,AS,kalpa,209,20.26,19.99
SN,AS,kalpa,210,20.07,20.13
SN,AS,kalpa,211,20.4,20.94
SN,AS,kalpa,212,21.32,20.99
SN,AS,kalpa,213,21.59,21.62
SN,AS,kalpa,214,22.27,22.12
SN,AS,kalpa,215,21.95,22.37
SN,AS,kalpa,216,21.85,22.57
SN,AS,kalpa,217,23.89,24.11
SN,AS,kalpa,218,24.14,24.16
SN,AS,kalpa,219,24.37,24.39
SN,AS,kalpa,220,23.72,23.72
SN,AS,kalpa,221,24.83,24.08
SN,AS,kalpa,222,25.68,23.55
SN,AS,kalpa,223,26.43,23.08
SN,AS,kalpa,224,27.21,23.37
SN,AS,kalpa,225,25.9,23.02
SN,AS,kalpa,226,25.54,22.73
SN,AS,kalpa,227,24.03,22.18
SN,AS,kalpa,228,23.11,21.31
SN,AS,kalpa,229,21.23,21.27
SN,AS,kalpa,230,21.94,21.66
SN,AS,kalpa,231,23.53,22.03
SN,AS,kalpa,232,23.77,22.02
SN,AS,kalpa,233,22.66,20.98
SN,AS,kalpa,234,23.04,20.34
SN,AS,kalpa,235,23.76,20.81
SN,AS,kalpa,236,22.93,19.54
SN,AS,kalpa,237,22.78,18.97
SN,AS,kalpa,238,21.18,17.1
SN,AS,kalpa,239,19.56,14.73
SN,AS,kalpa,240,20.35,14.03
SN,AS,kalpa,241,19.08,13.09
SN,AS,kalpa,242,19.96,11.5
SN,AS,kalpa,243,21.37,10.41
SN,AS,kalpa,244,22.21,9.93
SN,AS,kalpa,245,21.31,8.92
SN,AS,kalpa,246,21.71,8.51
SN,AS,kalpa,247,22.62,8.62
SN,AS,kalpa,248,23.34,8.71
SN,AS,kalpa,249,25.44,9.46
SN,AS,kalpa,250,26.27,9.88
SN,AS,kalpa,251,27.11,10.34
SN,AS,kalpa,252,27.85,10.59
SN,AS,kalpa,253,28.18,11.42
SN,AS,kalpa,254,31.48,13.81
SN,AS,kalpa,255,34.01,15.57
SN,AS,kalpa,256,35.01,16.28
SN,AS,kalpa,257,36.56,16.97
SN,AS,kalpa,258,37.36,17.77
SN,AS,kalpa,259,37.98,18.24
SN,AS,kalpa,260,43.99,20.56
SN,AS,kalpa,261,45.83,21.58
SN,AS,kalpa,262,51.81,23.9
SN,AS,kalpa,263,51.89,23.86
SN,AS,kalpa,264,52.69,23.72
SN,AS,kalpa,265,50.72,23.21
SN,AS,kalpa,266,50.57,23.46
SN,AS,kalpa,267,53.42,24.77
SN,AS,kalpa,268,52.29,24.47
SN,AS,kalpa,269,50.92,23.43
SN,AS,kalpa,270,48.79,22.55
SN,AS,kalpa,271,49.61,22.5
SN,AS,kalpa,272,48.31,22.22
SN,AS,kalpa,273,48.37,21.55
SN,AS,kalpa,274,45.71,20.49
SN,AS,kalpa,275,47.16,21.38
SN,AS,kalpa,276,46.41,20.83
SN,AS,kalpa,277,46.55,21.15
SN,AS,kalpa,278,44.0,19.96
SN,AS,kalpa,279,42.95,19.13
SN,AS,kalpa,280,41.62,18.61
SN,AS,kalpa,281,43.16,19.28
SN,AS,kalpa,282,43.66,19.44
SN,AS,kalpa,283,43.29,19.68
SN,AS,kalpa,284,42.98,19.11
SN,AS,kalpa,285,40.65,17.42
SN,AS,kalpa,286,38.77,16.36
SN,AS,kalpa,287,34.07,14.81
SN,AS,kalpa,288,33.26,14.36
SN,AS,kalpa,289,33.16,14.36
SN,AS,kalpa,290,33.41,14.45
SN,AS,kalpa,291,34.08,15.64
SN,AS,kalpa,292,34.81,16.08
SN,AS,kalpa,293,35.69,16.19
SN,AS,kalpa,294,36.93,16.83
SN,AS,kalpa,295,39.2,17.53
SN,AS,kalpa,296,38.26,17.3
SN,AS,kalpa,297,37.53,17.05
SN,AS,kalpa,298,35.31,16.7
SN,AS,kalpa,299,38.79,18.43
SN,AS,kalpa,300,38.06,17.53
SN,AS,kalpa,301,40.4,18.6
SN,AS,kalpa,302,38.66,18.05
SN,AS,kalpa,303,41.49,19.18
SN,AS,kalpa,304,39.22,18.28
