Text_Type,Book,Chapter,Window,GGG,GLG,LGL,LGG,L,LLG,G,GLL,GGL,LLL,LG,LL,GG,GL
SN,AS,chikitsa,1,30,25,33,4,2,8,22,6,16,1,1,0,0,0
SN,AS,chikitsa,2,30,26,34,3,2,8,22,7,16,0,1,0,0,0
SN,AS,chikitsa,3,31,24,35,4,2,7,23,8,16,0,0,0,0,0
SN,AS,chikitsa,4,29,24,35,5,2,9,23,8,15,0,0,0,0,0
SN,AS,chikitsa,5,28,26,35,5,2,8,23,8,15,0,0,0,0,0
SN,AS,chikitsa,6,26,25,35,6,3,9,22,8,16,0,0,0,0,0
SN,AS,chikitsa,7,26,24,35,5,4,10,21,8,17,0,0,0,0,0
SN,AS,chikitsa,8,24,24,35,6,3,11,22,8,17,0,0,0,0,0
SN,AS,chikitsa,9,24,24,35,7,3,11,22,8,16,0,0,0,0,0
SN,AS,chikitsa,10,24,24,35,7,3,11,22,8,16,0,0,0,0,0
SN,AS,chikitsa,11,25,23,34,6,3,12,22,8,17,0,0,0,0,0
SN,AS,chikitsa,12,24,23,34,7,3,12,22,9,16,0,0,0,0,0
SN,AS,chikitsa,13,24,22,35,7,3,11,22,9,17,0,0,0,0,0
SN,AS,chikitsa,14,23,22,35,8,3,12,22,8,17,0,0,0,0,0
SN,AS,chikitsa,15,24,21,35,8,4,12,21,9,16,0,0,0,0,0
SN,AS,chikitsa,16,26,22,35,7,5,12,20,8,15,0,0,0,0,0
SN,AS,chikitsa,17,28,21,33,7,5,12,20,8,16,0,0,0,0,0
SN,AS,chikitsa,18,27,21,33,7,5,13,20,8,16,0,0,0,0,0
SN,AS,chikitsa,19,27,20,32,9,5,12,20,7,18,0,0,0,0,0
SN,AS,chikitsa,20,27,22,30,9,5,12,20,7,18,0,0,0,0,0
SN,AS,chikitsa,21,26,23,29,10,4,11,21,7,19,0,0,0,0,0
SN,AS,chikitsa,22,25,25,29,10,4,11,21,8,17,0,0,0,0,0
SN,AS,chikitsa,23,24,26,28,11,4,11,21,8,17,0,0,0,0,0
SN,AS,chikitsa,24,25,26,28,11,4,11,21,7,17,0,0,0,0,0
SN,AS,chikitsa,25,24,26,28,11,4,11,21,8,17,0,0,0,0,0
