Text_Type,Book,Chapter,Window,GLG,GGL,LL,LLL,GLL,GL,LG,LLG,LGG,LGL,G,L,GGG,GG
SN,AS,kalpa,1,57,61,1,35,27,2,11,40,48,31,4,2,55,0
SN,AS,kalpa,2,58,62,1,34,28,2,11,41,48,31,4,2,54,0
SN,AS,kalpa,3,57,62,1,36,28,2,11,42,48,31,4,2,55,0
SN,AS,kalpa,4,56,61,1,33,28,2,11,42,48,30,3,2,52,0
SN,AS,kalpa,5,56,62,1,33,28,2,11,42,47,30,2,2,50,0
SN,AS,kalpa,6,53,62,1,32,25,2,11,40,43,28,2,2,47,0
SN,AS,kalpa,7,52,58,1,27,24,2,10,36,39,24,3,2,43,0
SN,AS,kalpa,8,49,54,1,22,24,2,10,35,38,24,4,2,42,0
SN,AS,kalpa,9,46,48,1,19,22,2,10,33,34,20,4,2,36,0
SN,AS,kalpa,10,46,47,1,18,23,2,9,31,33,20,4,2,35,0
SN,AS,kalpa,11,46,47,1,18,23,2,9,31,33,20,4,1,37,0
SN,AS,kalpa,12,46,47,1,18,22,2,8,31,29,18,4,1,38,0
SN,AS,kalpa,13,46,46,1,18,22,2,7,32,29,20,5,1,42,0
SN,AS,kalpa,14,46,46,1,18,22,1,7,31,28,19,5,1,41,0
SN,AS,kalpa,15,44,42,1,17,23,1,7,29,29,18,4,1,41,1
SN,AS,kalpa,16,44,42,1,17,23,1,8,30,30,18,4,1,40,1
SN,AS,kalpa,17,42,43,1,17,23,1,8,29,26,18,5,0,38,1
SN,AS,kalpa,18,41,39,1,17,23,0,8,29,27,13,5,0,37,2
SN,AS,kalpa,19,42,32,1,14,14,0,8,28,27,11,5,0,32,2
SN,AS,kalpa,20,40,28,1,14,12,0,8,25,25,10,5,0,29,2
SN,AS,kalpa,21,41,30,1,13,13,0,7,25,26,12,6,0,26,2
SN,AS,kalpa,22,39,29,1,13,13,0,7,24,27,13,6,0,28,2
SN,AS,kalpa,23,39,28,1,13,14,0,6,24,27,13,6,0,29,2
SN,AS,kalpa,24,37,28,1,13,14,1,6,26,28,14,5,0,30,2
SN,AS,kalpa,25,32,23,1,9,10,1,6,22,22,12,6,0,28,2
SN,AS,kalpa,26,33,21,0,9,9,1,6,19,21,11,6,0,28,2
SN,AS,kalpa,27,32,22,0,9,8,1,6,19,20,11,7,0,27,2
SN,AS,kalpa,28,34,24,0,8,8,2,5,17,20,12,7,0,27,2
SN,AS,kalpa,29,35,27,0,8,9,3,5,16,19,12,7,0,28,2
SN,AS,kalpa,30,36,29,0,8,8,3,6,16,20,12,7,0,30,2
SN,AS,kalpa,31,36,26,0,9,9,3,5,16,19,11,7,1,32,2
