Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AS,nidana,1,3,3,1,2,1,8,23,38,47,51,36,64,52,45
SN,AS,nidana,2,4,3,1,2,1,7,23,37,49,52,38,65,53,47
SN,AS,nidana,3,4,3,1,1,1,8,23,36,49,53,40,65,55,47
SN,AS,nidana,4,4,3,1,1,1,8,21,34,47,53,39,63,55,48
SN,AS,nidana,5,4,3,1,1,1,7,19,31,46,52,37,63,55,46
SN,AS,nidana,6,5,3,1,1,1,6,18,30,44,51,34,63,48,45
SN,AS,nidana,7,5,4,1,0,1,6,16,27,41,43,36,61,46,45
SN,AS,nidana,8,4,4,1,0,1,7,13,23,34,37,30,54,39,39
SN,AS,nidana,9,4,4,1,0,1,7,9,17,26,31,23,48,37,36
SN,AS,nidana,10,4,5,1,0,1,6,8,17,25,29,22,47,36,36
SN,AS,nidana,11,4,5,1,0,1,6,8,18,26,29,23,48,34,43
SN,AS,nidana,12,4,6,1,0,1,6,8,20,25,30,23,47,36,43
SN,AS,nidana,13,4,6,1,0,1,6,7,17,22,27,24,46,37,41
SN,AS,nidana,14,4,6,1,1,0,6,6,16,19,27,22,41,34,40
SN,AS,nidana,15,3,6,1,1,0,7,4,16,19,27,23,40,34,41
SN,AS,nidana,16,3,6,1,2,0,7,5,17,21,28,23,39,34,42
SN,AS,nidana,17,4,6,1,2,0,7,5,15,20,25,26,35,32,42
SN,AS,nidana,18,4,6,1,2,0,7,5,16,18,26,25,35,31,40
SN,AS,nidana,19,4,6,1,3,0,7,6,17,19,25,25,35,32,39
SN,AS,nidana,20,4,6,1,4,0,7,22,20,26,24,30,41,32,37
SN,AS,nidana,21,4,5,1,4,0,8,23,22,30,26,34,47,36,41
SN,AS,nidana,22,4,4,1,4,0,8,26,31,38,33,37,50,42,45
SN,AS,nidana,23,4,4,1,4,0,8,26,32,37,33,36,50,42,46
SN,AS,nidana,24,4,4,1,4,0,8,34,37,41,43,47,56,49,54
SN,AS,nidana,25,4,4,2,4,0,7,34,38,42,43,46,58,51,53
SN,AS,nidana,26,4,4,2,4,1,6,33,38,42,43,45,58,50,53
SN,AS,nidana,27,3,5,2,4,1,6,33,40,41,41,43,56,49,52
