Text_Type,Book,Chapter,Window,LLG,GLG,LGL,G,GGG,LG,LGG,L,LL,GG,GL,GLL,GGL,LLL
SN,AS,shareera,1,23,48,33,7,42,2,38,3,1,2,2,22,29,22
SN,AS,shareera,2,26,50,33,7,43,2,38,3,1,3,2,24,29,25
SN,AS,shareera,3,26,50,35,8,44,1,40,3,1,3,2,24,28,26
SN,AS,shareera,4,22,45,32,7,43,1,40,3,1,3,2,20,31,20
SN,AS,shareera,5,21,48,32,7,41,2,41,2,1,3,2,22,32,21
SN,AS,shareera,6,21,48,33,7,40,2,41,2,1,3,2,23,33,20
SN,AS,shareera,7,19,45,31,7,37,2,37,2,1,4,2,23,34,19
SN,AS,shareera,8,20,44,32,7,37,2,35,1,1,4,2,23,35,19
SN,AS,shareera,9,21,45,32,6,36,2,34,1,1,4,3,21,36,20
SN,AS,shareera,10,21,41,32,6,34,2,35,1,1,4,3,23,38,18
SN,AS,shareera,11,23,41,30,6,36,2,35,1,1,4,4,23,38,19
SN,AS,shareera,12,23,42,28,5,34,2,37,1,1,4,4,23,38,19
SN,AS,shareera,13,20,43,28,5,32,2,36,2,0,4,4,22,33,18
SN,AS,shareera,14,20,43,25,4,31,2,34,2,0,4,4,21,32,18
SN,AS,shareera,15,20,43,21,4,30,2,32,2,0,5,4,21,31,18
SN,AS,shareera,16,20,41,21,5,30,2,33,2,0,5,3,19,29,18
SN,AS,shareera,17,20,39,21,4,29,2,33,2,0,6,3,17,29,18
SN,AS,shareera,18,19,35,20,4,27,2,30,1,0,6,3,17,28,18
SN,AS,shareera,19,18,35,20,4,27,2,31,2,0,6,2,20,28,18
SN,AS,shareera,20,17,35,21,5,26,2,30,2,0,6,2,18,28,16
SN,AS,shareera,21,15,36,18,5,24,2,32,3,0,6,2,17,26,14
SN,AS,shareera,22,16,38,18,4,23,2,32,4,0,6,2,18,26,14
SN,AS,shareera,23,16,40,16,5,24,1,30,4,0,6,2,18,23,14
SN,AS,shareera,24,16,41,15,5,22,2,29,4,0,5,2,18,22,12
SN,AS,shareera,25,16,41,15,5,21,2,28,4,0,5,2,18,20,13
SN,AS,shareera,26,16,43,16,5,23,2,29,4,0,4,2,19,19,12
SN,AS,shareera,27,13,41,16,5,21,2,28,4,0,3,2,18,20,9
SN,AS,shareera,28,12,40,15,5,20,2,27,4,0,3,2,19,20,9
SN,AS,shareera,29,13,33,12,6,18,2,22,4,0,3,2,20,14,8
SN,AS,shareera,30,11,33,11,6,21,1,22,4,0,3,2,18,13,7
SN,AS,shareera,31,11,34,9,6,21,1,22,4,0,3,2,17,11,7
SN,AS,shareera,32,11,34,9,7,22,1,23,4,0,2,2,17,11,7
SN,AS,shareera,33,10,34,10,7,22,1,24,5,0,2,2,18,10,7
SN,AS,shareera,34,9,33,11,8,24,1,24,5,0,2,1,17,11,7
SN,AS,shareera,35,9,33,10,8,23,2,23,5,0,2,1,14,9,8
SN,AS,shareera,36,7,33,10,8,21,2,22,5,0,3,0,14,12,7
SN,AS,shareera,37,7,32,11,9,20,2,20,5,0,3,0,13,12,9
SN,AS,shareera,38,7,32,11,9,20,2,20,4,0,3,0,15,13,10
SN,AS,shareera,39,7,34,11,10,20,2,21,4,0,3,0,15,13,11
SN,AS,shareera,40,6,33,11,10,22,2,21,4,0,2,0,16,13,11
SN,AS,shareera,41,6,35,13,9,23,2,21,4,0,2,0,17,14,12
SN,AS,shareera,42,6,37,12,9,24,3,20,4,0,1,0,17,14,13
SN,AS,shareera,43,7,40,12,9,27,3,21,4,0,1,0,17,15,14
SN,AS,shareera,44,6,40,12,10,29,3,20,3,0,1,0,14,15,14
SN,AS,shareera,45,7,40,11,9,31,3,21,3,0,1,0,14,15,16
SN,AS,shareera,46,7,38,11,9,31,3,19,2,0,2,0,13,17,16
SN,AS,shareera,47,6,34,11,10,32,3,19,1,0,2,0,13,18,16
SN,AS,shareera,48,5,34,10,9,31,3,19,1,0,2,0,14,17,16
SN,AS,shareera,49,5,33,10,10,31,2,19,1,0,2,0,14,18,17
SN,AS,shareera,50,5,34,11,10,33,2,23,1,0,3,0,15,18,16
SN,AS,shareera,51,5,31,10,10,31,2,21,1,0,3,0,14,19,18
SN,AS,shareera,52,5,29,10,10,31,3,21,1,0,3,0,14,19,18
SN,AS,shareera,53,5,31,9,10,32,3,21,1,0,3,0,13,19,18
SN,AS,shareera,54,5,31,11,9,33,4,21,1,0,3,0,13,20,19
SN,AS,shareera,55,6,30,12,9,29,4,19,1,0,4,0,13,21,19
SN,AS,shareera,56,6,31,12,8,31,4,18,1,0,4,0,12,21,20
SN,AS,shareera,57,10,34,15,8,31,4,19,1,0,4,0,14,21,20
SN,AS,shareera,58,10,35,13,8,30,4,19,0,0,5,0,14,22,19
SN,AS,shareera,59,10,33,12,7,28,5,17,0,0,5,0,14,22,19
SN,AS,shareera,60,12,34,12,7,29,4,17,0,0,5,0,14,22,17
SN,AS,shareera,61,14,35,14,7,31,5,18,0,0,4,0,15,21,17
SN,AS,shareera,62,14,34,14,6,31,5,19,0,0,4,0,15,21,15
SN,AS,shareera,63,14,33,15,7,33,5,19,0,0,4,0,14,21,13
SN,AS,shareera,64,14,30,16,6,31,5,19,0,0,4,0,14,23,13
SN,AS,shareera,65,14,31,16,6,28,5,19,0,0,5,0,14,23,13
SN,AS,shareera,66,14,30,15,6,27,5,19,0,0,6,0,13,22,13
SN,AS,shareera,67,15,28,15,6,27,4,19,0,0,6,0,14,23,12
SN,AS,shareera,68,14,24,16,7,24,4,18,0,0,6,0,14,23,11
SN,AS,shareera,69,14,23,17,7,24,4,18,0,0,6,0,15,24,11
SN,AS,shareera,70,13,23,18,8,24,4,17,0,0,6,0,16,23,9
SN,AS,shareera,71,13,23,20,8,27,4,16,1,0,5,0,16,21,9
SN,AS,shareera,72,14,23,21,8,26,4,17,1,0,5,0,15,21,9
SN,AS,shareera,73,14,23,22,9,26,4,17,1,0,5,0,14,22,9
SN,AS,shareera,74,15,25,24,8,26,4,17,1,0,5,1,16,24,9
SN,AS,shareera,75,17,24,25,8,26,4,13,1,0,4,1,18,25,9
SN,AS,shareera,76,16,25,25,8,27,4,13,1,0,4,1,19,24,8
SN,AS,shareera,77,19,30,25,8,29,3,17,1,0,4,1,19,23,9
SN,AS,shareera,78,20,29,26,7,28,3,16,1,0,4,1,20,24,10
SN,AS,shareera,79,19,28,24,7,27,2,17,1,0,4,1,20,25,10
SN,AS,shareera,80,18,27,23,7,27,2,19,1,0,3,1,20,24,10
SN,AS,shareera,81,18,26,23,7,28,3,20,1,0,3,1,20,25,9
SN,AS,shareera,82,14,23,19,6,28,3,20,1,0,3,1,19,24,9
SN,AS,shareera,83,14,22,20,6,29,3,21,2,0,2,1,19,25,11
SN,AS,shareera,84,14,22,21,6,29,2,21,2,0,3,1,20,25,10
SN,AS,shareera,85,12,24,21,6,30,2,22,2,0,3,1,20,24,11
SN,AS,shareera,86,11,23,20,6,29,1,21,2,0,3,1,19,23,11
SN,AS,shareera,87,14,24,20,7,30,1,22,2,0,3,1,19,22,11
SN,AS,shareera,88,15,27,19,7,29,1,23,2,0,3,1,18,28,11
SN,AS,shareera,89,15,27,19,7,30,1,22,2,0,4,1,19,27,10
SN,AS,shareera,90,15,27,20,7,30,1,22,2,0,4,1,18,29,10
SN,AS,shareera,91,15,27,19,7,30,2,22,2,0,3,1,18,30,9
SN,AS,shareera,92,14,28,20,7,30,2,22,2,0,3,1,17,29,9
SN,AS,shareera,93,15,30,20,7,32,2,23,2,0,3,1,17,27,10
SN,AS,shareera,94,17,31,19,6,30,2,25,2,0,3,2,17,26,11
SN,AS,shareera,95,20,32,21,5,38,2,30,2,0,3,2,18,29,12
SN,AS,shareera,96,21,35,21,5,36,2,33,1,0,4,2,19,31,12
SN,AS,shareera,97,20,37,20,4,36,2,31,1,0,4,3,19,30,12
SN,AS,shareera,98,20,38,21,3,36,2,32,1,0,4,4,21,30,12
SN,AS,shareera,99,18,36,20,4,38,2,31,1,0,4,3,19,28,11
SN,AS,shareera,100,16,36,20,4,36,2,32,1,0,4,3,17,28,12
SN,AS,shareera,101,18,36,21,4,36,2,33,1,0,4,3,17,28,12
SN,AS,shareera,102,15,32,21,4,35,2,29,1,0,5,3,17,28,12
SN,AS,shareera,103,14,33,23,4,38,2,30,1,0,6,3,17,30,10
SN,AS,shareera,104,14,33,25,4,38,2,28,1,0,6,3,15,28,9
SN,AS,shareera,105,14,32,25,5,38,2,28,1,0,6,3,15,28,9
SN,AS,shareera,106,14,31,25,6,37,1,30,1,0,6,3,15,27,9
SN,AS,shareera,107,14,31,25,6,35,1,30,1,0,6,3,14,29,9
SN,AS,shareera,108,14,30,25,6,36,1,28,0,0,6,3,13,28,8
SN,AS,shareera,109,15,31,24,6,36,2,29,0,0,5,3,14,27,8
SN,AS,shareera,110,16,30,24,7,35,2,28,0,0,5,3,14,28,8
SN,AS,shareera,111,15,29,23,8,37,2,28,0,0,5,3,14,27,8
SN,AS,shareera,112,12,28,24,7,36,2,26,0,0,6,3,14,28,8
SN,AS,shareera,113,11,27,24,6,37,2,28,1,0,6,3,14,22,8
SN,AS,shareera,114,11,28,23,6,36,2,28,1,0,6,3,14,21,8
SN,AS,shareera,115,11,27,22,6,36,2,28,1,0,6,3,16,20,8
SN,AS,shareera,116,11,26,22,7,35,1,27,1,0,6,3,18,19,8
SN,AS,shareera,117,11,26,21,7,34,1,27,1,0,6,3,18,19,8
SN,AS,shareera,118,12,27,19,6,34,2,30,1,0,6,3,17,22,8
SN,AS,shareera,119,10,26,19,6,34,2,28,1,0,7,2,16,23,8
SN,AS,shareera,120,7,24,16,6,25,2,24,1,0,7,2,14,20,7
SN,AS,shareera,121,6,22,14,6,24,2,23,1,0,6,2,13,19,7
SN,AS,shareera,122,6,23,14,6,24,2,23,1,0,6,1,13,19,7
SN,AS,shareera,123,7,21,14,7,24,2,24,1,0,6,0,12,19,7
SN,AS,shareera,124,9,22,16,6,25,2,27,2,0,6,0,13,19,7
SN,AS,shareera,125,11,22,15,6,28,2,29,2,0,6,1,13,21,7
SN,AS,shareera,126,9,26,15,6,29,2,29,2,0,6,1,13,21,6
SN,AS,shareera,127,9,27,15,7,28,2,31,2,0,5,1,12,22,5
SN,AS,shareera,128,11,26,13,7,25,3,31,2,0,4,1,11,21,5
SN,AS,shareera,129,11,26,12,8,26,3,32,2,0,4,1,11,22,5
SN,AS,shareera,130,11,28,12,7,27,3,30,3,0,4,1,12,24,5
SN,AS,shareera,131,12,29,12,6,27,3,30,3,0,4,2,12,27,5
SN,AS,shareera,132,13,31,14,6,28,3,29,4,0,4,2,13,26,6
SN,AS,shareera,133,13,31,13,6,27,3,31,4,0,4,2,13,25,5
SN,AS,shareera,134,13,31,13,6,33,2,30,4,0,4,2,11,25,5
SN,AS,shareera,135,14,30,14,5,32,3,34,4,0,4,2,12,25,5
SN,AS,shareera,136,14,30,14,5,30,3,34,4,0,4,2,12,26,5
SN,AS,shareera,137,14,32,13,6,30,3,33,4,0,3,2,13,25,5
SN,AS,shareera,138,15,31,13,7,28,3,32,3,0,3,2,13,25,5
SN,AS,shareera,139,15,31,13,7,29,3,32,3,0,2,2,12,26,5
SN,AS,shareera,140,15,33,13,7,29,3,33,3,0,1,2,10,25,5
SN,AS,shareera,141,17,35,13,6,32,3,33,4,0,1,2,12,25,6
SN,AS,shareera,142,17,34,13,6,33,3,33,4,0,1,2,12,26,6
SN,AS,shareera,143,15,31,14,6,31,2,29,4,0,1,3,12,23,5
SN,AS,shareera,144,15,32,16,6,31,2,30,5,0,0,3,13,22,4
SN,AS,shareera,145,15,33,18,7,30,2,30,5,0,0,3,13,23,4
SN,AS,shareera,146,15,34,19,8,31,2,29,5,0,0,3,13,22,4
SN,AS,shareera,147,15,32,20,9,32,2,30,5,0,0,3,13,23,4
SN,AS,shareera,148,15,32,19,9,33,2,28,5,0,0,3,12,22,4
SN,AS,shareera,149,14,30,17,10,33,2,25,4,0,0,3,11,21,4
SN,AS,shareera,150,12,31,16,10,32,2,22,4,0,0,2,10,20,3
SN,AS,shareera,151,13,26,16,11,31,2,22,4,0,0,2,9,21,3
SN,AS,shareera,152,13,26,17,11,31,2,20,4,0,0,2,10,20,3
SN,AS,shareera,153,11,24,17,12,33,1,20,4,0,0,2,10,19,3
SN,AS,shareera,154,11,27,17,12,33,1,19,4,0,0,2,10,18,3
SN,AS,shareera,155,11,26,18,13,32,1,19,3,0,0,2,10,18,3
SN,AS,shareera,156,10,25,19,14,31,1,16,3,0,0,1,10,15,3
SN,AS,shareera,157,9,23,17,14,34,1,16,2,0,0,1,9,14,2
SN,AS,shareera,158,10,25,17,14,33,2,14,2,0,0,1,9,15,2
SN,AS,shareera,159,12,31,21,14,31,2,17,3,0,0,1,14,18,6
SN,AS,shareera,160,10,31,23,15,33,1,13,3,0,0,1,14,17,5
SN,AS,shareera,161,12,34,23,14,33,1,14,3,0,0,1,15,18,5
SN,AS,shareera,162,12,33,24,13,36,1,14,3,0,0,1,15,19,5
SN,AS,shareera,163,12,32,24,12,35,1,14,4,0,0,1,15,18,5
SN,AS,shareera,164,15,31,26,12,38,1,16,5,0,0,1,16,18,5
SN,AS,shareera,165,15,32,27,12,40,1,15,5,0,0,1,17,20,5
SN,AS,shareera,166,13,33,31,12,41,1,18,5,0,0,1,14,25,5
SN,AS,shareera,167,13,33,31,12,41,1,21,5,0,0,1,15,26,5
SN,AS,shareera,168,13,34,31,13,41,1,21,5,0,0,0,16,27,5
SN,AS,shareera,169,15,34,32,13,41,1,20,4,0,1,0,15,27,7
SN,AS,shareera,170,15,33,31,12,42,1,19,4,0,1,0,15,26,7
SN,AS,shareera,171,15,31,30,11,42,1,19,5,0,1,0,16,27,7
SN,AS,shareera,172,17,30,30,10,42,2,18,5,0,1,0,16,26,7
SN,AS,shareera,173,19,30,29,9,41,2,18,5,0,1,1,16,27,7
SN,AS,shareera,174,19,31,32,8,40,3,18,5,0,1,1,18,28,7
SN,AS,shareera,175,19,30,32,9,38,3,19,5,0,1,1,19,28,7
SN,AS,shareera,176,18,32,32,8,38,3,21,5,0,1,1,19,27,7
SN,AS,shareera,177,18,31,32,7,37,3,22,6,0,1,1,18,27,7
SN,AS,shareera,178,18,33,31,6,35,3,21,6,0,1,2,18,27,7
SN,AS,shareera,179,19,32,31,6,37,3,24,6,0,1,2,20,28,8
SN,AS,shareera,180,19,32,32,5,37,3,24,6,0,1,2,19,26,8
SN,AS,shareera,181,19,32,31,4,36,4,24,6,0,1,2,19,27,8
SN,AS,shareera,182,19,32,32,5,32,4,23,6,0,1,2,19,27,9
SN,AS,shareera,183,18,30,33,6,33,3,28,6,0,1,2,20,28,10
SN,AS,shareera,184,16,24,31,6,30,3,25,5,0,1,2,15,25,6
SN,AS,shareera,185,16,24,28,5,28,3,25,5,0,1,2,14,25,6
