Text_Type,Book,Chapter,Window,G,GGG,GGL,GLG,LG,L,LLG,LGL,LGG,GLL,GG,LLL,LL,GL
SN,AS,sutra,1,23,20,18,33,1,1,5,35,11,11,0,0,0,0
SN,AS,sutra,2,23,19,16,32,1,1,6,36,11,11,0,0,0,0
SN,AS,sutra,3,23,20,15,30,1,1,7,35,12,10,0,0,0,0
SN,AS,sutra,4,22,15,16,32,1,1,7,34,11,9,0,0,0,0
SN,AS,sutra,5,22,15,16,31,1,1,6,35,12,9,0,0,0,0
SN,AS,sutra,6,22,16,15,32,1,1,6,35,12,8,0,0,0,0
SN,AS,sutra,7,23,14,16,32,0,1,6,37,12,8,0,0,0,0
SN,AS,sutra,8,23,14,17,32,0,1,7,36,11,8,0,0,0,0
SN,AS,sutra,9,23,14,17,32,0,1,8,35,11,8,0,0,0,0
SN,AS,sutra,10,23,14,18,32,0,1,8,35,11,7,0,0,0,0
SN,AS,sutra,11,23,16,18,33,0,1,7,34,11,6,0,0,0,0
SN,AS,sutra,12,23,15,17,35,0,1,7,34,11,6,0,0,0,0
SN,AS,sutra,13,23,15,16,37,0,1,6,34,12,5,0,0,0,0
SN,AS,sutra,14,23,16,15,39,0,1,5,33,12,5,0,0,0,0
SN,AS,sutra,15,23,18,16,38,0,1,5,32,12,4,0,0,0,0
SN,AS,sutra,16,23,19,17,36,0,1,5,33,11,4,0,0,0,0
SN,AS,sutra,17,22,20,18,35,0,2,4,34,10,4,0,0,0,0
SN,AS,sutra,18,21,21,17,34,0,3,6,34,10,3,0,0,0,0
SN,AS,sutra,19,21,22,18,33,0,3,6,33,10,3,0,0,0,0
SN,AS,sutra,20,21,22,17,33,0,3,6,33,11,3,0,0,0,0
SN,AS,sutra,21,21,24,16,32,0,3,7,33,10,3,0,0,0,0
SN,AS,sutra,22,20,26,16,32,0,4,7,33,8,3,0,0,0,0
SN,AS,sutra,23,21,26,18,30,0,3,7,33,8,3,0,0,0,0
SN,AS,sutra,24,21,25,18,30,0,3,7,33,8,4,0,0,0,0
SN,AS,sutra,25,21,27,16,29,0,3,8,33,8,4,0,0,0,0
SN,AS,sutra,26,21,26,17,29,0,3,8,33,8,4,0,0,0,0
SN,AS,sutra,27,21,27,18,29,0,3,7,32,9,3,0,0,0,0
SN,AS,sutra,28,20,29,18,29,1,3,6,31,8,3,0,0,0,0
SN,AS,sutra,29,21,30,18,28,1,3,6,31,8,3,0,0,0,0
SN,AS,sutra,30,21,31,19,28,1,3,7,30,7,2,0,0,0,0
SN,AS,sutra,31,21,29,19,28,1,3,7,30,9,2,0,0,0,0
SN,AS,sutra,32,20,30,18,28,1,4,7,29,9,3,0,0,0,0
SN,AS,sutra,33,20,30,17,28,1,4,6,29,11,3,0,0,0,0
SN,AS,sutra,34,20,30,17,28,1,4,6,29,11,3,0,0,0,0
SN,AS,sutra,35,20,31,16,29,1,4,6,28,11,3,0,0,0,0
SN,AS,sutra,36,20,30,16,30,1,4,6,28,11,3,0,0,0,0
SN,AS,sutra,37,20,32,16,28,1,4,6,27,12,3,0,0,0,0
SN,AS,sutra,38,20,33,18,26,1,4,6,26,12,3,0,0,0,0
SN,AS,sutra,39,20,31,18,24,1,4,7,26,13,5,0,0,0,0
SN,AS,sutra,40,20,30,18,24,1,4,7,26,13,6,0,0,0,0
SN,AS,sutra,41,20,31,18,24,1,4,7,25,13,6,0,0,0,0
SN,AS,sutra,42,21,30,16,24,1,3,7,25,15,7,0,0,0,0
SN,AS,sutra,43,22,29,17,25,1,2,6,25,14,8,0,0,0,0
SN,AS,sutra,44,22,29,15,25,1,2,7,25,15,8,0,0,0,0
SN,AS,sutra,45,22,30,15,24,1,2,7,26,13,9,0,0,0,0
SN,AS,sutra,46,22,29,15,23,1,2,8,27,13,9,0,0,0,0
SN,AS,sutra,47,23,26,15,22,1,1,8,29,14,10,0,0,0,0
SN,AS,sutra,48,23,26,12,24,1,1,8,29,14,11,0,0,0,0
SN,AS,sutra,49,23,26,12,23,1,1,8,29,15,11,0,0,0,0
SN,AS,sutra,50,22,25,12,22,1,2,8,29,17,11,0,0,0,0
