Text_Type,Book,Chapter,Window,GGL,LGG,G,GLL,L,GLG,LLL,GG,GGG,LLG,LG,LGL,GL,LL
SN,AS,uttara,1,29,26,8,15,2,44,20,3,29,16,8,30,0,0
SN,AS,uttara,2,29,30,8,15,2,46,20,3,26,16,8,30,0,0
SN,AS,uttara,3,28,31,8,15,2,46,20,3,27,15,7,30,1,0
SN,AS,uttara,4,30,31,8,15,2,49,20,3,28,14,6,30,1,0
SN,AS,uttara,5,26,21,7,10,2,48,12,3,26,14,6,22,1,0
SN,AS,uttara,6,26,23,7,12,2,48,13,3,28,14,5,24,2,0
SN,AS,uttara,7,25,23,7,12,2,47,13,3,29,16,5,23,2,0
SN,AS,uttara,8,27,23,7,11,2,45,13,3,29,17,5,24,2,0
SN,AS,uttara,9,26,23,6,11,2,46,13,3,29,17,6,24,2,0
SN,AS,uttara,10,26,23,6,10,2,45,13,3,29,17,6,23,2,0
SN,AS,uttara,11,26,24,6,10,1,45,13,3,30,16,6,21,3,0
SN,AS,uttara,12,27,26,7,9,0,47,13,3,28,15,6,21,3,0
SN,AS,uttara,13,25,26,8,9,0,44,13,3,28,14,5,20,3,0
SN,AS,uttara,14,26,28,8,10,0,44,13,3,28,15,5,20,3,0
SN,AS,uttara,15,25,30,8,10,1,43,14,3,29,15,4,20,3,0
SN,AS,uttara,16,24,29,7,8,1,41,13,3,29,15,4,18,3,0
SN,AS,uttara,17,23,29,7,7,1,40,10,2,27,15,5,15,3,0
SN,AS,uttara,18,23,29,8,6,1,38,9,2,27,17,5,17,3,0
SN,AS,uttara,19,20,27,7,7,1,31,8,2,25,16,5,18,4,0
SN,AS,uttara,20,21,27,7,7,1,30,7,3,22,17,5,19,4,0
SN,AS,uttara,21,24,33,8,10,1,31,8,3,30,21,4,20,4,0
SN,AS,uttara,22,26,32,8,11,1,31,9,3,30,22,4,24,4,0
SN,AS,uttara,23,26,36,9,13,1,32,9,2,32,23,4,26,4,0
SN,AS,uttara,24,29,36,9,13,2,33,8,2,34,23,4,26,4,0
SN,AS,uttara,25,34,36,9,13,2,33,8,2,35,23,4,25,4,0
SN,AS,uttara,26,37,36,8,13,2,34,8,3,33,22,4,25,4,0
SN,AS,uttara,27,38,32,8,16,2,34,9,3,39,21,4,27,5,0
SN,AS,uttara,28,38,32,8,17,3,33,9,3,44,22,4,31,4,0
SN,AS,uttara,29,36,31,8,17,3,29,9,3,42,22,4,29,5,0
SN,AS,uttara,30,36,32,9,18,3,27,8,3,39,22,4,30,5,0
SN,AS,uttara,31,35,30,10,17,3,28,7,3,36,22,4,30,4,0
SN,AS,uttara,32,34,29,10,17,3,28,6,3,36,20,4,31,4,0
SN,AS,uttara,33,33,29,10,17,4,29,6,3,37,19,3,31,4,0
SN,AS,uttara,34,33,29,11,17,4,28,5,3,38,20,2,31,4,0
SN,AS,uttara,35,33,29,11,16,4,31,5,3,37,20,2,33,4,0
SN,AS,uttara,36,35,27,12,16,4,31,5,3,36,21,2,34,3,0
SN,AS,uttara,37,34,27,12,17,4,29,5,3,36,22,2,34,3,0
SN,AS,uttara,38,34,25,12,18,4,29,5,3,34,21,2,35,3,0
SN,AS,uttara,39,36,23,13,17,4,29,5,2,33,20,2,36,3,0
SN,AS,uttara,40,38,22,14,17,3,29,4,2,32,20,2,37,3,0
SN,AS,uttara,41,36,21,15,17,3,27,4,2,34,20,2,37,3,0
SN,AS,uttara,42,35,22,16,16,3,27,4,2,35,19,1,38,3,0
SN,AS,uttara,43,35,22,16,16,3,27,4,2,35,18,1,38,3,0
SN,AS,uttara,44,34,22,17,15,3,28,4,2,37,19,1,38,2,0
SN,AS,uttara,45,32,23,17,17,4,28,4,1,37,18,1,39,2,0
SN,AS,uttara,46,29,16,17,14,4,27,3,1,31,14,1,36,2,0
SN,AS,uttara,47,27,16,18,13,4,26,3,1,31,12,0,33,2,0
SN,AS,uttara,48,26,12,17,11,5,26,3,1,28,11,0,32,2,0
SN,AS,uttara,49,24,12,17,11,5,26,3,1,27,12,0,33,2,0
SN,AS,uttara,50,19,10,17,11,5,27,3,1,27,11,0,35,2,0
SN,AS,uttara,51,16,10,18,11,5,27,3,0,28,11,0,36,2,0
SN,AS,uttara,52,14,10,19,8,5,26,2,0,23,12,0,35,1,0
SN,AS,uttara,53,14,11,20,7,4,25,2,0,18,12,0,32,1,0
SN,AS,uttara,54,14,12,21,8,4,26,1,0,18,13,0,33,0,0
SN,AS,uttara,55,15,12,21,7,4,26,1,0,18,13,0,33,0,0
SN,AS,uttara,56,15,12,21,7,4,25,1,0,20,13,0,32,0,0
SN,AS,uttara,57,15,12,20,7,5,24,1,0,20,13,0,33,0,0
SN,AS,uttara,58,16,12,21,7,4,24,1,0,19,13,0,33,0,0
SN,AS,uttara,59,16,12,21,8,4,25,1,0,19,12,0,32,0,0
SN,AS,uttara,60,16,12,21,9,4,24,1,0,20,12,0,31,0,0
SN,AS,uttara,61,15,12,21,9,4,24,1,0,22,11,0,31,0,0
SN,AS,uttara,62,18,10,21,8,4,24,1,0,23,10,0,31,0,0
SN,AS,uttara,63,16,11,21,7,4,24,1,0,24,10,0,32,0,0
SN,AS,uttara,64,13,11,21,7,4,24,1,0,27,10,0,32,0,0
SN,AS,uttara,65,12,10,21,7,4,24,1,0,29,10,0,32,0,0
SN,AS,uttara,66,13,11,21,7,4,25,1,0,28,8,0,32,0,0
SN,AS,uttara,67,14,10,21,7,4,24,1,0,29,8,0,32,0,0
SN,AS,uttara,68,15,10,21,8,4,25,1,0,28,7,0,31,0,0
SN,AS,uttara,69,16,10,21,8,4,24,1,0,28,6,0,32,0,0
SN,AS,uttara,70,16,9,22,7,3,25,1,0,29,6,0,32,0,0
SN,AS,uttara,71,16,9,22,7,3,25,1,0,27,7,0,33,0,0
SN,AS,uttara,72,16,8,21,6,4,25,0,0,29,7,0,34,0,0
SN,AS,uttara,73,16,9,22,7,3,24,0,0,30,6,0,33,0,0
SN,AS,uttara,74,16,9,23,7,2,23,0,0,31,5,0,34,0,0
SN,AS,uttara,75,15,9,22,7,3,25,0,0,31,5,0,33,0,0
SN,AS,uttara,76,16,8,22,7,3,25,0,0,32,5,0,32,0,0
SN,AS,uttara,77,16,7,22,7,3,25,0,0,33,4,0,33,0,0
SN,AS,uttara,78,16,5,22,7,3,26,0,0,34,3,0,34,0,0
SN,AS,uttara,79,16,4,21,6,4,26,0,0,35,3,0,35,0,0
SN,AS,uttara,80,15,3,21,6,4,26,0,0,37,3,0,35,0,0
SN,AS,uttara,81,16,3,21,6,4,26,0,0,36,3,0,35,0,0
SN,AS,uttara,82,16,3,22,6,3,26,0,0,37,3,0,34,0,0
SN,AS,uttara,83,14,3,21,6,4,28,0,0,37,3,0,34,0,0
SN,AS,uttara,84,15,3,21,5,4,27,0,0,36,3,0,36,0,0
SN,AS,uttara,85,15,3,21,6,4,26,0,0,35,3,0,37,0,0
SN,AS,uttara,86,15,4,21,6,4,25,0,0,34,4,0,37,0,0
SN,AS,uttara,87,15,4,21,6,4,26,0,0,33,4,0,37,0,0
SN,AS,uttara,88,15,4,21,6,4,27,0,0,33,4,0,36,0,0
SN,AS,uttara,89,15,4,21,6,4,28,0,0,31,4,0,37,0,0
SN,AS,uttara,90,17,4,21,6,4,28,0,0,29,4,0,37,0,0
SN,AS,uttara,91,17,3,21,7,4,27,0,0,29,4,0,38,0,0
SN,AS,uttara,92,16,3,21,7,4,27,0,0,29,4,0,39,0,0
SN,AS,uttara,93,15,4,21,7,4,27,0,0,29,4,0,39,0,0
SN,AS,uttara,94,14,5,21,8,4,27,0,0,29,4,0,38,0,0
SN,AS,uttara,95,15,5,21,7,4,27,0,0,29,4,0,38,0,0
SN,AS,uttara,96,15,5,21,7,4,27,0,0,31,3,0,37,0,0
SN,AS,uttara,97,16,5,22,7,3,27,0,0,30,4,0,36,0,0
SN,AS,uttara,98,16,5,22,6,3,26,0,0,31,4,0,37,0,0
SN,AS,uttara,99,15,6,22,7,3,27,0,0,29,4,0,37,0,0
SN,AS,uttara,100,15,6,23,7,2,26,0,0,29,5,0,37,0,0
SN,AS,uttara,101,16,6,23,7,2,26,0,0,28,5,0,37,0,0
SN,AS,uttara,102,16,7,23,7,2,27,0,0,27,5,0,36,0,0
SN,AS,uttara,103,17,7,23,7,2,29,0,0,25,5,0,35,0,0
SN,AS,uttara,104,18,7,24,7,1,28,0,0,25,5,0,35,0,0
SN,AS,uttara,105,17,8,24,7,1,27,0,0,25,6,0,35,0,0
SN,AS,uttara,106,17,9,24,6,1,26,0,0,24,7,0,36,0,0
SN,AS,uttara,107,18,9,24,6,1,26,0,0,24,6,0,36,0,0
SN,AS,uttara,108,19,9,25,7,0,24,0,0,23,7,0,36,0,0
SN,AS,uttara,109,21,9,25,7,0,24,0,0,22,8,0,34,0,0
SN,AS,uttara,110,21,10,25,5,0,25,0,0,22,9,0,33,0,0
SN,AS,uttara,111,20,10,25,6,0,25,0,0,21,8,0,35,0,0
SN,AS,uttara,112,17,10,25,7,0,26,0,0,22,8,0,35,0,0
SN,AS,uttara,113,19,9,25,7,0,26,0,0,21,8,0,35,0,0
SN,AS,uttara,114,19,9,25,7,0,26,0,0,21,8,0,35,0,0
SN,AS,uttara,115,16,9,25,8,0,25,1,0,21,8,0,37,0,0
SN,AS,uttara,116,15,11,25,7,0,26,1,0,21,8,0,36,0,0
SN,AS,uttara,117,15,12,25,7,0,27,1,0,20,8,0,35,0,0
SN,AS,uttara,118,15,12,25,6,0,27,1,0,21,8,0,35,0,0
SN,AS,uttara,119,15,12,24,6,1,27,1,0,20,8,0,36,0,0
SN,AS,uttara,120,15,12,24,7,1,27,1,0,20,8,0,35,0,0
SN,AS,uttara,121,15,12,24,7,1,26,1,0,20,9,0,35,0,0
SN,AS,uttara,122,14,12,24,7,1,26,1,0,21,8,0,36,0,0
SN,AS,uttara,123,14,11,24,8,1,27,1,0,20,8,0,36,0,0
SN,AS,uttara,124,14,11,24,7,1,27,1,0,21,8,0,36,0,0
SN,AS,uttara,125,14,11,24,7,1,25,1,0,22,8,0,37,0,0
