Text_Type,Book,Chapter,Window,GLG,LGG,GLL,GGL,L,G,LLL,LG,LGL,GGG,LLG,LL,GG,GL
SN,AS,chikitsa,1,52,15,13,33,6,43,1,1,60,54,20,0,0,0
SN,AS,chikitsa,2,51,16,13,33,6,43,0,1,61,54,21,0,0,0
SN,AS,chikitsa,3,50,16,13,34,6,44,0,0,62,54,21,0,0,0
SN,AS,chikitsa,4,51,16,14,34,6,44,0,0,62,52,21,0,0,0
SN,AS,chikitsa,5,51,16,14,35,6,44,0,0,62,51,21,0,0,0
SN,AS,chikitsa,6,51,16,14,34,6,44,0,0,62,51,22,0,0,0
SN,AS,chikitsa,7,51,15,14,35,6,44,0,0,62,51,22,0,0,0
SN,AS,chikitsa,8,50,15,15,36,6,44,0,0,62,51,21,0,0,0
SN,AS,chikitsa,9,49,16,15,35,6,44,0,0,62,51,22,0,0,0
SN,AS,chikitsa,10,49,16,15,36,6,44,0,0,63,49,22,0,0,0
SN,AS,chikitsa,11,48,15,15,38,6,44,0,0,63,49,22,0,0,0
SN,AS,chikitsa,12,48,15,15,37,6,44,0,0,65,48,22,0,0,0
SN,AS,chikitsa,13,48,15,15,38,6,44,0,0,65,48,21,0,0,0
SN,AS,chikitsa,14,47,15,14,39,6,44,0,0,65,48,22,0,0,0
SN,AS,chikitsa,15,48,15,14,37,6,44,0,0,66,48,22,0,0,0
SN,AS,chikitsa,16,49,14,13,37,6,44,0,0,66,49,22,0,0,0
SN,AS,chikitsa,17,49,14,13,38,6,44,0,0,64,50,22,0,0,0
SN,AS,chikitsa,18,49,14,14,39,6,44,0,0,65,47,22,0,0,0
SN,AS,chikitsa,19,48,15,13,41,6,44,0,0,65,47,21,0,0,0
SN,AS,chikitsa,20,49,17,13,41,6,44,0,0,63,46,21,0,0,0
SN,AS,chikitsa,21,50,17,14,41,5,45,0,0,62,45,21,0,0,0
SN,AS,chikitsa,22,49,17,15,41,6,44,1,0,62,44,21,0,0,0
SN,AS,chikitsa,23,50,19,15,41,6,44,1,0,60,43,21,0,0,0
SN,AS,chikitsa,24,48,19,15,42,6,44,1,0,60,44,21,0,0,0
SN,AS,chikitsa,25,47,20,15,41,6,44,1,0,61,44,21,0,0,0
SN,AS,chikitsa,26,47,20,14,41,6,44,1,0,60,45,22,0,0,0
SN,AS,chikitsa,27,46,21,14,41,7,43,1,0,60,45,22,0,0,0
SN,AS,chikitsa,28,46,20,13,43,7,43,1,0,60,45,22,0,0,0
SN,AS,chikitsa,29,47,20,13,45,7,43,1,0,60,44,20,0,0,0
SN,AS,chikitsa,30,45,20,13,46,8,42,1,0,60,45,20,0,0,0
SN,AS,chikitsa,31,46,19,13,45,7,43,1,0,60,46,20,0,0,0
SN,AS,chikitsa,32,45,20,14,45,6,44,1,0,60,45,20,0,0,0
SN,AS,chikitsa,33,44,21,15,45,6,44,1,0,60,46,18,0,0,0
SN,AS,chikitsa,34,43,20,16,45,6,44,1,0,62,45,18,0,0,0
SN,AS,chikitsa,35,43,21,16,44,6,44,1,0,62,45,18,0,0,0
SN,AS,chikitsa,36,43,21,16,44,6,44,1,0,62,44,19,0,0,0
SN,AS,chikitsa,37,43,20,15,45,6,44,1,0,62,44,20,0,0,0
SN,AS,chikitsa,38,45,22,15,44,6,44,1,0,61,43,19,0,0,0
SN,AS,chikitsa,39,45,22,15,44,6,44,1,0,62,43,18,0,0,0
SN,AS,chikitsa,40,45,22,14,45,5,45,1,0,62,43,18,0,0,0
SN,AS,chikitsa,41,44,22,15,45,4,46,1,0,62,42,19,0,0,0
SN,AS,chikitsa,42,44,22,15,46,4,46,1,0,63,40,19,0,0,0
SN,AS,chikitsa,43,44,22,15,46,5,45,1,0,63,39,20,0,0,0
SN,AS,chikitsa,44,46,20,15,45,5,45,1,0,63,40,20,0,0,0
SN,AS,chikitsa,45,45,20,15,45,5,45,1,0,64,40,20,0,0,0
SN,AS,chikitsa,46,44,19,15,45,6,44,1,0,64,41,21,0,0,0
SN,AS,chikitsa,47,43,20,14,45,6,44,1,0,64,42,21,0,0,0
SN,AS,chikitsa,48,44,20,13,45,7,43,1,0,63,43,21,0,0,0
SN,AS,chikitsa,49,43,21,13,45,7,43,1,0,63,42,22,0,0,0
SN,AS,chikitsa,50,42,22,13,45,8,42,1,0,63,43,21,0,0,0
SN,AS,chikitsa,51,41,22,14,44,8,42,1,0,64,44,20,0,0,0
SN,AS,chikitsa,52,42,20,15,45,8,42,1,0,65,43,19,0,0,0
SN,AS,chikitsa,53,43,20,15,43,8,42,1,0,65,45,18,0,0,0
SN,AS,chikitsa,54,42,20,14,42,8,42,1,0,65,47,19,0,0,0
SN,AS,chikitsa,55,42,21,15,41,8,42,1,0,65,47,18,0,0,0
SN,AS,chikitsa,56,41,22,15,42,8,42,1,0,65,46,18,0,0,0
SN,AS,chikitsa,57,40,23,15,41,8,42,1,0,65,46,19,0,0,0
SN,AS,chikitsa,58,41,23,14,41,7,43,1,0,66,44,20,0,0,0
SN,AS,chikitsa,59,41,23,15,42,7,43,1,0,66,42,20,0,0,0
SN,AS,chikitsa,60,41,24,15,40,7,43,1,0,66,43,20,0,0,0
SN,AS,chikitsa,61,42,24,16,38,7,43,1,0,65,43,21,0,0,0
SN,AS,chikitsa,62,43,25,16,39,7,43,1,0,63,42,21,0,0,0
SN,AS,chikitsa,63,42,26,17,39,7,43,1,0,64,41,20,0,0,0
SN,AS,chikitsa,64,42,27,17,38,7,43,1,0,65,41,19,0,0,0
SN,AS,chikitsa,65,39,27,18,38,7,43,1,0,64,42,21,0,0,0
SN,AS,chikitsa,66,41,27,18,37,7,43,1,0,64,41,21,0,0,0
SN,AS,chikitsa,67,41,27,19,36,7,43,1,0,64,40,22,0,0,0
SN,AS,chikitsa,68,42,27,19,35,7,43,1,0,64,40,22,0,0,0
SN,AS,chikitsa,69,43,27,20,33,7,43,1,0,63,41,22,0,0,0
SN,AS,chikitsa,70,42,26,20,33,7,43,1,0,64,42,22,0,0,0
SN,AS,chikitsa,71,41,28,20,33,7,43,1,0,65,41,21,0,0,0
SN,AS,chikitsa,72,43,28,19,32,6,44,0,0,65,42,21,0,0,0
SN,AS,chikitsa,73,43,26,18,33,6,44,0,0,65,44,21,0,0,0
SN,AS,chikitsa,74,44,28,17,31,6,44,0,0,65,43,22,0,0,0
SN,AS,chikitsa,75,45,27,17,32,6,44,0,0,64,43,22,0,0,0
SN,AS,chikitsa,76,46,28,17,32,6,44,0,0,64,42,21,0,0,0
SN,AS,chikitsa,77,47,27,17,32,5,45,0,0,64,42,21,0,0,0
SN,AS,chikitsa,78,49,27,17,29,5,45,0,0,64,43,21,0,0,0
SN,AS,chikitsa,79,51,26,18,27,5,45,0,0,64,43,21,0,0,0
SN,AS,chikitsa,80,51,26,18,28,4,46,0,0,64,41,22,0,0,0
SN,AS,chikitsa,81,51,27,18,28,4,46,0,0,64,41,21,0,0,0
SN,AS,chikitsa,82,53,26,17,27,4,46,0,0,65,41,21,0,0,0
SN,AS,chikitsa,83,54,24,16,28,4,46,0,0,65,41,22,0,0,0
SN,AS,chikitsa,84,55,24,15,31,4,46,0,0,63,40,22,0,0,0
SN,AS,chikitsa,85,56,24,15,31,4,46,0,0,63,39,22,0,0,0
SN,AS,chikitsa,86,57,24,15,32,4,46,0,0,63,39,20,0,0,0
SN,AS,chikitsa,87,56,25,15,32,4,46,0,0,65,38,19,0,0,0
SN,AS,chikitsa,88,54,26,16,32,4,46,0,0,65,38,19,0,0,0
SN,AS,chikitsa,89,54,26,16,33,4,46,0,0,64,38,19,0,0,0
SN,AS,chikitsa,90,53,27,16,32,4,46,0,0,64,38,20,0,0,0
SN,AS,chikitsa,91,53,27,15,33,4,46,0,0,64,38,20,0,0,0
SN,AS,chikitsa,92,52,28,15,31,4,46,0,0,63,40,21,0,0,0
SN,AS,chikitsa,93,53,29,15,31,3,47,0,0,63,40,19,0,0,0
SN,AS,chikitsa,94,52,29,15,31,3,47,0,0,64,39,20,0,0,0
SN,AS,chikitsa,95,52,30,16,30,3,47,0,0,64,38,20,0,0,0
SN,AS,chikitsa,96,52,30,17,31,2,48,0,0,64,36,20,0,0,0
SN,AS,chikitsa,97,50,29,17,32,2,48,0,0,64,37,21,0,0,0
SN,AS,chikitsa,98,49,30,18,32,1,49,0,0,64,36,21,0,0,0
SN,AS,chikitsa,99,48,31,18,31,1,49,0,0,64,37,21,0,0,0
SN,AS,chikitsa,100,49,31,18,30,0,50,0,0,64,37,21,0,0,0
SN,AS,chikitsa,101,49,32,17,32,0,50,0,0,63,36,21,0,0,0
SN,AS,chikitsa,102,48,32,18,31,0,50,0,0,62,36,23,0,0,0
SN,AS,chikitsa,103,47,33,18,31,0,50,0,0,63,34,24,0,0,0
SN,AS,chikitsa,104,48,33,18,32,0,50,0,0,63,33,23,0,0,0
SN,AS,chikitsa,105,47,32,17,32,0,50,0,0,65,33,24,0,0,0
SN,AS,chikitsa,106,49,31,17,31,0,50,0,0,65,33,24,0,0,0
SN,AS,chikitsa,107,48,31,18,31,0,50,0,0,65,33,24,0,0,0
SN,AS,chikitsa,108,48,31,18,30,0,50,0,0,64,35,24,0,0,0
SN,AS,chikitsa,109,50,30,17,30,0,50,0,0,64,36,23,0,0,0
SN,AS,chikitsa,110,49,30,17,32,0,50,0,0,63,35,24,0,0,0
SN,AS,chikitsa,111,48,31,16,34,0,50,0,0,63,34,24,0,0,0
SN,AS,chikitsa,112,47,30,16,33,0,50,0,0,63,37,24,0,0,0
SN,AS,chikitsa,113,47,29,15,34,0,50,0,0,62,39,24,0,0,0
SN,AS,chikitsa,114,46,29,16,35,0,50,0,0,61,38,25,0,0,0
SN,AS,chikitsa,115,47,30,15,36,0,50,0,0,62,37,23,0,0,0
SN,AS,chikitsa,116,46,30,16,35,0,50,0,0,63,37,23,0,0,0
SN,AS,chikitsa,117,44,30,16,36,0,50,0,0,63,39,22,0,0,0
SN,AS,chikitsa,118,42,30,16,38,0,50,0,0,62,39,23,0,0,0
SN,AS,chikitsa,119,43,29,15,38,0,50,0,0,63,39,23,0,0,0
SN,AS,chikitsa,120,45,28,16,37,1,49,0,0,62,39,23,0,0,0
SN,AS,chikitsa,121,46,26,15,38,1,49,0,0,61,40,24,0,0,0
SN,AS,chikitsa,122,46,26,15,37,1,49,0,0,61,41,24,0,0,0
SN,AS,chikitsa,123,45,27,15,36,1,49,0,0,61,41,25,0,0,0
SN,AS,chikitsa,124,46,25,15,36,1,49,0,0,62,42,24,0,0,0
SN,AS,chikitsa,125,46,25,15,36,1,49,0,0,62,43,23,0,0,0
SN,AS,chikitsa,126,45,24,15,36,1,49,0,0,63,43,24,0,0,0
SN,AS,chikitsa,127,45,25,14,36,1,49,0,0,63,42,25,0,0,0
SN,AS,chikitsa,128,43,25,14,38,2,48,0,0,63,41,26,0,0,0
SN,AS,chikitsa,129,40,26,13,40,2,48,0,0,63,42,26,0,0,0
SN,AS,chikitsa,130,40,27,13,39,2,48,0,0,63,43,25,0,0,0
SN,AS,chikitsa,131,40,28,13,39,2,48,0,0,62,42,26,0,0,0
SN,AS,chikitsa,132,38,30,14,39,2,48,0,0,61,42,26,0,0,0
SN,AS,chikitsa,133,39,30,14,38,2,48,0,0,61,43,25,0,0,0
SN,AS,chikitsa,134,39,32,15,35,2,48,0,0,61,43,25,0,0,0
SN,AS,chikitsa,135,38,31,15,35,2,48,0,0,62,42,27,0,0,0
SN,AS,chikitsa,136,39,31,15,33,2,48,0,0,63,42,27,0,0,0
SN,AS,chikitsa,137,40,30,15,33,2,48,0,0,63,42,27,0,0,0
SN,AS,chikitsa,138,40,27,14,34,2,48,0,0,63,44,28,0,0,0
SN,AS,chikitsa,139,38,26,14,33,2,48,0,0,63,47,29,0,0,0
SN,AS,chikitsa,140,39,25,15,32,2,48,0,0,63,47,29,0,0,0
SN,AS,chikitsa,141,41,25,15,31,2,48,0,0,63,47,28,0,0,0
SN,AS,chikitsa,142,42,25,15,31,2,48,0,0,63,47,27,0,0,0
SN,AS,chikitsa,143,41,25,15,31,2,48,0,0,64,47,27,0,0,0
SN,AS,chikitsa,144,40,26,15,32,2,48,0,0,63,48,26,0,0,0
SN,AS,chikitsa,145,40,26,14,33,3,47,0,0,62,49,26,0,0,0
SN,AS,chikitsa,146,41,26,13,33,3,47,0,0,62,49,26,0,0,0
