Text_Type,Book,Chapter,Window,GGG,LGG,GLL,LL,L,GLG,GL,LLG,LLL,GG,LGL,G,LG,GGL
SN,AS,kalpa,1,83,69,36,1,2,90,3,59,44,2,42,10,17,82
SN,AS,kalpa,2,81,68,36,1,2,90,3,60,43,2,42,11,17,84
SN,AS,kalpa,3,82,68,36,1,2,91,4,59,44,2,43,11,16,86
SN,AS,kalpa,4,80,67,37,1,2,91,5,58,41,2,42,10,16,88
SN,AS,kalpa,5,80,67,36,1,2,92,5,58,41,2,42,9,17,91
SN,AS,kalpa,6,79,62,34,1,3,89,5,56,41,2,39,9,16,88
SN,AS,kalpa,7,75,61,33,1,3,88,6,52,37,2,36,9,15,85
SN,AS,kalpa,8,74,59,34,1,3,85,6,51,32,2,37,9,16,81
SN,AS,kalpa,9,69,54,33,1,3,82,6,50,30,2,34,9,16,76
SN,AS,kalpa,10,70,54,36,1,3,82,6,50,29,2,35,9,15,74
SN,AS,kalpa,11,71,58,38,1,2,85,6,51,30,3,36,9,15,75
SN,AS,kalpa,12,70,53,39,1,2,86,6,49,31,3,35,9,14,75
SN,AS,kalpa,13,70,55,43,1,3,91,6,51,32,3,35,9,13,75
SN,AS,kalpa,14,67,55,46,1,3,91,5,54,32,3,34,9,14,75
SN,AS,kalpa,15,68,55,49,1,3,89,5,54,31,3,36,8,15,72
SN,AS,kalpa,16,69,55,49,1,3,88,5,55,32,3,35,9,15,73
SN,AS,kalpa,17,68,53,53,1,2,88,5,59,33,3,37,9,15,73
SN,AS,kalpa,18,65,53,53,1,2,85,5,57,34,3,32,9,15,68
SN,AS,kalpa,19,59,53,44,1,2,82,5,56,31,3,32,10,14,62
SN,AS,kalpa,20,57,50,45,1,2,79,5,53,30,3,32,10,14,57
SN,AS,kalpa,21,54,49,45,1,2,78,5,52,28,3,33,11,13,57
SN,AS,kalpa,22,55,49,45,1,2,76,5,51,28,3,34,12,12,56
SN,AS,kalpa,23,56,51,45,1,2,73,5,51,28,3,35,13,11,55
SN,AS,kalpa,24,54,50,44,1,2,72,5,51,27,3,34,12,12,52
SN,AS,kalpa,25,53,44,39,1,2,67,5,47,23,3,32,12,12,47
SN,AS,kalpa,26,52,43,38,0,2,68,5,43,22,3,30,12,13,45
SN,AS,kalpa,27,52,42,37,0,2,67,5,42,22,3,30,12,14,44
SN,AS,kalpa,28,51,42,37,0,2,67,6,40,20,3,32,12,13,43
SN,AS,kalpa,29,51,42,38,0,2,68,7,41,19,3,32,12,13,43
SN,AS,kalpa,30,52,44,38,0,2,71,7,42,21,3,32,13,13,43
SN,AS,kalpa,31,53,46,38,0,3,73,7,43,24,3,31,13,12,40
SN,AS,kalpa,32,56,50,39,0,3,76,8,47,25,3,32,12,12,40
SN,AS,kalpa,33,57,50,39,0,3,76,8,49,26,3,32,11,13,41
SN,AS,kalpa,34,58,49,39,0,3,76,8,49,26,3,33,12,12,43
SN,AS,kalpa,35,60,49,39,0,4,78,8,50,26,3,33,12,12,42
SN,AS,kalpa,36,63,51,40,0,4,77,9,50,25,3,34,12,12,42
SN,AS,kalpa,37,62,49,41,0,4,78,10,50,25,3,34,12,12,41
SN,AS,kalpa,38,58,53,47,0,5,84,10,57,28,3,39,11,12,40
SN,AS,kalpa,39,56,53,47,0,5,82,11,57,29,3,39,11,12,39
SN,AS,kalpa,40,56,53,46,0,5,82,11,58,28,2,41,12,12,39
SN,AS,kalpa,41,58,52,45,0,5,81,11,56,28,2,42,13,11,38
SN,AS,kalpa,42,59,52,45,0,5,81,11,56,28,2,43,13,11,38
SN,AS,kalpa,43,58,51,45,0,5,80,11,55,28,1,44,14,11,38
SN,AS,kalpa,44,58,51,46,0,5,77,11,54,28,1,45,15,10,38
SN,AS,kalpa,45,60,49,47,0,5,76,11,54,27,1,47,16,10,37
SN,AS,kalpa,46,61,47,46,0,5,74,11,54,26,1,46,16,10,36
SN,AS,kalpa,47,60,48,46,0,5,75,11,54,26,1,46,17,9,36
SN,AS,kalpa,48,59,49,45,0,5,73,11,55,26,1,47,18,9,37
SN,AS,kalpa,49,57,47,44,0,6,74,10,53,25,1,46,18,9,33
SN,AS,kalpa,50,56,48,44,0,6,73,10,54,25,1,47,18,9,33
SN,AS,kalpa,51,55,49,45,0,6,72,10,53,24,1,49,19,9,33
SN,AS,kalpa,52,56,49,45,0,6,74,10,52,24,1,50,19,9,32
SN,AS,kalpa,53,56,49,46,0,6,72,9,52,23,1,50,20,9,30
SN,AS,kalpa,54,55,49,45,0,6,71,8,54,22,1,52,21,9,28
SN,AS,kalpa,55,52,49,45,0,6,70,8,54,22,1,54,22,8,26
SN,AS,kalpa,56,51,50,44,0,5,70,8,56,21,1,55,23,8,26
SN,AS,kalpa,57,50,49,45,0,5,70,7,56,20,1,55,24,8,25
SN,AS,kalpa,58,50,49,44,0,5,71,7,57,20,1,55,25,7,26
SN,AS,kalpa,59,50,49,43,0,5,70,7,57,19,1,56,26,6,26
SN,AS,kalpa,60,50,46,40,0,5,71,7,55,19,1,56,27,6,27
SN,AS,kalpa,61,50,42,39,0,5,69,7,54,17,0,56,28,6,26
SN,AS,kalpa,62,48,41,37,0,5,67,7,55,16,0,57,29,6,25
SN,AS,kalpa,63,47,39,34,0,4,63,7,52,15,0,58,30,6,22
SN,AS,kalpa,64,47,38,32,0,4,62,7,48,15,0,59,31,5,23
SN,AS,kalpa,65,46,39,31,0,4,61,7,46,14,0,57,32,4,23
SN,AS,kalpa,66,44,40,30,0,4,63,7,44,13,0,58,32,4,21
SN,AS,kalpa,67,45,38,26,0,5,61,7,38,12,0,57,32,4,22
SN,AS,kalpa,68,46,39,26,0,5,62,6,39,11,0,58,33,4,22
SN,AS,kalpa,69,49,39,26,0,5,62,6,38,11,0,57,33,4,21
SN,AS,kalpa,70,49,39,23,0,5,63,6,38,11,0,58,34,4,21
SN,AS,kalpa,71,49,38,23,0,5,65,6,38,11,0,59,34,4,22
SN,AS,kalpa,72,48,38,23,0,5,66,6,39,11,0,59,34,4,24
SN,AS,kalpa,73,49,37,23,0,5,67,6,39,11,0,59,34,4,24
SN,AS,kalpa,74,50,38,23,0,5,66,6,39,11,0,60,35,3,23
SN,AS,kalpa,75,48,40,24,0,5,65,6,39,11,0,61,36,3,23
SN,AS,kalpa,76,50,40,24,0,5,66,6,39,11,0,62,37,2,23
SN,AS,kalpa,77,50,40,24,0,5,68,6,39,11,0,63,38,1,24
SN,AS,kalpa,78,51,40,24,0,5,68,5,39,11,0,63,39,1,25
SN,AS,kalpa,79,53,39,23,0,5,68,4,38,11,0,64,40,1,25
SN,AS,kalpa,80,52,38,22,0,5,65,4,37,9,0,65,40,1,25
SN,AS,kalpa,81,51,35,22,0,4,65,4,37,6,0,67,41,1,25
SN,AS,kalpa,82,48,31,22,0,4,62,3,33,5,0,67,42,1,26
SN,AS,kalpa,83,50,30,22,0,4,62,3,31,4,0,68,43,0,25
SN,AS,kalpa,84,51,30,22,0,4,63,3,31,4,0,68,43,0,23
SN,AS,kalpa,85,50,29,21,0,3,61,3,32,4,0,69,44,0,23
SN,AS,kalpa,86,47,27,20,0,3,61,2,32,4,0,71,45,0,23
SN,AS,kalpa,87,45,28,19,0,4,58,1,30,4,0,72,45,0,24
SN,AS,kalpa,88,45,23,13,0,3,52,1,22,1,0,66,46,0,24
SN,AS,kalpa,89,46,23,13,0,3,54,0,22,0,0,67,47,0,25
SN,AS,kalpa,90,47,24,14,0,3,53,0,21,0,0,66,47,0,25
SN,AS,kalpa,91,46,24,15,0,3,54,0,21,0,0,65,47,0,25
SN,AS,kalpa,92,46,24,15,0,3,55,0,20,0,0,66,47,0,24
SN,AS,kalpa,93,47,24,16,0,3,55,0,19,0,0,66,47,0,23
SN,AS,kalpa,94,48,25,15,0,3,53,0,20,0,0,66,47,0,23
SN,AS,kalpa,95,48,26,14,0,3,54,0,20,0,0,65,47,0,23
SN,AS,kalpa,96,49,25,14,0,3,55,0,20,0,0,65,47,0,22
SN,AS,kalpa,97,50,23,14,0,3,54,0,21,0,0,65,47,0,23
SN,AS,kalpa,98,51,22,14,0,3,55,0,20,0,0,65,47,0,23
SN,AS,kalpa,99,51,22,15,0,3,54,0,20,0,0,65,47,0,23
SN,AS,kalpa,100,51,21,15,0,3,56,0,19,0,0,64,47,0,24
SN,AS,kalpa,101,52,21,14,0,3,57,0,19,0,0,62,47,0,25
SN,AS,kalpa,102,52,21,14,0,3,55,0,20,0,0,62,47,0,26
SN,AS,kalpa,103,51,21,14,0,3,54,0,21,0,0,63,47,0,26
SN,AS,kalpa,104,51,21,14,0,3,54,0,20,0,0,63,47,0,27
SN,AS,kalpa,105,51,21,14,0,3,56,0,20,0,0,62,47,0,26
SN,AS,kalpa,106,51,21,15,0,3,57,0,18,0,0,62,47,0,26
SN,AS,kalpa,107,53,19,14,0,3,57,0,18,0,0,62,47,0,27
SN,AS,kalpa,108,54,20,14,0,3,56,0,17,0,0,62,47,0,27
SN,AS,kalpa,109,54,20,14,0,3,56,0,18,0,0,61,47,0,27
SN,AS,kalpa,110,52,20,15,0,3,56,0,20,0,0,61,47,0,26
SN,AS,kalpa,111,53,20,14,0,3,55,0,20,0,0,61,47,0,27
SN,AS,kalpa,112,54,20,15,0,3,53,0,21,0,0,60,47,0,27
SN,AS,kalpa,113,55,19,14,0,3,53,0,21,0,0,60,47,0,28
SN,AS,kalpa,114,56,19,14,0,4,52,0,22,0,0,61,46,0,26
SN,AS,kalpa,115,58,19,12,0,4,53,0,22,0,0,61,46,0,25
SN,AS,kalpa,116,60,18,12,0,4,50,0,22,0,0,61,46,0,27
SN,AS,kalpa,117,59,19,12,0,3,50,0,23,0,0,61,47,0,26
SN,AS,kalpa,118,59,19,12,0,3,49,0,23,0,0,61,47,0,27
SN,AS,kalpa,119,58,19,12,0,3,49,0,23,0,0,62,47,0,27
SN,AS,kalpa,120,59,18,13,0,3,48,0,24,0,0,61,47,0,27
SN,AS,kalpa,121,60,19,13,0,3,47,0,25,0,0,60,47,0,26
SN,AS,kalpa,122,60,19,13,0,3,48,0,24,0,0,60,47,0,26
SN,AS,kalpa,123,58,19,13,0,3,49,0,25,0,0,60,47,0,26
SN,AS,kalpa,124,58,18,13,0,3,49,0,25,0,0,61,47,0,26
SN,AS,kalpa,125,59,16,12,0,3,50,0,27,0,0,60,47,0,26
SN,AS,kalpa,126,57,18,12,0,3,49,0,28,0,0,60,47,0,26
SN,AS,kalpa,127,57,19,12,0,3,48,0,29,0,0,60,47,0,25
